Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-17,25.99,25.8,25.79,25.99,61,17120
2021-05-18,26.0,26.0,25.76,25.81,136,24030
2021-05-19,26.04,26.04,25.68,25.99,112,24139
2021-05-20,26.4,26.39,25.9,26.02,58,12715
2021-05-21,26.23,26.19,26.05,26.14,58,9600
2021-05-24,26.23,26.1,26.04,26.18,18,5701
2021-05-25,26.32,26.1,26.0,26.13,63,17029
2021-05-26,26.27,26.05,26.01,26.27,55,12130
2021-05-27,26.03,25.9,25.87,26.03,70,25673
2021-05-28,25.98,25.93,25.76,25.89,166,47715
2021-06-01,25.96,25.89,25.84,25.92,23,4377
2021-06-02,25.96,25.95,25.85,25.89,56,8197
2021-06-03,26.07,26.02,25.9,25.95,59,14152
2021-06-04,26.12,25.98,25.98,26.09,62,6912
2021-06-07,26.19,26.18,26.02,26.06,37,14519
2021-06-08,26.22,26.2,26.13,26.22,22,3420
2021-06-09,26.22,26.19,26.12,26.22,64,7395
2021-06-10,26.21,26.19,26.14,26.19,48,7900
2021-06-11,26.3,26.3,26.19,26.2,29,11722
2021-06-14,26.35,26.27,26.19,26.35,20,2930
2021-06-15,26.3,26.27,26.27,26.3,8,1035
2021-06-16,26.3,26.25,26.22,26.3,14,12783
2021-06-17,26.34,26.34,26.21,26.24,18,2935
2021-06-18,26.33,26.33,26.31,26.31,14,1464
2021-06-21,26.42,26.39,26.2,26.3,38,4613
2021-06-22,26.52,26.47,26.44,26.46,20,2891
2021-06-23,26.48,26.48,26.48,26.48,,
2021-06-24,26.59,26.57,26.54,26.56,13,2800
2021-06-25,26.67,26.6,26.6,26.6,15,2789
2021-06-28,26.6,26.58,26.54,26.6,10,3007
2021-06-29,26.58,26.52,26.52,26.58,6,600
2021-06-30,26.55,26.475,26.475,26.52,14,1914
2021-07-01,26.58,26.44,26.42,26.42,13,2775
2021-07-02,26.47,26.45,26.4,26.45,21,3199
2021-07-06,26.515,26.515,26.38,26.38,2,249
2021-07-07,26.73,26.58,26.52,26.52,71,22450
2021-07-08,26.52,26.51,26.45,26.45,6,1349
2021-07-09,26.67,26.62,26.6,26.6,15,3433
2021-07-12,26.76,26.68,26.65,26.76,18,8633
2021-07-13,26.68,26.64,26.61,26.67,56,5933
2021-07-14,26.76,26.76,26.55,26.55,20,6010
2021-07-15,26.9,26.9,26.73,26.75,12,1567
2021-07-16,26.88,26.74,26.74,26.88,2,500
2021-07-19,26.69,26.69,26.67,26.67,1,100
2021-07-20,26.77,26.67,26.67,26.67,15,2356
2021-07-21,26.76,26.76,26.55,26.55,3,300
2021-07-22,26.76,26.76,26.6,26.6,14,1545
2021-07-23,26.74,26.74,26.73,26.73,6,768
2021-07-26,26.76,26.76,26.66,26.74,9,1156
2021-07-27,26.69,26.69,26.61,26.62,3,300
2021-07-28,26.67,26.67,26.58,26.58,11,2300
2021-07-29,26.69,26.69,26.6,26.63,9,1190
2021-07-30,26.74,26.73,26.66,26.74,8,1560
2021-08-02,26.84,26.84,26.76,26.76,5,1400
2021-08-03,26.81,26.77,26.66,26.67,11,1605
2021-08-04,26.77,26.77,26.66,26.69,18,3500
2021-08-05,26.87,26.84,26.75,26.82,6,794
2021-08-06,26.85,26.85,26.81,26.81,2,200
2021-08-09,26.84,26.84,26.67,26.74,11,2900
2021-08-11,26.85,26.85,26.65,26.65,10,2848
