Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-09,10.01,10.0,9.98,10.0,423,5969855
2021-07-12,10.0,10.0,9.99,9.99,19,28419
2021-07-13,10.05,10.05,9.92,9.995,16,35930
2021-07-14,10.05,10.0,10.0,10.05,3,360
2021-07-15,10.01,10.0,10.0,10.01,2,201
2021-07-16,10.02,10.02,10.01,10.01,4,2406
2021-07-19,10.01,10.01,10.0,10.0,23,18398
2021-07-20,10.03,10.0,10.0,10.03,5,2332
2021-07-21,9.99,9.99,9.99,9.99,2,400
2021-07-22,10.07,10.01,10.01,10.07,3,508
2021-07-23,9.99,9.98,9.98,9.99,3,3200
2021-07-26,10.04,10.02,10.01,10.04,18,26815
2021-07-27,10.1,9.98,9.98,10.1,25,7477
2021-07-28,10.0,9.99,9.98,9.98,10,39813
2021-07-29,9.99,9.97,9.96,9.96,8,2106
2021-07-30,10.0041,10.0041,10.0041,10.0041,,
2021-08-03,9.975,9.97,9.97,9.975,1,6
2021-08-04,9.98,9.96,9.96,9.98,12,7646
2021-08-05,9.955,9.95,9.95,9.95,10,10677
2021-08-06,9.96,9.95,9.95,9.96,5,5234
2021-08-09,9.97,9.94,9.94,9.96,10,8837
2021-08-10,9.94,9.9,9.9,9.94,8,21643
2021-08-11,9.9699,9.9699,9.9,9.9,2,61
2021-08-12,9.95,9.95,9.93,9.95,22,12754
2021-08-13,,,,,2,23
2021-08-16,9.94,9.94,9.92,9.92,40,1702
2021-08-17,9.92,9.9,9.9,9.92,5,2643
2021-08-18,9.98,9.94,9.93,9.98,4,787
2021-08-20,9.915,9.915,9.9,9.9,2,154
2021-08-23,9.95,9.95,9.92,9.92,5,939
2021-08-24,9.92,9.92,9.92,9.92,4,733
2021-08-25,,,,,2,11
2021-08-26,9.9,9.9,9.9,9.9,4,2849
2021-08-27,9.9,9.9,9.9,9.9,,
2021-08-30,9.9678,9.9678,9.95,9.95,1,489
2021-08-31,9.98,9.92,9.91,9.98,5,914
2021-09-01,9.95,9.95,9.95,9.95,1,300
2021-09-02,9.98,9.98,9.97,9.98,23,3406
2021-09-07,10.05,9.96,9.92,9.98,28,4178
2021-09-08,,,,,2,20
2021-09-10,9.915,9.915,9.915,9.915,,
2021-09-13,9.91,9.9,9.895,9.91,9,782
2021-09-14,9.91,9.91,9.9,9.9,2,309
2021-09-16,10.01,10.01,9.92,9.92,22,5900
2021-09-17,9.95,9.95,9.95,9.95,4,717
2021-09-20,9.95,9.95,9.95,9.95,,
2021-09-21,9.93,9.93,9.93,9.93,3,521
2021-09-22,9.95,9.95,9.95,9.95,11,1600
2021-09-23,9.9383,9.9383,9.91,9.91,2,110
2021-09-24,,,,,9,48
2021-09-27,9.93,9.93,9.9,9.9,39,764
2021-09-28,10.04,10.04,9.99,9.99,4,438
2021-09-29,,,,,2,10
2021-09-30,9.98,9.98,9.98,9.98,2,16773
2021-10-01,9.97,9.97,9.94,9.94,20,2424
2021-10-04,9.99,9.97,9.97,9.99,7,321
2021-10-05,,,,,1,1
2021-10-07,10.0,10.0,9.98,9.98,6,5326
2021-10-11,,,,,1,10
2021-10-12,9.97,9.97,9.94,9.94,1,91
2021-10-13,10.1,10.0,9.95,10.1,9,1055
2021-10-14,9.98,9.98,9.98,9.98,1,300
2021-10-15,,,,,1,7
2021-10-18,,,,,1,4
2021-10-19,9.96,9.96,9.94,9.94,1,300
2021-10-20,9.95,9.93,9.93,9.95,5,15
2021-10-21,,,,,1,10
2021-10-22,9.95,9.95,9.95,9.95,2,500
2021-10-26,10.02,10.02,9.98,9.98,1,16
2021-10-27,10.0,10.0,10.0,10.0,4,314
2021-10-28,10.03,10.01,10.0,10.01,30,37979
2021-10-29,9.99,9.97,9.97,9.99,4,584
2021-11-01,10.0,10.0,10.0,10.0,4,241
2021-11-02,10.03,10.0,10.0,10.01,3,407
2021-11-03,10.0,10.0,10.0,10.0,1,186
2021-11-04,10.0,10.0,9.99,10.0,11,11108
2021-11-05,10.01,9.99,9.98,10.01,4,460
2021-11-08,10.02,10.01,10.01,10.01,3,626
2021-11-09,10.01,10.0,10.0,10.01,2,810
2021-11-10,10.0,10.0,10.0,10.0,,
2021-11-11,9.99,9.99,9.99,9.99,,
2021-11-12,10.03,10.01,10.0,10.01,8,2115
2021-11-15,10.04,9.98,9.98,10.0,6,1420
2021-11-17,9.99,9.99,9.99,9.99,2,80
2021-11-18,9.97,9.97,9.97,9.97,2,120
2021-11-19,10.01,9.96,9.96,10.01,4,134
2021-11-22,10.09,10.02,9.97,10.09,7,528
2021-11-23,9.97,9.97,9.96,9.96,3,428
2021-11-24,9.98,9.98,9.95,9.95,4,322
2021-11-26,9.98,9.98,9.98,9.98,1,306
2021-11-29,10.01,10.01,10.0,10.0,3,172
2021-12-01,,,,,1,1
2021-12-02,10.0,10.0,9.99,9.99,5,230
2021-12-06,10.0,10.0,9.94,9.95,6,1911
2021-12-08,9.98,9.98,9.98,9.98,2,105
2021-12-09,9.98,9.98,9.98,9.98,2,410
2021-12-10,,,,,2,101
2021-12-14,10.0,9.98,9.98,10.0,1,34
2021-12-15,9.98,9.9729,9.9729,9.98,1,2
2021-12-16,9.98,9.98,9.98,9.98,13,23842
2021-12-17,10.1,10.1,10.0,10.0,4,673
2021-12-22,10.05,10.05,9.94,9.94,1,11
2021-12-23,9.97,9.95,9.95,9.95,13,1454
2021-12-28,9.95,9.92,9.92,9.95,1,73
2021-12-29,10.0,9.95,9.95,10.0,15,100
2021-12-30,9.97,9.97,9.94,9.94,25,2082
2021-12-31,9.97,9.97,9.97,9.97,1,57
2022-01-06,,,,,2,2
2022-01-07,,,,,1,1
2022-01-10,9.9359,9.9359,9.9359,9.9359,,
2022-01-11,10.02,9.9001,9.9001,10.02,9,27
2022-01-12,9.95,9.95,9.915,9.92,2,400
2022-01-13,9.95,9.9,9.9,9.91,12,8526
2022-01-14,9.95,9.95,9.95,9.95,4,4
2022-01-18,9.9,9.9,9.9,9.9,1,200
