Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,54.32,54.24,52.8,53.2,1640,163623.5
2013-01-03,55.28,54.8,54.24,54.24,987,101044.5
2013-01-04,56.0,56.0,55.2,55.2,694,104063.75
2013-01-07,56.08,56.08,55.6,56.0,463,60592.5
2013-01-08,56.08,56.0,55.76,56.0,735,76447.375
2013-01-09,56.08,56.0,55.84,56.08,515,88254.25
2013-01-10,56.08,55.84,55.76,56.0,754,70970.0
2013-01-11,55.44,55.44,55.12,55.12,367,58892.625
2013-01-14,55.68,54.96,54.8,55.44,691,66255.125
2013-01-15,55.184,54.88,54.8,55.04,476,48999.25
2013-01-16,55.12,54.96,54.88,54.88,384,36502.375
2013-01-17,55.44,55.36,54.992,55.04,444,50431.875
2013-01-18,55.52,55.36,55.2,55.52,394,65229.25
2013-01-22,56.0,56.0,55.44,55.52,407,63138.375
2013-01-23,56.0,55.92,55.84,56.0,326,62440.125
2013-01-24,55.92,55.68,55.6,55.92,495,61619.875
2013-01-25,55.92,55.92,55.68,55.84,296,41794.375
2013-01-28,56.32,56.32,55.76,56.0,591,85521.375
2013-01-29,56.72,56.64,56.32,56.32,520,57303.625
2013-01-30,56.96,56.96,56.64,56.8,252,44516.5
2013-01-31,57.52,57.44,56.8,56.96,1240,91753.0
2013-02-01,57.44,57.04,56.8,57.44,609,97213.875
2013-02-04,57.28,56.96,56.8,57.12,272,57982.875
2013-02-05,57.28,57.28,56.88,57.04,381,51390.0
2013-02-06,57.44,57.44,57.12,57.28,343,51398.875
2013-02-07,57.52,56.8,56.8,57.52,427,97259.375
2013-02-08,57.12,56.32,56.32,57.04,523,93883.5
2013-02-11,56.96,56.4,56.4,56.64,650,98865.375
2013-02-12,56.88,56.88,56.48,56.64,724,85460.5
2013-02-13,56.8,56.72,56.24,56.4,363,70080.0
2013-02-14,54.16,53.6,52.96,53.68,3392,2045964.0
2013-02-15,53.12,52.8,52.4,52.8,1748,672851.125
2013-02-19,53.28,53.2,52.96,53.12,743,175923.75
2013-02-20,53.36,52.4,52.4,53.36,947,255406.875
2013-02-21,52.32,52.16,51.688,52.24,1744,263288.75
2013-02-22,53.192,53.12,52.4,52.48,1108,154006.375
2013-02-25,53.52,52.64,52.48,53.44,1084,208406.875
2013-02-26,52.88,52.72,51.84,52.64,957,152770.125
2013-02-27,53.12,53.12,52.48,52.8,1673,357194.375
