Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,39.77,39.72,39.15,39.15,950,197899
2013-01-03,40.03,39.5,39.31,39.81,1083,225918
2013-01-04,39.52,39.18,39.05,39.52,661,125949
2013-01-07,39.14,38.53,38.31,38.89,1004,176363
2013-01-08,38.53,38.35,37.97,38.5,626,174316
2013-01-09,38.62,37.98,37.75,38.42,980,195319
2013-01-10,38.68,38.57,38.29,38.4,680,156445
2013-01-11,38.89,38.76,38.53,38.56,584,123944
2013-01-14,38.99,38.72,38.6,38.6,538,93622
2013-01-15,39.0,38.93,38.26,38.32,510,96918
2013-01-16,38.37,37.4,37.38,38.22,1665,418112
2013-01-17,38.21,37.99,37.6,37.62,1437,278901
2013-01-18,38.1,37.92,37.66,37.98,818,140816
2013-01-22,38.2,38.14,37.74,37.9,716,143805
2013-01-23,38.11,38.01,37.84,38.0,591,127799
2013-01-24,39.74,39.22,38.61,38.61,1873,391346
2013-01-25,39.77,39.47,39.2,39.4,839,222348
2013-01-28,39.64,39.35,39.24,39.46,751,140969
2013-01-29,39.38,39.35,38.83,39.31,753,147865
2013-01-30,39.55,39.26,39.2,39.32,637,135112
2013-01-31,39.3,38.42,38.3,39.11,889,220181
2013-02-01,39.55,39.52,38.54,38.69,764,168291
2013-02-04,39.54,39.3,39.14,39.23,950,169144
2013-02-05,40.17,40.12,39.48,39.48,1279,246246
2013-02-06,40.32,40.29,39.85,39.85,1010,181245
2013-02-07,40.24,39.84,39.0,39.0,1149,250360
2013-02-08,40.67,40.46,39.93,40.0,1203,261285
2013-02-11,40.75,40.37,40.35,40.51,891,196622
2013-02-12,40.65,40.42,40.3,40.31,954,209006
2013-02-13,40.56,40.56,40.06,40.56,845,188402
2013-02-14,41.08,41.03,40.29,40.5,767,159531
2013-02-15,41.4,40.82,40.74,41.01,806,173904
2013-02-19,41.63,41.56,40.72,40.94,686,165453
2013-02-20,42.26,41.1,41.07,41.64,1300,254228
2013-02-21,41.15,40.75,40.5,40.97,962,190122
2013-02-22,41.17,40.96,40.75,40.87,781,141161
2013-02-25,41.03,39.53,39.53,41.02,911,214049
2013-02-26,39.72,39.19,38.61,39.33,1475,331146
2013-02-27,40.22,39.96,38.7,38.95,1074,230715
2013-02-28,40.88,40.15,39.71,39.92,1137,324915
2013-03-01,39.85,39.25,38.97,39.84,981,230870
2013-03-04,39.31,39.01,38.63,39.07,622,158837
2013-03-05,39.99,39.88,39.16,39.17,1278,287379
2013-03-06,40.75,40.57,39.87,40.0,1186,297529
2013-03-07,41.36,41.16,40.64,40.69,1415,322335
2013-03-08,41.85,41.75,41.22,41.39,1149,261253
2013-03-11,41.75,41.7,41.33,41.47,662,160696
2013-03-12,41.84,41.8,41.33,41.62,591,124239
2013-03-13,41.81,41.57,41.49,41.75,464,96495
2013-03-14,41.95,41.94,41.56,41.63,511,110876
2013-03-15,41.9,41.45,41.15,41.9,494,228772
2013-03-18,41.3,40.91,40.56,40.8,806,162901
2013-03-19,41.32,40.86,40.5,41.04,611,107926
2013-03-20,41.51,41.45,40.92,41.03,701,126208
2013-03-21,41.3,41.06,40.68,41.03,806,138582
2013-03-22,41.28,40.53,40.43,41.15,488,110760
2013-03-25,40.76,39.81,39.6,40.68,563,139321
2013-03-26,40.2,39.97,39.36,40.11,810,151451
2013-03-27,40.16,40.16,39.21,39.61,683,135691
2013-03-28,40.76,40.62,39.69,40.05,996,231530
2013-04-01,40.71,39.73,39.6,40.68,563,108154
2013-04-02,40.08,39.35,39.15,39.95,401,82739
2013-04-03,39.72,38.79,38.69,39.49,826,162615
2013-04-04,39.29,39.23,38.79,39.29,665,142538
2013-04-05,38.7,38.65,38.27,38.56,418,91792
2013-04-08,39.15,39.15,38.32,38.73,490,100069
2013-04-09,39.33,39.06,38.93,39.24,350,78679
2013-04-10,40.22,40.22,39.2,39.25,548,110957
2013-04-11,40.47,40.41,39.99,40.23,502,111839
2013-04-12,40.3,40.12,39.63,40.16,557,116728
2013-04-15,39.89,38.8,38.74,39.81,776,193007
2013-04-16,39.35,38.88,38.53,39.25,1016,193744
2013-04-17,38.54,37.69,37.39,38.54,925,160864
2013-04-18,37.97,36.77,36.76,37.91,1132,188853
2013-04-19,36.88,36.81,36.13,36.88,1091,184029
2013-04-22,37.1,36.86,36.22,36.81,778,153138
2013-04-23,37.7,37.65,37.01,37.06,819,145146
2013-04-24,38.42,38.24,37.64,37.64,647,117589
2013-04-25,38.94,38.51,37.97,38.31,647,112564
2013-04-26,38.48,37.64,37.58,38.48,416,77846
2013-04-29,37.98,37.95,37.51,37.71,642,221360
2013-04-30,39.23,39.23,37.99,38.08,904,330004
2013-05-01,39.0,36.47,36.33,38.86,1799,333110
2013-05-02,37.24,37.12,36.6,36.6,628,131702
2013-05-03,37.9,37.43,37.43,37.58,725,138039
2013-05-06,37.87,37.66,37.34,37.47,732,155066
2013-05-07,38.09,38.02,37.65,37.8,737,144242
2013-05-08,38.83,38.79,37.94,37.97,870,186473
2013-05-09,39.09,38.81,38.5,38.76,910,192269
2013-05-10,39.01,38.31,38.23,38.8,729,145940
2013-05-13,38.33,37.93,37.8,38.14,865,236966
2013-05-14,38.22,38.12,37.84,37.96,555,131845
2013-05-15,39.41,39.39,37.84,37.98,1029,194911
2013-05-16,39.71,39.14,39.09,39.33,885,193263
2013-05-17,39.96,39.86,39.26,39.26,707,125213
2013-05-20,39.88,39.39,39.24,39.77,842,172468
2013-05-21,39.99,39.78,39.35,39.44,621,139297
2013-05-22,40.38,39.6,39.4,39.81,854,156524
2013-05-23,39.85,39.72,39.07,39.09,604,120820
2013-05-24,39.55,38.69,38.53,39.33,669,137253
2013-05-28,39.77,39.38,39.19,39.26,557,102719
2013-05-29,39.47,39.29,39.06,39.09,648,116171
2013-05-30,40.33,40.07,39.37,39.46,593,138524
2013-05-31,40.27,39.76,39.6,39.85,544,164721
2013-06-03,40.15,39.53,39.33,39.87,843,138601
2013-06-04,40.15,39.79,39.42,39.57,550,105565
2013-06-05,40.06,39.77,39.38,39.67,991,162056
2013-06-06,40.2,39.9,39.38,39.79,573,106662
2013-06-07,40.51,40.23,39.99,40.17,534,122162
2013-06-10,40.38,40.3,39.94,40.36,567,88017
2013-06-11,40.26,39.82,39.63,39.72,850,131071
2013-06-12,40.27,39.09,39.0,40.27,757,133362
2013-06-13,39.81,39.69,39.06,39.1,777,127482
2013-06-14,40.01,39.79,39.58,39.7,585,89635
2013-06-17,40.52,40.06,39.88,40.18,876,160631
2013-06-18,40.61,40.49,40.09,40.09,497,108357
2013-06-19,40.42,39.75,39.51,40.42,1462,260021
2013-06-20,39.93,39.26,39.18,39.26,959,155717
2013-06-21,39.61,38.81,38.52,39.49,732,432871
2013-06-24,38.43,37.68,37.67,38.41,879,174834
2013-06-25,38.37,38.19,37.65,38.17,693,186463
2013-06-26,38.81,38.38,38.13,38.67,714,122975
2013-06-27,39.56,39.45,38.53,38.67,557,108255
2013-06-28,39.89,39.85,39.24,39.4,905,383327
2013-07-01,40.55,40.3,39.94,39.94,466,93157
2013-07-02,40.58,39.89,39.61,40.34,579,122881
2013-07-03,40.11,39.98,39.62,39.69,304,61505
2013-07-05,41.14,41.08,40.37,40.37,491,102828
2013-07-08,41.3,40.69,40.54,41.3,617,138674
2013-07-09,41.43,41.07,40.8,40.96,570,97716
2013-07-10,41.53,41.51,40.94,41.13,367,77498
2013-07-11,42.25,41.99,41.76,41.95,469,98615
2013-07-12,42.36,42.03,41.56,42.0,429,88284
2013-07-15,42.66,42.56,42.08,42.08,468,94482
2013-07-16,42.68,42.4,42.14,42.14,638,157769
2013-07-17,42.86,42.67,42.27,42.48,581,101007
2013-07-18,43.01,42.81,42.49,42.64,451,82755
2013-07-19,42.98,42.97,42.22,42.51,542,105266
2013-07-22,43.13,42.96,42.72,42.93,533,95196
2013-07-23,43.38,43.25,42.96,43.05,751,135961
2013-07-24,46.39,44.93,43.61,43.75,1711,370644
2013-07-25,45.77,45.71,44.92,45.0,979,203425
2013-07-26,45.89,45.45,45.16,45.41,669,118979
2013-07-29,45.57,45.25,44.65,44.79,907,248743
2013-07-30,45.96,45.76,45.33,45.45,718,153429
2013-07-31,46.15,45.65,45.57,45.78,903,264949
2013-08-01,47.92,47.61,45.98,46.31,1551,401860
2013-08-02,47.5,47.08,46.8,47.38,612,144677
2013-08-05,47.25,47.25,46.6,46.87,747,179967
2013-08-06,47.12,46.92,46.48,47.09,663,147089
2013-08-07,47.1,46.65,46.53,46.82,658,139300
2013-08-08,47.21,46.96,46.75,46.9,869,207545
2013-08-09,47.23,46.99,46.88,46.89,630,154049
2013-08-12,47.44,47.43,46.62,46.74,459,85981
2013-08-13,48.02,48.02,47.23,47.43,539,110978
2013-08-14,47.99,47.47,47.44,47.99,349,58154
2013-08-15,46.72,46.21,46.0,46.72,577,132947
2013-08-16,46.91,46.73,46.04,46.04,447,97494
2013-08-19,47.2,46.63,46.6,46.69,583,106843
2013-08-20,47.1,46.93,46.56,46.56,575,101507
2013-08-21,46.74,46.04,46.03,46.74,453,95537
2013-08-22,46.99,46.83,46.19,46.26,384,75101
2013-08-23,47.02,46.95,46.31,46.88,508,84094
2013-08-26,47.35,47.07,46.89,46.97,502,95923
2013-08-27,46.56,45.68,45.64,46.45,659,142907
2013-08-28,46.55,46.38,45.44,45.89,459,92039
2013-08-29,47.27,46.94,46.23,46.23,592,149682
2013-08-30,46.86,46.42,46.28,46.86,811,215603
2013-09-03,47.58,46.12,45.56,47.01,1574,396274
2013-09-04,47.24,47.15,46.05,46.17,579,133281
2013-09-05,47.57,47.09,46.98,47.08,485,127788
