Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,16.3,16.24,16.19,16.21,123,23968
2013-01-03,16.48,16.47,16.18,16.18,108,31708
2013-01-04,16.64,16.64,16.41,16.41,51,16084
2013-01-07,16.74,16.72,16.58,16.64,97,26369
2013-01-08,16.79,16.79,16.65,16.72,55,14981
2013-01-09,16.89,16.85,16.75,16.75,116,32190
2013-01-10,16.99,16.99,16.85,16.85,123,27905
2013-01-11,16.87,16.8,16.8,16.84,78,14270
2013-01-14,16.91,16.91,16.74,16.77,140,34683
2013-01-15,16.98,16.98,16.8,16.89,82,26585
2013-01-16,17.01,17.01,16.89,16.96,47,13955
2013-01-17,17.14,17.12,16.95,17.02,62,25297
2013-01-18,17.15,17.1,17.03,17.15,45,17068
2013-01-22,17.12,17.12,17.06,17.07,46,28286
2013-01-23,17.26,17.23,17.12,17.13,80,12114
2013-01-24,17.24,17.24,17.17,17.17,41,18078
2013-01-25,17.34,17.26,17.2,17.3,48,16693
2013-01-28,17.25,17.15,17.1,17.23,58,17333
2013-01-29,17.19,17.11,17.07,17.1,84,21733
2013-01-30,17.11,17.05,16.99,17.07,41,13413
2013-01-31,17.12,17.12,17.03,17.05,65,23387
2013-02-01,17.17,17.09,17.06,17.1,58,20140
2013-02-04,17.13,16.99,16.97,17.01,64,22426
2013-02-05,17.15,17.1,17.01,17.01,34,15425
2013-02-06,17.15,17.12,17.04,17.04,32,15655
2013-02-07,17.14,17.09,17.0,17.14,48,14298
2013-02-08,17.17,17.17,17.09,17.09,61,22705
2013-02-11,17.18,17.05,17.04,17.18,39,14671
2013-02-12,17.08,17.08,17.03,17.05,70,14860
2013-02-13,17.04,17.0,16.96,17.03,49,11746
2013-02-14,17.04,17.03,16.95,16.95,58,11315
2013-02-15,17.07,17.01,16.94,17.07,33,9286
2013-02-19,17.07,16.97,16.96,17.02,62,15011
2013-02-20,16.97,16.72,16.72,16.94,148,32825
2013-02-21,16.75,16.57,16.49,16.67,170,36030
2013-02-22,16.63,16.6,16.53,16.62,93,17974
2013-02-25,16.6,16.41,16.4,16.58,175,81322
2013-02-26,16.59,16.59,16.42,16.46,132,37209
2013-02-27,16.65,16.65,16.53,16.53,57,20376
2013-02-28,16.73,16.68,16.63,16.7,100,30754
2013-03-01,16.67,16.58,16.54,16.58,150,39637
2013-03-04,16.57,16.5,16.48,16.55,214,59380
2013-03-05,16.72,16.62,16.54,16.56,164,41463
2013-03-06,16.67,16.64,16.59,16.61,380,71023
2013-03-07,16.8,16.79,16.6,16.6,152,40350
2013-03-08,16.93,16.93,16.76,16.78,83,23903
2013-03-11,17.0,16.92,16.85,16.95,188,43552
2013-03-12,16.98,16.98,16.89,16.93,103,25982
2013-03-13,16.99,16.87,16.83,16.99,96,30561
2013-03-14,16.96,16.88,16.79,16.93,111,32896
2013-03-15,16.92,16.86,16.81,16.91,87,24280
2013-03-18,16.82,16.78,16.76,16.76,152,36329
2013-03-19,16.75,16.68,16.56,16.65,122,32561
2013-03-20,16.75,16.75,16.7,16.75,119,22859
2013-03-21,16.82,16.7,16.66,16.73,152,31244
2013-03-22,16.82,16.72,16.69,16.74,99,24245
2013-03-25,16.75,16.71,16.65,16.73,80,17332
2013-03-26,16.84,16.84,16.74,16.74,91,20875
2013-03-27,16.81,16.8,16.76,16.81,77,18969
2013-03-28,16.95,16.95,16.83,16.83,109,31127
2013-04-01,17.01,16.83,16.81,16.99,76,22881
2013-04-02,16.89,16.84,16.79,16.84,118,27911
2013-04-03,16.86,16.67,16.66,16.86,103,32495
2013-04-04,16.75,16.68,16.65,16.71,90,22820
2013-04-05,16.65,16.65,16.53,16.57,104,28991
2013-04-08,16.75,16.75,16.65,16.68,93,20935
2013-04-09,16.8,16.8,16.73,16.76,48,13183
2013-04-10,16.94,16.88,16.77,16.78,104,15612
2013-04-11,17.03,17.03,16.82,16.82,161,24941
2013-04-12,16.99,16.99,16.82,16.99,121,23220
2013-04-15,16.98,16.82,16.8,16.97,67,18517
2013-04-16,16.92,16.91,16.8,16.92,61,21152
2013-04-17,16.92,16.87,16.74,16.9,121,34243
2013-04-18,16.88,16.83,16.76,16.87,98,20491
2013-04-19,16.85,16.83,16.71,16.81,86,16706
2013-04-22,16.94,16.94,16.79,16.86,97,21996
2013-04-23,17.08,17.06,16.94,17.0,119,25084
2013-04-24,17.24,17.21,17.06,17.08,112,28352
2013-04-25,17.38,17.35,17.21,17.29,78,23717
2013-04-26,17.49,17.49,17.33,17.36,147,35915
2013-04-29,17.56,17.52,17.48,17.54,39,17279
2013-04-30,17.58,17.55,17.51,17.57,47,24145
2013-05-01,17.6,17.53,17.49,17.58,170,45593
2013-05-02,17.67,17.53,17.47,17.58,85,20633
2013-05-03,17.78,17.63,17.59,17.63,65,18263
2013-05-06,17.79,17.75,17.67,17.67,34,11571
2013-05-07,17.8,17.79,17.7,17.8,41,13979
2013-05-08,17.94,17.92,17.76,17.78,64,18766
2013-05-09,18.05,18.03,17.89,17.96,111,28606
2013-05-10,18.05,18.05,17.97,18.03,68,15196
2013-05-13,18.16,18.15,17.95,17.96,96,36057
2013-05-14,18.36,18.36,18.08,18.15,42,15752
2013-05-15,18.65,18.63,18.34,18.37,142,34244
2013-05-16,18.65,18.64,18.51,18.56,55,16240
2013-05-17,18.75,18.73,18.66,18.73,96,26892
2013-05-20,18.73,18.73,18.66,18.72,64,20054
2013-05-21,18.74,18.7,18.55,18.74,69,15128
2013-05-22,18.63,18.34,18.3,18.63,53,24741
2013-05-23,18.47,18.46,18.18,18.18,38,12152
2013-05-24,18.44,18.39,18.3,18.42,73,12825
2013-05-28,18.55,18.49,18.37,18.44,84,20175
2013-05-29,18.52,18.34,18.18,18.41,135,26137
2013-05-30,18.41,18.33,18.29,18.37,71,22649
2013-05-31,18.37,17.96,17.93,18.32,165,35599
2013-06-03,17.98,17.56,17.37,17.94,198,40371
2013-06-04,17.82,17.52,17.39,17.63,102,25607
2013-06-05,17.56,17.23,17.19,17.43,140,33975
2013-06-06,17.42,17.42,17.17,17.17,145,31536
2013-06-07,17.75,17.75,17.29,17.55,210,37958
2013-06-10,17.69,17.38,17.3,17.69,128,26620
2013-06-11,17.34,17.22,17.11,17.2,147,24296
2013-06-12,17.17,16.96,16.92,17.12,126,23813
2013-06-13,17.14,17.13,16.81,16.88,71,18512
2013-06-14,17.25,17.22,17.04,17.18,167,27143
2013-06-17,17.3,17.22,17.1,17.3,95,17680
2013-06-18,17.29,17.29,17.19,17.19,50,9997
2013-06-19,17.34,17.13,17.13,17.24,107,19864
2013-06-20,17.02,16.81,16.72,16.99,92,20435
2013-06-21,16.83,16.75,16.67,16.83,74,16719
2013-06-24,16.65,16.28,16.2,16.53,152,35886
2013-06-25,16.6,16.55,16.3,16.32,98,17667
2013-06-26,16.7,16.7,16.58,16.66,23,9525
2013-06-27,16.93,16.92,16.7,16.74,64,15443
2013-06-28,16.97,16.94,16.76,16.95,67,23566
2013-07-01,17.18,17.06,17.02,17.12,124,39513
2013-07-02,17.11,17.07,16.93,17.1,68,13463
2013-07-03,17.11,16.99,16.93,16.95,75,18135
2013-07-05,17.07,16.81,16.78,17.07,93,14674
2013-07-08,16.95,16.88,16.81,16.81,34,7795
2013-07-09,16.94,16.94,16.77,16.88,80,14573
2013-07-10,17.11,17.11,16.85,16.85,99,25743
2013-07-11,17.17,17.09,17.0,17.1,92,20787
2013-07-12,17.26,17.26,17.08,17.08,74,17656
2013-07-15,17.34,17.34,17.22,17.3,65,14328
2013-07-16,17.31,17.18,17.15,17.31,79,21114
2013-07-17,17.3,17.27,17.19,17.19,54,20818
2013-07-18,17.41,17.39,17.28,17.3,34,8024
2013-07-19,17.46,17.46,17.36,17.4,52,10974
2013-07-22,17.54,17.54,17.39,17.41,65,22421
2013-07-23,17.59,17.57,17.51,17.59,77,16339
2013-07-24,17.6,17.53,17.51,17.58,43,10730
2013-07-25,17.65,17.65,17.42,17.42,49,15721
2013-07-26,17.69,17.65,17.49,17.5,68,18099
2013-07-29,17.7,17.7,17.59,17.7,41,18173
2013-07-30,17.86,17.83,17.67,17.71,67,16854
2013-07-31,17.94,17.89,17.83,17.9,63,20093
2013-08-01,18.02,18.02,17.85,17.87,57,16992
2013-08-02,18.01,18.0,17.97,17.97,25,16805
2013-08-05,18.0,18.0,17.92,17.92,309,70428
2013-08-06,17.98,17.83,17.7,17.93,63,12258
2013-08-07,18.04,17.94,17.73,17.84,30,7794
2013-08-08,18.0,17.95,17.8,18.0,67,16383
2013-08-09,18.02,17.93,17.9,17.95,46,14466
2013-08-12,18.08,17.96,17.9,17.93,74,14987
2013-08-13,17.84,17.6,17.55,17.84,34,10237
2013-08-14,17.71,17.71,17.53,17.53,20,8459
2013-08-15,17.57,17.56,17.43,17.57,26,18749
2013-08-16,17.58,17.25,17.21,17.49,29,8691
2013-08-19,17.31,16.95,16.95,17.17,56,20254
2013-08-20,17.06,17.01,16.92,16.92,36,11147
2013-08-21,17.1,17.0,16.85,16.94,35,13853
2013-08-22,17.22,17.17,17.07,17.07,37,7900
2013-08-23,17.28,17.21,17.15,17.15,25,8519
2013-08-26,17.36,17.31,17.18,17.18,24,9400
2013-08-27,17.25,17.17,17.1,17.11,21,10648
2013-08-28,17.23,17.21,17.06,17.11,53,14045
2013-08-29,17.18,17.15,17.07,17.14,40,17596
2013-08-30,17.23,17.2,17.13,17.2,42,14254
2013-09-03,17.36,17.34,17.14,17.24,32,10992
2013-09-04,17.44,17.42,17.28,17.31,29,8795
2013-09-05,17.53,17.53,17.38,17.41,29,9458
2013-09-06,17.51,17.49,17.31,17.5,51,10773
2013-09-09,17.5,17.5,17.39,17.43,32,16305
2013-09-10,17.61,17.58,17.51,17.53,51,13725
2013-09-11,17.51,17.42,17.39,17.51,61,14594
2013-09-12,17.43,17.39,17.27,17.37,48,13666
2013-09-13,17.4,17.37,17.28,17.33,72,21143
2013-09-16,17.58,17.47,17.42,17.5,46,11816
2013-09-17,17.53,17.42,17.4,17.5,74,17586
2013-09-18,17.65,17.64,17.45,17.45,38,11891
2013-09-19,17.65,17.56,17.53,17.61,84,14183
2013-09-20,17.54,17.43,17.42,17.51,74,16876
2013-09-23,17.45,17.38,17.35,17.38,38,7713
2013-09-24,17.44,17.44,17.33,17.33,23,8462
2013-09-25,17.51,17.51,17.39,17.41,52,12490
2013-09-26,17.6,17.57,17.47,17.51,18,7449
2013-09-27,17.5,17.47,17.45,17.45,26,8657
2013-09-30,17.62,17.59,17.48,17.48,52,16642
2013-10-01,17.67,17.65,17.47,17.5,33,12011
2013-10-02,17.6,17.52,17.45,17.51,52,14246
2013-10-03,17.57,17.35,17.35,17.47,47,15755
2013-10-04,17.62,17.6,17.29,17.29,66,16134
2013-10-07,17.59,17.52,17.47,17.59,15,6050
2013-10-08,17.47,17.34,17.26,17.47,34,11025
2013-10-09,17.37,17.21,17.14,17.36,47,11828
2013-10-10,17.62,17.44,17.1,17.1,67,20304
2013-10-11,17.46,17.45,17.29,17.29,45,15896
2013-10-14,17.59,17.59,17.41,17.41,19,6509
2013-10-15,17.54,17.35,17.35,17.53,45,11206
2013-10-16,17.5,17.48,17.35,17.45,67,16990
2013-10-17,17.66,17.66,17.41,17.43,39,12916
2013-10-18,17.8,17.74,17.59,17.59,27,17844
2013-10-21,17.82,17.8,17.65,17.79,27,9857
2013-10-22,17.9,17.89,17.75,17.84,54,15604
2013-10-23,17.93,17.89,17.71,17.93,99,16574
2013-10-24,17.86,17.86,17.78,17.86,36,10098
2013-10-25,17.98,17.97,17.82,17.84,55,14814
2013-10-28,17.98,17.93,17.88,17.92,72,15408
2013-10-29,18.03,17.94,17.93,18.0,40,11044
2013-10-30,17.95,17.81,17.74,17.95,52,17357
2013-10-31,17.85,17.81,17.71,17.84,56,18644
2013-11-01,17.86,17.77,17.7,17.8,52,13618
2013-11-04,17.79,17.74,17.71,17.77,38,12416
2013-11-05,17.73,17.65,17.61,17.73,28,13612
2013-11-06,17.7,17.59,17.58,17.66,99,41102
2013-11-07,17.56,17.47,17.46,17.56,71,16331
2013-11-08,17.5,17.5,17.4,17.43,94,29024
2013-11-11,17.64,17.62,17.45,17.45,78,19053
2013-11-12,17.59,17.58,17.49,17.55,86,25500
2013-11-13,17.56,17.54,17.45,17.48,63,18083
2013-11-14,17.71,17.71,17.51,17.52,76,18701
2013-11-15,17.8,17.8,17.63,17.75,63,30402
2013-11-18,17.83,17.76,17.76,17.77,54,15952
2013-11-19,17.79,17.79,17.68,17.71,94,22932
2013-11-20,17.83,17.81,17.75,17.83,81,22106
2013-11-21,17.84,17.77,17.75,17.78,42,9515
2013-11-22,17.87,17.84,17.78,17.78,86,20840
2013-11-25,17.91,17.87,17.82,17.82,83,21581
2013-11-26,17.97,17.94,17.79,17.83,80,22929
2013-11-27,18.05,18.05,17.96,17.98,32,14165
2013-11-29,18.17,18.17,18.04,18.08,34,15970
2013-12-02,18.24,18.24,18.08,18.11,76,19208
2013-12-03,18.12,18.0,17.97,18.12,57,14859
2013-12-04,18.04,18.01,17.82,17.89,90,25994
