Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-05-17,25.14,25.13,25.07,25.12,458,418222
2018-05-18,25.24,25.24,25.1,25.14,467,528161
2018-05-21,25.27,25.18,25.17,25.25,313,215942
2018-05-22,25.22,25.19,25.18,25.21,154,116057
2018-05-23,25.26,25.26,25.2,25.2,303,178447
2018-05-24,25.35,25.35,25.27,25.27,244,230897
2018-05-25,25.42,25.34,25.33,25.35,262,271120
2018-05-29,25.415,25.38,25.32,25.34,433,131504
2018-05-30,25.44,25.43,25.37,25.39,360,173837
2018-05-31,25.56,25.42,25.42,25.44,455,539607
2018-06-01,25.53,25.53,25.44,25.45,207,127172
2018-06-04,25.64,25.62,25.56,25.59,472,195531
2018-06-05,25.78,25.72,25.65,25.65,455,157071
2018-06-06,25.79,25.69,25.67,25.72,467,123462
2018-06-07,25.78,25.78,25.67,25.7,477,135123
2018-06-08,25.8,25.79,25.73,25.78,254,150867
2018-06-11,25.83,25.76,25.75,25.81,205,110816
2018-06-12,25.79,25.75,25.69,25.74,312,115396
2018-06-13,25.75,25.73,25.69,25.72,209,75485
2018-06-14,25.79,25.78,25.74,25.75,319,104499
2018-06-15,25.8,25.76,25.72,25.8,261,78381
2018-06-18,25.8,25.75,25.75,25.8,100,51953
2018-06-19,25.78,25.71,25.7,25.75,225,76527
2018-06-20,25.75,25.71,25.67,25.74,94,56900
2018-06-21,25.7,25.58,25.56,25.7,287,100258
2018-06-22,25.74,25.74,25.6,25.6,210,101915
2018-06-25,25.8,25.77,25.72,25.76,354,61875
2018-06-26,25.86,25.78,25.77,25.8,268,75078
2018-06-27,25.88,25.83,25.78,25.86,303,113992
2018-06-28,25.99,25.98,25.86,25.86,311,128931
2018-06-29,26.13,26.12,25.95,25.95,535,216837
2018-07-02,26.14,26.14,26.04,26.14,265,317062
2018-07-03,26.35,26.35,26.1,26.1,150,52464
2018-07-05,26.44,26.43,26.25,26.28,176,58895
2018-07-06,26.49,26.44,26.36,26.45,204,55365
2018-07-09,26.44,26.39,26.28,26.44,257,95928
2018-07-10,26.53,26.52,26.38,26.39,358,88223
2018-07-11,26.52,26.41,26.35,26.52,278,89908
2018-07-12,26.43,26.37,26.33,26.42,288,76002
2018-07-13,26.4,26.39,26.29,26.4,324,86714
2018-07-16,26.36,26.13,26.09,26.34,268,72752
2018-07-17,25.94,25.9,25.74,25.76,1002,272814
2018-07-18,26.05,26.0,25.87,25.87,523,185736
2018-07-19,26.04,26.02,26.01,26.03,363,109552
