Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-12-06,24.74,24.6,24.5,24.52,35,20138
2018-12-07,24.91,24.9,24.65,24.67,52,52707
2018-12-10,24.77,24.64,23.69,24.75,35,12486
2018-12-11,24.93,24.93,24.74,24.75,29,8033
2018-12-12,24.95,24.95,24.68,24.95,81,49789
2018-12-13,25.1,25.0,24.945,24.99,31,65820
2018-12-14,25.03,24.9,24.9,25.03,20,5306
2018-12-17,25.1,24.89,24.845,25.1,32,20245
2018-12-18,25.05,24.51,24.51,25.02,63,11268
2018-12-19,25.05,24.12,23.57,24.73,230,30206
2018-12-20,24.08,23.9,23.66,23.83,51,7659
2018-12-21,23.9,23.35,22.04,23.9,99,24687
2018-12-24,23.45,23.34,23.03,23.45,8,1590
2018-12-26,23.4,23.4,22.85,23.4,32,12740
2018-12-27,23.25,22.9,22.9,23.25,24,6171
2018-12-28,23.48,23.06,22.5,22.5,85,20157
2018-12-31,23.8,23.77,22.71,23.21,89,25795
2019-01-02,24.45,24.385,23.79,23.79,106,27098
2019-01-03,24.5,24.48,24.055,24.39,26,4673
2019-01-04,24.57,24.44,24.28,24.5,50,12388
2019-01-07,24.779,24.69,24.65,24.7,55,24391
2019-01-08,25.0,24.95,24.88,24.88,51,15665
2019-01-09,25.05,25.0,24.94,25.0,36,44444
2019-01-10,25.05,25.02,24.85,25.01,78,16246
2019-01-11,25.07,25.04,25.04,25.05,22,3952
2019-01-14,25.1,25.0,25.0,25.1,18,6833
2019-01-15,25.17,25.07,25.07,25.17,22,6968
2019-01-16,25.2,25.07,24.96,25.2,48,10035
2019-01-17,25.4,25.1,25.1,25.24,21,6268
2019-01-18,25.21,25.05,25.05,25.15,23,7020
2019-01-22,25.19,25.1,25.06,25.19,19,4196
2019-01-23,25.25,25.2,25.1,25.25,32,11393
2019-01-24,25.4,25.2,25.2,25.2,19,9130
2019-01-25,25.4,25.4,25.25,25.25,23,5500
2019-01-28,25.44,25.4,25.33,25.42,47,6719
2019-01-29,25.56,25.3,25.23,25.45,53,9774
2019-01-30,25.58,25.41,25.3,25.3,45,7315
2019-01-31,25.6,25.6,25.3,25.55,74,35497
2019-02-01,25.55,25.471,25.471,25.55,17,2678
2019-02-04,25.73,25.7,25.56,25.56,26,7562
2019-02-05,25.6,25.54,25.54,25.551,22,3663
2019-02-06,25.4,25.4,25.3,25.39,19,2461
2019-02-07,25.55,25.55,25.4,25.4,11,2702
2019-02-08,25.49,25.4,25.4,25.46,12,3137
2019-02-11,25.465,25.4,25.4,25.45,14,4319
2019-02-12,25.97,25.89,25.5,25.5,50,6747
2019-02-13,26.0,25.98,25.8,25.97,28,6375
2019-02-14,26.0,25.8,25.8,25.82,24,6128
2019-02-15,26.2,26.2,25.8,25.8,18,3225
2019-02-19,26.2,25.64,25.62,26.2,104,10655
2019-02-20,25.74,25.58,25.54,25.62,46,11096
