Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,29.25,29.22,28.81,28.86,509,136914
2013-01-03,29.5,29.34,28.89,29.28,300,67609
2013-01-04,30.2,29.96,29.4,29.42,434,98265
2013-01-07,29.93,29.6,29.5,29.91,254,52806
2013-01-08,29.52,29.31,29.12,29.51,245,66166
2013-01-09,31.33,31.24,30.06,30.06,673,156954
2013-01-10,31.39,31.01,30.98,31.39,431,79122
2013-01-11,31.23,31.1,30.9,31.09,210,62909
2013-01-14,31.46,31.43,31.08,31.12,140,38069
2013-01-15,31.44,31.38,31.07,31.31,201,41733
2013-01-16,31.35,31.29,31.01,31.35,244,81656
2013-01-17,31.97,31.86,31.19,31.39,197,42381
2013-01-18,31.91,31.91,31.53,31.83,227,71228
2013-01-22,32.13,32.09,31.79,31.91,137,53199
2013-01-23,32.05,31.86,31.73,32.05,217,40395
2013-01-24,32.26,32.26,31.71,31.83,331,90838
2013-01-25,32.46,32.46,32.01,32.3,290,59321
2013-01-28,32.5,32.03,31.98,32.46,314,59049
2013-01-29,32.18,32.18,31.92,32.1,320,70097
2013-01-30,32.27,31.87,31.71,32.23,344,71736
2013-01-31,32.08,31.7,31.69,31.84,291,84621
2013-02-01,32.32,32.22,31.82,31.88,258,48868
2013-02-04,32.07,31.45,31.43,31.98,355,80508
2013-02-05,32.39,31.93,31.5,31.63,318,58240
2013-02-06,31.96,31.93,31.71,31.73,316,52934
2013-02-07,32.04,31.5,31.45,31.94,298,53354
2013-02-08,32.21,32.2,31.55,31.55,272,55818
2013-02-11,32.23,31.7,31.69,32.23,166,33387
2013-02-12,31.95,31.83,31.65,31.69,235,42278
2013-02-13,32.23,32.23,31.83,31.86,276,56302
2013-02-14,33.14,32.24,32.1,32.25,592,120449
2013-02-15,30.9,30.04,29.6,30.64,1395,324013
2013-02-19,30.02,30.0,29.43,30.0,506,124550
2013-02-20,30.03,29.09,29.06,29.93,522,112716
2013-02-21,29.07,28.66,28.42,29.0,544,139800
2013-02-22,29.13,29.07,28.79,28.85,336,75363
2013-02-25,29.12,28.72,28.68,29.12,433,81400
2013-02-26,29.12,28.99,28.52,28.75,555,100587
2013-02-27,29.42,29.23,28.97,29.0,477,77902
2013-02-28,29.64,29.4,29.19,29.2,400,75438
2013-03-01,29.37,29.18,28.9,29.26,333,71219
2013-03-04,29.36,28.75,28.5,29.17,813,192228
2013-03-05,30.23,30.01,28.91,28.98,574,124161
2013-03-06,30.24,30.05,29.55,30.01,420,92095
2013-03-07,30.05,29.96,29.72,30.05,319,60647
2013-03-08,30.52,30.52,30.01,30.35,401,92281
2013-03-11,30.58,30.35,30.22,30.41,284,65817
2013-03-12,30.2,29.84,29.75,30.2,359,69379
2013-03-13,30.17,30.04,29.79,29.79,184,47327
2013-03-14,30.41,30.24,30.03,30.07,238,50622
2013-03-15,30.33,30.25,30.15,30.29,188,155259
2013-03-18,30.29,30.22,29.88,29.88,198,63708
2013-03-19,30.39,30.13,29.99,30.19,243,64206
