Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-30,9.71,9.71,9.71,9.71,1,10
2021-05-03,9.83,9.83,9.83,9.83,1,250
2021-05-04,10.0,9.94,9.94,10.0,4,56
2021-05-05,9.89,9.89,9.69,9.83,76,50420
2021-05-06,9.89,9.89,9.71,9.81,6,509
2021-05-07,9.84,9.84,9.79,9.79,9,2800
2021-05-10,9.9,9.9,9.9,9.9,1,1
2021-05-14,9.71,9.71,9.71,9.71,1,3
2021-05-19,9.92,9.92,9.71,9.71,13,1287
2021-05-20,9.8,9.8,9.8,9.8,1,6
2021-05-24,9.85,9.85,9.85,9.85,1,5
2021-05-25,9.85,9.85,9.83,9.83,3,9638
2021-05-26,9.85,9.85,9.84,9.85,7,3163
2021-05-27,9.85,9.85,9.85,9.85,1,21
2021-06-01,9.85,9.85,9.85,9.85,5,180
2021-06-02,9.78,9.78,9.78,9.78,4,1425
2021-06-03,9.78,9.78,9.78,9.78,6,16
2021-06-04,9.78,9.7525,9.7525,9.78,3,100005
2021-06-07,9.9,9.9,9.79,9.79,5,160
2021-06-08,9.95,9.67,9.67,9.95,4,21
2021-06-09,9.95,9.95,9.95,9.95,3,4
2021-06-10,9.8,9.75,9.75,9.8,8,800
2021-06-11,9.8,9.8,9.8,9.8,2,90
2021-06-14,9.78,9.78,9.78,9.78,1,28
2021-06-15,9.8,9.8,9.78,9.78,8,450
2021-06-16,9.75,9.75,9.71,9.75,14,2715
2021-06-17,9.75,9.75,9.75,9.75,2,85
2021-06-18,9.75,9.73,9.73,9.75,3,1347
2021-06-21,9.75,9.74,9.74,9.75,2,43
2021-06-22,9.66,9.66,9.66,9.66,2,11
2021-06-23,9.75,9.7,9.7,9.75,2,641
2021-06-24,9.7,9.7,9.65,9.65,7,1743
2021-06-25,9.72,9.72,9.71,9.71,3,810
2021-06-28,9.72,9.7,9.7,9.71,13,3218
2021-06-30,9.71,9.7,9.7,9.71,132,28538
2021-07-01,9.7,9.7,9.7,9.7,4,319
2021-07-02,9.7,9.7,9.7,9.7,2,46
2021-07-07,9.65,9.65,9.65,9.65,1,556
2021-07-08,9.7,9.7,9.7,9.7,5,365
2021-07-12,9.79,9.72,9.71,9.79,5,1643
2021-07-13,9.71,9.65,9.65,9.71,2,459
2021-07-15,9.65,9.65,9.65,9.65,3,685
2021-07-19,9.65,9.65,9.65,9.65,1,1000
2021-07-21,9.65,9.65,9.65,9.65,1,849
2021-07-22,9.79,9.65,9.65,9.79,3,844
2021-07-23,9.79,9.79,9.65,9.79,12,1221
2021-07-26,9.71,9.71,9.71,9.71,1,120
2021-07-27,9.79,9.79,9.65,9.675,51,39066
2021-07-28,9.72,9.71,9.69,9.69,3,819
2021-07-29,9.69,9.69,9.69,9.69,1,10
2021-08-04,9.75,9.75,9.75,9.75,1,35
2021-08-06,9.68,9.68,9.68,9.68,1,15
2021-08-09,9.93,9.93,9.8,9.8,5,567
2021-08-10,9.68,9.68,9.67,9.67,2,402
2021-08-11,9.72,9.72,9.68,9.68,2,40
2021-08-12,9.68,9.63,9.63,9.68,3,746
2021-08-13,9.69,9.69,9.68,9.68,2,2
2021-08-16,9.71,9.71,9.63,9.63,3,524
2021-08-18,9.69,9.69,9.64,9.64,5,138
2021-08-19,9.64,9.64,9.64,9.64,34,612
2021-08-20,9.67,9.67,9.65,9.65,9,1541
2021-08-23,9.67,9.63,9.63,9.67,16,1645
2021-08-24,9.64,9.62,9.62,9.63,18,3890
2021-08-25,9.71,9.63,9.63,9.71,2,2
2021-08-26,9.69,9.67,9.67,9.69,2,155
2021-08-27,9.68,9.63,9.63,9.68,4,112
2021-08-30,9.63,9.62,9.62,9.63,8,2397
2021-08-31,9.62,9.62,9.62,9.62,5,1101
2021-09-01,9.65,9.65,9.61,9.64,8,3423
2021-09-07,9.68,9.68,9.65,9.65,17,3169
2021-09-08,9.64,9.64,9.63,9.63,18,380
2021-09-09,9.68,9.68,9.68,9.68,7,1629
2021-09-10,9.72,9.67,9.67,9.68,5,208
2021-09-13,9.84,9.76,9.71,9.71,16,5250
2021-09-14,9.77,9.66,9.66,9.75,50,35947
2021-09-15,9.75,9.72,9.72,9.75,6,5347
2021-09-16,9.75,9.73,9.73,9.75,13,1303
2021-09-17,9.95,9.75,9.71,9.75,82,29657
2021-09-20,9.75,9.75,9.7,9.74,18,3643
2021-09-21,9.87,9.75,9.75,9.87,6,600
2021-09-22,9.75,9.73,9.73,9.75,10,984
2021-09-23,9.87,9.84,9.75,9.75,43,11453
2021-09-24,9.88,9.76,9.73,9.8,45,22550
2021-09-27,9.8,9.8,9.77,9.79,4,1800
2021-09-28,9.89,9.77,9.73,9.8,58,32972
2021-09-29,9.78,9.78,9.78,9.78,1,11
2021-09-30,9.8,9.78,9.7,9.75,26,19724
2021-10-01,9.78,9.78,9.75,9.75,21,11882
2021-10-04,9.8,9.8,9.71,9.8,10,1566
2021-10-05,9.76,9.76,9.76,9.76,1,15
2021-10-07,9.77,9.77,9.76,9.76,30,2802
2021-10-08,9.77,9.77,9.77,9.77,2,117
2021-10-11,9.77,9.77,9.77,9.77,3,122
2021-10-12,9.76,9.76,9.68,9.71,35,2685
2021-10-13,9.77,9.74,9.7,9.77,42,9578
2021-10-14,9.74,9.74,9.7,9.74,8,506
2021-10-15,9.76,9.76,9.74,9.74,2,119
2021-10-18,9.73,9.73,9.7,9.7,6,251
2021-10-19,9.7,9.7,9.7,9.7,11,239
2021-10-20,,,,,1,45
2021-10-21,9.77,9.76,9.75,9.77,22,695
2021-10-22,9.75,9.72,9.72,9.75,17,754
2021-10-25,9.75,9.74,9.72,9.72,12,680
2021-10-26,9.75,9.75,9.73,9.73,9,365
2021-10-27,9.8,9.8,9.73,9.75,39,87344
2021-10-28,9.82,9.8,9.78,9.79,114,48100
2021-10-29,9.8,9.8,9.7,9.76,185,93942
2021-11-01,9.89,9.82,9.78,9.8,287,98164
2021-11-02,15.74,11.33,11.0,14.47,128269,22704981
2021-11-03,11.12,10.34,10.28,11.1,12987,2649032
2021-11-04,10.6,10.42,10.23,10.55,3110,765137
2021-11-05,10.5,10.44,10.25,10.48,2114,355017
2021-11-08,10.5,10.36,10.28,10.5,2081,378782
2021-11-09,10.32,10.23,10.18,10.32,1338,269086
2021-11-10,10.2,10.09,10.05,10.2,1403,437030
2021-11-11,10.47,10.17,10.12,10.17,1605,323873
2021-11-12,10.39,10.38,10.22,10.22,1217,275367
2021-11-15,10.44,10.39,10.34,10.43,1164,181917
