Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,36.58,36.19,36.08,36.5,1242,347524
2013-01-03,36.39,35.0,34.89,36.1,1399,231644
2013-01-04,35.21,35.13,34.46,34.8,1787,307499
2013-01-07,35.27,34.89,34.67,34.93,989,158368
2013-01-08,35.02,34.46,34.24,34.96,826,197656
2013-01-09,34.67,34.36,34.04,34.52,702,139347
2013-01-10,35.13,35.02,34.65,34.7,580,105075
2013-01-11,35.45,34.88,34.77,35.0,575,108772
2013-01-14,35.32,35.1,34.86,35.07,841,142087
2013-01-15,35.54,34.97,34.74,35.16,1066,211156
2013-01-16,35.22,35.18,34.65,34.83,473,95031
2013-01-17,35.33,35.1,34.51,35.0,494,122648
2013-01-18,35.39,35.2,35.06,35.23,642,160654
2013-01-22,35.15,34.89,34.67,35.15,1450,330552
2013-01-23,34.63,33.16,33.08,34.49,2037,506126
2013-01-24,33.02,31.76,31.67,32.89,2657,633239
2013-01-25,31.62,31.24,30.85,31.53,3511,694736
2013-01-28,31.24,30.33,30.29,31.2,1999,359354
2013-01-29,30.84,30.4,30.17,30.8,2098,444180
2013-01-30,31.0,29.99,29.9,30.8,2447,464819
2013-01-31,30.03,29.59,29.51,29.81,1325,366852
2013-02-01,30.39,29.56,29.37,29.96,1328,238343
2013-02-04,29.74,29.06,28.98,29.4,1361,256399
2013-02-05,29.19,28.18,28.11,29.14,3051,736574
2013-02-06,28.97,28.46,28.31,28.41,2576,657054
2013-02-07,29.02,28.66,28.15,28.3,1153,182392
2013-02-08,28.69,28.46,28.33,28.64,638,137472
2013-02-11,28.24,27.09,26.94,28.24,2438,461088
2013-02-12,27.6,27.24,26.71,27.14,1733,323192
2013-02-13,27.34,27.02,26.94,27.23,953,192333
2013-02-14,27.48,27.2,27.03,27.04,1489,303602
2013-02-15,27.28,27.08,26.8,26.84,1646,323550
2013-02-19,27.17,26.87,26.64,26.79,1374,323754
2013-02-20,26.38,25.82,25.63,26.35,1825,385151
2013-02-21,26.8,26.06,25.88,25.88,1721,331207
2013-02-22,26.18,25.81,25.51,26.05,1292,299073
2013-02-25,26.4,26.11,25.71,26.12,2029,440012
2013-02-26,26.81,26.38,26.01,26.14,1413,269780
2013-02-27,26.24,25.86,25.72,26.08,1176,240182
2013-02-28,26.04,25.62,25.44,25.9,1221,310959
2013-03-01,25.67,25.5,24.89,25.43,1915,405088
2013-03-04,25.58,24.44,24.4,25.58,1653,561315
2013-03-05,24.91,24.46,24.36,24.56,1000,236798
2013-03-06,25.48,25.44,24.01,24.29,2117,419943
2013-03-07,26.26,25.23,25.11,25.61,1408,262626
2013-03-08,25.54,24.85,24.54,24.88,1933,438495
2013-03-11,25.14,25.05,24.6,24.93,1203,283330
2013-03-12,25.64,25.28,24.99,25.41,1586,308720
2013-03-13,25.42,24.88,24.65,25.34,1526,286955
2013-03-14,25.06,25.0,24.55,24.74,1619,360273
2013-03-15,25.42,25.06,24.85,24.99,1495,2113503
2013-03-18,25.62,25.11,25.0,25.26,1135,254712
2013-03-19,25.49,25.29,25.02,25.02,1286,275990
2013-03-20,25.44,25.34,25.05,25.17,813,201663
2013-03-21,26.46,26.26,25.39,25.47,1690,311707
2013-03-22,26.57,25.89,25.84,26.22,1050,256793
2013-03-25,25.8,25.52,25.03,25.71,915,240261
2013-03-26,25.66,25.26,25.0,25.51,1134,217043
2013-03-27,25.71,25.66,25.21,25.27,1235,324677
2013-03-28,26.03,25.96,25.21,25.65,713,177797
2013-04-01,26.0,25.5,25.1,26.0,1201,215415
2013-04-02,25.44,24.92,24.88,25.32,1259,343595
2013-04-03,25.4,24.67,24.43,24.89,1582,362293
2013-04-04,25.66,25.43,24.21,24.52,1861,345619
2013-04-05,26.1,24.64,24.56,25.81,2372,476800
2013-04-08,24.67,24.15,23.88,24.64,1265,281803
2013-04-09,25.42,24.82,24.03,24.29,2222,504125
2013-04-10,24.9,24.32,24.21,24.62,1113,267854
2013-04-11,24.6,23.95,23.91,24.01,859,195775
2013-04-12,24.15,23.55,22.73,23.41,2612,498643
2013-04-15,23.4,21.4,21.24,22.09,5393,1234196
2013-04-16,21.88,21.28,21.05,21.87,2781,636052
2013-04-17,21.33,20.25,20.19,21.0,3657,819516
2013-04-18,21.19,20.65,20.27,20.55,3584,716553
2013-04-19,21.29,21.21,20.58,21.14,1985,384029
2013-04-22,21.71,21.33,20.98,21.66,1306,322742
2013-04-23,21.2,20.73,20.65,21.2,2075,393165
2013-04-24,21.86,21.73,20.77,20.98,2813,598327
2013-04-25,22.31,21.61,21.44,22.31,2877,597550
2013-04-26,21.78,20.88,20.45,21.65,2172,398982
2013-04-29,21.59,21.22,21.03,21.39,1538,321351
2013-04-30,20.27,20.02,19.44,20.01,2668,789299
2013-05-01,20.68,20.46,19.5,19.77,2736,540399
2013-05-02,20.89,20.07,20.06,20.66,1430,344678
2013-05-03,20.22,19.62,19.57,20.1,2473,538161
2013-05-06,19.82,19.51,19.44,19.7,1106,203077
2013-05-07,19.43,19.26,19.07,19.22,1833,455644
