Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-01,26.3,26.3,25.8,25.8,38,7733
2021-07-02,26.19,26.19,25.95,25.95,40,7475
2021-07-06,26.3,26.29,26.2,26.25,14,4375
2021-07-07,26.45,26.25,26.25,26.45,12,4662
2021-07-08,26.35,26.35,26.15,26.15,24,42620
2021-07-09,26.4,26.4,26.35,26.35,5,469
2021-07-12,26.4,26.35,26.3,26.4,21,38953
2021-07-13,26.3,26.25,26.25,26.3,5,878
2021-07-14,26.4,26.4,26.39,26.4,12,4750
2021-07-15,26.35,26.25,26.06,26.35,43,12829
2021-07-16,26.4,26.35,26.35,26.4,11,1799
2021-07-19,26.1,26.01,26.0,26.02,7,2331
2021-07-20,26.32,26.32,26.32,26.32,1,1000
2021-07-21,,,,,2,32
2021-07-22,26.65,26.65,26.1,26.5,16,1838
2021-07-23,27.29,26.47,26.33,27.29,12,2366
2021-07-26,26.79,26.79,26.6,26.6,8,8
2021-07-27,26.77,26.5,26.48,26.77,3,112
2021-07-28,26.55,26.5,26.49,26.5,18,2460
2021-07-29,26.55,26.55,26.55,26.55,,
2021-07-30,26.6,26.6,26.4,26.475,18,333649
2021-08-02,26.56,26.3,26.28,26.56,36,7610
2021-08-03,26.27,26.27,26.26,26.27,3,370
2021-08-04,26.4,26.4,26.3,26.3,11,1341
2021-08-05,26.44,26.25,26.2,26.44,65,10094
2021-08-06,26.47,26.015,26.015,26.47,18,2077
2021-08-09,26.13,25.99,25.94,26.08,155,25354
2021-08-10,25.86,25.75,25.4,25.86,51,6640
2021-08-11,25.9,25.9,25.75,25.82,16,1617
2021-08-12,26.04,26.04,25.72,25.72,113,731
2021-08-13,26.02,25.99,25.99,26.02,4,257
2021-08-16,25.67,25.62,25.6,25.67,15,2246
2021-08-17,25.81,25.67,25.67,25.81,6,257
2021-08-18,25.66,25.65,25.65,25.66,9,574
2021-08-19,25.795,25.795,25.55,25.55,8,1072
2021-08-20,26.21,26.21,25.81,25.81,26,4377
2021-08-23,26.25,26.25,26.25,26.25,3,285
2021-08-24,26.26,26.2,26.2,26.26,1,2
2021-08-25,26.21,26.2,26.2,26.21,49,14255
2021-08-26,26.35,26.3,26.3,26.35,2,17
2021-08-27,26.41,26.4,26.4,26.41,4,135
2021-08-30,26.45,26.45,26.26,26.38,10,520
2021-08-31,26.54,26.4,26.26,26.26,27,1279
2021-09-01,26.4,26.4,26.4,26.4,19,1777
2021-09-02,27.14,27.02,26.82,26.82,19,1134
2021-09-03,26.94,26.94,26.94,26.94,5,126
2021-09-08,26.71,26.71,26.71,26.71,1,1
