Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,26.7,26.58,26.31,26.57,1270,250708
2013-01-03,27.43,27.05,26.59,26.65,1815,366283
2013-01-04,27.25,27.22,26.58,27.14,1440,413488
2013-01-07,27.45,27.25,27.08,27.11,1066,236462
2013-01-08,27.63,27.41,27.03,27.26,944,226097
2013-01-09,27.59,27.44,27.31,27.49,739,156556
2013-01-10,27.66,27.66,27.33,27.56,844,180312
2013-01-11,27.92,27.61,27.42,27.68,763,185711
2013-01-14,28.05,27.5,27.49,27.71,876,220325
2013-01-15,27.52,27.34,27.3,27.44,861,223725
2013-01-16,27.4,27.2,26.89,27.23,910,213666
2013-01-17,28.09,27.61,27.4,27.44,1153,240155
2013-01-18,27.59,27.57,27.3,27.55,518,112390
2013-01-22,27.8,27.76,27.56,27.6,644,148804
2013-01-23,27.89,27.76,27.64,27.69,593,109733
2013-01-24,27.93,27.76,27.66,27.75,438,89569
2013-01-25,28.05,28.02,27.76,27.89,736,135764
2013-01-28,28.17,27.8,27.53,28.07,724,162117
2013-01-29,28.22,28.1,27.75,27.75,838,156540
2013-01-30,28.45,28.1,27.98,28.01,858,163778
2013-01-31,28.23,28.14,28.0,28.0,589,171404
2013-02-01,28.65,28.45,28.22,28.27,673,147842
2013-02-04,28.42,28.13,27.71,28.27,1053,233202
2013-02-05,29.14,28.68,28.3,28.3,1992,375896
2013-02-06,28.78,28.7,28.52,28.66,1134,217414
2013-02-07,28.96,28.68,28.41,28.67,1128,225831
2013-02-08,29.4,29.4,28.7,28.71,940,191877
2013-02-11,29.38,29.35,29.06,29.37,596,103497
2013-02-12,29.38,29.2,29.15,29.32,630,111073
2013-02-13,29.44,29.29,29.18,29.28,824,193123
2013-02-14,29.42,29.42,29.16,29.22,563,136870
2013-02-15,29.68,29.42,29.36,29.38,566,107786
2013-02-19,29.64,29.49,29.23,29.39,1111,219863
2013-02-20,29.55,28.8,28.7,29.4,1357,263454
2013-02-21,28.4,28.04,27.37,27.65,2254,437456
2013-02-22,28.26,28.25,27.83,28.21,936,176278
2013-02-25,28.34,27.52,27.52,28.34,880,178679
2013-02-26,27.8,27.5,27.38,27.58,615,137741
2013-02-27,28.17,27.9,27.46,27.46,799,176348
2013-02-28,27.99,27.8,27.7,27.7,972,225951
2013-03-01,27.72,27.41,27.3,27.66,1579,360766
2013-03-04,27.38,27.14,26.36,27.0,2266,455742
2013-03-05,27.71,27.68,27.13,27.19,880,154428
2013-03-06,27.94,27.85,27.55,27.79,790,166229
2013-03-07,27.92,27.19,27.18,27.88,979,229690
2013-03-08,27.74,27.74,27.35,27.37,618,157415
2013-03-11,27.73,27.26,27.19,27.59,798,159359
2013-03-12,27.46,27.22,27.11,27.25,730,139019
2013-03-13,27.75,27.7,27.25,27.26,726,125869
2013-03-14,28.15,28.01,27.75,27.84,567,119196
2013-03-15,28.18,28.01,27.99,28.0,804,361989
2013-03-18,28.03,27.84,27.69,27.69,547,106822
2013-03-19,27.98,27.88,27.71,27.88,640,112572
2013-03-20,28.69,28.62,28.05,28.05,631,111478
2013-03-21,28.95,28.87,28.36,28.48,904,216552
2013-03-22,29.17,29.06,28.9,28.9,705,187240
2013-03-25,29.26,28.79,28.69,29.13,781,166662
2013-03-26,29.15,29.12,28.88,28.89,416,83782
2013-03-27,29.47,29.47,28.81,28.89,578,109142
2013-03-28,29.75,29.44,29.15,29.52,608,171682
2013-04-01,29.51,29.4,29.06,29.33,931,215358
2013-04-02,29.74,29.3,29.26,29.48,619,122950
2013-04-03,29.53,28.86,28.48,29.37,1050,187571
2013-04-04,28.92,28.77,28.35,28.92,948,199177
2013-04-05,28.89,28.88,28.16,28.46,404,91208
2013-04-08,29.24,29.14,28.91,28.91,352,74597
2013-04-09,29.26,29.06,28.96,29.2,499,119088
2013-04-10,29.36,29.15,29.13,29.15,486,105966
2013-04-11,29.5,29.29,29.14,29.19,388,92965
2013-04-12,29.47,29.38,29.17,29.17,288,69820
2013-04-15,29.4,28.66,28.63,29.27,892,243402
2013-04-16,28.94,28.93,28.78,28.87,654,109434
2013-04-17,28.87,28.62,28.31,28.74,797,149080
2013-04-18,28.87,28.79,28.58,28.65,922,161180
2013-04-19,29.22,29.1,28.71,28.9,589,110795
2013-04-22,29.35,29.3,28.77,29.25,466,81970
2013-04-23,29.49,29.24,28.98,29.3,527,119276
2013-04-24,29.49,28.91,28.9,29.26,446,103900
2013-04-25,29.18,29.1,28.97,28.98,638,116872
2013-04-26,29.37,29.36,28.98,29.13,503,82465
2013-04-29,30.6,30.53,29.42,29.5,1316,295766
2013-04-30,30.92,30.89,30.3,30.5,1056,398714
2013-05-01,31.06,30.93,30.47,30.73,1332,259594
2013-05-02,31.77,31.02,30.99,31.08,812,183458
2013-05-03,31.65,30.94,30.91,31.39,982,211837
2013-05-06,31.08,30.85,30.7,30.93,1087,231188
2013-05-07,31.43,30.79,30.72,31.0,989,209108
2013-05-08,30.94,30.49,30.24,30.9,901,212195
2013-05-09,30.76,30.08,30.04,30.37,705,184350
2013-05-10,30.27,30.14,29.8,30.07,581,129608
2013-05-13,30.2,30.15,29.85,30.04,482,126456
2013-05-14,30.57,30.47,30.15,30.15,659,111951
2013-05-15,30.53,30.49,30.15,30.46,552,104031
2013-05-16,30.5,30.25,30.1,30.43,548,94975
2013-05-17,30.33,30.19,30.04,30.3,507,120075
2013-05-20,30.23,30.06,29.91,30.13,535,130716
2013-05-21,30.36,30.26,29.87,29.95,636,119753
2013-05-22,30.38,29.96,29.84,30.21,762,120782
2013-05-23,30.2,30.11,29.43,29.81,679,132764
2013-05-24,30.28,30.23,29.86,30.03,283,52168
2013-05-28,30.75,30.64,30.37,30.47,660,111682
2013-05-29,30.57,30.05,30.04,30.47,700,139176
2013-05-30,30.24,29.95,29.82,30.04,663,150642
2013-05-31,30.02,29.34,29.33,29.89,714,162486
2013-06-03,29.36,28.9,28.67,29.36,1314,340955
2013-06-04,29.1,28.94,28.71,28.75,644,215157
2013-06-05,28.95,28.4,28.39,28.86,475,74804
2013-06-06,28.67,28.67,28.26,28.35,739,157166
2013-06-07,29.04,29.0,28.65,28.8,528,99505
2013-06-10,29.09,28.6,28.56,28.86,705,125138
2013-06-11,28.69,28.32,28.2,28.33,546,89999
2013-06-12,28.45,28.05,27.88,28.43,515,104451
2013-06-13,27.98,27.92,27.71,27.97,895,203274
2013-06-14,28.69,28.42,27.77,27.97,753,172099
2013-06-17,28.8,28.58,28.43,28.64,987,187743
2013-06-18,28.89,28.78,28.51,28.68,617,151483
2013-06-19,28.96,28.85,28.75,28.83,1159,260623
2013-06-20,28.45,27.4,27.21,28.45,1812,398540
2013-06-21,27.49,27.08,26.91,27.31,975,432133
2013-06-24,27.22,27.06,26.601,26.9,721,151436
2013-06-25,27.89,27.85,27.26,27.35,713,202107
2013-06-26,28.12,27.63,27.51,28.03,831,150003
2013-06-27,28.26,28.1,27.81,27.81,889,167302
2013-06-28,28.25,27.92,27.91,28.1,863,295203
2013-07-01,28.65,28.46,28.09,28.09,998,242831
2013-07-02,28.53,28.13,27.99,28.35,884,183714
2013-07-03,28.09,28.07,27.64,28.0,401,268667
2013-07-05,28.4,28.4,27.89,28.21,600,144726
2013-07-08,28.77,28.58,28.37,28.52,569,217349
2013-07-09,28.76,28.25,28.24,28.76,848,203017
2013-07-10,28.99,28.92,28.37,28.42,1000,238947
2013-07-11,29.42,29.24,29.12,29.17,392,92909
2013-07-12,29.44,29.28,29.15,29.18,796,178408
2013-07-15,29.42,29.34,29.09,29.09,355,99986
2013-07-16,29.4,29.09,28.91,29.31,517,108341
2013-07-17,29.18,28.87,28.72,29.18,536,124017
2013-07-18,29.22,29.0,28.96,28.98,339,69259
2013-07-19,29.15,29.1,28.95,28.95,583,124432
2013-07-22,29.26,29.07,29.01,29.06,621,112685
2013-07-23,29.32,29.25,28.75,29.09,409,78238
2013-07-24,29.4,29.24,29.03,29.29,316,68988
2013-07-25,29.42,29.41,29.06,29.06,422,86724
2013-07-26,29.51,29.45,29.0,29.23,432,85417
2013-07-29,29.61,29.16,29.12,29.47,432,91352
2013-07-30,29.19,28.85,28.78,29.16,711,134073
