Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,19.01,18.9,18.13,18.5,915,171002
2013-01-03,18.99,18.61,18.46,18.88,360,57404
2013-01-04,18.71,18.62,18.49,18.71,359,69809
2013-01-07,18.57,18.47,18.42,18.45,228,35216
2013-01-08,18.56,18.52,18.35,18.4,326,61384
2013-01-09,18.72,18.52,18.45,18.56,239,47941
2013-01-10,18.73,18.64,18.44,18.71,257,37230
2013-01-11,18.8,18.79,18.57,18.68,252,56602
2013-01-14,18.82,18.82,18.56,18.68,208,34022
2013-01-15,19.0,18.92,18.59,18.66,325,49377
2013-01-16,18.98,18.9,18.75,18.85,196,58987
2013-01-17,19.6,19.49,18.85,19.0,538,76240
2013-01-18,19.68,19.67,19.45,19.49,393,76939
2013-01-22,18.71,17.8,17.68,18.26,1627,247997
2013-01-23,17.99,17.18,16.96,17.86,1034,154777
2013-01-24,17.54,17.49,17.22,17.25,710,108039
2013-01-25,17.71,17.6,17.47,17.53,477,65137
2013-01-28,17.81,17.63,17.51,17.58,475,68066
2013-01-29,17.57,17.51,17.35,17.57,590,110689
2013-01-30,17.48,17.08,17.03,17.44,589,75725
2013-01-31,17.07,17.02,16.95,17.01,558,101079
2013-02-01,17.31,17.11,17.03,17.09,699,104516
2013-02-04,17.25,17.07,17.04,17.04,552,86194
2013-02-05,17.21,17.08,17.0,17.21,560,73705
2013-02-06,17.09,17.08,16.87,16.97,522,76627
2013-02-07,17.29,17.08,16.99,17.11,513,72759
2013-02-08,17.4,17.28,17.05,17.05,338,57456
2013-02-11,17.44,17.27,17.26,17.29,428,72862
2013-02-12,17.62,17.56,17.29,17.33,311,46162
2013-02-13,17.96,17.91,17.46,17.6,753,122082
2013-02-14,17.91,17.69,17.69,17.83,274,41814
2013-02-15,17.88,17.74,17.53,17.8,453,102577
2013-02-19,17.91,17.9,17.57,17.77,430,75292
2013-02-20,18.0,17.61,17.47,17.87,697,125782
2013-02-21,17.9,17.62,17.45,17.59,841,111233
2013-02-22,17.85,17.85,17.7,17.71,469,68443
2013-02-25,17.89,17.3,17.28,17.89,594,86867
2013-02-26,17.49,17.26,16.94,17.34,847,114045
2013-02-27,17.36,17.27,17.22,17.22,238,41905
2013-02-28,17.53,17.33,17.22,17.25,360,62125
2013-03-01,17.45,17.42,17.16,17.17,468,81289
2013-03-04,17.35,17.16,17.09,17.33,445,80936
2013-03-05,17.47,17.37,17.2,17.2,586,110858
2013-03-06,17.46,17.44,17.29,17.44,383,57328
2013-03-07,17.63,17.45,17.4,17.4,410,55935
2013-03-08,17.74,17.63,17.5,17.59,602,92243
2013-03-11,17.61,17.54,17.46,17.55,343,52005
2013-03-12,17.57,17.45,17.4,17.49,311,46589
2013-03-13,17.52,17.42,17.4,17.44,251,48865
2013-03-14,17.51,17.46,17.4,17.43,331,46497
2013-03-15,17.69,17.65,17.38,17.47,1269,445872
2013-03-18,17.68,17.49,17.42,17.42,840,131559
2013-03-19,17.615,17.36,17.34,17.49,785,128690
2013-03-20,17.46,17.36,17.06,17.41,515,67669
2013-03-21,17.29,16.87,16.8,17.21,840,108267
2013-03-22,16.98,16.69,16.67,16.92,582,80652
2013-03-25,16.74,16.58,16.32,16.71,524,80290
2013-03-26,17.07,17.01,16.56,16.7,903,127262
2013-03-27,17.17,17.07,16.81,16.88,503,61644
2013-03-28,17.14,17.04,16.77,17.1,419,73389
2013-04-01,16.98,16.74,16.64,16.98,653,91101
2013-04-02,16.88,16.81,16.72,16.85,502,64903
2013-04-03,16.91,16.81,16.72,16.78,574,89201
2013-04-04,17.09,17.02,16.77,16.79,415,62283
2013-04-05,16.92,16.89,16.7,16.7,462,85585
2013-04-08,16.99,16.99,16.75,16.94,339,42118
2013-04-09,17.07,16.9,16.89,16.98,373,66205
2013-04-10,17.58,17.54,16.84,16.89,612,94778
2013-04-11,17.59,17.4,17.34,17.57,319,42044
2013-04-12,17.52,17.51,17.11,17.29,332,51562
2013-04-15,17.46,17.0,16.98,17.46,768,114600
2013-04-16,17.24,17.21,16.99,17.16,371,50157
2013-04-17,17.08,16.96,16.9,17.04,764,105544
2013-04-18,17.15,16.84,16.82,17.0,351,55468
2013-04-19,17.13,17.04,16.61,16.86,519,87975
2013-04-22,17.09,16.88,16.57,17.09,333,63746
2013-04-23,15.85,14.85,14.38,15.85,2964,465115
2013-04-24,14.89,14.89,14.51,14.85,921,138159
2013-04-25,15.6,15.51,14.81,14.86,1016,136165
2013-04-26,15.6,15.47,15.15,15.51,882,147321
2013-04-29,15.57,15.51,15.32,15.57,561,82497
2013-04-30,15.535,15.47,15.33,15.46,716,120702
2013-05-01,15.43,14.81,14.79,15.38,705,130210
2013-05-02,15.15,15.06,14.8,14.92,405,64193
2013-05-03,15.49,15.24,15.17,15.27,582,88873
2013-05-06,15.35,15.32,15.19,15.27,326,45942
2013-05-07,15.59,15.59,15.2,15.32,352,57996
2013-05-08,15.78,15.74,15.49,15.54,388,67529
2013-05-09,15.86,15.8,15.58,15.7,369,61428
2013-05-10,16.06,16.04,15.87,15.87,277,43223
2013-05-13,16.09,15.8,15.8,16.07,374,55751
2013-05-14,16.08,16.03,15.76,15.79,259,69945
2013-05-15,16.22,16.14,15.94,15.94,354,63549
2013-05-16,16.33,16.13,16.05,16.05,263,33684
2013-05-17,16.45,16.42,16.14,16.14,375,106500
2013-05-20,16.63,16.61,16.27,16.4,695,103013
2013-05-21,16.73,16.64,16.485,16.58,383,65209
2013-05-22,16.8,16.55,16.41,16.71,677,97377
2013-05-23,16.59,16.5,16.33,16.37,407,66277
2013-05-24,16.65,16.52,16.28,16.46,318,51415
2013-05-28,16.95,16.81,16.53,16.78,436,89441
2013-05-29,16.84,16.63,16.63,16.66,314,56321
2013-05-30,16.9,16.8,16.73,16.73,243,42204
2013-05-31,16.76,16.6,16.58,16.66,234,52353
2013-06-03,16.95,16.85,16.58,16.6,950,189372
2013-06-04,16.94,16.78,16.65,16.84,652,88155
2013-06-05,16.81,16.75,16.68,16.72,371,58610
2013-06-06,16.805,16.8,16.56,16.71,512,94734
2013-06-07,16.9,16.86,16.75,16.9,225,36201
2013-06-10,17.0,16.99,16.84,16.87,343,48569
2013-06-11,16.93,16.79,16.715,16.76,323,43618
2013-06-12,16.88,16.75,16.67,16.88,320,56154
2013-06-13,17.0,17.0,16.65,16.7,484,81334
2013-06-14,16.98,16.75,16.71,16.98,354,46683
2013-06-17,16.89,16.52,16.41,16.84,656,94371
2013-06-18,16.76,16.63,16.41,16.49,421,65180
2013-06-19,16.68,16.44,16.44,16.62,399,56952
2013-06-20,16.36,16.26,16.14,16.21,403,62986
2013-06-21,16.5,16.36,16.27,16.32,417,265309
2013-06-24,16.39,16.04,16.02,16.3,371,74614
2013-06-25,16.29,16.01,15.97,16.17,346,78903
2013-06-26,16.25,15.98,15.95,16.15,418,75321
2013-06-27,16.53,16.41,16.05,16.05,232,48839
2013-06-28,16.46,16.26,16.22,16.33,493,251216
2013-07-01,16.86,16.8,16.31,16.31,544,102089
2013-07-02,16.905,16.6,16.48,16.83,359,48518
2013-07-03,16.605,16.51,16.46,16.57,292,37993
2013-07-05,16.89,16.85,16.64,16.75,368,70663
2013-07-08,17.08,16.96,16.85,16.92,433,105412
2013-07-09,17.13,17.02,16.91,17.0,325,80304
2013-07-10,17.14,17.1,17.04,17.06,295,56320
2013-07-11,17.32,17.27,17.19,17.19,282,50074
2013-07-12,17.35,17.24,17.19,17.2,157,28857
2013-07-15,17.75,17.72,17.24,17.24,415,75477
2013-07-16,17.88,17.73,17.7,17.7,335,45059
2013-07-17,17.87,17.68,17.59,17.67,235,29870
2013-07-18,17.82,17.69,17.59,17.69,182,26986
2013-07-19,17.71,17.61,17.53,17.65,304,60656
2013-07-22,17.78,17.77,17.49,17.52,324,60233
2013-07-23,17.84,17.8,17.67,17.77,228,35499
2013-07-24,17.91,17.8,17.6,17.91,311,45823
2013-07-25,17.94,17.94,17.42,17.43,347,72123
2013-07-26,17.79,17.64,17.58,17.79,137,25984
2013-07-29,17.64,17.52,17.4,17.56,258,35055
2013-07-30,17.74,17.56,17.46,17.53,265,67081
2013-07-31,17.85,17.68,17.55,17.55,321,48963
2013-08-01,17.89,17.72,17.63,17.78,362,63556
2013-08-02,18.47,18.42,17.53,17.72,598,93818
2013-08-05,18.52,18.34,18.205,18.39,345,51817
2013-08-06,18.35,18.18,18.09,18.3,327,43490
2013-08-07,18.53,18.51,18.12,18.17,640,89753
2013-08-08,18.83,18.76,18.5,18.53,614,95219
2013-08-09,18.945,18.93,18.64,18.67,376,72203
2013-08-12,19.58,19.52,18.9,18.91,851,137930
2013-08-13,20.31,20.06,19.54,19.59,589,82583
2013-08-14,20.05,19.85,19.72,20.03,577,115990
2013-08-15,19.65,19.29,19.29,19.65,433,61047
2013-08-16,19.4,19.37,19.12,19.15,297,65749
2013-08-19,19.68,19.39,19.39,19.4,314,45632
2013-08-20,19.88,19.78,19.43,19.43,475,68506
2013-08-21,20.0,19.85,19.625,19.66,497,69108
2013-08-22,20.06,19.93,19.8,19.96,230,58331
2013-08-23,20.08,20.0,19.85,19.91,300,46777
2013-08-26,20.14,19.86,19.8,19.98,259,38798
2013-08-27,19.74,19.29,19.17,19.64,389,56911
2013-08-28,19.49,19.37,19.07,19.24,274,47506
2013-08-29,19.71,19.47,19.37,19.37,237,40873
2013-08-30,19.56,19.28,19.28,19.4,426,86715
2013-09-03,19.8,19.63,19.39,19.47,455,54240
2013-09-04,19.9,19.8,19.52,19.61,377,54859
2013-09-05,19.99,19.94,19.74,19.85,328,39491
2013-09-06,20.03,19.87,19.61,19.98,327,48129
2013-09-09,20.37,20.27,19.87,19.87,337,54400
2013-09-10,20.78,20.76,20.23,20.31,442,68709
2013-09-11,20.79,20.63,20.45,20.74,262,52845
2013-09-12,20.58,19.01,18.96,20.58,1214,176876
2013-09-13,19.0,18.56,18.53,19.0,1035,155782
2013-09-16,18.76,18.6,18.5,18.72,853,137623
2013-09-17,18.7,18.68,18.41,18.57,840,124216
2013-09-18,18.94,18.73,18.63,18.74,1086,158758
2013-09-19,18.85,18.75,18.71,18.74,813,99901
2013-09-20,18.76,18.66,18.18,18.75,1375,334966
2013-09-23,18.75,18.48,18.47,18.65,824,104661
2013-09-24,18.7,18.59,18.33,18.53,824,115421
2013-09-25,18.98,18.84,18.52,18.58,548,71364
2013-09-26,18.93,18.75,18.68,18.85,232,46114
2013-09-27,18.69,18.45,18.45,18.57,615,100862
2013-09-30,18.82,18.82,18.27,18.33,451,120368
2013-10-01,19.18,19.18,18.81,18.84,416,72955
2013-10-02,19.17,18.96,18.89,19.02,461,63761
2013-10-03,18.9,18.37,18.33,18.9,627,103834
2013-10-04,18.58,18.5,18.3,18.32,639,89670
2013-10-07,18.4,18.16,18.15,18.36,527,107090
2013-10-08,18.25,17.66,17.61,18.2,822,132741
2013-10-09,18.14,18.0,17.65,17.74,595,102480
2013-10-10,18.5,18.38,18.14,18.23,318,54428
2013-10-11,18.59,18.49,18.26,18.3,774,112059
2013-10-14,18.82,18.7,18.37,18.38,680,115102
2013-10-15,18.79,18.57,18.43,18.7,736,122144
2013-10-16,18.82,18.47,18.38,18.73,347,75521
2013-10-17,18.9,18.9,18.22,18.44,543,157038
2013-10-18,19.09,18.93,18.78,19.06,679,209283
2013-10-21,19.13,18.92,18.68,18.91,512,100778
2013-10-22,19.04,18.9,18.81,18.96,265,43876
2013-10-23,18.99,18.92,18.69,18.8,350,59598
2013-10-24,18.99,18.9,18.78,18.95,278,58862
