Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-23,,,,,1,1
2021-08-24,9.9632,9.9632,9.65,9.79,5,500
2021-08-26,9.85,9.85,9.85,9.85,1,100
2021-08-27,9.76,9.76,9.68,9.68,2,150
2021-08-30,9.95,9.95,9.85,9.91,3,338
2021-08-31,9.95,9.75,9.75,9.95,15,2865
2021-09-01,9.95,9.75,9.75,9.95,19,2098
2021-09-02,9.6,9.6,9.6,9.6,1,100
2021-09-03,9.84,9.84,9.76,9.76,4,3491
2021-09-07,9.72,9.72,9.72,9.72,1,210
2021-09-08,9.84,9.73,9.73,9.84,1,27
2021-09-10,9.8,9.77,9.77,9.8,2,400
2021-09-13,9.84,9.84,9.84,9.84,3,884
2021-09-14,9.8,9.8,9.78,9.78,3,300
2021-09-15,9.95,9.79,9.79,9.95,10,1400
2021-09-16,9.95,9.79,9.79,9.95,3,201
2021-09-17,9.95,9.8,9.8,9.95,2,200
2021-09-20,9.8,9.8,9.8,9.8,1,100
2021-09-21,9.8,9.79,9.79,9.8,1,100
2021-09-23,9.73,9.73,9.67,9.67,1,100
2021-09-27,9.95,9.7,9.7,9.95,4,204
2021-09-28,9.73,9.7,9.7,9.73,5,1868
2021-09-29,,,,,1,78
2021-09-30,9.85,9.85,9.85,9.85,2,103
2021-10-01,9.75,9.75,9.75,9.75,1,400
2021-10-04,9.75,9.74,9.74,9.75,4,600
2021-10-05,9.65,9.65,9.65,9.65,,
2021-10-06,9.95,9.95,9.68,9.8,32,3159
2021-10-07,9.95,9.79,9.75,9.95,16,2001
2021-10-08,9.85,9.76,9.76,9.85,1,300
2021-10-11,9.84,9.75,9.75,9.84,3,300
2021-10-12,9.79,9.79,9.71,9.71,2,211
2021-10-13,9.85,9.7899,9.7899,9.85,1,100
2021-10-14,9.84,9.765,9.765,9.84,1,100
2021-10-15,9.7501,9.7501,9.7501,9.7501,,
2021-10-18,9.82,9.79,9.79,9.82,1,506
2021-10-19,9.85,9.79,9.76,9.85,5,400
2021-10-20,9.77,9.75,9.7,9.77,3,727
2021-10-22,9.73,9.73,9.73,9.73,,
2021-10-25,9.78,9.7,9.7,9.78,2,200
2021-10-26,9.71,9.71,9.6,9.6,4,612
2021-10-27,9.72,9.7,9.7,9.72,6,504
2021-10-28,,,,,3,3
2021-10-29,9.77,9.75,9.75,9.77,2,501
2021-11-01,9.78,9.76,9.75,9.78,2,200
2021-11-02,9.77,9.7,9.65,9.77,194,49901
2021-11-03,9.71,9.69,9.67,9.71,40,25205
2021-11-04,9.69,9.69,9.68,9.69,9,612
2021-11-05,9.7,9.69,9.68,9.7,11,1266
2021-11-08,9.72,9.72,9.68,9.68,24,2735
2021-11-09,9.72,9.72,9.7,9.7,1,100
2021-11-10,9.72,9.72,9.7,9.7,2,700
2021-11-11,9.73,9.72,9.72,9.73,3,647
2021-11-12,9.8,9.72,9.7,9.8,14,3900
2021-11-15,9.74,9.74,9.73,9.74,9,3400
2021-11-17,9.72,9.72,9.7,9.7,5,736
2021-11-18,9.72,9.72,9.72,9.72,2,200
2021-11-19,9.72,9.72,9.72,9.72,1,100
2021-11-22,9.74,9.74,9.72,9.72,5,3652
2021-11-23,9.87,9.82,9.74,9.74,10,1964
2021-11-24,9.79,9.79,9.74,9.74,3,108
2021-11-26,9.78,9.745,9.73,9.78,3,524
2021-12-01,9.75,9.75,9.75,9.75,1,100
2021-12-03,9.75,9.75,9.75,9.75,,
2021-12-06,9.75,9.75,9.75,9.75,1,100
2021-12-07,9.78,9.72,9.72,9.78,1,100
2021-12-08,9.85,9.85,9.73,9.74,16,1865
2021-12-09,9.85,9.8,9.72,9.72,13,1306
2021-12-10,9.82,9.81,9.8,9.8,4,400
2021-12-13,9.83,9.81,9.77,9.83,26,3157
2021-12-14,9.8,9.75,9.75,9.8,19,2000
2021-12-15,9.77,9.77,9.77,9.77,2,200
2021-12-16,9.76,9.76,9.76,9.76,5,393
2021-12-17,9.79,9.79,9.71,9.72,6,8200
2021-12-20,9.78,9.78,9.78,9.78,2,119
2021-12-21,9.8,9.79,9.7,9.8,19,2587
2021-12-22,9.77,9.73,9.7,9.77,17,7696
2021-12-23,9.75,9.75,9.7,9.75,7,1408
2021-12-27,9.75,9.71,9.69,9.75,61,17205
2021-12-28,9.69,9.69,9.67,9.67,5,275
2021-12-29,9.7,9.67,9.67,9.7,21,3904
2021-12-30,9.7,9.68,9.68,9.7,10,354
2021-12-31,9.76,9.76,9.67,9.67,69,12020
2022-01-03,9.72,9.7,9.66,9.72,19,4635
2022-01-05,9.71,9.69,9.65,9.7,23,35827
2022-01-06,9.7,9.69,9.66,9.69,10,10064
2022-01-07,9.7,9.69,9.66,9.66,4,5295
2022-01-10,9.71,9.69,9.66,9.66,6,1499
2022-01-12,9.71,9.71,9.71,9.71,1,100
2022-01-13,9.71,9.71,9.67,9.67,3,12
2022-01-14,9.6954,9.6954,9.6954,9.6954,,
2022-01-18,,,,,1,82
2022-01-19,9.69,9.69,9.67,9.67,3,803
2022-01-20,9.68,9.68,9.68,9.68,2,192
2022-01-21,9.65,9.65,9.65,9.65,3,900
2022-01-24,9.66,9.6485,9.62,9.62,3,701
2022-01-26,9.68,9.67,9.67,9.68,10,1051
2022-01-27,9.62,9.62,9.62,,,
2022-01-28,9.62,9.62,9.62,9.62,2,104
2022-01-31,9.64,9.62,9.62,9.64,2,102
2022-02-01,9.69,9.65,9.65,9.69,23,190
2022-02-02,9.69,9.69,9.69,9.69,4,112
2022-02-03,9.68,9.68,9.65,9.65,2,200
2022-02-04,9.69,9.69,9.63,9.63,7,2214
2022-02-07,9.69,9.69,9.63,9.63,3,500
2022-02-08,9.69,9.69,9.63,9.63,3,500
2022-02-09,9.68,9.68,9.63,9.63,4,3165
2022-02-10,9.68,9.68,9.63,9.63,6,521
2022-02-11,9.65,9.65,9.64,9.64,2,200
2022-02-14,9.64,9.63,9.61,9.61,3,723
2022-02-15,9.64,9.64,9.61,9.61,3,400
2022-02-16,9.63,9.63,9.61,9.61,2,210
