Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,100.96,99.5,98.8,100.16,970,121241
2013-01-03,101.27,100.36,99.23,99.78,913,112533
2013-01-04,101.11,100.07,99.41,100.31,568,93852
2013-01-07,100.51,99.05,98.39,100.09,918,122340
2013-01-08,99.72,99.3,98.78,99.34,637,87633
2013-01-09,99.54,99.12,98.22,99.54,1228,162499
2013-01-10,99.71,99.53,96.57,99.1,803,101212
2013-01-11,103.4,103.12,99.78,99.78,1013,124736
2013-01-14,106.86,106.23,103.39,103.6,1165,147577
2013-01-15,106.44,106.1,104.48,105.79,808,114592
2013-01-16,107.53,107.31,104.92,106.16,536,64949
2013-01-17,108.35,108.2,106.53,107.42,425,54349
2013-01-18,110.9,110.51,108.1,108.56,781,103497
2013-01-22,111.48,109.82,109.56,110.2,556,71949
2013-01-23,110.4,109.26,108.95,110.16,508,73736
2013-01-24,108.8,107.26,105.12,107.7,974,124258
2013-01-25,108.33,107.72,106.74,107.26,646,84887
2013-01-28,108.42,106.96,106.35,107.92,539,75844
2013-01-29,108.35,108.02,105.23,107.6,682,86443
2013-01-30,108.44,107.05,106.93,107.53,359,47972
2013-01-31,109.93,109.6,106.67,106.67,761,121692
2013-02-01,110.93,110.31,109.65,109.66,464,55323
2013-02-04,110.64,109.31,108.75,110.64,474,63893
2013-02-05,110.8,110.01,109.17,109.63,261,44324
2013-02-06,111.36,111.05,109.45,110.03,955,130337
2013-02-07,106.22,99.03,97.7,106.22,3054,445968
2013-02-08,103.53,102.91,99.45,99.9,1215,170203
2013-02-11,103.31,103.06,102.22,102.89,738,89485
2013-02-12,104.08,104.01,103.0,103.39,834,104921
2013-02-13,105.21,104.68,103.71,103.98,568,71081
2013-02-14,105.03,103.73,103.03,105.03,694,90923
2013-02-15,105.0,104.91,102.68,102.87,899,123264
2013-02-19,105.03,103.89,102.75,105.03,795,108086
2013-02-20,104.28,103.19,102.69,103.69,376,52884
2013-02-21,104.77,104.65,101.38,102.73,834,110174
2013-02-22,105.02,104.23,103.93,104.83,579,72715
2013-02-25,105.75,103.03,102.99,104.45,534,68593
2013-02-26,105.89,105.57,102.92,102.92,553,77632
2013-02-27,106.16,105.48,104.59,105.11,758,95070
2013-02-28,106.12,104.42,104.38,105.58,362,66405
2013-03-01,106.79,105.51,104.52,104.52,470,76694
2013-03-04,108.73,108.6,105.16,105.28,386,51534
2013-03-05,110.26,110.07,108.25,108.89,454,58507
2013-03-06,111.24,107.7,107.54,110.5,446,55700
2013-03-07,108.31,107.3,107.22,107.51,250,35223
2013-03-08,108.42,108.42,107.44,108.0,723,86141
2013-03-11,108.68,107.52,107.16,108.64,320,41882
2013-03-12,107.64,107.33,106.48,107.08,302,47263
2013-03-13,109.86,108.93,107.42,107.8,428,55109
2013-03-14,110.64,109.98,108.95,109.59,360,77411
2013-03-15,110.21,109.3,108.63,110.21,272,57267
2013-03-18,111.62,111.26,108.46,108.46,275,35085
2013-03-19,113.16,113.09,111.31,111.31,1048,128098
2013-03-20,116.94,114.87,112.44,113.15,544,84704
2013-03-21,115.96,115.5,114.28,114.85,478,99394
2013-03-22,116.23,114.79,113.65,115.92,407,50784
2013-03-25,117.23,117.08,114.72,114.84,498,64687
2013-03-26,118.37,118.33,116.5,117.0,404,48470
2013-03-27,118.75,118.29,117.43,118.15,391,48400
2013-03-28,120.0,119.61,118.65,118.65,275,47771
2013-04-01,120.36,118.99,118.31,119.61,429,95539
2013-04-02,119.35,117.34,116.7,118.89,348,61366
2013-04-03,117.64,114.75,113.94,117.51,832,123830
2013-04-04,115.96,115.69,114.37,114.49,552,71107
2013-04-05,114.58,113.22,112.3,114.56,753,91206
2013-04-08,113.51,113.08,112.31,113.51,696,84720
2013-04-09,113.47,111.41,111.41,113.44,607,79210
2013-04-10,113.03,111.54,110.97,111.85,830,125092
2013-04-11,114.7,113.51,110.06,110.06,921,164982
2013-04-12,117.91,116.64,113.46,113.46,563,72082
