Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-01,9.58,9.58,9.55,9.55,2,200
2021-04-06,9.85,9.84,9.84,9.85,3,41
2021-04-07,9.84,9.84,9.83,9.83,2,215
2021-04-08,9.72,9.72,9.62,9.62,11,2227
2021-04-09,,,,,1,1
2021-04-13,9.79,9.79,9.79,9.79,7,1155
2021-04-14,9.95,9.85,9.79,9.9,46,10073
2021-04-15,,,,,2,2
2021-04-19,9.9,9.83,9.82,9.9,3,258
2021-04-20,9.8,9.8,9.7,9.72,11,2733
2021-04-21,9.85,9.85,9.77,9.79,36,5225
2021-04-22,9.74,9.72,9.72,9.74,4,431
2021-04-26,9.7297,9.7297,9.7297,9.7297,,
2021-04-27,9.85,9.85,9.82,9.82,16,2025
2021-04-28,9.85,9.72,9.72,9.85,7,1387
2021-04-29,9.85,9.79,9.75,9.85,19,3400
2021-04-30,9.97,9.79,9.79,9.97,4,503
2021-05-03,10.0,9.71,9.71,10.0,6,1147
2021-05-05,9.9,9.75,9.75,9.9,4,747
2021-05-06,9.72,9.6953,9.6953,9.72,5,1600
2021-05-07,9.89,9.72,9.72,9.89,2,600
2021-05-12,9.71,9.7,9.7,9.71,2,500
2021-05-18,9.71,9.65,9.65,9.71,6,464
2021-05-20,9.68,9.65,9.6,9.63,61,13564
2021-05-24,9.62,9.62,9.61,9.61,31,15839
2021-05-25,9.63,9.62,9.62,9.63,10,1720
2021-05-26,9.67,9.62,9.615,9.62,7,2901
2021-05-27,9.67,9.65,9.63,9.63,7,1300
2021-05-28,9.689,9.689,9.61,9.61,11,3896
2021-06-01,9.69,9.69,9.69,9.69,1,100
2021-06-02,9.7,9.7,9.65,9.65,31,17905
2021-06-03,9.69,9.65,9.65,9.67,20,10198
2021-06-04,9.69,9.69,9.66,9.67,9,3300
2021-06-07,9.6796,9.6796,9.6796,9.6796,,
2021-06-08,9.7,9.7,9.68,9.68,5,3812
2021-06-09,9.7,9.69,9.68,9.7,3,230
2021-06-10,9.7,9.69,9.67,9.7,25,3398
2021-06-11,9.71,9.69,9.69,9.69,10,6185
2021-06-15,9.7136,9.7136,9.7,9.7,3,637
2021-06-16,9.72,9.72,9.71,9.72,37,1989
2021-06-17,9.7,9.7,9.69,9.7,23,8109
2021-06-18,,,,,1,10
2021-06-21,9.71,9.71,9.71,9.71,6,905
2021-06-23,,,,,5,8
2021-06-24,9.67,9.67,9.67,9.67,1,200
2021-06-28,9.67,9.67,9.61,9.67,11,3244
2021-06-29,9.6599,9.6599,9.6599,9.6599,,
2021-06-30,9.69,9.67,9.66,9.66,13,6572
2021-07-01,9.67,9.65,9.65,9.67,5,1107
2021-07-06,9.67,9.65,9.65,9.66,8,1179
2021-07-08,9.675,9.675,9.675,9.675,,
2021-07-09,9.66,9.66,9.65,9.65,2,300
2021-07-12,9.67,9.67,9.65,9.65,8,4900
2021-07-13,9.66,9.65,9.65,9.66,18,3558
2021-07-14,9.67,9.67,9.67,9.67,1,100
2021-07-15,9.6549,9.6549,9.65,9.65,4,400
2021-07-19,9.64,9.63,9.63,9.64,2,1446
2021-07-20,9.63,9.63,9.63,9.63,,
2021-07-21,9.64,9.64,9.63,9.63,4,1305
2021-07-22,9.64,9.64,9.61,9.64,40,13520
2021-07-23,9.64,9.62,9.62,9.64,2,1004
2021-07-26,9.63,9.6298,9.6298,9.63,6,3202
2021-07-27,9.72,9.72,9.64,9.64,11,11589
2021-07-28,9.64,9.64,9.64,9.64,6,800
2021-07-29,9.64,9.63,9.63,9.64,2,968
2021-07-30,9.69,9.69,9.66,9.66,6,4800
2021-08-03,9.7,9.7,9.7,9.7,1,200
2021-08-04,9.7,9.7,9.7,9.7,,
2021-08-05,9.71,9.71,9.71,9.71,2,600
2021-08-06,9.7019,9.7019,9.7,9.7,2,138
2021-08-10,9.7,9.7,9.7,9.7,,
2021-08-11,9.79,9.7,9.7,9.79,2,200
2021-08-13,9.75,9.75,9.71,9.71,2,300
2021-08-16,9.7,9.7,9.7,9.7,,
2021-08-17,9.87,9.7,9.7,9.87,37,2169
2021-08-20,9.72,9.66,9.65,9.72,31,5788
2021-08-23,9.66,9.64,9.635,9.65,16,9597
2021-08-24,9.66,9.62,9.62,9.66,3,1192
2021-08-25,9.63,9.63,9.63,9.63,1,100
2021-08-26,9.63,9.63,9.61,9.61,5,414
2021-08-27,9.68,9.68,9.6,9.6,5,598
2021-08-30,,,,,1,6
2021-08-31,9.69,9.69,9.69,9.69,2,101
2021-09-01,,,,,3,17
2021-09-02,,,,,1,2
2021-09-03,,,,,9,202
2021-09-07,,,,,1,2
2021-09-08,,,,,2,6
2021-09-09,9.69,9.68,9.66,9.69,10,4720
2021-09-10,9.67,9.67,9.63,9.63,1,2
2021-09-13,9.68,9.68,9.68,9.68,3,204
2021-09-14,9.7,9.7,9.68,9.68,9,371
2021-09-15,9.705,9.705,9.68,9.7,4,402
2021-09-16,9.75,9.75,9.69,9.69,22,5800
2021-09-22,9.68,9.68,9.66,9.66,2,200
2021-09-23,9.72,9.705,9.68,9.68,5,310
2021-09-24,9.7,9.7,9.62,9.62,7,454
2021-09-27,9.7,9.7,9.68,9.68,64,13860
2021-09-28,9.72,9.72,9.7,9.7,18,1779
2021-09-29,9.73,9.73,9.72,9.72,1,100
2021-09-30,9.75,9.75,9.72,9.72,9,1169
2021-10-01,9.75,9.74,9.72,9.72,3,500
2021-10-04,9.82,9.72,9.72,9.82,10,751
2021-10-05,9.77,9.77,9.72,9.74,3,304
2021-10-07,9.85,9.82,9.76,9.85,22,2100
2021-10-08,9.8,9.8,9.8,9.8,,
2021-10-12,9.74,9.71,9.68,9.74,23,8009
2021-10-13,9.74,9.74,9.74,9.74,,
2021-10-14,9.82,9.74,9.73,9.82,9,900
2021-10-15,9.75,9.75,9.735,9.74,6,3112
2021-10-18,9.735,9.735,9.73,9.73,1,2
2021-10-19,,,,,1,1
2021-10-20,,,,,3,6
2021-10-21,9.75,9.75,9.73,9.73,5,1801
2021-10-22,9.75,9.74,9.74,9.75,4,325
2021-10-25,9.76,9.76,9.74,9.75,23,4820
2021-10-26,9.75,9.75,9.73,9.73,4,407
2021-10-27,9.75,9.75,9.72,9.72,8,11093
2021-10-28,9.76,9.72,9.72,9.76,1,100
2021-11-01,9.74,9.74,9.72,9.72,3,583
2021-11-02,9.83,9.8,9.75,9.75,165,34474
2021-11-03,9.83,9.81,9.78,9.83,14,12540
2021-11-04,9.85,9.81,9.8,9.8,29,54500
2021-11-05,9.79,9.78,9.74,9.79,28,3188
2021-11-08,9.78,9.77,9.74,9.76,19,13720
2021-11-09,9.78,9.78,9.73,9.75,30,23043
2021-11-10,9.9,9.89,9.85,9.89,172,183433
2021-11-11,9.92,9.8801,9.88,9.92,16,8932
2021-11-12,9.91,9.855,9.85,9.91,25,3927
2021-11-15,9.8503,9.8503,9.85,9.85,4,1300
2021-11-16,9.86,9.86,9.85,9.85,7,7482
2021-11-17,9.89,9.89,9.86,9.87,21,5397
2021-11-18,9.89,9.89,9.85,9.85,8,517
2021-11-19,9.92,9.88,9.85,9.92,141,46290
2021-11-22,9.93,9.89,9.88,9.93,11,2345
2021-11-23,9.93,9.9,9.88,9.93,12,1503
2021-11-24,9.89,9.89,9.88,9.89,41,7596
2021-11-26,9.885,9.88,9.88,9.885,2,200
2021-11-29,9.91,9.89,9.89,9.91,4,210
2021-11-30,9.89,9.88,9.88,9.88,10,1577
2021-12-01,9.91,9.8801,9.8801,9.91,3,28
2021-12-02,9.9,9.88,9.88,9.88,5,968
2021-12-03,9.89,9.88,9.88,9.88,4,736
2021-12-06,9.88,9.87,9.82,9.82,28,21726
2021-12-07,9.91,9.91,9.91,9.91,,
2021-12-08,9.93,9.89,9.89,9.93,9,132
2021-12-09,9.837,9.837,9.837,9.837,,
2021-12-10,9.86,9.86,9.81,9.83,22,3178
2021-12-13,9.86,9.86,9.86,9.86,1,100
2021-12-14,9.87,9.87,9.86,9.86,3,300
2021-12-15,9.9,9.8503,9.8503,9.9,1,100
2021-12-17,9.87,9.85,9.85,9.86,20,4043
2021-12-20,9.8503,9.8503,9.82,9.82,10,264
2021-12-21,9.87,9.87,9.85,9.85,5,605
2021-12-22,9.87,9.86,9.85,9.85,77,1522
2021-12-23,9.9,9.86,9.85,9.9,35,2163
2021-12-27,9.9,9.89,9.87,9.87,7,5615
2021-12-28,9.92,9.88,9.88,9.92,8,4735
2021-12-29,9.87,9.85,9.85,9.85,58,3358
2021-12-30,9.89,9.88,9.85,9.85,24,5143
2021-12-31,9.9,9.9,9.87,9.87,9,542
2022-01-03,9.9,9.85,9.85,9.88,4,4000
2022-01-04,9.89,9.89,9.85,9.85,42,2236
2022-01-05,9.9,9.88,9.87,9.9,27,2148
