Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-05-28,9.85,9.65,9.6,9.6,5,800
2020-06-01,10.13,9.66,9.63,10.13,12,1691
2020-06-02,9.85,9.66,9.66,9.85,1,10
2020-06-03,9.72,9.63,9.63,9.72,6,700
2020-06-04,9.75,9.74,9.74,9.75,1,200
2020-06-05,9.75,9.75,9.75,9.75,1,100
2020-06-08,9.78,9.7175,9.7175,9.78,1,100
2020-06-09,9.72,9.72,9.72,9.72,,
2020-06-10,9.72,9.69,9.68,9.72,6,2100
2020-06-11,9.7,9.69,9.69,9.7,2,1390
2020-06-12,10.14,9.63,9.63,10.14,8,702
2020-06-15,9.65,9.65,9.61,9.61,4,400
2020-06-16,9.7,9.65,9.65,9.7,10,1200
2020-06-17,9.9,9.65,9.63,9.7,18,6600
2020-06-18,9.72,9.68,9.67,9.72,4,710
2020-06-19,,,,,1,10
2020-06-22,9.75,9.69,9.69,9.75,2,70
2020-06-23,9.8,9.75,9.72,9.73,5,1360
2020-06-24,9.84,9.8,9.8,9.84,2,200
2020-06-25,9.9,9.8,9.8,9.9,15,4500
2020-06-26,9.9,9.81,9.75,9.9,14,3413
2020-06-29,9.85,9.77,9.77,9.82,4,500
2020-06-30,9.86,9.8,9.76,9.86,18,23900
2020-07-01,9.77,9.75,9.75,9.76,3,1100
2020-07-02,9.82,9.82,9.81,9.81,3,500
2020-07-06,9.85,9.77,9.77,9.85,28,6675
2020-07-07,9.84,9.84,9.77,9.77,3,5459
2020-07-09,9.84,9.84,9.84,9.84,,
2020-07-10,9.82,9.82,9.82,9.82,5,600
2020-07-13,9.93,9.93,9.89,9.89,3,2100
2020-07-14,9.88,9.875,9.85,9.87,9,16700
2020-07-15,9.96,9.96,9.86,9.87,10,12292
2020-07-16,10.07,10.0,9.89,9.89,64,19250
2020-07-17,10.12,10.12,10.11,10.11,1,100
2020-07-20,10.17,10.07,10.07,10.17,4,201
2020-07-21,10.08,10.08,10.07,10.08,7,800
2020-07-22,10.15,10.06,10.06,10.15,6,648
2020-07-23,10.03,10.0,10.0,10.03,3,8300
2020-07-24,10.0,9.96,9.95,9.95,4,2000
2020-07-27,10.221,10.221,10.221,10.221,,
2020-07-28,10.0096,10.0096,9.9,9.91,6,1128
2020-07-29,10.03,10.03,10.03,10.03,1,100
2020-07-30,10.05,10.03,10.03,10.03,7,1624
2020-07-31,10.08,10.0,10.0,10.08,19,5618
2020-08-03,10.1,10.0,10.0,10.1,53,16476
2020-08-04,10.08,10.02,10.0,10.0,24,4500
2020-08-05,10.05,10.02,10.02,10.05,3,237
2020-08-06,10.0,9.98,9.98,10.0,51,25350
2020-08-07,10.03,10.03,10.02,10.02,1,150
2020-08-10,10.0,9.9766,9.9766,10.0,7,27306
2020-08-11,10.05,9.95,9.95,10.05,5,31900
2020-08-12,10.03,9.95,9.95,10.03,19,45200
2020-08-14,10.0,10.0,9.95,9.95,15,6797
2020-08-17,10.0,9.87,9.87,10.0,4,3990
2020-08-18,9.9,9.9,9.9,9.9,1,1600
2020-08-19,9.92,9.92,9.9,9.9,10,10000
2020-08-20,9.9,9.85,9.85,9.9,4,60700
2020-08-21,9.86,9.8514,9.85,9.85,4,1130
2020-08-24,9.87,9.87,9.86,9.86,1,500
2020-08-25,9.85,9.85,9.85,9.85,3,2303
2020-08-26,9.83,9.81,9.81,9.83,4,3297
2020-08-27,9.8,9.75,9.75,9.8,5,108833
2020-08-28,9.8,9.8,9.8,9.8,,
2020-08-31,9.83,9.83,9.83,9.83,1,1450
2020-09-02,9.85,9.85,9.82,9.85,12,26810
2020-09-03,9.85,9.85,9.82,9.82,6,3000
2020-09-04,9.99,9.95,9.84,9.88,53,73400
2020-09-08,9.95,9.95,9.9,9.95,25,100648
2020-09-09,10.01,10.01,9.94,9.94,7,15602
2020-09-10,10.0,9.99,9.99,10.0,6,3345
2020-09-11,10.05,10.05,9.99,9.99,4,62261
2020-09-14,10.09,10.05,10.04,10.09,14,2770
2020-09-15,10.08,10.08,10.05,10.05,8,20094
2020-09-16,10.12,10.12,10.08,10.1,5,15720
2020-09-17,10.15,10.15,10.14,10.14,4,4258
2020-09-18,10.2007,10.2007,10.15,10.15,2,1200
2020-09-21,10.17,9.75,9.75,10.15,40,77766
2020-09-22,10.2,10.11,10.02,10.06,31,6857
2020-09-23,10.115,10.115,10.03,10.08,8,1500
2020-09-24,10.08,10.035,10.035,10.06,11,1375
2020-09-25,10.1,10.1,10.06,10.06,11,3965
2020-09-28,10.28,10.195,10.15,10.28,47,5925
2020-09-29,10.21,10.16,10.15,10.15,10,897
2020-09-30,10.1,10.08,10.06,10.06,8,2187
2020-10-01,10.21,10.21,10.03,10.03,22,3600
2020-10-02,10.25,10.25,10.2,10.2,21,12901
2020-10-05,10.6,10.25,10.15,10.6,524,165281
2020-10-06,10.39,10.25,10.2,10.35,248,53550
2020-10-07,10.3,10.215,10.2,10.3,88,22643
2020-10-08,10.3,10.14,10.14,10.3,49,18899
2020-10-09,10.3,10.25,10.13,10.3,170,30297
2020-10-12,10.52,10.42,10.32,10.35,339,63256
2020-10-13,10.58,10.55,10.4,10.45,638,180049
2020-10-14,10.85,10.85,10.57,10.6,381,215103
2020-10-15,11.05,10.9,10.8,10.85,210,80769
2020-10-16,11.67,11.65,11.01,11.1,541,190157
2020-10-19,11.75,11.5,11.42,11.75,325,120457
2020-10-20,11.7,11.5,11.42,11.7,238,57944
2020-10-21,11.65,11.48,11.04,11.43,219,36386
2020-10-22,11.64,11.45,11.2,11.41,371,79149
2020-10-23,11.58,11.4,11.4,11.55,327,129228
2020-10-26,11.52,10.95,10.59,11.5,276,54979
2020-10-27,11.14,10.86,10.85,11.14,146,25172
2020-10-28,11.0,10.75,10.5,10.75,113,43174
2020-10-29,10.9,10.78,10.61,10.81,89,22104
2020-10-30,10.99,10.99,10.5,10.98,161,50681
2020-11-02,11.15,11.05,10.85,11.15,222,60219
2020-11-03,11.5,11.4,11.06,11.2,169,145715
2020-11-04,11.46,11.39,11.25,11.46,87,37902
2020-11-05,11.5,11.44,11.32,11.32,129,51438
2020-11-06,11.5,11.42,11.35,11.48,48,9406
2020-11-09,11.75,11.05,11.02,11.75,146,24413
2020-11-10,11.15,10.87,10.86,11.15,85,68580
2020-11-11,11.05,10.8001,10.8001,11.01,94,10163
2020-11-12,11.0,10.77,10.75,10.8,94,26154
2020-11-13,11.07,10.88,10.85,11.07,87,8864
2020-11-16,11.17,11.01,10.98,11.17,139,46568
2020-11-17,11.0,10.97,10.86,11.0,70,7656
2020-11-18,11.59,11.21,11.0,11.12,304,65698
2020-11-19,11.5,11.4,11.09,11.09,206,43453
2020-11-20,11.65,11.55,11.3,11.5,194,40295
2020-11-23,12.0,11.57,11.49,11.7,140,40027
2020-11-24,11.8,11.55,11.4,11.65,156,26313
2020-11-25,11.6,11.49,11.44,11.6,275,58050
2020-11-27,11.86,11.76,11.55,11.84,174,21535
2020-11-30,12.71,12.5,12.0,12.32,784,149583
2020-12-01,13.48,12.76,12.5,13.4,473,67756
2020-12-02,13.5,13.3,12.65,12.65,1053,141476
2020-12-03,14.6,13.77,13.6,13.6,691,120946
2020-12-04,14.48,14.2,13.77,14.0,539,73850
2020-12-07,16.25,15.36,14.26,14.75,1121,174324
2020-12-08,16.26,15.31,15.3,16.26,648,126088
2020-12-09,16.85,14.31,13.95,16.3,597,127823
2020-12-10,16.44,16.0,14.07,14.5,865,189594
2020-12-11,16.19,15.15,14.8,15.75,405,106588
2020-12-14,15.8,15.76,15.0,15.0,429,94379
2020-12-15,17.7,17.03,15.51,15.51,690,107174
2020-12-16,17.5,16.76,16.46,16.55,230,39517
2020-12-17,17.5,17.39,16.45,16.82,463,81616
2020-12-18,18.0,18.0,16.5,16.5,412,97593
2020-12-21,19.5,18.42,17.07,19.5,828,122797
2020-12-22,21.33,20.19,19.08,19.23,823,129981
2020-12-23,22.89,22.71,20.0,21.24,841,151094
2020-12-24,22.7,22.15,21.0,22.7,370,65744
2020-12-28,28.09,24.65,21.38,24.37,2352,349917
2020-12-29,26.5,24.2,22.1,26.0,1480,248895
2020-12-30,31.0,23.8,23.6,31.0,3155,728815
2020-12-31,25.43,23.51,23.49,25.33,940,169034
2021-01-04,24.8,22.41,20.24,24.8,1791,327891
2021-01-05,22.76,22.76,21.0,21.51,986,183945
2021-01-06,26.86,24.97,23.75,24.23,1548,303886
2021-01-07,26.67,25.99,25.54,26.2,1259,250117
2021-01-08,27.62,25.76,25.36,27.0,1214,231958
2021-01-11,25.93,25.04,24.75,25.82,614,128139
2021-01-12,26.24,25.13,24.7,25.51,841,135416
2021-01-13,26.01,25.51,24.93,25.26,914,161992
2021-01-14,29.7,27.75,25.96,26.0,2089,352431
2021-01-15,29.08,28.09,27.4,27.4,1294,229129
2021-01-19,31.67,29.79,29.19,29.91,2139,335744
2021-01-20,36.36,34.35,30.75,31.43,2772,485196
2021-01-21,39.87,37.96,36.16,37.25,2939,532712
2021-01-22,41.41,39.39,38.04,39.0,2764,520181
2021-01-25,45.54,42.56,40.04,45.0,2942,589642
2021-01-26,49.3,48.0,41.07,42.94,2391,363033
2021-01-27,50.08,50.0,45.53,47.04,2773,390526
2021-01-28,50.42,48.51,45.1,50.0,2349,468742
2021-01-29,48.4,42.5,41.41,46.19,2564,375000
2021-02-01,46.28,43.0,42.04,46.26,2211,245530
2021-02-02,44.59,43.93,42.36,43.36,1523,188065
2021-02-03,46.97,45.82,43.72,44.6,1349,147105
2021-02-04,50.52,48.76,45.52,46.7,2116,263964
2021-02-05,57.73,56.59,48.08,50.0,2407,295911
2021-02-08,62.39,55.79,54.85,58.2,2587,351300
2021-02-09,61.75,61.4,54.79,56.99,2129,245643
2021-02-10,66.22,64.29,58.3,63.7,2630,315805
2021-02-11,64.56,59.56,55.67,64.0,2860,270491
2021-02-12,60.53,57.81,56.3,58.0,1660,143515
2021-02-16,58.07,52.98,52.05,58.0,3197,290792
2021-02-17,48.705,46.03,43.66,47.0,5096,674724
2021-02-18,45.34,43.87,43.21,43.92,3108,419276
2021-02-19,49.79,49.36,44.67,45.5,4252,533316
2021-02-22,49.08,46.26,45.72,46.55,1999,260239
2021-02-23,45.14,41.79,38.0,42.85,5905,622253
2021-02-24,43.84,41.5,40.5,43.0,2372,253867
2021-02-25,43.41,38.91,37.76,41.78,2289,299049
2021-02-26,40.0,38.13,36.2,38.47,3663,379741
2021-03-01,42.78,40.19,39.19,40.49,2235,246654
2021-03-02,41.3,38.15,38.08,41.16,2071,246091
2021-03-03,39.45,34.24,32.36,38.75,3438,407327
2021-03-04,35.085,33.18,28.47,33.11,3840,468370
2021-03-05,34.61,32.8,29.6,34.06,3208,381460
2021-03-08,35.87,33.92,31.7,33.18,2751,275104
2021-03-09,37.93,34.58,34.4,35.5,3901,428773
2021-03-10,37.9,37.09,35.65,35.87,2461,285371
2021-03-11,41.85,39.12,38.0,39.0,4102,481419
2021-03-12,42.15,41.84,37.78,37.8,2120,198202
2021-03-15,46.84,45.41,43.6,43.72,3218,332294
2021-03-16,48.25,46.63,45.3,47.51,3265,315589
