Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-04-30,25.0,24.67,24.6,25.0,82,46928
2018-05-01,24.77,24.68,24.63,24.77,46,20465
2018-05-02,24.72,24.64,24.64,24.68,31,7630
2018-05-03,24.75,24.7,24.7,24.73,44,12170
2018-05-04,24.75,24.72,24.7,24.75,25,7100
2018-05-07,24.72,24.65,24.65,24.72,5,3700
2018-05-08,24.675,24.62,24.62,24.65,15,2100
2018-05-09,24.62,24.55,24.55,24.62,18,7620
2018-05-10,24.65,24.65,24.54,24.59,11,6620
2018-05-11,24.95,24.8,24.65,24.7,42,14473
2018-05-14,24.74,24.67,24.641,24.7,28,9907
2018-05-15,24.645,24.57,24.57,24.64,14,7015
2018-05-16,24.6,24.59,24.59,24.6,3,500
2018-05-17,24.75,24.75,24.73,24.73,8,1593
2018-05-18,24.69,24.62,24.62,24.69,8,2020
2018-05-21,24.74,24.66,24.571,24.571,9,1050
2018-05-22,24.68,24.6,24.6,24.67,23,7350
2018-05-23,24.61,24.61,24.6,24.61,4,600
2018-05-24,24.72,24.69,24.65,24.66,26,4300
2018-05-25,24.7,24.56,24.56,24.7,15,4800
2018-05-29,24.7,24.68,24.6,24.6,22,6048
2018-05-30,24.72,24.72,24.57,24.57,5,3490
2018-05-31,24.72,24.72,24.66,24.7,24,5240
2018-06-01,24.74,24.71,24.69,24.7,9,2825
2018-06-04,24.725,24.7,24.7,24.7,24,13885
2018-06-05,24.661,24.6,24.6,24.65,12,3785
2018-06-06,24.68,24.64,24.61,24.68,16,3955
2018-06-07,24.64,24.62,24.58,24.64,12,4650
2018-06-08,24.665,24.63,24.63,24.665,5,1000
2018-06-11,24.65,24.65,24.65,24.65,3,280
2018-06-12,24.65,24.65,24.63,24.65,18,4300
2018-06-13,,,,,1,80
2018-06-14,24.54,24.451,24.451,24.48,11,4615
2018-06-15,24.5,24.5,24.5,24.5,2,105
2018-06-18,24.54,24.5,24.5,24.54,3,7600
2018-06-19,24.57,24.57,24.57,24.57,1,100
2018-06-20,24.65,24.65,24.51,24.51,8,2153
2018-06-21,24.65,24.63,24.52,24.6,8,2550
2018-06-22,24.54,24.54,24.54,24.54,1,100
2018-06-25,24.6,24.5,24.5,24.6,16,5270
2018-06-26,24.58,24.58,24.5,24.575,11,5050
2018-06-27,24.665,24.59,24.59,24.665,4,400
2018-06-28,24.61,24.51,24.51,24.61,13,1775
2018-06-29,24.63,24.57,24.51,24.6,11,1900
2018-07-02,24.62,24.62,24.58,24.62,6,800
2018-07-03,24.6,24.58,24.58,24.6,2,1860
2018-07-05,24.7,24.7,24.54,24.591,28,8000
2018-07-06,24.69,24.69,24.69,24.69,2,150
2018-07-09,24.77,24.77,24.69,24.7,6,1700
2018-07-10,24.8,24.8,24.77,24.77,9,2800
2018-07-11,24.825,24.82,24.82,24.825,7,1368
2018-07-12,24.82,24.82,24.75,24.77,5,1400
2018-07-13,24.76,24.76,24.751,24.751,5,1005
2018-07-16,24.8,24.79,24.7,24.8,6,2295
2018-07-17,24.8,24.8,24.8,24.8,2,1100
2018-07-18,24.87,24.87,24.85,24.85,3,400
2018-07-19,24.9,24.831,24.831,24.9,5,679
2018-07-20,24.9,24.9,24.9,24.9,2,300
2018-07-23,24.89,24.84,24.84,24.851,10,1650
2018-07-25,24.855,24.83,24.82,24.82,6,1950
2018-07-27,24.85,24.805,24.71,24.85,5,870
2018-07-30,24.88,24.88,24.85,24.85,3,700
2018-07-31,24.85,24.85,24.85,24.85,1,100
2018-08-01,24.62,24.62,24.62,24.62,1,2000
2018-08-02,24.75,24.75,24.73,24.73,4,7300
2018-08-03,24.8,24.8,24.8,24.8,1,100
2018-08-06,24.85,24.75,24.75,24.85,4,2040
2018-08-07,24.75,24.75,24.75,24.75,7,1459
2018-08-08,24.85,24.85,24.75,24.75,3,1100
2018-08-09,24.84,24.751,24.751,24.84,3,450
2018-08-14,24.85,24.72,24.63,24.85,10,1220
2018-08-15,24.83,24.83,24.72,24.72,2,335
2018-08-16,24.85,24.801,24.801,24.801,5,900
2018-08-17,24.75,24.68,24.67,24.75,7,1811
2018-08-21,24.93,24.81,24.75,24.75,10,3850
2018-08-22,24.9,24.81,24.81,24.9,4,983
2018-08-23,24.91,24.9,24.78,24.78,6,787
2018-08-24,24.93,24.92,24.92,24.93,4,1200
2018-08-27,24.95,24.95,24.92,24.92,12,4160
2018-08-28,25.0,24.951,24.85,24.85,11,2600
2018-08-29,24.95,24.9,24.9,24.95,4,408
2018-08-30,25.01,25.01,25.01,25.01,2,300
2018-08-31,25.1,25.1,25.09,25.09,2,738
2018-09-04,25.15,25.1,25.1,25.12,7,1700
2018-09-05,25.05,25.05,25.05,25.05,6,994
2018-09-06,25.175,25.12,24.91,24.91,13,9235
2018-09-07,25.125,25.11,25.11,25.12,13,11059
2018-09-10,25.1,25.05,25.05,25.1,6,2500
2018-09-11,25.09,25.051,25.051,25.07,12,6300
2018-09-12,25.1,25.1,25.08,25.08,4,400
2018-09-13,24.96,24.96,24.96,24.96,2,560
2018-09-14,24.95,24.8,24.8,24.95,8,942
2018-09-18,25.07,25.07,25.07,25.07,1,100
2018-09-20,25.025,24.925,24.76,25.025,6,1200
2018-09-21,24.9,24.9,24.9,24.9,4,900
2018-09-24,25.0,24.9,24.9,25.0,3,900
2018-09-25,24.86,24.86,24.86,24.86,2,200
2018-10-01,24.95,24.95,24.95,24.95,2,101
2018-10-02,24.9,24.9,24.8,24.82,6,1602
2018-10-03,24.91,24.91,24.91,24.91,2,102
2018-10-05,25.0,25.0,24.99,24.99,3,800
2018-10-08,25.0,24.99,24.99,25.0,4,740
2018-10-09,25.0,24.85,24.85,25.0,7,600
2018-10-10,24.83,24.8,24.8,24.83,6,804
2018-10-11,24.78,24.62,24.62,24.78,3,600
2018-10-16,24.95,24.9,24.9,24.95,2,200
2018-10-17,24.96,24.96,24.96,24.96,1,100
2018-10-18,24.9,24.9,24.9,24.9,2,1150
2018-10-19,24.751,24.751,24.751,24.751,1,100
2018-10-22,24.77,24.77,24.76,24.76,3,400
2018-10-24,24.75,24.75,24.74,24.74,4,350
2018-10-25,24.85,24.85,24.77,24.77,3,500
