Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-12-02,24.95,24.77,24.77,24.95,326,157498
2019-12-03,24.97,24.9558,24.74,24.8,233,151648
2019-12-04,25.04,25.03,24.83,24.96,354,290566
2019-12-05,25.07,24.98,24.95,25.04,179,106257
2019-12-06,25.07,25.05,24.95,24.98,128,114595
2019-12-09,25.11,25.05,25.03,25.05,231,115133
2019-12-10,25.1,24.99,24.98,25.06,159,146327
2019-12-11,25.16,25.16,25.03,25.03,207,95085
2019-12-12,25.17,25.08,25.07,25.13,276,162380
2019-12-13,25.25,25.25,25.1,25.1,154,91752
2019-12-16,25.33,25.28,25.22,25.25,195,169704
2019-12-17,25.44,25.44,25.32,25.32,204,69404
2019-12-18,25.58,25.56,25.38,25.41,281,97117
2019-12-19,25.68,25.6,25.49,25.54,256,101750
2019-12-20,25.74,25.7,25.57,25.63,254,100689
2019-12-23,25.85,25.83,25.75,25.8,264,117227
2019-12-24,25.98,25.95,25.87,25.9,165,73196
2019-12-26,25.95,25.9,25.87,25.95,283,88867
2019-12-27,26.04,26.01,25.91,25.95,485,101872
2019-12-30,26.09,26.08,25.98,26.03,243,49490
2019-12-31,26.16,26.1,25.87,26.01,586,2882650
2020-01-02,26.19,26.19,25.95,25.95,247,60399
2020-01-03,26.19,26.06,26.01,26.05,163,90248
2020-01-06,26.09,26.01,25.97,26.06,187,38235
2020-01-07,26.04,25.965,25.94,26.0,263,58068
2020-01-08,25.99,25.91,25.9,25.99,262,69592
2020-01-09,26.05,26.05,25.93,25.96,225,41451
2020-01-10,26.07,26.05,26.0,26.07,58,16777
2020-01-13,26.07,26.02,25.98,25.98,83,18416
2020-01-14,26.07,26.05,25.95,26.05,58,17784
2020-01-15,26.05,26.05,25.97,26.05,158,26740
2020-01-16,26.08,26.07,25.96,26.06,103,26291
2020-01-17,26.13,26.13,25.93,26.0,135,44154
2020-01-21,26.17,26.16,26.1,26.11,133,26017
2020-01-22,26.2,26.1876,26.07,26.07,44,18568
2020-01-23,26.29,26.2896,26.15,26.17,110,15837
2020-01-24,26.28,26.27,26.17,26.22,57,21406
2020-01-27,26.3284,26.3284,26.16,26.16,64,13203
2020-01-28,26.34,26.18,26.16,26.34,43,12195
2020-01-29,26.33,26.29,26.06,26.24,369,43385
2020-01-30,26.35,26.35,26.28,26.31,228,27018
2020-01-31,26.36,26.25,26.22,26.35,127,159272
2020-02-03,26.37,26.37,26.2,26.33,78,14033
2020-02-04,26.37,26.32,26.28,26.37,155,19590
2020-02-05,26.37,26.3,26.3,26.35,101,30897
2020-02-06,26.43,26.41,26.31,26.35,114,10642
2020-02-07,26.49,26.46,26.37,26.43,161,49530
2020-02-10,26.56,26.48,26.43,26.49,122,20763
2020-02-11,26.54,26.47,26.43,26.5,73,17930
2020-02-12,26.61,26.37,26.37,26.45,80,24415
2020-02-13,26.56,26.4717,26.43,26.5,59,7226
2020-02-14,26.56,26.55,26.42,26.47,63,10942
2020-02-18,26.63,26.54,26.5,26.63,57,9127
2020-02-19,26.59,26.21,26.21,26.59,173,54266
2020-02-20,26.28,26.24,26.11,26.25,186,33385
2020-02-21,26.2,26.2,26.11,26.17,68,7929
2020-02-24,26.09,25.91,25.76,25.98,89,22412
2020-02-25,26.04,25.53,25.53,25.93,331,45718
2020-02-26,25.71,25.64,25.4,25.68,329,58289
2020-02-27,25.53,25.3935,25.1,25.1,263,59386
2020-02-28,25.35,25.0,25.0,25.27,414,140231
2020-03-02,25.52,25.52,25.05,25.21,280,57954
2020-03-03,25.9,25.45,25.45,25.52,184,39512
2020-03-04,25.43,25.43,25.2,25.3,276,60310
2020-03-05,25.55,25.29,25.27,25.35,155,68203
2020-03-06,25.25,24.97,24.95,25.25,343,112879
2020-03-09,24.5,23.86,23.5,24.5,256,50232
