Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2014-01-23,15.5,14.9,14.25,15.0,294,253010
2014-01-24,14.9,14.4,14.02,14.9,311,222226
2014-01-27,14.8,14.27,13.91,14.75,273,122011
2014-01-28,14.5,14.14,14.0,14.3,229,73969
2014-01-29,14.25,13.98,13.95,14.2,292,138299
2014-01-30,14.15,14.0,13.99,14.05,93,32770
2014-01-31,14.0,13.94,13.91,13.95,58,12767
2014-02-03,14.1,13.83,13.83,14.0,186,74699
2014-02-04,14.07,14.0,13.94,14.07,128,34690
2014-02-05,14.5,14.43,14.0,14.0,43,8585
2014-02-06,15.66,15.33,14.5,14.5,120,102186
2014-02-07,16.4,16.24,15.02,15.4,341,109890
2014-02-10,16.74,16.39,16.23,16.44,72,13732
2014-02-11,16.57,16.42,16.2,16.4,87,25054
2014-02-12,16.45,16.35,16.29,16.4,75,19846
2014-02-13,16.48,16.07,15.54,16.38,132,28340
2014-02-14,17.17,16.9,16.0,16.1,38,10669
2014-02-18,17.75,17.48,17.0,17.0,101,90854
2014-02-19,18.28,18.1,17.59,17.65,784,177067
2014-02-20,18.21,18.19,18.07,18.15,172,70788
2014-02-21,18.41,18.28,18.2,18.41,224,43685
2014-02-24,18.5,18.37,18.15,18.45,138,42706
2014-02-25,19.33,19.2,18.4,18.4,404,154952
2014-02-26,20.04,19.5,19.02,20.0,259,116009
2014-02-27,19.98,19.7,19.5,19.5,238,50545
2014-02-28,21.58,20.48,19.77,19.77,196,52322
2014-03-03,21.68,21.11,20.55,20.55,488,100789
2014-03-04,22.24,21.82,21.29,21.37,734,141454
2014-03-05,22.0,21.49,21.48,21.92,754,111240
2014-03-06,22.27,21.64,21.32,21.61,446,111752
2014-03-07,22.0,21.69,21.41,21.78,643,132170
2014-03-10,22.21,21.45,21.44,21.75,733,153504
2014-03-11,21.88,20.9,20.65,21.66,920,171684
2014-03-12,20.82,20.65,20.42,20.72,541,73570
2014-03-13,20.99,20.77,20.4,20.8,674,97127
2014-03-14,20.83,20.55,20.47,20.75,502,86308
2014-03-17,20.82,20.55,20.36,20.52,471,73337
2014-03-18,20.99,20.7,20.56,20.58,751,130847
2014-03-19,20.84,20.55,20.37,20.69,532,73337
2014-03-20,20.54,20.15,19.7,20.54,650,126849
2014-03-21,20.0,18.52,18.51,20.0,893,2280982
2014-03-24,19.34,19.04,18.1,18.28,528,100955
2014-03-25,19.47,19.01,18.98,19.09,301,47200
2014-03-26,19.19,18.95,18.84,18.94,267,46093
2014-03-27,19.65,19.39,18.62,18.82,775,140597
2014-03-28,19.3,19.11,18.96,19.3,478,71314
2014-03-31,19.2,19.05,18.79,19.0,339,55401
2014-04-01,20.28,20.0,18.97,19.08,388,71315
2014-04-02,21.11,20.9,20.13,20.13,486,63556
2014-04-03,21.27,20.93,20.63,20.97,293,58605
2014-04-04,21.94,21.3,20.99,21.18,705,165269
2014-04-07,21.33,20.78,20.55,21.29,592,86623
2014-04-08,20.8,19.92,19.52,20.7,340,49023
2014-04-09,20.25,20.24,19.88,20.03,277,32986
2014-04-10,20.88,20.18,19.99,20.2,325,44787
2014-04-11,20.09,19.9,19.59,20.04,263,49289
2014-04-14,20.08,19.9,19.75,19.92,248,40385
2014-04-15,19.96,19.86,19.41,19.9,218,27273
2014-04-16,20.01,19.66,19.6,19.96,240,31204
2014-04-17,20.63,19.98,19.41,20.08,548,92953
2014-04-21,20.605,20.26,20.0,20.0,336,43912
2014-04-22,20.65,20.15,19.96,20.44,272,39659
2014-04-23,20.25,19.89,19.63,20.08,368,71826
2014-04-24,20.25,19.69,19.66,19.81,348,44508
2014-04-25,19.81,19.75,19.45,19.75,397,50638
2014-04-28,19.95,19.92,19.53,19.8,313,69295
2014-04-29,20.03,19.84,19.54,19.92,294,44699
2014-04-30,19.86,19.54,19.44,19.86,223,43670
2014-05-01,19.61,19.52,19.37,19.5,201,48700
2014-05-02,20.07,19.95,19.5,19.6,319,64507
2014-05-05,20.2,19.83,19.64,20.2,168,27776
2014-05-06,20.1,20.01,19.69,19.87,274,51301
2014-05-07,19.89,19.69,19.42,19.77,292,56364
2014-05-08,19.94,19.48,19.46,19.65,252,48062
2014-05-09,19.65,19.38,19.32,19.57,242,41517
2014-05-12,19.89,19.84,19.36,19.36,237,31681
2014-05-13,20.38,20.19,19.8,19.8,241,36243
2014-05-14,20.29,19.92,19.5,20.17,287,50997
2014-05-15,21.08,21.01,19.75,19.75,596,129709
2014-05-16,22.6,22.35,21.23,21.24,428,77411
2014-05-19,23.26,23.15,22.07,22.35,511,101691
2014-05-20,23.75,23.4,22.88,23.22,561,81286
2014-05-21,24.59,24.48,23.4,23.4,400,53430
2014-05-22,25.2,25.01,24.44,24.55,377,58726
2014-05-23,25.38,25.37,24.94,25.2,681,110276
2014-05-27,26.51,26.39,25.3,25.3,555,90585
2014-05-28,26.5,26.47,25.92,26.4,512,93380
2014-05-29,27.0,26.78,26.28,26.42,471,74539
2014-05-30,27.43,27.24,26.62,26.62,1282,536711
2014-06-02,27.94,27.39,27.18,27.45,594,85001
2014-06-03,27.25,26.53,26.5,27.25,371,57705
2014-06-04,26.62,25.73,25.61,26.59,724,177142
2014-06-05,25.95,25.56,25.06,25.69,578,151863
2014-06-06,26.09,25.95,25.66,25.66,608,87550
2014-06-09,27.69,27.44,25.72,25.72,957,206563
2014-06-10,27.76,27.5,26.94,27.51,665,152710
2014-06-11,28.03,27.87,27.32,27.38,540,74380
2014-06-12,28.83,28.36,27.9,27.92,862,162679
2014-06-13,28.62,27.76,27.44,28.22,786,167727
2014-06-16,28.89,28.05,27.72,27.72,1346,218937
2014-06-17,28.33,26.89,26.76,28.06,786,206212
2014-06-18,27.34,27.0,26.69,27.05,1203,232206
2014-06-19,27.3,26.49,25.82,27.1,1950,560304
2014-06-20,27.2,26.99,26.32,26.5,3161,5467881
2014-06-23,28.37,27.4,27.0,27.0,1578,286288
2014-06-24,27.78,27.37,27.03,27.27,881,130112
2014-06-25,28.06,28.01,27.3,27.3,1105,153919
2014-06-26,28.93,28.7,27.83,27.99,730,139330
2014-06-27,28.95,27.31,27.22,28.88,1901,3961032
2014-06-30,28.05,28.03,26.96,27.33,1378,234653
2014-07-01,28.23,27.85,27.46,28.21,683,137616
2014-07-02,27.72,27.4,27.08,27.72,1012,169473
2014-07-03,27.63,27.54,27.26,27.26,178,29255
2014-07-07,27.83,27.83,27.16,27.62,506,121559
2014-07-08,27.82,26.58,26.35,27.82,471,86066
2014-07-09,27.14,27.14,26.6,26.6,162,339388
2014-07-10,27.16,26.9,26.62,26.93,407,76971
2014-07-11,27.4,27.4,26.79,26.79,363,108327
2014-07-14,27.53,27.39,27.01,27.52,262,44606
2014-07-15,27.4,27.1,26.85,27.23,327,44004
2014-07-16,27.32,27.2,26.95,27.12,267,36976
2014-07-17,27.24,26.78,26.56,27.24,309,95319
2014-07-18,26.9,26.74,26.69,26.69,266,59643
2014-07-21,26.85,26.65,26.49,26.74,451,78036
2014-07-22,27.22,26.48,26.45,26.99,337,77711
2014-07-23,26.52,26.27,26.15,26.52,512,88486
2014-07-24,26.28,26.03,25.93,26.28,489,79490
2014-07-25,26.03,25.88,25.62,25.87,385,83636
2014-07-28,26.0,25.7,25.65,25.83,321,48515
2014-07-29,25.81,25.49,25.42,25.58,296,49546
2014-07-30,25.6,24.73,24.23,25.45,791,120074
2014-07-31,24.82,24.71,24.35,24.51,511,81413
2014-08-01,25.35,25.25,24.54,24.58,416,64976
2014-08-04,25.45,25.25,24.96,25.19,279,55400
2014-08-05,25.37,25.29,25.06,25.06,564,80045
2014-08-06,25.49,25.26,25.15,25.44,584,84468
2014-08-07,25.83,25.26,25.19,25.3,648,130691
2014-08-08,25.87,25.86,25.21,25.44,307,51447
2014-08-11,26.19,25.94,25.7,25.92,392,235665
2014-08-12,25.94,25.76,25.58,25.91,230,28971
2014-08-13,26.25,25.82,25.63,25.75,349,63522
2014-08-14,26.16,26.01,25.83,25.83,199,33373
2014-08-15,26.53,26.25,26.07,26.17,368,62350
2014-08-18,26.54,26.42,26.08,26.24,207,44690
2014-08-19,26.64,26.27,26.177,26.56,113,14812
2014-08-20,26.24,25.86,25.79,26.24,173,27563
2014-08-21,25.97,25.73,25.69,25.83,144,90253
2014-08-22,25.93,25.75,25.74,25.93,171,29472
2014-08-25,26.45,26.21,25.94,25.94,277,35055
2014-08-26,26.73,26.42,26.31,26.33,224,44692
2014-08-27,26.51,26.04,25.88,26.41,120,15507
2014-08-28,26.96,26.9,26.09,26.11,267,41235
2014-08-29,27.42,27.31,26.81,26.93,206,66358
2014-09-02,27.44,27.0,26.63,27.31,199,44855
2014-09-03,27.13,26.94,26.43,26.9,255,43308
2014-09-04,26.93,26.69,26.57,26.83,186,23543
2014-09-05,27.32,27.2,26.58,26.82,204,34451
2014-09-08,27.19,26.77,26.64,27.19,250,37865
2014-09-09,26.98,26.89,26.65,26.66,228,104384
2014-09-10,27.04,26.74,26.71,26.78,236,29807
2014-09-11,27.14,27.1,26.65,26.65,199,24600
2014-09-12,27.15,26.86,26.79,26.85,323,38820
2014-09-15,26.91,26.79,26.29,26.91,348,37773
2014-09-16,27.91,27.52,26.55,26.79,426,61116
2014-09-17,27.67,26.91,26.8,27.67,307,44582
2014-09-18,27.06,27.0,26.73,26.86,140,21207
2014-09-19,27.64,27.57,27.02,27.08,272,374428
2014-09-22,27.47,27.12,27.0,27.29,325,66135
2014-09-23,27.0,25.87,25.82,27.0,419,63162
2014-09-24,25.98,25.58,25.31,25.95,303,49316
2014-09-25,25.59,25.5,25.41,25.55,276,32435
2014-09-26,25.55,25.49,24.98,25.53,191,41941
2014-09-29,25.68,25.37,25.27,25.4,233,35148
2014-09-30,25.4,25.02,24.65,25.4,436,100021
2014-10-01,25.11,23.29,23.22,25.02,646,95321
2014-10-02,25.73,25.59,23.17,23.17,786,118913
2014-10-03,27.61,27.01,25.2,25.64,1168,185343
2014-10-06,28.38,27.74,27.0,27.0,562,86122
2014-10-07,27.78,27.0,26.41,27.78,403,60525
2014-10-08,27.81,26.98,26.54,27.28,544,68098
2014-10-09,27.01,26.24,26.21,26.94,400,47644
2014-10-10,26.18,25.3,24.72,26.14,917,194330
2014-10-13,25.23,24.02,23.96,25.14,528,77945
2014-10-14,24.14,23.8,23.36,24.14,415,47139
2014-10-15,24.38,24.12,22.79,23.6,325,37281
2014-10-16,25.24,24.8,23.63,23.71,587,87153
2014-10-17,25.72,24.29,24.19,25.0,340,43622
2014-10-20,26.29,25.9,24.73,24.73,427,89932
2014-10-21,26.83,26.01,25.56,26.54,900,240486
2014-10-22,26.44,25.87,25.7,26.11,694,90416
2014-10-23,26.46,26.08,25.89,26.02,581,148224
2014-10-24,26.31,25.87,25.84,26.03,420,198147
2014-10-27,25.91,25.83,25.65,25.86,378,60439
2014-10-28,26.56,26.25,25.95,25.95,353,51450
2014-10-29,26.35,25.77,25.33,26.35,524,60895
2014-10-30,26.04,25.45,25.16,25.72,526,70954
2014-10-31,26.54,26.0,25.66,25.7,357,58900
2014-11-03,26.12,25.76,25.6,26.06,518,231712
2014-11-04,26.15,25.3,25.13,25.8,784,108277
2014-11-05,25.9,25.84,25.0,25.0,331,44411
2014-11-06,25.84,25.68,25.53,25.82,348,111510
2014-11-07,26.05,25.79,25.56,25.7,452,85238
2014-11-10,25.88,25.4,24.86,25.87,703,116358
2014-11-11,25.4,25.01,24.25,24.91,733,120508
2014-11-12,25.49,24.9,24.7,25.3,3072,1582663
2014-11-13,25.5,24.95,24.74,24.97,738,168558
2014-11-14,25.62,25.5,24.84,24.92,552,94761
2014-11-17,26.33,26.1,25.45,25.45,583,104204
2014-11-18,26.67,26.49,26.03,26.03,592,94387
2014-11-19,26.55,26.03,25.85,26.55,723,141972
2014-11-20,26.09,25.74,25.63,26.0,864,170908
2014-11-21,26.04,26.01,25.83,26.0,898,334705
2014-11-24,26.19,25.59,25.52,26.13,564,162438
2014-11-25,26.0,25.56,25.42,25.6,481,314203
2014-11-26,25.76,25.42,25.36,25.52,366,72756
2014-11-28,25.49,25.01,24.85,25.49,653,123222
2014-12-01,25.03,23.61,23.44,25.02,1185,249875
2014-12-02,24.06,23.66,23.47,23.85,393,72429
2014-12-03,24.31,24.23,23.68,23.68,678,261149
2014-12-04,24.36,24.18,24.0,24.2,462,98858
2014-12-05,25.03,24.93,24.1,24.1,562,148172
2014-12-08,25.84,24.06,24.0,24.8,718,180797
2014-12-09,24.07,23.68,23.66,23.93,327,136512
2014-12-10,23.79,23.05,22.83,23.53,1008,234066
2014-12-11,23.26,22.93,22.66,23.05,683,101859
2014-12-12,22.79,22.05,22.03,22.79,661,104146
2014-12-15,22.21,21.21,21.08,22.08,1491,273543
2014-12-16,21.74,20.97,20.77,20.99,1015,217402
2014-12-17,21.77,21.5,20.86,21.05,975,143610
2014-12-18,22.64,22.05,21.69,21.82,1314,275801
2014-12-19,23.47,22.96,21.97,22.21,1309,865081
2014-12-22,23.37,22.89,22.72,22.99,720,145221
2014-12-23,23.7,22.99,22.96,22.96,434,64784
2014-12-24,23.28,23.0,22.84,22.99,190,26681
2014-12-26,23.27,23.18,22.9,23.1,337,43852
2014-12-29,23.66,23.55,23.11,23.15,341,60054
2014-12-30,23.69,23.41,23.34,23.47,277,62260
2014-12-31,23.62,23.22,22.92,23.37,515,125007
2015-01-02,23.71,23.07,23.0,23.45,433,84380
2015-01-05,22.83,22.46,22.28,22.83,942,287358
2015-01-06,22.5,21.88,21.03,22.5,741,117263
2015-01-07,22.39,21.93,21.64,22.16,450,74220
2015-01-08,23.22,23.2,21.87,22.2,416,90090
2015-01-09,23.42,22.98,22.83,23.28,436,190854
2015-01-12,23.11,23.05,22.54,22.89,423,64998
2015-01-13,23.71,23.15,22.89,23.14,718,110061
2015-01-14,23.15,23.05,22.72,22.88,481,70260
2015-01-15,23.26,22.59,22.51,23.21,822,105263
2015-01-16,22.9,22.81,22.44,22.46,409,204965
2015-01-20,22.93,22.89,22.13,22.77,737,109818
2015-01-21,23.07,22.42,22.35,22.74,572,124911
2015-01-22,22.53,22.1,21.87,22.53,900,166419
2015-01-23,22.26,22.02,21.87,22.0,479,83276
2015-01-26,22.57,22.56,22.09,22.09,556,214309
2015-01-27,22.71,22.64,22.01,22.6,663,308294
2015-01-28,22.76,21.55,21.5,22.76,914,141389
2015-01-29,21.54,21.24,20.73,21.5,544,118263
2015-01-30,21.46,21.0,20.95,21.24,442,82198
2015-02-02,21.33,20.71,20.15,21.05,1030,196560
2015-02-03,21.67,21.52,20.75,20.99,877,144042
2015-02-04,21.67,21.55,21.09,21.37,753,123596
2015-02-05,22.11,22.07,21.43,21.5,796,280221
2015-02-06,23.44,23.04,22.18,22.33,852,162779
2015-02-09,23.31,22.64,22.58,23.05,480,75846
2015-02-10,23.24,23.03,22.69,22.75,771,174062
2015-02-11,23.44,22.75,22.68,23.0,606,130461
2015-02-12,23.01,22.54,22.43,22.93,687,104108
2015-02-13,22.96,22.68,22.56,22.71,589,115124
2015-02-17,23.48,23.43,22.53,22.67,1114,216503
2015-02-18,25.05,24.39,23.4,23.41,1039,192407
2015-02-19,24.81,24.39,23.95,24.02,770,130976
2015-02-20,25.01,25.0,24.38,24.38,996,206452
2015-02-23,25.32,24.86,24.8,25.09,1016,198023
2015-02-24,25.38,25.25,24.88,24.95,542,94386
2015-02-25,26.05,25.61,25.22,25.22,816,164340
2015-02-26,25.62,25.5,25.14,25.51,576,91980
2015-02-27,25.87,25.78,25.46,25.59,487,192627
2015-03-02,26.12,26.04,25.66,25.67,408,106299
2015-03-03,26.26,26.22,25.81,26.05,634,174695
2015-03-04,26.83,26.6,25.81,26.23,870,205245
2015-03-05,26.75,26.05,25.7,26.55,1149,285036
2015-03-06,26.44,25.78,25.71,25.9,712,157355
2015-03-09,26.2,26.13,25.75,25.8,966,205888
2015-03-10,25.97,25.37,25.23,25.87,754,192163
2015-03-11,25.92,25.78,25.16,25.35,899,203380
2015-03-12,26.09,25.85,25.6,25.93,616,110333
2015-03-13,26.18,26.14,25.53,25.74,1026,196703
2015-03-16,26.19,26.17,25.66,26.19,1091,177784
2015-03-17,27.14,27.05,26.25,27.14,1490,373741
2015-03-18,27.06,26.98,26.21,26.75,1657,283273
2015-03-19,26.84,26.1,26.01,26.84,2269,421781
2015-03-20,26.45,26.36,25.35,26.15,1966,662360
2015-03-23,26.99,26.06,25.86,26.36,1235,268000
2015-03-24,25.98,25.7,25.56,25.98,948,161924
2015-03-25,25.84,25.26,25.17,25.82,825,200016
2015-03-26,25.49,25.27,24.85,25.26,1045,130482
2015-03-27,25.72,25.66,25.08,25.26,1145,226284
2015-03-30,26.4,26.15,25.87,25.87,1245,161711
2015-03-31,25.98,25.66,25.64,25.88,1266,257696
2015-04-01,25.74,24.9,24.52,25.69,1536,255441
2015-04-02,25.38,25.27,24.75,24.84,1380,210378
2015-04-06,26.21,25.89,25.45,25.52,1322,270223
2015-04-07,26.2,25.8,25.78,25.92,716,90582
2015-04-08,26.0,25.99,25.66,26.0,1235,285658
2015-04-09,26.8,26.48,26.07,26.1,889,160517
2015-04-10,27.31,27.14,26.5,26.5,1340,232082
2015-04-13,27.97,27.02,26.93,26.97,703,151435
2015-04-14,27.15,26.69,26.57,27.03,951,187518
2015-04-15,27.16,26.83,26.57,26.84,858,187301
2015-04-16,27.2,26.88,26.6,26.77,805,127363
2015-04-17,27.08,26.71,26.4,26.78,843,132875
2015-04-20,27.69,27.45,27.15,27.69,1074,170137
2015-04-21,27.64,27.62,26.98,27.55,647,105742
2015-04-22,27.99,27.81,27.65,27.82,654,756135
2015-04-23,28.35,27.94,27.51,27.68,1023,188420
2015-04-24,28.0,27.18,27.16,28.0,1005,166318
2015-04-27,27.64,26.98,26.91,27.25,1030,175694
2015-04-28,27.22,27.14,26.53,26.99,785,110248
2015-04-29,27.35,27.08,26.78,26.99,738,111859
2015-04-30,27.2,26.94,26.66,26.99,783,152539
2015-05-01,27.54,27.4,27.23,27.23,781,112361
2015-05-04,27.44,26.88,26.83,27.41,1352,255194
2015-05-05,27.41,27.01,26.82,26.95,1111,242973
2015-05-06,27.41,27.1,27.0,27.12,1463,287872
2015-05-07,27.45,27.33,27.0,27.12,859,138348
2015-05-08,27.74,27.38,27.19,27.64,1369,188532
2015-05-11,27.77,27.49,27.34,27.42,1047,242507
2015-05-12,27.07,26.39,25.68,27.0,3000,681161
2015-05-13,27.24,25.9,25.67,26.4,2484,473913
2015-05-14,26.34,26.29,25.6,25.92,1424,272051
2015-05-15,26.68,26.64,25.89,26.26,1408,249669
2015-05-18,27.39,27.21,26.6,26.65,1493,270199
2015-05-19,27.25,27.09,26.94,27.25,1280,246518
2015-05-20,27.28,27.03,26.93,27.11,1126,238267
2015-05-21,27.17,27.15,26.94,27.08,1285,508561
2015-05-22,27.5,27.42,27.06,27.1,1359,246423
2015-05-26,27.44,27.02,26.97,27.37,892,168515
2015-05-27,27.14,26.95,26.79,27.07,1375,119765
2015-05-28,26.98,26.72,26.625,26.78,800,144970
2015-05-29,26.89,26.17,26.11,26.81,1406,366109
2015-06-01,27.28,27.26,26.415,26.45,1157,232941
2015-06-02,27.8,27.78,27.19,27.21,1004,211495
2015-06-03,27.9,27.75,27.58,27.73,647,142140
2015-06-04,27.9,27.48,27.33,27.72,882,223950
