Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-04-12,22.0,20.44,20.19,21.85,8694,9649842
2013-04-15,20.43,20.03,20.0,20.36,757,491860
2013-04-16,20.65,20.54,20.06,20.25,281,50375
2013-04-17,20.84,19.79,19.15,20.6,566,189869
2013-04-18,20.02,19.54,19.39,19.8,637,135065
2013-04-19,20.84,20.84,19.55,19.65,1012,593009
2013-04-22,20.89,20.04,19.99,20.89,550,90476
2013-04-23,20.25,19.96,19.85,20.22,207,48127
2013-04-24,20.13,19.97,19.63,20.0,83,46886
2013-04-25,20.03,19.87,19.79,20.03,114,28834
2013-04-26,19.68,19.6,19.26,19.55,294,54917
2013-04-29,20.02,19.94,19.4,19.4,210,49884
2013-04-30,20.05,20.05,19.77,19.94,175,87984
2013-05-01,20.19,20.14,19.89,19.9,104,38508
2013-05-02,20.49,20.11,19.92,20.35,200,36528
2013-05-03,20.58,20.55,19.85,20.15,290,70185
2013-05-06,20.54,20.25,20.16,20.4,165,37968
2013-05-07,20.99,20.24,20.03,20.99,991,208879
2013-05-08,20.45,20.25,19.86,20.3,449,129622
2013-05-09,20.3,20.16,20.11,20.3,208,51553
2013-05-10,20.49,20.01,19.95,20.1,494,189958
2013-05-13,19.98,19.79,19.49,19.9,435,75024
2013-05-14,19.96,19.87,19.71,19.75,268,46274
2013-05-15,19.95,19.84,19.74,19.8,436,73573
2013-05-16,19.9,19.67,19.63,19.84,94,14123
2013-05-17,19.8,19.8,19.44,19.65,214,102963
2013-05-20,19.94,19.93,19.6,19.8,312,74024
2013-05-21,20.27,20.21,19.86,19.95,331,99920
2013-05-22,20.38,20.03,19.96,20.21,177,40061
2013-05-23,20.12,20.0,19.64,19.87,234,54723
2013-05-24,20.03,19.99,19.83,19.95,181,72186
2013-05-28,20.14,19.9,19.9,20.14,162,31211
2013-05-29,19.88,19.72,19.52,19.84,162,46379
2013-05-30,19.84,19.75,19.55,19.84,77,32339
2013-05-31,20.18,20.02,19.5,19.75,296,74624
2013-06-03,20.11,20.11,19.9,20.09,276,55732
2013-06-04,20.31,20.3,19.91,20.15,150,46193
2013-06-05,20.11,20.11,19.93,20.1,133,38659
2013-06-06,20.1,20.08,19.91,20.04,207,30440
2013-06-07,20.17,20.17,19.89,20.12,187,39468
2013-06-10,20.4,20.22,20.14,20.3,509,121459
2013-06-11,20.69,20.58,19.98,20.05,275,56287
2013-06-12,20.75,20.61,20.34,20.6,190,29732
2013-06-13,21.37,21.29,20.41,20.54,190,43282
2013-06-14,21.89,21.88,21.29,21.32,372,105942
2013-06-17,22.1,21.94,21.72,22.02,695,168643
2013-06-18,22.23,22.23,21.9,21.9,535,102529
2013-06-19,22.44,22.4,22.1,22.1,916,221212
2013-06-20,22.81,22.33,22.09,22.09,483,109333
2013-06-21,22.54,21.56,21.56,22.31,511,737599
2013-06-24,21.8,21.01,20.48,21.58,590,102802
2013-06-25,21.86,21.5,21.16,21.21,356,82350
2013-06-26,21.93,21.83,21.28,21.52,234,42675
2013-06-27,22.28,21.91,21.6,21.85,330,72433
2013-06-28,22.39,21.97,21.72,21.83,747,1606219
2013-07-01,22.6,22.24,21.71,21.96,355,57824
2013-07-02,22.43,22.01,21.71,22.17,314,58394
2013-07-03,22.37,22.06,21.76,21.91,168,42222
2013-07-05,22.59,22.59,21.95,22.27,253,45855
2013-07-08,22.76,22.61,22.31,22.53,355,64623
2013-07-09,23.42,23.39,22.6,22.67,352,62301
2013-07-10,23.84,23.7,23.49,23.49,342,66921
2013-07-11,23.94,23.8,23.53,23.94,193,37555
2013-07-12,24.19,23.83,23.72,23.72,370,52571
2013-07-15,24.05,23.74,23.72,23.82,213,35320
2013-07-16,23.9,23.8,23.38,23.74,294,67963
2013-07-17,24.05,23.74,23.74,23.95,234,55634
2013-07-18,24.1,23.99,23.66,23.85,375,63846
2013-07-19,24.4,24.03,23.79,23.99,263,73345
2013-07-22,24.78,24.45,23.95,24.09,132,20382
2013-07-23,24.54,24.39,24.12,24.54,153,40670
2013-07-24,24.87,24.8,24.25,24.4,210,47518
2013-07-25,25.06,24.9,24.78,24.8,317,74930
2013-07-26,24.98,24.51,24.49,24.84,272,48762
2013-07-29,24.53,24.12,23.82,24.49,160,30552
2013-07-30,24.42,24.09,24.0,24.18,162,48029
2013-07-31,24.16,23.9,23.76,24.16,177,47196
2013-08-01,24.25,24.15,23.89,24.01,172,39256
2013-08-02,24.23,24.03,23.95,24.16,85,21084
2013-08-05,25.58,25.0,24.06,24.06,246,46779
2013-08-06,24.9,24.76,24.37,24.88,182,38555
2013-08-07,25.0,24.86,24.75,24.76,122,18214
2013-08-08,25.21,24.6,24.54,24.74,424,77024
2013-08-09,24.6,24.21,23.66,24.52,171,26189
2013-08-12,24.63,24.38,24.1,24.21,219,39010
2013-08-13,25.18,24.85,24.2,24.39,278,41281
2013-08-14,25.03,24.85,24.77,24.78,112,18760
2013-08-15,24.93,24.34,24.15,24.52,136,45499
2013-08-16,24.72,24.62,24.09,24.23,80,23636
2013-08-19,24.81,24.69,24.41,24.65,188,29661
2013-08-20,24.86,24.7,24.58,24.65,461,71262
2013-08-21,25.28,24.72,24.56,24.61,250,40790
2013-08-22,24.96,24.76,24.65,24.82,165,29964
2013-08-23,24.83,24.5,24.41,24.74,267,45057
2013-08-26,25.45,25.3,24.57,24.57,194,43863
2013-08-27,25.13,24.5,24.47,25.13,89,17570
2013-08-28,24.48,23.92,23.82,24.42,205,42249
2013-08-29,24.47,24.2,23.94,23.94,115,25067
2013-08-30,24.17,23.87,23.65,24.17,136,36174
2013-09-03,24.34,24.16,23.75,24.13,203,37648
2013-09-04,24.9,24.49,24.16,24.16,209,33780
2013-09-05,24.77,24.39,24.17,24.44,120,19981
2013-09-06,24.57,24.39,23.89,24.5,113,16103
