Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,24.91,24.89,24.45,24.64,971,344107
2013-01-03,25.34,24.93,24.86,24.97,866,188154
2013-01-04,25.19,25.11,24.78,25.05,793,190318
2013-01-07,25.1,24.88,24.73,25.07,450,100098
2013-01-08,25.17,25.1,24.73,24.88,1185,324036
2013-01-09,25.45,25.3,25.14,25.19,738,151608
2013-01-10,25.44,25.1,25.0,25.44,1638,330560
2013-01-11,25.19,25.0,24.781,25.16,1420,338216
2013-01-14,25.15,24.91,24.89,24.99,1569,469334
2013-01-15,25.02,24.8,24.76,24.77,893,218945
2013-01-16,24.88,24.57,24.56,24.8,763,152650
2013-01-17,25.6,25.25,24.68,24.69,1627,441026
2013-01-18,25.17,24.83,24.61,25.16,1167,330302
2013-01-22,25.15,25.15,24.87,24.87,799,255729
2013-01-23,25.57,25.35,25.13,25.17,635,191706
2013-01-24,25.52,24.62,24.57,25.43,1132,282253
2013-01-25,24.7,23.65,23.54,24.67,2468,596135
2013-01-28,23.61,23.4,22.78,23.61,2335,595485
2013-01-29,23.4,23.01,22.78,23.35,2457,553586
2013-01-30,23.68,23.49,22.99,23.01,1512,357037
2013-01-31,24.14,23.89,23.41,23.47,1638,407506
2013-02-01,24.45,24.08,24.01,24.04,1566,379162
2013-02-04,23.99,23.66,23.56,23.94,908,203704
2013-02-05,23.98,23.89,23.53,23.69,767,206872
2013-02-06,24.34,24.29,23.75,23.8,1091,346231
2013-02-07,24.42,24.25,23.93,24.25,1050,252261
2013-02-08,24.78,24.7,24.23,24.23,1801,463212
2013-02-11,24.76,24.6,24.55,24.65,1142,296672
2013-02-12,24.8,24.58,24.51,24.58,834,206226
2013-02-13,24.63,24.36,24.29,24.55,1130,368786
2013-02-14,24.83,24.35,24.34,24.38,1696,375933
2013-02-15,24.66,24.58,24.42,24.47,805,318317
2013-02-19,24.7,24.53,24.48,24.6,924,259313
2013-02-20,24.64,24.54,24.44,24.52,1202,340156
2013-02-21,25.11,24.66,24.53,24.7,1448,314153
2013-02-22,24.75,24.35,24.2,24.72,1349,328594
2013-02-25,24.49,23.95,23.95,24.43,1467,398580
2013-02-26,24.06,23.82,23.5,24.06,1370,333344
2013-02-27,24.23,24.18,23.721,23.76,1097,287811
2013-02-28,24.6,24.29,24.11,24.11,1096,278734
2013-03-01,24.58,24.37,24.04,24.15,1241,306082
2013-03-04,24.4,24.37,24.07,24.29,799,178563
2013-03-05,24.99,24.78,24.45,24.5,976,194919
2013-03-06,25.1,24.77,24.73,24.76,845,174912
2013-03-07,24.79,24.65,24.54,24.77,447,112264
2013-03-08,24.81,24.59,24.54,24.81,334,95958
2013-03-11,24.6,24.31,24.2,24.52,826,176532
2013-03-12,24.56,24.52,24.29,24.29,519,115723
2013-03-13,24.77,24.65,24.51,24.51,561,125662
2013-03-14,25.11,25.11,24.71,24.71,1083,209295
2013-03-15,25.37,25.24,25.06,25.18,693,634454
2013-03-18,25.24,24.86,24.67,24.96,1158,317669
2013-03-19,24.877,24.66,24.51,24.84,773,170338
2013-03-20,24.9,24.89,24.64,24.75,712,177951
2013-03-21,24.9,24.48,24.45,24.77,701,205412
2013-03-22,24.619,24.4,24.31,24.53,694,177851
2013-03-25,24.5,24.08,24.02,24.45,1131,237915
2013-03-26,24.35,24.27,24.05,24.13,685,137115
2013-03-27,25.02,24.98,24.15,24.17,1025,241532
2013-03-28,25.71,25.57,24.73,25.06,1449,362392
2013-04-01,25.59,25.39,25.13,25.48,1283,278514
2013-04-02,25.8,25.66,25.35,25.51,999,197602
2013-04-03,25.73,25.26,25.17,25.73,1266,248170
2013-04-04,25.54,25.52,24.96,25.29,956,197922
2013-04-05,26.4,26.4,25.16,25.18,1353,325740
2013-04-08,26.64,26.44,26.2,26.4,1185,236666
2013-04-09,26.61,26.33,26.25,26.5,779,166988
2013-04-10,26.57,26.57,26.25,26.33,1054,227469
2013-04-11,27.39,27.34,26.57,26.57,935,199239
2013-04-12,27.34,26.8,26.74,27.31,695,145122
2013-04-15,26.78,25.78,25.73,26.68,1199,317675
2013-04-16,26.11,26.04,25.78,25.97,769,152468
2013-04-17,25.98,25.61,25.4,25.9,1125,201850
2013-04-18,25.78,25.52,25.37,25.64,834,170128
2013-04-19,25.87,25.85,25.48,25.55,598,202405
2013-04-22,25.84,25.56,25.29,25.84,652,98477
2013-04-23,25.99,25.9,25.64,25.74,833,170535
2013-04-24,26.31,26.31,25.88,25.9,1050,226009
2013-04-25,26.36,26.35,25.29,25.81,1093,210128
2013-04-26,26.71,26.65,26.26,26.31,1228,253165
2013-04-29,26.94,26.76,26.4,26.69,890,161821
2013-04-30,26.85,26.77,26.34,26.73,881,261535
2013-05-01,26.78,26.12,26.12,26.66,1257,331629
2013-05-02,26.25,25.94,25.67,26.2,1173,267581
2013-05-03,26.33,25.89,25.86,26.21,686,135292
2013-05-06,26.38,26.18,25.93,26.38,659,165095
2013-05-07,26.89,26.89,26.22,26.27,1206,250774
2013-05-08,27.13,26.84,26.79,26.9,760,172685
2013-05-09,26.96,26.64,26.45,26.86,889,159583
2013-05-10,26.99,26.58,26.52,26.68,566,101365
2013-05-13,26.61,25.64,25.5,26.54,1213,263469
2013-05-14,25.87,25.54,25.51,25.64,1080,325844
2013-05-15,25.55,25.44,25.24,25.5,855,209484
2013-05-16,25.5,25.49,25.29,25.46,843,152862
2013-05-17,25.86,25.83,25.55,25.65,645,204135
2013-05-20,25.86,25.58,25.55,25.8,698,148556
2013-05-21,25.61,25.27,25.04,25.55,1062,197482
2013-05-22,25.54,24.71,24.53,25.27,1123,232258
2013-05-23,24.66,24.63,24.34,24.58,1269,380073
2013-05-24,24.92,24.8,24.28,24.53,764,158225
2013-05-28,25.4,24.26,23.93,25.06,1353,274805
2013-05-29,24.08,23.4,22.6,24.08,2594,642847
2013-05-30,24.33,24.33,23.46,23.49,1383,341674
2013-05-31,24.35,23.88,23.86,24.33,887,237374
2013-06-03,23.89,23.7,23.28,23.86,1429,393642
2013-06-04,23.71,23.17,22.97,23.7,1486,334275
2013-06-05,23.21,22.49,22.42,23.16,1692,328769
2013-06-06,22.66,22.64,22.28,22.35,1356,301649
2013-06-07,22.84,22.74,22.42,22.8,1167,269855
2013-06-10,22.92,22.66,22.57,22.79,1131,189711
2013-06-11,22.64,22.33,22.25,22.39,1363,273249
2013-06-12,22.65,22.11,21.9,22.55,1177,252039
2013-06-13,22.78,22.76,21.98,22.14,1033,274984
2013-06-14,23.11,22.97,22.72,22.78,1292,349113
2013-06-17,23.29,22.75,22.69,23.2,851,199552
