Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,26.97,26.83,26.48,26.76,538,104700
2013-01-03,26.82,26.49,26.32,26.82,271,51375
2013-01-04,26.7,26.5,26.45,26.61,273,51574
2013-01-07,26.45,26.05,26.05,26.34,219,51142
2013-01-08,26.27,26.21,25.96,26.04,265,43553
2013-01-09,26.54,26.5,26.31,26.32,184,28566
2013-01-10,26.66,26.41,26.24,26.54,259,34076
2013-01-11,26.47,26.37,26.16,26.47,123,44127
2013-01-14,26.39,26.25,26.19,26.35,130,47859
2013-01-15,26.23,26.14,25.98,26.08,122,33015
2013-01-16,26.14,25.99,25.95,26.13,183,33414
2013-01-17,26.36,26.24,26.09,26.13,149,73294
2013-01-18,26.25,26.24,26.13,26.2,130,49840
2013-01-22,26.39,26.29,26.11,26.25,258,47016
2013-01-23,26.31,25.99,25.99,26.31,170,62041
2013-01-24,26.6,26.59,25.94,25.95,309,68352
2013-01-25,26.63,26.38,26.23,26.63,174,32160
2013-01-28,26.63,26.57,26.07,26.46,180,34551
2013-01-29,27.47,27.45,26.64,26.64,535,94480
2013-01-30,27.5,27.25,27.17,27.5,268,41209
2013-01-31,26.87,26.35,26.26,26.79,680,123919
2013-02-01,26.98,26.95,26.33,26.48,274,45781
2013-02-04,26.84,26.74,26.48,26.77,372,57005
2013-02-05,27.08,26.87,26.74,26.87,344,56965
2013-02-06,26.89,26.88,26.56,26.73,213,30404
2013-02-07,26.91,26.79,26.61,26.83,155,27041
2013-02-08,26.99,26.88,26.8,26.83,146,29538
2013-02-11,26.84,26.79,26.66,26.83,209,32916
2013-02-12,27.15,27.06,26.81,26.84,158,35507
2013-02-13,27.33,27.25,27.06,27.1,145,24438
2013-02-14,27.34,27.25,27.23,27.26,211,35132
2013-02-15,27.45,27.31,27.21,27.34,266,70970
2013-02-19,27.72,27.2,26.6,26.88,464,83767
2013-02-20,27.15,26.52,26.43,27.15,535,115159
2013-02-21,26.78,26.53,26.09,26.45,603,88537
2013-02-22,26.68,26.66,26.51,26.67,507,88354
2013-02-25,26.85,25.96,25.94,26.71,330,56955
2013-02-26,26.16,26.12,25.74,25.99,335,115697
2013-02-27,26.32,26.17,25.97,26.13,190,41981
2013-02-28,26.32,26.09,26.01,26.13,530,92274
2013-03-01,26.53,26.37,25.63,25.92,432,71740
2013-03-04,26.46,26.29,25.97,26.24,269,47318
2013-03-05,26.54,26.5,26.22,26.3,219,41569
2013-03-06,26.9,26.89,26.5,26.58,557,114514
2013-03-07,27.11,27.11,26.86,26.88,472,76673
2013-03-08,27.37,27.31,26.99,27.3,437,73608
2013-03-11,27.32,27.25,26.97,27.23,454,79812
2013-03-12,27.44,27.11,27.09,27.25,477,65895
2013-03-13,27.4,27.37,26.95,27.0,414,73526
2013-03-14,27.63,27.5,27.1,27.36,523,122855
2013-03-15,27.59,27.45,27.29,27.54,465,156597
2013-03-18,27.5,27.49,27.19,27.2,214,48676
2013-03-19,27.76,27.74,27.42,27.45,641,117380
2013-03-20,27.75,27.68,27.55,27.75,481,89923
2013-03-21,27.54,27.37,27.23,27.51,176,32700
2013-03-22,27.39,27.06,27.01,27.37,353,60795
2013-03-25,27.25,26.94,26.7,27.06,295,52421
2013-03-26,27.12,27.05,26.98,27.0,179,37428
2013-03-27,27.29,27.29,26.62,26.84,262,53955
2013-03-28,27.42,26.98,26.97,27.35,279,66531
2013-04-01,27.13,26.86,26.6,27.09,210,41932
2013-04-02,27.04,26.68,26.63,27.04,268,46420
2013-04-03,26.8,26.55,26.46,26.8,304,53274
2013-04-04,26.88,26.87,26.36,26.59,289,46686
2013-04-05,26.94,26.91,26.49,26.58,431,63439
2013-04-08,27.0,26.99,26.61,26.98,465,59387
2013-04-09,27.23,27.01,26.82,27.11,311,46801
2013-04-10,27.12,27.01,26.87,27.12,405,66113
2013-04-11,27.29,26.99,26.97,27.07,339,53551
2013-04-12,27.42,26.99,26.75,26.86,614,85290
2013-04-15,26.94,26.38,26.26,26.93,598,90045
2013-04-16,26.79,26.65,26.43,26.55,467,66082
2013-04-17,26.52,26.31,26.05,26.52,466,61276
2013-04-18,26.6,26.38,26.19,26.32,482,65478
2013-04-19,26.93,26.91,26.4,26.4,413,73397
2013-04-22,27.07,26.98,26.57,27.07,423,65498
2013-04-23,27.49,27.49,27.0,27.05,461,71859
2013-04-24,27.5,27.06,27.0,27.5,488,82387
2013-04-25,27.51,27.46,27.23,27.23,370,56638
2013-04-26,27.47,27.45,27.19,27.47,435,70754
2013-04-29,27.68,27.59,27.4,27.45,484,88057
