Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-11-10,14.63,13.08,13.04,13.3,7740,4595712
2017-11-13,13.68,13.15,13.09,13.4,2510,786337
2017-11-14,13.18,13.0,12.8,13.1,2114,1249677
2017-11-15,13.01,12.7,12.7,13.0,1063,423722
2017-11-16,12.95,12.93,12.61,12.78,1393,314647
2017-11-17,13.06,13.0,12.72,13.0,575,209175
2017-11-20,13.08,12.56,12.51,13.0,422,92883
2017-11-21,11.5,10.8,10.02,10.8,3088,745945
2017-11-22,10.81,8.18,8.05,10.81,3243,1006306
2017-11-24,9.8,9.45,7.84,7.87,1523,478581
2017-11-27,9.9,9.43,9.0,9.08,878,273231
2017-11-28,10.26,10.07,9.3,9.47,780,228465
2017-11-29,10.25,9.31,9.31,10.25,560,296794
2017-11-30,9.75,9.6,9.3,9.33,961,176211
2017-12-01,9.45,8.8,8.64,9.28,1368,424797
2017-12-04,9.09,8.34,8.09,9.02,792,236005
2017-12-05,8.24,7.8,7.8,8.2,602,207655
2017-12-06,8.11,8.06,6.9,7.0,1388,487377
2017-12-07,7.9,7.16,6.96,7.9,1778,557559
2017-12-08,7.69,7.57,7.14,7.23,1323,463580
2017-12-11,8.07,8.0,7.5,7.55,2176,653800
2017-12-12,8.16,7.5,7.42,7.96,714,160821
2017-12-13,8.54,8.5,7.35,7.46,1906,480456
2017-12-14,8.72,8.09,8.0,8.5,1315,291714
2017-12-15,8.08,7.51,7.5,8.01,859,206351
2017-12-18,7.85,7.26,7.21,7.6,1245,357355
2017-12-19,7.37,7.26,7.11,7.29,520,112722
2017-12-20,7.39,7.09,7.05,7.32,610,165010
2017-12-21,7.27,7.25,7.09,7.17,473,126982
2017-12-22,7.299,7.23,7.05,7.23,326,87551
2017-12-26,7.18,7.07,6.95,7.18,733,155705
2017-12-27,7.18,7.09,7.02,7.12,510,100318
2017-12-28,7.16,7.09,7.03,7.14,290,84062
2017-12-29,7.18,7.11,7.03,7.09,366,121944
2018-01-02,7.37,7.19,7.1,7.22,418,92918
2018-01-03,7.35,7.19,7.11,7.25,493,148461
2018-01-04,7.25,7.14,7.1,7.12,510,152628
2018-01-05,7.39,7.13,7.11,7.2,446,111552
2018-01-08,7.2,7.1,7.04,7.15,225,107053
2018-01-09,7.21,7.09,7.06,7.18,379,81535
2018-01-10,7.15,7.07,7.06,7.08,176,41154
2018-01-11,7.06,7.0,7.0,7.06,203,61013
2018-01-12,7.05,7.0,6.99,7.0,132,46189
2018-01-16,7.01,6.87,6.85,6.96,348,61319
2018-01-17,6.96,6.68,6.54,6.96,324,90168
2018-01-18,7.35,6.95,6.88,7.18,892,288418
2018-01-19,7.04,6.77,6.75,7.04,379,184150
2018-01-22,6.83,6.79,6.69,6.71,508,212368
2018-01-23,7.1,7.0,6.75,6.76,303,117438
2018-01-24,7.55,7.5,7.02,7.06,1074,304041
2018-01-25,8.68,8.46,7.62,7.62,2220,606301
2018-01-26,8.54,8.46,8.08,8.38,1316,337068
2018-01-29,8.54,8.35,8.11,8.33,262,77510
2018-01-30,8.23,7.87,7.8,8.23,331,87199
2018-01-31,8.03,7.65,7.58,7.98,244,65067
2018-02-01,7.6,7.11,7.11,7.6,574,133351
2018-02-02,7.2,7.08,7.05,7.19,459,155913
2018-02-05,7.27,7.1,7.05,7.11,912,444368
2018-02-06,7.45,7.29,6.9,7.1,660,150492
2018-02-07,7.24,7.1,7.1,7.22,315,71735
2018-02-08,7.1,6.92,6.9,7.06,445,87738
2018-02-09,7.1,6.9,6.9,6.91,612,126783
2018-02-12,7.15,7.11,7.05,7.05,152,36756
2018-02-13,7.15,7.01,7.0,7.15,403,60302
2018-02-14,7.81,7.81,7.05,7.19,443,90394
2018-02-15,7.96,7.73,7.62,7.96,211,52179
2018-02-16,7.81,7.7,7.62,7.69,138,24887
2018-02-20,7.96,7.58,7.57,7.64,267,60541
2018-02-21,7.78,7.62,7.56,7.6,135,25812
2018-02-22,7.79,7.59,7.59,7.67,109,16802
2018-02-23,7.61,7.42,7.42,7.59,168,52065
2018-02-26,7.569,7.07,7.05,7.42,446,93321
2018-02-27,7.35,7.07,7.0,7.07,483,120246
2018-02-28,7.24,7.08,7.06,7.11,400,54929
2018-03-01,7.16,7.0,6.97,7.16,307,44978
2018-03-02,7.18,7.09,6.95,6.98,302,47409
2018-03-05,7.7,7.36,7.0,7.02,708,110206
2018-03-06,7.47,7.35,7.25,7.47,297,69672
2018-03-07,7.57,7.5,7.35,7.39,255,65948
2018-03-08,8.09,8.02,7.5,7.59,575,140980
2018-03-09,8.17,7.87,7.78,8.05,483,108882
2018-03-12,8.5,8.43,7.95,8.0,879,308197
2018-03-13,8.5,7.95,7.885,8.5,823,158344
2018-03-14,8.05,7.84,7.81,8.03,349,58172
2018-03-15,7.825,7.6,7.52,7.82,901,175166
2018-03-16,7.78,7.67,7.61,7.67,262,58839
2018-03-19,7.93,7.68,7.57,7.7,413,85816
2018-03-20,7.765,7.69,7.51,7.66,279,171391
2018-03-21,8.22,8.17,7.39,7.39,1029,184476
2018-03-22,8.11,8.0,7.79,7.94,769,248034
2018-03-23,8.1,7.95,7.9,7.93,734,250802
2018-03-26,8.01,7.25,7.11,8.0,1038,305026
2018-03-27,7.59,7.33,7.31,7.31,380,92167
2018-03-28,7.37,7.33,7.15,7.33,414,89362
2018-03-29,7.57,7.45,7.3,7.35,365,102989
2018-04-02,7.35,7.19,7.16,7.35,371,112507
2018-04-03,7.37,7.12,7.11,7.21,536,87475
2018-04-04,7.4,7.29,7.01,7.02,152,36785
2018-04-05,7.35,7.12,7.1,7.3,362,50308
2018-04-06,7.21,7.08,7.02,7.08,367,76204
2018-04-09,7.23,7.08,7.08,7.1,111,21955
2018-04-10,7.25,7.02,7.02,7.25,317,96129
2018-04-11,7.11,7.02,7.02,7.05,161,82556
2018-04-12,7.07,6.97,6.82,7.04,344,99817
2018-04-13,7.03,6.87,6.72,7.0,363,75915
2018-04-16,6.85,6.71,6.61,6.85,408,72643
2018-04-17,6.83,6.79,6.65,6.72,254,47536
