Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,39.75,39.42,38.58,38.58,938,158955
2013-01-03,39.66,39.42,39.26,39.4,557,99153
2013-01-04,39.65,39.44,39.34,39.52,529,105390
2013-01-07,39.5,39.28,39.2,39.37,483,108880
2013-01-08,39.43,38.87,38.69,39.19,521,87181
2013-01-09,39.2,39.03,38.83,39.03,526,72964
2013-01-10,39.38,39.31,39.08,39.19,394,54282
2013-01-11,39.38,39.38,39.07,39.23,336,68706
2013-01-14,39.45,38.81,38.81,39.27,351,51131
2013-01-15,39.23,39.1,38.76,39.23,779,145423
2013-01-16,39.12,38.9,38.68,38.99,311,45460
2013-01-17,39.32,39.1,38.91,39.1,466,62843
2013-01-18,39.44,39.21,39.1,39.11,381,65632
2013-01-22,39.98,39.92,39.05,39.05,469,81256
2013-01-23,40.02,39.98,39.65,39.84,468,99781
2013-01-24,40.22,39.93,39.74,39.94,383,62095
2013-01-25,40.5,40.49,40.0,40.0,460,72519
2013-01-28,40.62,40.48,40.0,40.42,446,77827
2013-01-29,40.48,40.32,40.09,40.48,427,67497
2013-01-30,40.41,40.03,40.0,40.41,327,48903
2013-01-31,40.34,40.07,39.86,40.03,255,56433
2013-02-01,40.6,40.23,40.19,40.42,343,46633
2013-02-04,40.42,40.16,39.96,40.05,328,47023
2013-02-05,40.92,40.79,40.17,40.3,492,84937
2013-02-06,41.31,41.31,40.8,40.83,483,80890
2013-02-07,41.34,41.21,40.62,41.25,450,66873
2013-02-08,41.52,41.36,41.0,41.26,263,43942
2013-02-11,41.77,41.59,41.37,41.55,335,63646
2013-02-12,42.38,42.16,41.54,41.6,565,92369
2013-02-13,42.06,41.82,40.54,42.03,882,130897
2013-02-14,41.7,41.54,40.97,40.97,713,114898
2013-02-15,42.58,42.34,41.78,41.81,601,107393
2013-02-19,42.39,41.97,41.7,42.3,569,104078
2013-02-20,41.94,40.98,40.97,41.59,412,68843
2013-02-21,41.07,40.43,40.37,40.96,436,66609
2013-02-22,40.66,40.62,40.16,40.66,651,96644
2013-02-25,41.07,40.0,39.98,40.84,704,109302
2013-02-26,40.41,40.17,39.94,40.27,268,35307
2013-02-27,41.09,40.83,40.1,40.3,372,61426
2013-02-28,41.21,41.09,40.91,40.91,330,63814
2013-03-01,41.33,41.0,40.66,40.92,319,44291
2013-03-04,41.05,40.86,40.73,40.96,251,37204
2013-03-05,41.58,41.34,41.02,41.02,231,32686
2013-03-06,41.82,41.45,41.34,41.39,249,33283
2013-03-07,41.91,41.63,41.4,41.41,277,48332
2013-03-08,42.41,42.39,41.92,41.92,299,46471
2013-03-11,42.89,42.71,42.11,42.34,337,54983
2013-03-12,42.97,42.68,42.43,42.97,398,67380
2013-03-13,42.8,42.76,42.42,42.8,301,44893
2013-03-14,43.35,43.31,42.66,42.68,359,56097
2013-03-15,43.53,43.44,43.14,43.14,291,107049
2013-03-18,43.34,43.19,42.89,42.95,239,44632
2013-03-19,43.43,42.94,42.63,43.3,308,45204
2013-03-20,43.47,42.87,42.79,43.14,628,98283
2013-03-21,42.86,42.54,42.49,42.62,351,52790
2013-03-22,42.77,42.45,42.26,42.74,232,34494
2013-03-25,42.65,42.3,42.12,42.5,241,38807
2013-03-26,42.58,42.54,42.3,42.48,238,38156
