Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-04-05,25.98,25.6,25.32,25.5,5329,4562260
2017-04-06,26.29,26.07,25.6,25.62,908,180822
2017-04-07,26.41,25.89,25.89,26.12,682,138462
2017-04-10,26.39,25.99,25.69,25.69,223,44098
2017-04-11,26.07,25.93,25.71,26.07,194,36089
2017-04-12,26.1,25.84,25.81,25.81,141,24616
2017-04-13,25.98,25.45,25.08,25.98,190,41111
2017-04-17,25.58,25.29,25.23,25.55,119,17884
2017-04-18,25.96,25.84,25.24,25.24,115,24952
2017-04-19,26.12,25.75,25.58,25.99,127,92146
2017-04-20,25.81,25.48,25.28,25.81,40,10760
2017-04-21,25.55,25.44,25.39,25.51,152,76274
2017-04-24,25.9,25.43,25.33,25.81,260,30446
2017-04-25,25.61,25.5,25.37,25.61,75,12599
2017-04-26,26.15,25.75,25.59,25.66,133,18045
2017-04-27,25.77,25.5,25.37,25.66,47,10955
2017-04-28,25.8,25.58,25.41,25.8,148,75541
2017-05-01,26.27,26.13,25.71,25.71,225,36027
2017-05-02,26.34,26.27,25.91,25.95,184,33315
2017-05-03,26.74,26.06,25.81,26.6,436,78501
2017-05-04,25.89,25.14,24.35,25.85,365,52458
2017-05-05,25.47,25.35,24.59,24.76,365,71358
2017-05-08,25.5,25.37,25.01,25.2,103,12110
2017-05-09,25.25,24.87,24.56,25.25,157,20034
2017-05-10,25.89,25.14,24.76,24.88,211,29227
2017-05-11,25.49,25.45,24.56,25.21,189,32401
2017-05-12,25.55,25.55,25.0,25.52,37,12501
2017-05-15,25.98,25.94,25.59,25.79,74,14775
2017-05-16,26.05,25.7,25.6,26.05,54,6739
2017-05-17,26.0,25.44,25.4,25.54,45,8976
2017-05-18,25.4,24.99,24.95,25.32,112,12254
2017-05-19,25.21,25.21,24.76,25.21,85,9970
2017-05-22,25.23,25.03,24.8,25.23,15,1609
2017-05-23,25.1,24.71,24.67,25.1,71,4026
2017-05-24,25.1,24.68,24.3,25.1,69,16698
2017-05-25,24.75,24.17,24.17,24.75,74,11133
2017-05-26,24.2,24.14,23.52,24.2,62,11428
2017-05-30,24.21,23.87,23.82,23.85,138,8918
2017-05-31,24.04,23.24,23.09,23.85,193,22436
2017-06-01,23.36,23.18,23.13,23.29,122,9049
2017-06-02,23.84,23.33,23.23,23.39,41,6336
2017-06-05,23.45,23.22,23.021,23.44,97,13826
2017-06-06,23.58,23.09,23.01,23.01,150,31977
2017-06-07,23.09,22.25,21.96,23.09,155,22576
2017-06-08,23.3,22.73,22.23,22.36,127,38007
2017-06-09,22.9,22.59,22.48,22.9,35,27040
2017-06-12,23.67,22.9,22.48,22.71,126,16753
2017-06-13,22.84,22.4,22.16,22.84,107,13139
2017-06-14,22.49,22.05,21.65,22.36,65,8776
2017-06-15,21.91,21.6,21.53,21.91,110,12990
2017-06-16,21.82,21.5,21.25,21.82,65,18034
2017-06-19,21.53,21.31,21.25,21.53,17,3428
2017-06-20,21.14,19.57,18.99,21.14,231,46638
2017-06-21,19.66,19.09,18.62,19.66,304,37942
2017-06-22,19.68,19.39,19.0,19.02,128,16258
2017-06-23,19.46,19.42,18.72,19.37,85,10144
2017-06-26,19.87,18.95,18.63,19.5,88,12444
2017-06-27,19.39,19.01,18.86,18.95,94,11805
2017-06-28,19.74,19.33,19.0,19.0,126,13094
2017-06-29,20.34,20.16,18.83,19.27,90,12105
2017-06-30,20.67,20.37,20.32,20.6,140,28059
2017-07-03,21.19,20.84,20.59,20.91,41,6283
2017-07-05,20.5,20.15,20.05,20.5,319,69104
2017-07-06,20.65,20.21,20.07,20.2,94,13103
2017-07-07,20.31,20.02,19.55,20.31,64,8131
2017-07-10,20.7,20.21,19.8,19.8,53,29789
2017-07-11,20.22,20.22,20.12,20.12,8,1406
2017-07-12,20.89,19.88,19.8,20.27,62,32320
2017-07-13,20.07,19.99,19.8,19.8,30,3724
2017-07-14,20.35,20.3,19.86,19.86,42,6894
2017-07-17,20.58,20.5,20.29,20.29,53,5711
2017-07-18,21.4,21.4,20.32,20.46,77,9171
2017-07-19,21.88,21.73,21.08,21.25,123,17532
2017-07-20,22.16,21.97,21.51,21.7,77,9668
2017-07-21,21.97,21.73,21.42,21.97,61,8552
2017-07-24,21.95,21.95,21.39,21.73,14,2047
2017-07-25,22.06,22.0,21.75,21.95,73,11068
2017-07-26,22.3,21.53,21.53,22.15,113,28468
2017-07-27,22.25,21.94,21.57,21.57,108,7732
2017-07-28,22.2,21.53,21.34,21.75,133,29458
2017-07-31,21.96,21.14,20.65,21.71,114,13780
2017-08-01,21.4,20.7,20.7,21.17,76,9660
2017-08-02,21.65,21.44,20.44,20.44,134,15913
2017-08-03,21.72,20.81,20.58,21.63,113,16358
2017-08-04,21.03,20.2,20.17,21.03,105,10183
2017-08-07,20.26,19.99,19.78,20.15,64,8070
2017-08-08,20.29,19.62,19.6,20.11,92,10492
2017-08-09,20.15,19.61,19.48,19.48,54,5102
2017-08-10,19.79,18.8,18.41,19.79,119,25428
2017-08-11,19.47,19.21,18.94,19.25,78,17439
2017-08-14,19.87,19.75,19.2,19.3,49,7205
2017-08-15,20.29,19.95,19.48,19.61,117,17592
2017-08-16,20.25,19.99,19.85,19.98,53,6786
2017-08-17,20.06,19.64,19.57,19.96,73,7209
2017-08-18,20.0,19.67,19.48,19.7,28,3221
2017-08-21,20.06,19.9,19.73,19.73,67,6773
2017-08-22,19.97,19.59,19.51,19.97,62,6017
2017-08-23,19.77,19.29,19.29,19.52,56,8269
2017-08-24,20.05,19.53,19.26,19.35,143,16502
2017-08-25,19.9,19.78,19.54,19.6,76,11174
2017-08-28,19.87,19.6,19.56,19.78,119,14643
2017-08-29,19.865,19.69,19.47,19.47,29,2922
2017-08-30,21.0,20.32,19.76,20.0,285,50261
2017-08-31,21.5,21.06,20.8,20.95,69,7082
2017-09-01,21.55,21.31,20.99,21.22,86,10389
2017-09-05,21.601,21.1,20.66,21.32,56,7999
2017-09-06,22.14,21.9,21.25,21.3,80,14786
2017-09-07,22.3,22.26,21.61,21.94,147,18061
2017-09-08,22.4,22.05,21.56,22.24,72,10569
2017-09-11,22.33,22.17,21.55,22.101,121,14563
2017-09-12,22.87,22.45,22.04,22.04,149,18531
2017-09-13,22.65,22.43,22.16,22.65,48,8111
2017-09-14,22.6,22.2,21.98,22.6,253,24479
2017-09-15,22.89,22.83,21.87,22.2,102,10958
2017-09-18,22.99,21.98,21.94,22.99,43,7607
2017-09-19,22.47,22.39,21.82,21.82,26,5857
2017-09-20,22.58,22.26,22.15,22.15,32,2838
2017-09-21,22.48,22.27,22.17,22.48,10,2208
2017-09-22,22.769,21.92,21.75,22.27,68,10907
2017-09-25,22.08,22.0,21.56,21.91,27,4471
2017-09-26,22.28,22.04,21.825,22.03,35,4739
2017-09-27,22.37,22.08,21.9,22.37,16,2500
2017-09-28,21.87,21.7,21.59,21.81,18,4754
2017-09-29,22.28,21.97,21.18,21.64,32,3622
2017-10-02,22.39,22.34,21.93,21.93,31,3664
2017-10-03,22.76,22.56,22.21,22.34,164,18872
2017-10-04,23.3,22.4,22.29,22.5,709,94719
2017-10-05,22.78,22.05,22.02,22.44,295,31918
2017-10-06,22.13,21.97,21.75,21.96,147,29173
2017-10-09,22.21,21.89,21.89,21.95,23,4112
2017-10-10,22.7,21.69,21.56,22.04,107,11677
2017-10-11,22.24,21.48,21.36,21.67,187,19205
2017-10-12,21.69,21.57,21.32,21.33,113,14654
2017-10-13,21.91,21.28,21.27,21.59,102,12921
2017-10-16,21.47,21.46,21.25,21.34,30,4632
2017-10-17,21.72,21.38,20.71,21.44,268,40321
2017-10-18,21.8,21.18,21.0,21.41,117,13518
2017-10-19,21.34,20.92,20.56,21.24,151,20055
2017-10-20,21.47,21.47,20.92,20.92,67,9868
2017-10-23,21.6,21.14,20.96,21.51,93,11969
2017-10-24,21.56,21.22,20.91,21.26,104,12842
2017-10-25,21.55,20.67,20.15,21.35,159,15631
2017-10-26,20.88,20.68,20.475,20.7,107,11975
2017-10-27,21.2,20.38,20.14,20.76,151,17127
2017-10-30,20.97,20.1,20.05,20.36,211,30227
2017-10-31,20.17,19.86,19.46,20.11,306,43755
2017-11-01,20.48,20.22,19.86,20.08,100,14490
2017-11-02,20.15,19.88,19.77,20.0,42,4618
2017-11-03,20.35,20.04,19.84,20.35,51,5872
2017-11-06,20.8,20.44,20.02,20.14,188,24020
2017-11-07,20.7,20.64,20.22,20.54,80,6771
2017-11-08,20.76,20.22,20.19,20.76,115,11210
2017-11-09,20.45,20.28,19.77,20.32,138,13175
2017-11-10,20.87,20.28,20.08,20.43,107,10514
