Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-26,10.0,10.0,10.0,10.0,2,111
2021-10-27,10.5,9.74,9.7,10.5,70,29394
2021-10-28,9.74,9.72,9.72,9.72,15,4501
2021-10-29,9.78,9.75,9.71,9.71,6,1010
2021-11-01,9.76,9.76,9.75,9.75,7,1070
2021-11-02,9.8,9.75,9.72,9.76,15,7621
2021-11-03,9.76,9.76,9.72,9.75,110,44135
2021-11-04,9.76,9.75,9.75,9.75,8,8177
2021-11-05,9.77,9.75,9.74,9.77,48,19116
2021-11-08,9.77,9.77,9.75,9.75,18,7107
2021-11-09,10.0,9.75,9.75,10.0,10,1929
2021-11-10,9.76,9.76,9.74,9.74,6,840
2021-11-11,9.75,9.75,9.75,9.75,1,100
2021-11-12,9.77,9.77,9.76,9.76,7,10643
2021-11-15,9.77,9.77,9.74,9.74,13,6675
2021-11-16,9.78,9.78,9.77,9.77,2,877
2021-11-17,9.79,9.79,9.71,9.71,20,52132
2021-11-18,9.79,9.79,9.71,9.71,11,70569
2021-11-19,9.78,9.78,9.72,9.72,6,8779
2021-11-22,9.81,9.81,9.77,9.78,34,198606
2021-11-23,,,,,1,3
2021-11-24,9.78,9.78,9.75,9.75,2,5100
2021-11-26,9.75,9.75,9.75,9.75,1,222
2021-11-29,9.8,9.78,9.76,9.8,3,598
2021-11-30,9.77,9.77,9.77,9.77,47,162200
2021-12-01,9.78,9.78,9.78,9.78,5,3199
2021-12-02,9.78,9.78,9.78,9.78,4,900
2021-12-06,9.77,9.77,9.77,9.77,20,43500
2021-12-07,9.77,9.77,9.77,9.77,4,29720
2021-12-08,9.77,9.77,9.74,9.77,13,31048
2021-12-09,9.76,9.76,9.76,9.76,25,373580
2021-12-10,9.78,9.78,9.76,9.76,1,48
2021-12-13,9.7509,9.7509,9.7509,9.7509,,
2021-12-14,9.75,9.75,9.73,9.73,23,20032
2021-12-15,9.75,9.75,9.75,9.75,37,20081
2021-12-16,9.75,9.75,9.75,9.75,7,15867
2021-12-21,9.7845,9.7845,9.7845,9.7845,,
2021-12-22,9.75,9.75,9.75,9.75,2,1263
2021-12-27,9.75,9.75,9.75,9.75,7,312
2021-12-28,9.79,9.79,9.75,9.75,1,100
2021-12-29,9.76,9.76,9.72,9.72,2,264
2021-12-31,9.765,9.765,9.74,9.74,3,109
2022-01-03,9.78,9.76,9.76,9.78,7,128
2022-01-04,9.81,9.75,9.75,9.81,1,2
2022-01-05,9.75,9.75,9.75,,,
2022-01-06,9.75,9.75,9.75,9.75,,
2022-01-07,9.78,9.78,9.78,9.78,,
2022-01-11,9.75,9.75,9.75,9.75,15,7770
2022-01-14,9.74,9.74,9.74,9.74,,
2022-01-18,9.74,9.74,9.74,9.74,1,100
2022-01-19,9.76,9.76,9.76,9.76,2,307
2022-01-20,9.74,9.74,9.74,9.74,1,100
2022-01-24,9.74,9.74,9.74,9.74,4,52
2022-01-25,9.74,9.72,9.72,9.74,11,6002
2022-01-26,9.72,9.72,9.72,,,
2022-01-27,9.7,9.69,9.69,9.72,6,900
2022-01-28,9.74,9.74,9.74,9.74,,
2022-01-29,,,,9.74,,
2022-01-31,9.71,9.71,9.71,9.71,,
2022-02-02,9.73,9.73,9.73,9.73,,
2022-02-03,9.73,9.73,9.73,9.73,,
2022-02-07,9.75,9.74,9.74,9.75,8,7314
2022-02-10,9.76,9.76,9.76,9.76,,
2022-02-11,,,,,1,5
2022-02-17,9.77,9.77,9.77,9.77,3,840
2022-02-18,9.76,9.76,9.76,9.76,2,2149
2022-02-23,,,,,1,5
2022-02-25,9.77,9.77,9.77,9.77,,
2022-02-28,9.76,9.76,9.76,9.76,1,400
2022-03-01,9.8,9.8,9.76,9.77,4,490
2022-03-02,9.78,9.78,9.74,9.765,12,8100
2022-03-03,9.78,9.78,9.78,9.78,,
2022-03-04,9.78,9.78,9.78,9.78,,
