Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-03-24,10.05,10.0,9.92,10.0,961,5215319
2021-03-25,10.03,10.0,9.91,10.0,510,227945
2021-03-26,10.07,10.01,9.99,10.01,107,97710
2021-03-29,10.07,10.0,10.0,10.0,46,6165
2021-03-30,10.05,10.0,9.92,10.05,555,183289
2021-03-31,10.09,10.09,10.02,10.02,52,8509
2021-04-01,10.12,10.12,10.08,10.09,10,609
2021-04-05,10.2,10.2,10.17,10.17,108,8507
2021-04-06,10.21,10.17,10.16,10.2,78,23366
2021-04-07,10.23,10.2,10.13,10.15,159,57333
2021-04-08,10.3,10.29,10.2,10.2,85,17591
2021-04-09,10.27,10.23,10.22,10.27,39,4111
2021-04-12,10.35,10.27,10.24,10.24,44,5839
2021-04-13,10.3,10.2,10.18,10.3,82,44177
2021-04-14,10.29,10.24,10.18,10.18,74,4337
2021-04-15,10.23,10.22,10.22,10.22,10,357
2021-04-16,10.25,10.2,10.2,10.25,31,6321
2021-04-19,10.25,10.22,10.2,10.25,32,1337
2021-04-20,10.25,10.1,10.1,10.19,43,10700
2021-04-21,10.25,10.1,10.1,10.1,85,15771
2021-04-22,10.17,10.15,10.1,10.1,109,19153
2021-04-23,10.28,10.28,10.28,10.28,1,1
2021-04-26,10.35,10.22,10.19,10.19,29,2985
2021-04-27,10.37,10.37,10.34,10.35,30,27785
2021-04-28,10.45,10.45,10.37,10.39,23,1973
2021-04-29,10.45,10.45,10.37,10.41,14,6260
2021-04-30,10.41,10.4,10.35,10.375,23,4457
2021-05-03,10.39,10.26,10.26,10.39,9,1456
2021-05-04,10.26,10.26,10.14,10.26,14,2506
2021-05-05,10.27,10.22,10.14,10.27,19,615
2021-05-06,10.17,10.11,10.11,10.16,17,1606
2021-05-07,10.17,10.11,10.11,10.17,7,1322
2021-05-10,10.14,10.07,10.07,10.14,15,16963
2021-05-11,10.08,10.04,10.02,10.07,15,5004
2021-05-12,10.07,10.01,10.01,10.07,11,1709
2021-05-13,10.09,10.09,10.0,10.0,8,3350
2021-05-14,10.08,10.08,10.08,10.08,3,202
2021-05-17,10.11,10.0,9.995,10.11,47,11288
2021-05-18,10.0,9.99,9.98,10.0,83,9017
2021-05-19,10.05,10.05,10.0,10.0,13,4741
2021-05-20,10.04,10.01,10.0,10.02,11,3542
2021-05-24,10.01,10.01,10.01,10.01,1,140
2021-05-25,10.08,10.01,9.99,10.08,45,8246
2021-05-26,10.01,10.0,10.0,10.01,3,452
2021-05-27,10.3,10.07,10.055,10.3,174,52277
2021-05-28,10.29,10.05,10.05,10.29,76,19620
2021-06-01,10.15,10.13,10.05,10.1,98,20704
2021-06-02,10.13,10.1,10.05,10.13,44,7438
2021-06-03,10.175,10.14,10.12,10.12,18,768
2021-06-04,10.14,10.11,10.1,10.14,24,6710
2021-06-07,10.15,10.06,10.05,10.15,55,3982
2021-06-08,10.1,10.06,10.05,10.05,40,3663
2021-06-09,10.1,9.98,9.98,10.1,58,10917
2021-06-10,10.01,9.97,9.97,10.01,27,2064
2021-06-11,9.99,9.96,9.96,9.99,21,1249
2021-06-14,9.99,9.98,9.95,9.99,50,16982
2021-06-15,9.99,9.92,9.92,9.97,36,19560
2021-06-16,9.93,9.93,9.91,9.92,8,1023
2021-06-17,9.94,9.94,9.91,9.91,22,4055
2021-06-18,10.0,10.0,9.92,9.95,22,7676
2021-06-21,10.02,9.96,9.94,10.02,7,1198
2021-06-22,10.03,10.03,9.97,9.97,216,33554
2021-06-23,10.05,10.0,10.0,10.05,24,15036
2021-06-24,10.02,10.0,9.96,10.01,16,2581
2021-06-25,10.03,9.97,9.94,10.03,7,416
2021-06-28,10.04,9.93,9.93,10.04,8,4656
2021-06-29,9.91,9.91,9.91,9.91,1,200
2021-06-30,9.91,9.91,9.91,9.91,1,10
2021-07-01,9.95,9.86,9.85,9.95,170,52305
2021-07-02,9.91,9.91,9.905,9.91,7,1216
2021-07-06,11.57,11.5,10.3,10.3,9509,3424788
2021-07-07,11.11,10.89,10.58,11.11,2949,711549
2021-07-08,10.89,10.65,10.47,10.89,1477,355089
2021-07-09,10.82,10.65,10.42,10.82,1913,450193
2021-07-12,10.73,10.51,10.5,10.73,455,98348
2021-07-13,10.65,10.52,10.51,10.64,387,73905
2021-07-14,10.6,10.58,10.47,10.6,529,101960
2021-07-15,10.615,10.53,10.49,10.58,672,92462
2021-07-16,10.7,10.6,10.51,10.63,621,94721
2021-07-19,10.65,10.47,10.36,10.65,582,148483
2021-07-20,10.65,10.53,10.32,10.55,413,110180
2021-07-21,10.65,10.53,10.51,10.6,153,24002
2021-07-22,10.58,10.52,10.48,10.58,224,24725
2021-07-23,10.78,10.78,10.54,10.6,461,128187
2021-07-26,10.9,10.59,10.56,10.9,347,71172
2021-07-27,10.59,10.53,10.5,10.59,541,107770
2021-07-28,10.61,10.58,10.54,10.55,167,35289
2021-07-29,10.63,10.59,10.51,10.63,666,61196
2021-07-30,10.6,10.56,10.545,10.58,1270,169085
2021-08-02,10.6,10.5,10.46,10.6,156,18771
2021-08-03,10.56,10.3,10.27,10.56,388,62507
2021-08-04,10.39,10.29,10.26,10.3,220,22429
2021-08-05,10.35,10.24,10.2,10.3,315,69985
2021-08-06,10.24,10.16,10.09,10.22,374,49034
2021-08-09,10.59,10.2,10.18,10.48,329,76186
2021-08-10,10.22,10.14,10.11,10.21,450,54390
2021-08-11,10.23,10.21,10.17,10.19,189,14805
2021-08-12,10.24,10.2,10.15,10.24,354,63347
2021-08-13,10.28,10.2,10.16,10.2,201,29778
2021-08-16,10.26,10.17,10.12,10.26,451,57539
2021-08-17,10.16,10.12,10.065,10.16,385,45544
2021-08-18,10.12,10.11,10.08,10.08,206,25619
2021-08-19,10.11,10.03,10.02,10.06,285,38689
2021-08-20,10.04,10.01,10.0,10.0,251,59513
2021-08-23,10.09,9.99,9.96,10.03,216,32471
2021-08-24,9.995,9.94,9.925,9.97,334,31314
2021-08-25,9.97,9.93,9.92,9.93,170,17684
2021-08-26,9.96,9.95,9.91,9.91,198,23084
2021-08-27,9.945,9.93,9.92,9.94,139,35005
2021-08-30,9.98,9.91,9.89,9.98,256,48439
2021-08-31,9.95,9.93,9.895,9.9,384,67234
2021-09-01,9.97,9.93,9.92,9.95,170,14794
2021-09-02,9.99,9.98,9.92,9.93,171,19952
2021-09-03,9.985,9.98,9.945,9.95,126,31913
2021-09-07,10.03,10.03,9.96,10.0,390,63242
2021-09-08,10.03,10.02,9.92,10.0,242,41244
2021-09-09,10.31,10.26,10.0,10.04,452,62803
2021-09-10,10.48,10.39,10.28,10.28,517,64557
2021-09-13,10.53,10.42,10.32,10.45,839,118526
2021-09-14,10.48,10.26,10.19,10.37,518,73809
2021-09-15,10.32,10.13,10.12,10.31,171,20073
2021-09-16,10.15,10.07,10.02,10.11,349,59981
2021-09-17,10.325,10.28,10.07,10.08,714,95968
2021-09-20,10.29,10.24,10.1,10.18,615,69727
2021-09-21,10.4,10.38,10.22,10.25,305,35914
2021-09-22,10.47,10.43,10.39,10.4,386,46642
2021-09-23,10.46,10.44,10.4,10.4,481,73916
2021-09-24,10.45,10.35,10.335,10.45,261,24643
2021-09-27,10.36,10.2,10.17,10.35,446,59684
2021-09-28,10.29,10.13,10.1,10.16,649,77748
2021-09-29,10.16,10.13,10.08,10.16,271,37129
2021-09-30,10.19,10.18,10.1,10.12,263,21789
2021-10-01,10.24,10.07,10.06,10.21,209,47834
2021-10-04,10.14,10.02,10.0,10.11,441,193018
2021-10-05,10.05,10.05,10.01,10.03,346,75912
2021-10-06,10.07,10.04,10.0,10.07,344,48195
2021-10-07,10.05,10.03,10.02,10.05,167,34618
2021-10-08,10.03,10.02,10.01,10.01,100,18085
2021-10-11,10.06,10.0,9.99,10.06,295,53664
2021-10-12,10.015,10.01,10.0,10.01,129,35928
2021-10-13,10.03,10.0,9.99,10.01,203,65046
2021-10-14,10.04,10.03,10.01,10.03,148,94248
2021-10-15,10.03,10.01,10.01,10.03,124,31557
2021-10-18,10.03,10.01,10.0,10.01,408,189274
2021-10-19,10.03,10.01,10.0,10.0,320,50349
2021-10-20,10.025,10.01,10.0,10.01,168,22074
2021-10-21,10.22,10.14,10.01,10.02,541,118964
2021-10-22,10.14,10.05,10.05,10.14,477,118102
2021-10-25,10.19,10.06,10.05,10.05,1407,442197
2021-10-26,10.375,10.16,10.115,10.36,1835,306437
2021-10-27,10.22,10.1,10.01,10.22,1634,613945
2021-10-28,10.12,10.01,9.99,10.09,1314,504954
2021-10-29,10.27,10.23,9.87,10.04,1471,494290
2021-11-01,10.47,10.16,10.1,10.25,1429,214024
2021-11-02,10.95,10.9,10.05,10.27,3203,838796
2021-11-03,10.9,10.52,10.27,10.83,2025,404846
2021-11-04,10.7,10.23,10.03,10.7,1813,536256
2021-11-05,11.22,11.12,10.36,10.38,2412,425415
2021-11-08,17.75,13.01,11.85,12.0,5802,2525666
2021-11-09,14.51,13.5,13.26,14.25,4525,1431293
2021-11-10,14.01,13.15,12.9,13.53,2053,532725
2021-11-11,13.2,12.17,11.71,13.18,1724,450991
2021-11-12,13.53,13.11,12.29,12.29,1672,284520
2021-11-15,13.55,13.37,13.05,13.15,733,153574
2021-11-16,13.54,12.93,12.9,13.4,1359,253795
2021-11-17,13.15,12.76,12.36,12.87,1211,214422
2021-11-18,13.33,13.01,12.69,12.69,1386,238670
2021-11-19,13.81,12.72,12.44,12.95,986,264365
2021-11-22,12.99,11.04,10.79,12.72,2218,373458
2021-11-23,12.09,11.69,11.34,11.85,940,203722
2021-11-24,11.88,11.04,11.04,11.46,901,208127
2021-11-26,11.66,11.64,10.7,10.97,470,84597
2021-11-29,12.15,11.59,11.01,11.46,935,138733
2021-11-30,11.65,11.35,11.05,11.53,912,106701
2021-12-01,11.82,11.5,11.19,11.48,1309,177857
2021-12-02,11.49,10.69,10.185,11.49,2603,688815
2021-12-03,10.64,10.14,9.75,10.61,1619,266530
2021-12-06,10.38,9.94,9.63,10.0,1623,339031
2021-12-07,10.78,10.51,10.01,10.01,1179,212859
2021-12-08,11.29,10.67,10.44,10.47,1311,235117
2021-12-09,10.76,10.35,10.25,10.59,938,129257
2021-12-10,10.75,9.54,9.45,10.29,1224,241321
2021-12-13,9.57,8.29,8.08,9.5,1683,350714
2021-12-14,8.82,7.94,7.92,8.16,1444,344541
2021-12-15,8.08,7.89,7.265,7.94,1918,980975
2021-12-16,8.47,7.55,7.33,8.08,1801,935678
2021-12-17,8.24,8.01,7.34,7.52,2089,3753334
2021-12-20,8.3,8.05,7.75,7.96,1205,903235
2021-12-21,8.24,7.95,7.41,8.02,1410,872170
2021-12-22,8.55,8.42,7.8,8.0,873,262162
2021-12-23,8.82,8.82,8.27,8.51,768,201265
2021-12-27,8.94,8.75,8.37,8.8,1004,231246
2021-12-28,8.96,8.83,8.6,8.67,694,125294
2021-12-29,8.75,8.39,8.15,8.75,1307,235677
2021-12-30,8.6,8.29,8.11,8.32,659,144524
2021-12-31,8.43,7.89,7.84,8.31,902,239965
2022-01-03,8.2,7.99,7.67,7.96,510,107469
2022-01-04,7.95,7.75,7.41,7.95,1167,256057
2022-01-05,7.67,6.86,6.7,7.66,1178,257776
2022-01-06,7.03,7.02,6.43,7.01,2061,685042
2022-01-07,7.32,6.76,6.74,6.94,846,204904
2022-01-10,6.83,6.36,6.17,6.83,1785,532880
2022-01-11,7.33,7.15,6.48,6.71,2899,764182
2022-01-12,7.18,6.76,6.68,7.18,554,151359
2022-01-13,6.85,6.28,6.23,6.75,983,272192
2022-01-14,6.48,6.2,5.98,6.21,1104,339350
2022-01-18,6.12,5.83,5.63,6.07,1354,295252
2022-01-19,6.15,5.94,5.75,5.88,938,260083
2022-01-20,6.38,5.79,5.765,6.04,700,185582
2022-01-21,5.78,5.59,5.36,5.66,1222,317258
2022-01-24,6.05,5.94,5.0,5.4,1546,346789
2022-01-25,5.86,5.56,5.525,5.78,1973,437505
2022-01-26,5.84,5.39,5.35,5.76,1254,310700
2022-01-27,5.46,5.1,4.91,5.46,1648,440484
2022-01-28,5.39,5.2,4.9,5.23,1189,373377
2022-01-31,5.75,5.66,5.3,5.3,716,237883
2022-02-01,5.77,5.69,5.48,5.68,537,148725
2022-02-02,5.8,5.52,5.24,5.8,961,290927
2022-02-03,5.27,4.98,4.9,5.27,1232,387286
2022-02-04,5.76,5.63,5.06,5.22,994,334076
2022-02-07,5.89,5.58,5.43,5.63,1115,426778
2022-02-08,6.15,6.14,5.45,5.65,950,412985
2022-02-09,6.57,6.54,5.98,6.25,865,264577
2022-02-10,7.24,6.88,6.35,6.5,1733,444921
2022-02-11,7.01,6.89,6.595,6.74,908,322441
2022-02-14,7.16,7.12,6.75,6.9,1140,261227
2022-02-15,7.31,7.25,6.86,7.25,781,176437
2022-02-16,7.25,7.18,6.96,7.16,926,181799
2022-02-17,7.19,6.63,6.58,7.09,994,232397
2022-02-18,6.7,6.06,6.01,6.7,1129,285217
2022-02-22,6.21,6.1,5.9,6.0,1575,330802
2022-02-23,6.14,5.68,5.67,6.14,788,170525
2022-02-24,6.09,6.05,5.05,5.1,1097,304513
2022-02-25,6.31,6.3,5.82,6.08,1167,282957
2022-02-28,6.53,6.27,6.06,6.23,955,237417
2022-03-01,6.44,6.24,6.185,6.3,1096,228025
2022-03-02,6.25,6.09,5.61,6.2,2598,785489
2022-03-03,6.16,5.96,5.94,6.11,796,305933
2022-03-04,6.01,5.39,5.25,5.9,1113,283067
2022-03-07,5.42,5.12,5.095,5.36,936,230314
2022-03-08,5.55,5.43,4.86,5.08,1117,271740
2022-03-09,5.875,5.76,5.55,5.55,1427,394733
2022-03-10,5.88,5.78,5.385,5.58,1183,264868
2022-03-11,5.8,5.31,5.22,5.8,835,203139
2022-03-14,5.41,5.11,5.08,5.24,916,357318
2022-03-15,5.54,5.41,5.08,5.12,1146,274772
2022-03-16,5.8,5.78,5.51,5.51,1020,208143
2022-03-17,5.945,5.79,5.65,5.7,832,207707
2022-03-18,6.05,5.99,5.77,5.77,715,292050
2022-03-21,5.93,5.66,5.62,5.91,895,171850
2022-03-22,6.27,6.11,5.65,5.7,1149,211188
