Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-19,9.75,9.75,9.75,9.75,1,100
2021-04-20,10.05,10.05,10.05,10.05,3,200
2021-04-21,10.2,10.05,9.8,10.2,4,476
2021-04-22,9.8,9.8,9.8,9.8,,
2021-04-23,9.78,9.78,9.78,9.78,2,393
2021-04-26,,,,,2,16
2021-04-27,9.76,9.76,9.76,9.76,1,100
2021-04-28,9.76,9.76,9.76,9.76,1,200
2021-04-29,9.98,9.97,9.77,9.77,6,7829
2021-04-30,9.86,9.86,9.86,9.86,1,200
2021-05-03,9.86,9.76,9.76,9.86,4,700
2021-05-04,9.75,9.75,9.75,9.75,,
2021-05-05,9.775,9.775,9.77,9.77,2,20
2021-05-06,9.78,9.78,9.78,9.78,3,2200
2021-05-11,9.77,9.77,9.77,9.77,,
2021-05-12,9.82,9.82,9.75,9.75,2,458
2021-05-13,9.9555,9.9555,9.9555,9.9555,,
2021-05-14,9.77,9.77,9.77,9.77,1,100
2021-05-21,9.75,9.73,9.73,9.75,8,2168
2021-05-24,9.6601,9.6601,9.6601,9.6601,,
2021-05-25,9.67,9.67,9.67,9.67,,
2021-05-26,9.8375,9.8375,9.67,9.67,2,4
2021-05-28,,,,,1,2
2021-06-04,9.84,9.84,9.84,9.84,1,100000
2021-06-08,9.84,9.68,9.68,9.84,5,765
2021-06-09,9.7101,9.7101,9.71,9.71,1,750
2021-06-10,9.7259,9.7259,9.7259,9.7259,,
2021-06-11,,,,,1,3
2021-06-14,10.0,9.87,9.71,10.0,4,800
2021-06-15,9.89,9.89,9.89,9.89,1,100
2021-06-16,9.92,9.92,9.73,9.75,6,1200
2021-06-17,9.92,9.8,9.8,9.92,2,200
2021-06-18,9.93,9.87,9.85,9.93,1189,306380
2021-06-21,9.95,9.87,9.86,9.95,108,59189
2021-06-22,9.9,9.87,9.87,9.9,17,20236
2021-06-23,9.91,9.87,9.87,9.9,33,15300
2021-06-24,9.89,9.87,9.87,9.89,31,7710
2021-06-25,9.88,9.87,9.86,9.86,6,1203
2021-06-28,9.89,9.88,9.88,9.89,17,2388
2021-06-29,9.9,9.89,9.88,9.9,66,61909
2021-06-30,9.9,9.87,9.87,9.9,9,11307
2021-07-01,9.9,9.89,9.88,9.9,10,3518
2021-07-02,9.9,9.88,9.88,9.9,9,2214
2021-07-06,9.89,9.89,9.87,9.89,69,65979
2021-07-07,9.9,9.89,9.88,9.9,34,26699
2021-07-08,9.9,9.9,9.88,9.9,9,5675
2021-07-09,9.9,9.9,9.9,9.9,39,8299
2021-07-12,9.9,9.9,9.9,9.9,2,661
2021-07-13,9.9,9.9,9.89,9.89,10,4616
2021-07-14,9.9,9.9,9.89,9.9,18,17700
2021-07-15,9.9,9.9,9.88,9.89,31,25080
2021-07-16,9.92,9.88,9.88,9.92,8,6430
2021-07-19,9.89,9.89,9.84,9.84,9,1310
2021-07-20,9.92,9.89,9.87,9.92,6,598
2021-07-21,9.92,9.89,9.88,9.92,7,2202
2021-07-22,9.92,9.89,9.88,9.92,48,8732
2021-07-23,9.92,9.87,9.87,9.9,25,35701
2021-07-26,9.89,9.87,9.87,9.89,20,6200
2021-07-27,9.89,9.89,9.84,9.84,19,4489
2021-07-28,9.88,9.87,9.87,9.87,77,13284
2021-07-29,9.89,9.89,9.87,9.87,20,7212
2021-07-30,9.92,9.87,9.85,9.92,36,15654
2021-08-02,9.9,9.88,9.87,9.9,58,15097
2021-08-03,9.9,9.87,9.86,9.9,31,8655
2021-08-04,9.92,9.88,9.88,9.92,1,3002
2021-08-05,9.9,9.87,9.865,9.9,23,8262
2021-08-06,9.88,9.865,9.865,9.88,2,31
2021-08-09,9.9,9.87,9.87,9.9,9,1630
2021-08-10,9.87,9.87,9.86,9.86,2,200
2021-08-11,9.9,9.9,9.88,9.9,12,9700
2021-08-12,9.9,9.9,9.9,9.9,1,100
2021-08-13,9.9,9.9,9.9,9.9,2,200
2021-08-16,9.92,9.879,9.879,9.92,2,10311
2021-08-17,9.92,9.89,9.89,9.92,8,4236
2021-08-18,9.9,9.88,9.88,9.9,1,170
2021-08-19,9.9,9.87,9.87,9.9,5,1303
