Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,36.06,35.8,35.66,35.82,368,86628
2013-01-03,35.94,35.65,35.58,35.94,312,63934
2013-01-04,36.4,36.32,35.8,35.85,259,49367
2013-01-07,36.84,36.26,36.21,36.84,229,59175
2013-01-08,36.3,36.14,36.01,36.28,213,34076
2013-01-09,36.42,36.37,36.18,36.31,140,32305
2013-01-10,36.51,36.37,36.17,36.51,247,44424
2013-01-11,36.61,36.44,36.21,36.45,291,107191
2013-01-14,36.82,36.68,36.44,36.51,144,27761
2013-01-15,36.81,36.76,36.51,36.64,140,30522
2013-01-16,36.75,36.51,36.45,36.75,117,37884
2013-01-17,36.73,36.67,36.5,36.62,176,52392
2013-01-18,36.64,36.45,36.22,36.64,183,47630
2013-01-22,36.91,36.91,36.45,36.53,323,72916
2013-01-23,36.94,36.76,36.7,36.79,264,38342
2013-01-24,37.05,36.95,36.76,36.76,266,70167
2013-01-25,37.07,36.85,36.77,37.05,396,73525
2013-01-28,37.42,37.11,36.81,36.81,392,123597
2013-01-29,37.28,37.26,37.13,37.2,335,68284
2013-01-30,37.31,37.18,36.94,37.26,248,37383
2013-01-31,37.33,37.24,36.97,37.22,159,73798
2013-02-01,37.6,37.48,37.4,37.46,299,51047
2013-02-04,37.47,37.18,37.1,37.4,235,51574
2013-02-05,37.39,37.23,37.06,37.29,249,57927
2013-02-06,37.3,37.27,36.84,37.04,217,38769
2013-02-07,37.45,37.31,37.2,37.36,80,17634
2013-02-08,37.74,37.74,37.38,37.4,119,23972
2013-02-11,37.91,37.91,37.73,37.75,94,20232
2013-02-12,38.15,38.15,37.94,38.0,158,32071
2013-02-13,38.29,38.26,38.04,38.29,216,39431
2013-02-14,38.42,38.11,38.06,38.27,108,23626
2013-02-15,38.7,38.63,38.12,38.18,214,59658
2013-02-19,38.95,38.85,38.68,38.81,179,48045
2013-02-20,39.18,38.22,38.18,38.91,280,60167
2013-02-21,38.62,38.46,37.63,38.31,223,39793
2013-02-22,38.98,38.78,38.65,38.81,190,39496
2013-02-25,39.09,38.31,38.27,39.09,182,43437
2013-02-26,38.8,38.72,38.45,38.55,329,45368
2013-02-27,38.91,38.75,38.71,38.75,409,79279
2013-02-28,38.82,38.57,38.55,38.64,410,149171
2013-03-01,39.14,39.05,38.47,38.47,342,63028
2013-03-04,39.38,39.28,38.76,39.0,310,55385
2013-03-05,39.68,39.62,39.43,39.43,195,36872
2013-03-06,39.87,39.58,39.42,39.79,115,28084
2013-03-07,39.69,39.47,39.39,39.69,105,23604
2013-03-08,39.66,39.36,39.24,39.55,145,32124
2013-03-11,39.46,39.46,39.27,39.27,69,17549
2013-03-12,39.46,39.3,39.08,39.46,107,19788
2013-03-13,39.41,39.38,39.13,39.31,109,18601
2013-03-14,39.81,39.81,39.41,39.41,192,28043
2013-03-15,39.79,39.65,39.32,39.79,227,136702
2013-03-18,39.6,39.49,39.39,39.41,175,31767
2013-03-19,39.6,39.06,38.95,39.53,194,35910
2013-03-20,39.33,39.27,39.13,39.33,102,19818
2013-03-21,39.42,38.99,38.98,39.22,150,37991
2013-03-22,39.36,39.27,39.05,39.2,138,27092
2013-03-25,39.83,39.65,39.41,39.41,215,37928
2013-03-26,39.98,39.95,39.42,39.81,225,36327
2013-03-27,40.48,40.46,39.82,39.82,212,31772
2013-03-28,40.8,40.73,40.3,40.64,253,97107
2013-04-01,40.92,40.77,40.35,40.7,170,29744
2013-04-02,42.4,41.73,41.01,41.01,598,91147
2013-04-03,42.04,41.83,41.72,41.86,298,56551
2013-04-04,42.46,42.42,41.95,41.95,201,41934
2013-04-05,42.79,42.73,41.94,41.94,249,50068
2013-04-08,43.03,42.97,42.44,42.88,245,36520
2013-04-09,43.61,43.6,43.0,43.0,307,59004
2013-04-10,44.41,44.31,43.54,43.8,354,56018
2013-04-11,44.43,43.81,43.45,44.24,326,52035
2013-04-12,43.64,43.44,42.94,43.48,484,99400
2013-04-15,43.43,42.22,42.1,43.38,456,75447
2013-04-16,43.54,43.49,42.22,42.57,473,69588
