Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,15.67,15.67,15.29,15.5,19,5450
2013-01-03,16.08,16.08,15.78,15.78,13,5075
2013-01-04,16.17,16.15,15.9,15.98,12,1362
2013-01-07,16.19,16.19,16.08,16.15,5,1400
2013-01-08,16.46,16.4,16.09,16.09,24,3352
2013-01-09,16.74,16.67,16.51,16.6,11,1900
2013-01-10,16.89,16.73,16.41,16.6,21,3990
2013-01-11,16.99,16.77,16.7,16.88,48,15211
2013-01-14,17.0,16.63,16.39,16.83,45,7042
2013-01-15,16.7,16.5,16.5,16.7,10,2217
2013-01-16,17.1,16.96,16.36,16.36,36,4100
2013-01-17,17.11,16.98,16.88,17.11,30,9211
2013-01-18,17.06,17.06,16.74,16.9,9,2300
2013-01-22,17.13,17.03,16.98,16.98,8,1895
2013-01-23,17.13,16.79,16.51,17.0,19,5296
2013-01-24,17.13,17.13,17.0,17.05,42,27337
2013-01-25,17.3,17.3,17.1,17.12,22,4900
2013-01-28,17.3,17.26,17.26,17.3,4,900
2013-01-29,17.38,17.17,17.17,17.38,6,1116
2013-01-30,17.2,17.06,17.06,17.2,3,384
2013-01-31,17.17,17.01,17.01,17.1,6,963
2013-02-01,17.33,17.06,17.05,17.19,13,1857
2013-02-04,17.19,17.1,16.97,17.19,6,1251
2013-02-05,17.18,17.1,17.1,17.1,9,2727
2013-02-06,17.22,17.22,17.1,17.14,10,2737
2013-02-07,17.35,17.33,17.08,17.21,11,2030
2013-02-08,17.3,17.27,17.08,17.3,10,1799
2013-02-11,17.27,17.27,17.18,17.23,4,775
2013-02-12,17.09,16.96,16.89,17.09,7,1970
2013-02-13,16.93,16.67,16.63,16.93,9,2475
2013-02-14,16.77,16.62,16.5,16.63,28,8494
2013-02-15,16.82,16.82,16.59,16.62,7,1300
2013-02-19,16.79,16.61,16.61,16.72,12,5000
2013-02-20,16.66,16.5,16.5,16.62,5,2491
2013-02-21,16.5,16.46,16.46,16.5,2,600
2013-02-22,16.46,16.19,16.05,16.35,11,4554
2013-02-25,16.18,16.18,16.12,16.15,5,1364
2013-02-26,16.21,16.21,16.21,16.21,1,200
2013-02-27,16.38,16.38,16.25,16.25,3,334
2013-02-28,16.36,16.36,16.36,16.36,1,100
2013-03-01,16.33,16.33,16.33,16.33,2,200
2013-03-04,16.27,16.25,16.25,16.27,5,1900
2013-03-05,16.2,16.151,16.12,16.14,4,800
2013-03-06,16.4,16.4,16.16,16.16,4,865
2013-03-07,16.28,16.25,16.25,16.28,3,2850
2013-03-08,16.41,16.19,16.08,16.4,12,2627
2013-03-11,16.26,16.1,16.1,16.26,6,1800
2013-03-12,16.25,16.25,16.18,16.18,7,850
2013-03-13,16.25,16.25,16.22,16.22,13,2100
2013-03-14,16.34,16.33,16.21,16.21,9,6050
2013-03-15,16.31,16.23,16.16,16.18,11,3280
2013-03-18,16.32,16.32,16.26,16.26,3,367
2013-03-19,16.23,16.22,16.22,16.23,6,900
2013-03-20,16.19,16.19,16.16,16.18,3,800
2013-03-21,16.18,16.16,16.16,16.18,2,571
2013-03-22,16.31,16.31,16.22,16.22,3,300
2013-03-25,16.25,16.22,16.22,16.25,2,200
2013-03-26,16.35,16.24,16.24,16.35,3,500
2013-03-27,16.25,16.25,16.15,16.24,8,2364
2013-03-28,16.42,16.3,16.3,16.38,4,2676
2013-04-01,16.29,16.16,16.16,16.29,7,1513
2013-04-02,16.31,16.31,16.22,16.24,19,2100
2013-04-03,16.26,16.13,16.01,16.26,15,2807
2013-04-04,16.09,15.81,15.81,16.06,6,900
2013-04-05,16.17,16.11,15.92,15.94,12,5100
2013-04-08,16.14,16.14,16.07,16.08,11,2100
2013-04-09,16.05,16.0,16.0,16.05,4,2700
2013-04-10,16.28,16.28,16.05,16.05,2,301
2013-04-11,16.28,16.05,16.05,16.13,21,4392
2013-04-12,16.2,16.17,16.08,16.08,5,1264
2013-04-15,16.18,16.07,16.07,16.08,9,6339
2013-04-16,16.17,16.11,16.06,16.07,6,1360
2013-04-17,16.37,16.37,16.06,16.07,25,3238
2013-04-18,16.4,16.25,16.12,16.24,23,5159
2013-04-19,16.44,16.44,16.25,16.33,5,1450
2013-04-22,16.47,16.27,16.27,16.47,5,898
2013-04-23,16.44,16.44,16.27,16.36,6,1800
2013-04-24,16.5,16.5,16.36,16.36,7,1756
2013-04-25,16.5,16.41,16.25,16.25,10,1665
2013-04-26,16.33,16.32,16.32,16.33,2,200
2013-04-29,16.59,16.5,16.31,16.31,10,1422
2013-04-30,16.37,16.36,16.36,16.37,2,300
2013-05-01,16.51,16.5,16.36,16.4,6,1020
2013-05-02,16.49,16.46,16.43,16.43,3,400
2013-05-03,16.59,16.56,16.47,16.54,7,950
2013-05-06,16.59,16.59,16.51,16.53,3,352
2013-05-07,16.86,16.7,16.69,16.69,12,1904
2013-05-08,16.86,16.81,16.74,16.75,6,1922
2013-05-09,16.98,16.98,16.62,16.65,11,2319
2013-05-10,17.2,17.0,16.83,17.14,41,14427
2013-05-13,17.22,17.22,16.84,17.09,22,5701
2013-05-14,17.23,17.04,17.01,17.1,11,4085
2013-05-15,17.15,17.02,17.02,17.14,6,6236
2013-05-16,17.25,17.17,16.91,16.91,9,1350
2013-05-17,17.5,17.4,17.08,17.08,11,1750
2013-05-20,17.38,17.26,17.23,17.35,8,2761
2013-05-21,17.5,17.5,17.36,17.36,11,5045
2013-05-22,17.89,17.89,17.5,17.5,5,975
2013-05-23,17.58,17.19,17.19,17.58,8,1000
2013-05-24,17.3,17.3,17.06,17.11,5,2801
2013-05-28,17.4,17.25,17.22,17.22,3,3149
2013-05-29,17.18,17.04,17.03,17.18,3,800
2013-05-30,17.02,17.02,17.02,17.02,1,100
2013-05-31,16.95,16.75,16.75,16.95,9,3348
2013-06-03,16.7,16.55,16.55,16.7,4,1960
2013-06-04,16.69,16.69,16.69,16.69,1,230
2013-06-05,16.79,16.4,16.3,16.79,18,8376
2013-06-06,16.44,16.39,16.3,16.44,6,1374
2013-06-07,16.53,16.35,16.35,16.49,3,600
2013-06-10,16.56,16.33,16.33,16.54,4,500
2013-06-11,16.48,16.48,16.3,16.3,4,3300
2013-06-12,16.32,16.18,16.15,16.3,9,1450
2013-06-13,16.24,16.2,16.18,16.18,6,1400
2013-06-14,16.5,16.34,16.2,16.2,15,4469
2013-06-17,16.36,16.27,16.27,16.35,5,500
2013-06-18,16.2,16.2,16.15,16.2,4,1101
2013-06-19,16.39,16.13,16.1,16.31,10,1800
2013-06-20,16.35,16.29,16.15,16.3,10,1641
2013-06-21,16.21,16.0,16.0,16.21,10,1389
2013-06-24,16.0,15.8,15.69,16.0,29,5145
2013-06-25,16.11,15.99,15.72,15.72,5,3208
2013-06-26,16.23,16.05,15.73,15.76,13,1387
2013-06-27,16.19,16.11,16.11,16.19,2,200
2013-06-28,15.85,15.85,15.75,15.76,3,686
2013-07-01,15.79,15.79,15.79,15.79,1,351
2013-07-02,16.2,15.89,15.86,16.2,30,10676
2013-07-03,15.92,15.92,15.92,15.92,2,200
2013-07-05,16.03,16.03,15.92,15.92,4,1124
2013-07-08,15.86,15.59,15.27,15.86,37,4904
2013-07-09,15.6,15.35,15.35,15.6,14,2876
2013-07-10,15.79,15.73,15.4,15.4,8,1580
2013-07-11,16.14,16.14,15.81,16.0,7,1802
2013-07-12,16.13,16.08,15.87,15.92,7,700
2013-07-15,16.05,15.96,15.94,16.02,7,960
2013-07-16,16.14,16.14,16.02,16.02,5,700
2013-07-17,16.24,16.04,16.03,16.24,4,1332
2013-07-18,16.36,16.26,16.08,16.17,14,2235
2013-07-19,16.17,16.17,16.05,16.15,6,700
2013-07-22,16.25,16.25,16.11,16.25,8,825
2013-07-23,16.49,16.2,16.13,16.3,9,1459
2013-07-24,16.24,16.1,16.1,16.24,7,900
2013-07-25,16.39,16.2,16.11,16.22,13,2200
2013-07-26,16.3,16.3,16.3,16.3,1,276
