Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-11-22,20.0,19.3501,19.12,20.0,31,4924
2021-11-23,19.555,18.82,18.82,19.4,107,18837
2021-11-24,18.8,18.15,17.78,18.7,247,48954
2021-11-26,18.15,18.1101,17.75,17.75,87,31252
2021-11-29,18.21,18.1,17.7,18.02,128,32651
2021-11-30,18.21,17.82,17.75,18.07,112,29608
2021-12-01,18.1,17.93,17.8,17.85,96,22955
2021-12-02,19.22,18.69,18.25,18.27,363,77284
2021-12-03,18.7,18.41,18.41,18.68,82,19014
2021-12-06,18.8,18.42,18.36,18.36,187,38033
2021-12-07,18.8,18.51,18.36,18.65,141,37286
2021-12-08,18.65,18.62,18.37,18.5,94,21884
2021-12-09,18.75,18.28,18.27,18.55,134,21828
2021-12-10,18.49,18.35,18.29,18.4,184,33970
2021-12-13,18.51,18.07,18.02,18.31,192,25785
2021-12-14,17.92,17.77,17.64,17.64,98,12466
2021-12-15,17.85,17.71,17.6,17.6,104,21507
2021-12-16,17.99,17.48,17.47,17.72,113,29028
2021-12-17,17.79,17.75,17.44,17.49,167,21974
2021-12-20,17.6,17.44,17.35,17.55,143,18163
2021-12-21,17.66,17.59,17.44,17.53,132,29620
2021-12-22,18.24,18.06,17.59,17.59,149,22080
2021-12-23,18.27,18.27,18.0,18.23,124,25920
2021-12-27,18.27,18.22,18.12,18.14,130,12936
2021-12-28,18.27,18.25,18.1,18.11,80,11165
2021-12-29,18.22,18.17,18.1,18.16,140,13224
2021-12-30,18.31,18.26,18.14,18.14,59,6488
2021-12-31,18.65,18.65,18.35,18.35,125,38665
2022-01-03,18.85,18.81,18.6,18.7,108,19315
2022-01-04,18.88,18.86,18.71,18.79,99,11062
2022-01-05,18.85,18.74,18.65,18.65,108,20593
2022-01-06,18.8,18.8,18.61,18.74,64,11976
2022-01-07,18.9,18.56,18.5,18.8,65,10451
2022-01-10,18.68,18.6,18.4,18.68,65,11604
2022-01-11,18.69,18.67,18.51,18.68,41,3937
2022-01-12,18.68,18.64,18.53,18.53,48,12347
2022-01-13,18.66,18.49,18.41,18.56,85,6732
2022-01-14,19.17,19.05,18.44,18.44,305,39601
2022-01-18,19.17,19.07,18.8,18.8,326,47031
2022-01-19,19.16,18.99,18.84,19.0,185,23307
2022-01-20,19.09,18.98,18.86,18.89,170,20196
2022-01-21,18.92,18.15,18.15,18.9,221,722639
2022-01-24,17.81,17.47,17.47,17.79,248,23171
2022-01-25,17.6,17.4,17.4,17.41,93,14026
2022-01-26,17.75,17.33,17.25,17.41,144,20649
2022-01-27,17.53,17.41,17.285,17.45,70,13546
2022-01-28,17.61,17.5,17.12,17.33,55,9016
2022-01-31,17.99,17.78,16.98,17.43,126,19215
2022-02-01,17.98,17.79,17.54,17.78,118,14926
2022-02-02,18.09,18.07,17.8,17.92,68,7069
2022-02-03,18.02,17.86,17.86,18.0,54,7326
2022-02-04,17.81,17.53,17.46,17.75,256,32736
2022-02-07,17.55,17.48,17.45,17.45,35,7775
2022-02-08,17.66,17.5,17.41,17.41,73,17257
2022-02-09,17.69,17.53,17.47,17.47,126,23241
2022-02-10,17.55,17.24,17.24,17.42,66,16170
2022-02-11,17.4,17.01,17.01,17.11,162,22006
2022-02-14,17.02,16.72,16.72,17.0,66,13919
2022-02-15,16.97,16.9,16.74,16.74,61,14087
2022-02-16,17.14,17.04,16.86,16.9,40,7990
2022-02-17,16.98,16.9,16.8,16.87,24,4164
2022-02-18,16.89,16.73,16.65,16.75,81,13827
2022-02-22,16.69,16.38,16.35,16.61,99,23269
2022-02-23,16.43,16.21,16.21,16.38,34,6868
2022-02-24,16.23,16.23,15.73,15.73,83,17942
2022-02-25,16.48,16.45,16.09,16.09,104,14684
2022-02-28,16.44,16.36,16.13,16.13,71,14950
2022-03-01,16.39,16.13,16.12,16.25,87,16190
2022-03-02,16.45,16.4,16.13,16.13,156,23497
2022-03-03,16.48,16.37,16.23,16.4,58,8833
2022-03-04,16.3,16.21,16.1,16.3,52,9316
2022-03-07,16.13,15.79,15.77,16.13,59,11489
2022-03-08,15.85,15.71,15.66,15.76,64,10153
2022-03-09,16.08,16.0,15.85,15.85,43,6652
2022-03-10,15.9,15.73,15.7,15.9,61,14345
2022-03-11,15.77,15.55,15.5,15.74,138,19165
2022-03-14,15.21,14.78,14.67,15.15,107,18293
2022-03-15,14.9,14.78,14.67,14.67,58,11724
2022-03-16,14.98,14.93,14.78,14.79,113,24062
2022-03-17,15.39,15.34,14.91,14.91,124,13519
2022-03-18,15.75,15.68,15.31,15.36,68,10333
2022-03-21,15.82,15.64,15.58,15.74,76,14560
2022-03-22,15.83,15.8,15.64,15.64,39,5603
2022-03-23,15.74,15.61,15.61,15.65,39,4798
2022-03-24,15.75,15.68,15.58,15.64,76,10291
2022-03-25,15.66,15.56,15.55,15.65,47,10008
2022-03-28,15.72,15.72,15.5,15.5,105,18925
2022-03-29,15.97,15.91,15.64,15.7,94,18512
2022-03-30,16.18,16.13,15.85,15.89,65,11527
2022-03-31,16.23,16.2,16.03,16.23,96,16710
2022-04-01,16.72,16.68,16.15,16.49,225,60557
2022-04-04,16.78,16.78,16.555,16.65,50,24190
2022-04-05,16.77,16.51,16.49,16.7,63,19320
2022-04-06,16.48,16.32,16.22,16.48,40,4753
2022-04-07,16.37,16.35,16.24,16.26,41,6874
2022-04-08,16.24,16.06,16.06,16.24,102,17190
2022-04-11,16.03,15.85,15.85,15.92,35,9107
2022-04-12,15.94,15.73,15.7,15.85,48,13244
2022-04-13,15.885,15.87,15.78,15.81,26,7831
2022-04-14,15.9,15.76,15.71,15.9,31,8337
2022-04-18,15.65,15.59,15.52,15.64,78,16075
2022-04-19,15.75,15.72,15.52,15.52,35,8889
2022-04-20,15.94,15.79,15.72,15.94,54,15133
2022-04-21,15.86,15.62,15.54,15.79,45,6798
