Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,59.64,59.54,58.96,59.52,3591,1035677
2013-01-03,59.92,59.75,59.24,59.54,2900,840044
2013-01-04,60.57,60.48,59.54,59.93,2401,659520
2013-01-07,61.19,61.03,60.11,60.25,2727,948220
2013-01-08,60.83,60.25,60.05,60.81,2022,591099
2013-01-09,60.56,60.17,58.96,59.15,3781,1017504
2013-01-10,61.15,61.14,60.25,60.5,2487,762960
2013-01-11,60.74,60.05,59.78,60.71,2320,677541
2013-01-14,60.06,59.45,59.23,60.05,1923,598711
2013-01-15,59.83,59.77,59.09,59.2,1678,441180
2013-01-16,60.07,59.78,59.36,59.78,2118,782003
2013-01-17,62.37,62.01,60.74,60.74,4610,1245391
2013-01-18,62.39,61.84,61.27,62.39,2382,1296870
2013-01-22,62.24,62.12,61.51,61.7,2081,634575
2013-01-23,61.97,61.84,61.46,61.46,2415,551975
2013-01-24,62.15,61.86,61.47,61.93,2339,590719
2013-01-25,62.35,61.97,61.81,62.07,2071,647290
2013-01-28,62.31,61.97,61.45,61.86,1839,513487
2013-01-29,62.16,61.91,61.28,61.4,1626,407156
2013-01-30,62.03,61.82,61.47,61.9,1834,443284
2013-01-31,62.02,61.8,61.43,61.79,2427,754256
2013-02-01,63.34,63.2,62.11,62.27,2537,699484
2013-02-04,62.98,62.49,62.32,62.76,1944,503014
2013-02-05,63.4,63.19,62.69,62.93,1602,430335
2013-02-06,63.41,63.34,62.72,62.75,2851,713531
2013-02-07,63.85,63.65,62.98,63.26,2928,580785
2013-02-08,63.67,63.35,63.23,63.57,2105,635013
2013-02-11,64.1,64.0,63.31,63.49,1887,451709
2013-02-12,64.88,64.77,63.75,64.15,2109,506554
2013-02-13,64.8,64.17,63.94,64.8,1586,408760
2013-02-14,64.22,63.87,63.7,63.89,1536,511058
2013-02-15,64.21,63.87,63.75,64.16,1847,954424
2013-02-19,64.0,63.51,63.4,63.96,2266,807324
2013-02-20,63.57,63.17,63.02,63.37,2844,1194383
2013-02-21,63.59,62.39,62.35,62.92,3588,1004850
2013-02-22,62.98,62.9,62.21,62.79,2052,991668
2013-02-25,63.25,60.82,60.82,63.25,3372,968672
2013-02-26,61.29,61.14,60.39,61.13,2507,622337
2013-02-27,61.79,61.68,60.87,61.13,1836,511682
2013-02-28,62.6,62.39,61.57,61.64,2746,1020661
2013-03-01,62.94,62.78,61.52,62.02,2376,631401
2013-03-04,63.57,63.52,62.49,62.64,1611,464982
2013-03-05,64.35,63.66,63.37,63.84,3556,1255325
2013-03-06,64.45,64.16,63.37,64.1,2062,654452
2013-03-07,64.99,64.81,64.16,64.3,1968,563948
2013-03-08,65.17,65.02,64.44,65.0,2760,934632
2013-03-11,65.9,65.87,64.99,65.03,1541,457844
2013-03-12,65.87,65.42,65.11,65.78,1373,419689
2013-03-13,65.99,65.93,65.31,65.55,1486,436604
2013-03-14,66.48,66.26,65.82,66.05,1370,493286
2013-03-15,66.93,66.8,65.89,65.92,2385,1550653
2013-03-18,66.47,66.25,65.54,65.8,1637,591467
2013-03-19,66.65,66.25,65.73,66.28,2568,630139
2013-03-20,66.93,66.7,66.44,66.63,1927,545972
2013-03-21,66.58,66.03,65.83,66.33,2137,639421
2013-03-22,66.48,66.21,65.99,66.19,1675,556401
2013-03-25,66.63,66.14,65.74,66.44,1470,473539
2013-03-26,66.63,66.28,66.08,66.63,1478,411403
2013-03-27,66.27,66.19,65.54,65.9,1828,500427
2013-03-28,66.58,66.5,65.8,66.06,1357,727529
2013-04-01,66.41,65.79,65.61,66.41,1266,384320
2013-04-02,66.87,66.81,65.96,66.27,2548,712051
2013-04-03,66.71,65.13,64.91,66.71,2727,750732
2013-04-04,65.99,65.6,65.0,65.28,2654,652194
2013-04-05,65.35,65.24,64.21,64.84,2012,543614
2013-04-08,66.09,66.07,64.79,65.18,1422,433393
2013-04-09,66.66,66.35,65.98,66.13,2025,1047750
2013-04-10,67.32,67.19,66.59,66.59,2028,592313
2013-04-11,67.57,67.31,66.97,67.28,1923,456683
2013-04-12,66.48,65.81,65.63,66.3,2448,1017757
2013-04-15,66.51,63.75,63.74,65.7,4031,1068638
2013-04-16,64.85,64.79,63.7,64.28,3351,864346
2013-04-17,66.19,65.05,64.48,65.8,5052,1317465
2013-04-18,65.94,65.24,64.76,65.26,4173,1056083
2013-04-19,65.54,65.23,64.93,65.5,3365,1303043
2013-04-22,65.69,65.41,65.13,65.43,1977,745959
2013-04-23,67.44,67.21,65.18,65.28,3897,1081697
2013-04-24,68.47,68.44,67.07,67.4,3221,894550
2013-04-25,69.65,68.7,68.52,68.69,3362,832562
2013-04-26,68.96,68.1,67.89,68.61,2500,657140
2013-04-29,68.56,68.41,68.04,68.17,2130,647749
2013-04-30,68.34,67.88,67.54,68.22,2950,929529
2013-05-01,67.98,67.17,67.09,67.8,2062,501039
2013-05-02,67.55,67.18,67.05,67.22,2198,555635
2013-05-03,68.57,68.11,67.92,67.92,2432,680332
2013-05-06,68.46,68.26,68.01,68.12,1808,760423
2013-05-07,68.86,68.76,68.02,68.41,1924,557692
2013-05-08,69.03,68.97,68.41,68.68,3003,995251
2013-05-09,69.09,68.72,68.5,68.96,2135,885941
2013-05-10,68.94,68.57,68.38,68.89,1374,462149
2013-05-13,69.01,68.76,67.98,68.5,1466,391567
2013-05-14,70.39,70.17,68.74,68.86,1941,581149
2013-05-15,70.96,70.85,70.04,70.15,1917,558468
2013-05-16,71.04,70.46,70.35,70.53,1651,515226
2013-05-17,71.68,71.51,70.66,70.76,1592,693711
2013-05-20,71.93,71.28,71.15,71.37,1476,740804
2013-05-21,72.35,72.2,71.18,71.29,2067,804659
2013-05-22,73.12,71.24,70.941,72.16,2957,1183780
2013-05-23,71.18,70.94,70.09,70.49,2155,437555
2013-05-24,71.14,71.11,70.07,70.37,1847,479926
2013-05-28,72.21,71.03,70.77,72.06,2832,754785
2013-05-29,72.2,71.8,70.37,70.5,3481,914997
2013-05-30,73.23,72.88,71.54,71.88,2623,750846
2013-05-31,73.04,71.64,71.64,72.58,2758,1005630
2013-06-03,72.06,71.83,70.48,71.66,3293,778249
2013-06-04,72.33,71.09,70.88,71.9,2546,554528
2013-06-05,71.2,69.83,69.43,70.86,2895,1345863
2013-06-06,70.29,70.27,69.19,69.65,2145,478896
2013-06-07,71.24,71.1,70.44,70.9,2005,732005
2013-06-10,73.1,72.93,71.28,71.47,2650,738410
2013-06-11,72.4,71.75,71.6,72.25,2213,555635
2013-06-12,72.15,70.84,70.44,72.15,2737,709209
2013-06-13,71.84,71.76,70.42,70.84,1998,494483
2013-06-14,71.95,71.0,70.71,71.62,1614,421328
2013-06-17,71.89,71.29,70.86,71.55,1745,477687
2013-06-18,71.81,71.74,71.17,71.45,1693,428720
2013-06-19,71.95,70.88,70.8,71.77,3123,667106
2013-06-20,71.69,71.05,70.24,70.29,3188,914933
2013-06-21,72.23,71.71,71.02,71.9,2985,2084495
2013-06-24,71.11,70.53,70.17,71.07,2870,662569
2013-06-25,72.84,72.7,70.87,71.35,2337,843177
2013-06-26,74.16,73.18,73.04,73.55,3048,796775
2013-06-27,74.13,73.63,73.43,73.69,2469,612429
2013-06-28,73.51,72.92,72.56,73.48,2158,819878
2013-07-01,74.32,73.49,73.04,73.3,2472,679175
2013-07-02,74.31,73.85,73.26,73.37,2137,532359
2013-07-03,74.09,73.97,73.23,73.39,872,232833
2013-07-05,75.94,75.92,74.47,74.56,1773,467954
2013-07-08,76.71,76.35,75.84,76.22,2046,572363
2013-07-09,76.78,76.26,75.87,76.64,2198,545535
2013-07-10,75.66,74.59,73.99,75.61,3377,874715
2013-07-11,74.97,74.1,73.47,74.94,2432,576226
2013-07-12,74.96,74.91,73.7,74.3,2391,691885
2013-07-15,75.45,75.06,74.8,74.99,1820,519439
2013-07-16,75.24,74.5,73.717,75.03,1836,424679
2013-07-17,74.41,73.55,72.59,73.24,4179,1013168
2013-07-18,76.14,75.91,73.71,73.91,2628,718272
2013-07-19,77.31,77.19,75.7,76.09,2252,915218
2013-07-22,77.43,77.18,76.68,77.2,2429,622598
2013-07-23,77.65,77.14,76.42,76.65,2455,559425
2013-07-24,77.91,77.1,76.89,77.26,2473,523941
2013-07-25,76.94,76.0,75.8,76.34,2819,728779
2013-07-26,75.95,75.9,75.29,75.85,2178,506678
2013-07-29,76.08,75.87,75.3,75.9,1929,433394
2013-07-30,76.42,75.54,75.41,76.06,2180,492595
2013-07-31,76.97,76.05,75.74,75.74,3355,986002
2013-08-01,77.83,77.65,76.45,76.76,2983,912703
2013-08-02,77.92,77.43,76.96,77.4,3555,1054293
2013-08-05,77.58,77.16,76.84,77.32,1908,438810
2013-08-06,77.13,76.53,76.15,77.13,1784,399136
2013-08-07,76.28,75.79,75.54,76.2,1983,469265
2013-08-08,76.67,76.22,75.57,76.18,1954,462224
2013-08-09,76.471,75.96,75.68,76.17,1450,368702
2013-08-12,76.51,76.11,75.49,75.72,1441,317287
2013-08-13,76.28,75.98,75.47,76.22,839,206984
2013-08-14,76.59,75.88,75.87,75.9,1112,240811
2013-08-15,75.68,74.92,74.54,75.26,1865,453755
2013-08-16,75.39,74.91,74.47,74.62,1779,602500
2013-08-19,74.8,73.93,73.91,74.8,1284,334766
2013-08-20,74.86,74.59,73.79,73.91,1189,347212
2013-08-21,74.94,74.4,73.74,74.3,1465,452379
2013-08-22,75.26,74.99,74.43,74.48,1173,325261
2013-08-23,75.37,75.02,74.56,75.37,810,253847
2013-08-26,75.09,74.21,74.19,75.01,1216,492551
2013-08-27,73.5,72.24,72.12,73.36,1683,594414
2013-08-28,73.25,72.55,72.0,72.27,1256,439871
2013-08-29,73.13,72.58,72.13,72.35,854,206192
2013-08-30,72.71,72.27,72.0,72.69,1160,443012
2013-09-03,73.77,72.48,72.03,73.12,1443,500546
2013-09-04,72.92,72.54,72.22,72.44,1479,504542
2013-09-05,73.61,73.35,72.22,72.5,1075,346873
2013-09-06,73.66,73.19,72.0,73.44,2134,506959
2013-09-09,73.31,72.95,72.39,73.24,1324,314113
2013-09-10,73.83,73.65,73.29,73.39,1104,305107
2013-09-11,73.74,73.56,73.08,73.6,1160,339198
2013-09-12,73.67,73.11,73.03,73.66,1168,371235
2013-09-13,73.47,73.25,72.74,73.24,845,255535
2013-09-16,74.53,74.19,73.66,74.51,1000,334965
2013-09-17,74.83,74.77,73.7,74.25,1286,358178
2013-09-18,75.53,74.44,74.29,74.82,2338,675193
2013-09-19,74.8,74.05,73.45,74.57,1396,480985
2013-09-20,74.49,74.05,73.81,74.12,1333,1143166
2013-09-23,73.77,72.96,72.66,73.77,1501,409880
2013-09-24,73.25,72.72,72.52,72.8,1444,535827
2013-09-25,73.64,73.05,72.23,72.67,1950,789604
2013-09-26,73.46,72.44,72.04,73.13,1656,467276
2013-09-27,72.91,72.63,72.08,72.2,1421,790449
2013-09-30,72.67,72.45,71.49,71.95,1198,523843
2013-10-01,72.91,72.67,72.17,72.4,1537,432490
2013-10-02,72.99,72.68,72.2,72.33,1801,606263
2013-10-03,72.7,72.42,72.01,72.46,1505,437097
2013-10-04,73.16,72.97,72.36,72.73,1382,479870
2013-10-07,72.38,71.88,71.72,72.3,1319,406867
2013-10-08,71.87,70.94,70.91,71.76,1639,439725
2013-10-09,71.19,70.87,70.64,71.03,1909,423885
2013-10-10,72.7,72.62,71.38,71.38,1883,623783
2013-10-11,73.1,72.96,71.8,72.34,1594,389000
2013-10-14,73.07,72.98,72.15,72.56,1689,478080
2013-10-15,73.21,72.51,72.2,72.79,1673,439598
2013-10-16,74.36,73.87,72.43,73.24,2362,596362
2013-10-17,74.76,74.68,73.43,73.58,1546,558318
2013-10-18,75.15,75.04,73.87,74.35,1785,778847
2013-10-21,75.21,75.12,74.64,75.02,1463,482052
2013-10-22,75.79,75.56,74.84,75.12,1819,495046
2013-10-23,75.54,75.24,75.07,75.25,1535,414118
2013-10-24,75.29,74.82,74.69,75.27,1437,695491
2013-10-25,75.37,75.36,74.76,74.82,1535,624964
2013-10-28,75.85,75.5,74.99,75.27,1350,611745
2013-10-29,75.67,75.2,74.82,75.59,1124,338427
2013-10-30,75.45,74.81,74.58,75.31,1672,395819
2013-10-31,74.87,73.53,73.53,74.62,1301,642477
2013-11-01,73.98,73.37,72.99,73.56,1539,459765
2013-11-04,73.55,73.17,73.0,73.45,1145,261939
2013-11-05,74.02,73.29,72.95,73.06,1792,406021
2013-11-06,74.0,73.88,73.46,73.94,1463,424644
2013-11-07,74.21,72.9,72.85,74.09,1450,514005
2013-11-08,75.66,75.52,73.03,73.06,2842,752382
2013-11-11,75.79,75.42,75.13,75.52,1240,272865
2013-11-12,75.21,74.18,73.88,75.0,1331,371831
2013-11-13,74.27,74.27,73.34,74.02,2161,603282
2013-11-14,74.73,74.68,73.56,74.11,2144,534867
2013-11-15,75.59,75.14,74.72,74.94,1456,636590
2013-11-18,76.0,75.31,75.02,75.2,1576,369972
2013-11-19,75.9,75.5,75.2,75.44,1234,295112
2013-11-20,75.85,75.2,74.83,75.85,1339,358683
2013-11-21,76.58,76.33,75.29,75.4,1608,450635
2013-11-22,76.97,76.82,76.14,76.34,2406,602562
2013-11-25,77.31,76.32,76.25,76.95,1696,624659
2013-11-26,76.84,76.61,76.17,76.47,1895,541894
2013-11-27,77.49,77.41,76.42,76.55,1186,541216
2013-11-29,77.84,76.95,76.93,77.5,959,407213
2013-12-02,77.89,77.5,76.85,76.85,1355,472170
2013-12-03,77.34,75.62,75.41,77.22,2495,933438
2013-12-04,76.44,75.72,75.19,75.59,1628,506466
2013-12-05,75.52,75.02,74.81,75.35,1452,421886
2013-12-06,76.27,76.17,75.44,75.85,1477,461779
2013-12-09,76.72,76.28,76.07,76.61,1268,340622
2013-12-10,76.89,76.56,75.82,75.91,2213,482673
2013-12-11,76.56,75.48,75.24,76.46,1864,751123
2013-12-12,76.11,75.82,75.27,75.48,1958,476116
2013-12-13,76.27,75.38,75.14,75.87,1441,334388
2013-12-16,75.66,75.48,75.11,75.33,1866,512325
2013-12-17,75.48,74.65,74.41,75.47,2257,498648
2013-12-18,75.65,75.64,73.97,74.79,2361,578876
2013-12-19,76.3,76.0,74.96,75.38,1895,509426
2013-12-20,76.73,76.37,76.21,76.41,1974,1190499
2013-12-23,77.38,77.02,76.43,76.73,1252,299293
2013-12-24,77.31,77.13,76.91,77.09,578,119921
2013-12-26,77.47,77.26,77.14,77.32,872,174565
2013-12-27,78.36,78.2,77.25,77.51,1986,483641
2013-12-30,78.26,77.51,77.36,78.2,1224,263404
2013-12-31,77.77,77.58,77.37,77.54,1114,366476
2014-01-02,77.18,76.6,76.53,77.18,1621,358665
2014-01-03,77.23,76.96,76.7,76.81,1264,441729
2014-01-06,77.94,76.86,76.85,77.38,1775,508437
2014-01-07,77.74,77.43,77.23,77.34,1572,397529
2014-01-08,78.82,78.72,77.52,77.67,3315,789789
2014-01-09,79.29,79.19,78.65,78.94,2422,556318
2014-01-10,79.1,78.77,78.21,79.08,1940,423572
2014-01-13,78.13,77.37,77.18,78.1,1563,397326
2014-01-14,78.18,78.0,77.09,77.62,1927,420904
2014-01-15,79.11,78.84,78.14,78.14,2335,492820
2014-01-16,81.28,80.93,80.09,80.55,4229,1100732
2014-01-17,84.4,82.26,81.9,82.15,3931,1095571
