Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,11.29,11.14,11.04,11.24,1048,272888
2013-01-03,11.25,11.13,11.1,11.19,409,115819
2013-01-04,11.25,11.24,11.1,11.21,722,149084
2013-01-07,11.22,11.13,11.1,11.22,643,105513
2013-01-08,11.16,11.06,11.03,11.13,498,86040
2013-01-09,11.2,11.12,11.09,11.12,433,72028
2013-01-10,11.17,11.12,11.05,11.15,522,155043
2013-01-11,11.2,11.14,11.08,11.14,591,109042
2013-01-14,11.23,11.23,11.15,11.15,611,141646
2013-01-15,11.21,11.12,11.095,11.21,391,88006
2013-01-16,11.18,11.08,10.98,11.13,708,114436
2013-01-17,11.23,11.2,11.06,11.14,487,110401
2013-01-18,11.21,11.17,11.1,11.21,510,122181
2013-01-22,11.27,11.27,11.18,11.2,798,140448
2013-01-23,11.3,11.22,11.22,11.28,498,95821
2013-01-24,11.3,11.12,11.01,11.21,810,165548
2013-01-25,11.19,11.1,11.035,11.19,653,104725
2013-01-28,11.11,11.07,11.03,11.11,781,146109
2013-01-29,11.25,11.25,11.08,11.1,885,146806
2013-01-30,11.26,11.11,11.08,11.25,910,235559
2013-01-31,11.23,11.18,11.11,11.16,1333,241113
2013-02-01,11.27,11.24,11.16,11.25,1194,200984
2013-02-04,11.24,11.19,11.08,11.24,960,169828
2013-02-05,11.34,11.28,11.17,11.27,939,160424
2013-02-06,11.35,11.33,11.13,11.25,1120,196299
2013-02-07,11.35,11.01,10.905,11.35,885,135707
2013-02-08,11.15,11.1,11.01,11.06,756,168475
2013-02-11,11.19,11.18,11.11,11.15,523,98028
2013-02-12,11.28,11.23,11.15,11.22,692,134713
2013-02-13,11.34,11.34,11.25,11.27,362,83036
2013-02-14,11.41,11.4,11.29,11.36,569,175523
2013-02-15,11.47,11.39,11.38,11.45,723,176580
2013-02-19,11.62,11.6,11.42,11.5,1508,326937
2013-02-20,11.66,11.47,11.47,11.66,947,214739
2013-02-21,11.49,11.31,11.2,11.47,978,165611
2013-02-22,11.61,11.6,11.31,11.4,880,147293
2013-02-25,11.75,11.43,11.43,11.7,990,187766
2013-02-26,11.57,11.48,11.42,11.53,507,83976
2013-02-27,11.64,11.54,11.51,11.51,693,124998
2013-02-28,11.67,11.6,11.55,11.57,910,174621
2013-03-01,11.78,11.77,11.47,11.58,888,174964
2013-03-04,11.76,11.7,11.31,11.76,1149,201620
2013-03-05,11.87,11.79,11.74,11.79,654,114175
2013-03-06,11.86,11.82,11.76,11.85,527,87986
2013-03-07,11.88,11.84,11.75,11.86,604,117395
2013-03-08,11.97,11.95,11.84,11.9,827,146391
2013-03-11,12.04,11.98,11.92,11.95,735,133954
2013-03-12,12.03,11.98,11.89,11.98,519,96416
2013-03-13,12.06,12.04,11.91,12.0,591,83122
2013-03-14,12.15,12.13,12.02,12.08,747,126737
2013-03-15,12.23,12.18,12.09,12.19,612,298578
2013-03-18,12.18,12.0,12.0,12.12,531,103008
2013-03-19,12.11,11.73,11.72,12.06,1310,213482
2013-03-20,11.74,11.59,11.5,11.57,823,141422
2013-03-21,11.73,11.63,11.61,11.7,679,157940
2013-03-22,11.72,11.68,11.64,11.7,365,60382
2013-03-25,11.75,11.55,11.48,11.75,960,147572
2013-03-26,11.64,11.61,11.25,11.37,1460,236541
2013-03-27,11.6,11.5,11.48,11.58,652,107250
2013-03-28,11.53,11.29,11.24,11.53,1167,259258
2013-04-01,11.49,11.19,11.12,11.38,1163,210205
2013-04-02,11.34,11.21,11.15,11.27,840,136401
2013-04-03,11.2,10.96,10.95,11.2,731,132112
2013-04-04,11.04,10.98,10.88,10.98,923,195993
2013-04-05,11.01,10.99,10.81,10.84,640,105504
2013-04-08,11.02,11.0,10.93,10.94,631,156785
2013-04-09,11.05,10.87,10.86,11.03,944,161276
2013-04-10,11.04,11.0,10.85,10.86,1007,196532
2013-04-11,11.01,10.98,10.91,11.0,598,116142
2013-04-12,10.96,10.7,10.685,10.91,1404,285730
2013-04-15,10.77,10.53,10.5,10.65,1349,259305
2013-04-16,10.72,10.72,10.55,10.64,948,176248
2013-04-17,10.73,10.66,10.5,10.7,1288,230578
2013-04-18,10.84,10.73,10.63,10.71,1364,244166
2013-04-19,10.91,10.8,10.68,10.74,527,116415
2013-04-22,11.08,11.02,10.77,10.82,981,152001
2013-04-23,11.24,11.22,11.08,11.1,754,135998
2013-04-24,11.345,11.29,11.21,11.25,687,113336
2013-04-25,11.42,11.32,11.26,11.29,788,150158
2013-04-26,11.46,11.4,11.21,11.32,739,140335
2013-04-29,11.6,11.6,11.46,11.47,611,113163
2013-04-30,11.7,11.7,11.49,11.64,701,161366
2013-05-01,11.72,11.23,11.21,11.72,1291,252827
2013-05-02,11.49,11.46,11.24,11.24,584,122132
2013-05-03,11.74,11.43,11.415,11.64,766,140351
2013-05-06,11.48,11.44,11.35,11.4,523,101090
2013-05-07,11.48,11.42,11.32,11.42,841,159060
