Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-03-05,10.05,9.83,9.56,10.05,77,31322
2021-03-08,9.84,9.77,9.75,9.84,73,21900
2021-03-09,9.97,9.8,9.7,9.97,37,9670
2021-03-10,9.84,9.84,9.78,9.82,63,10523
2021-03-11,9.87,9.82,9.73,9.87,119,19592
2021-03-12,9.83,9.815,9.75,9.75,303,74307
2021-03-15,9.8,9.76,9.71,9.79,80,32873
2021-03-16,9.77,9.73,9.69,9.76,204,66236
2021-03-17,9.76,9.73,9.68,9.72,93,19431
2021-03-18,9.83,9.79,9.69,9.8,135,21333
2021-03-19,9.79,9.72,9.69,9.79,103,33141
2021-03-22,9.75,9.69,9.69,9.75,47,19991
2021-03-23,9.69,9.61,9.6,9.69,81,18593
2021-03-24,9.69,9.64,9.63,9.63,119,26024
2021-03-25,9.72,9.68,9.44,9.6,143,31716
2021-03-26,9.72,9.715,9.7,9.7,54,54983
2021-03-29,9.75,9.7,9.69,9.75,20,2782
2021-03-30,9.73,9.69,9.63,9.69,164,30720
2021-03-31,9.71,9.68,9.61,9.71,90,19021
2021-04-01,9.75,9.69,9.67,9.7,169,53632
2021-04-05,9.73,9.68,9.68,9.7,36,12494
2021-04-06,9.75,9.73,9.68,9.7,44,13218
2021-04-07,9.76,9.75,9.72,9.72,28,3031
2021-04-08,9.8,9.76,9.75,9.77,25,8959
2021-04-09,9.79,9.73,9.72,9.79,84,10628
2021-04-12,9.78,9.76,9.74,9.74,226,38811
2021-04-13,9.77,9.77,9.73,9.73,19,1985
2021-04-14,9.83,9.8,9.74,9.77,209,46281
2021-04-15,9.83,9.81,9.79,9.83,73,21572
2021-04-16,9.83,9.78,9.76,9.81,66,29793
2021-04-19,9.8,9.8,9.77,9.78,27,3680
2021-04-20,9.81,9.78,9.77,9.81,41,9505
2021-04-21,9.81,9.79,9.74,9.77,59,29877
2021-04-22,9.79,9.73,9.73,9.79,73,15774
2021-04-23,9.8,9.77,9.72,9.75,78,22351
2021-04-26,9.8,9.77,9.73,9.75,29,7035
2021-04-27,9.8,9.75,9.75,9.77,48,9993
2021-04-28,9.8,9.8,9.76,9.76,28,5437
2021-04-29,9.81,9.8,9.76,9.76,13,2284
2021-04-30,9.8,9.8,9.77,9.77,12,2905
2021-05-03,9.81,9.75,9.74,9.81,67,7205
2021-05-04,9.75,9.72,9.72,9.75,21,3969
2021-05-05,9.75,9.74,9.72,9.72,44,11889
2021-05-06,9.73,9.7202,9.72,9.73,10,2383
2021-05-07,9.75,9.74,9.72,9.72,30,6919
2021-05-10,9.74,9.7,9.7,9.74,7,11518
2021-05-11,9.765,9.72,9.7,9.7,51,14710
2021-05-12,9.75,9.75,9.73,9.75,12,1219
2021-05-13,9.74,9.74,9.71,9.74,9,963
2021-05-14,9.73,9.73,9.72,9.72,3,118
2021-05-17,9.84,9.74,9.7,9.84,11,3012
2021-05-18,9.69,9.66,9.66,9.69,25,2411
2021-05-19,9.69,9.69,9.68,9.69,12,2210
2021-05-20,9.73,9.73,9.69,9.69,7,1495
2021-05-21,,,,,1,1
2021-05-24,9.73,9.73,9.7,9.7,1,50
2021-05-25,9.73,9.73,9.73,9.73,8,1004
2021-05-26,9.71,9.71,9.71,9.71,,
2021-05-27,9.71,9.68,9.66,9.71,21,3439
2021-05-28,9.7,9.69,9.68,9.68,16,11232
2021-06-01,9.73,9.69,9.69,9.69,11,984
2021-06-02,9.73,9.73,9.69,9.69,3,47
2021-06-03,9.72,9.68,9.68,9.69,15,3367
2021-06-04,9.69,9.69,9.66,9.66,19,228
2021-06-07,9.72,9.69,9.66,9.66,15,1438
2021-06-08,9.72,9.7,9.67,9.67,43,7613
2021-06-09,9.74,9.74,9.69,9.69,16,6482
