Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,56.03,56.02,54.94,55.19,3278,936144
2013-01-03,56.01,55.65,55.28,55.72,2695,737987
2013-01-04,56.56,56.52,55.68,55.68,3856,908533
2013-01-07,56.31,55.79,55.48,56.15,2177,535988
2013-01-08,56.26,55.66,55.44,55.5,2136,618870
2013-01-09,56.35,56.31,55.66,56.03,1985,523264
2013-01-10,58.04,57.9,56.81,56.86,3607,986676
2013-01-11,58.0,57.6,57.07,57.96,2112,551490
2013-01-14,57.51,57.2,56.73,57.47,1286,333770
2013-01-15,57.32,57.14,56.57,56.69,1821,462638
2013-01-16,56.91,56.81,56.2,56.2,2698,956998
2013-01-17,58.01,57.74,56.91,57.0,2581,723751
2013-01-18,58.15,57.71,57.46,57.96,1305,835449
2013-01-22,58.58,58.58,57.39,57.68,2246,657524
2013-01-23,58.41,58.25,57.94,58.38,1919,547770
2013-01-24,58.83,58.29,58.11,58.32,1563,461016
2013-01-25,59.36,59.09,58.49,58.64,2095,661604
2013-01-28,59.63,58.87,58.37,58.96,2630,745142
2013-01-29,59.0,58.75,58.49,58.64,2027,576650
2013-01-30,58.78,58.01,57.87,58.75,2490,638619
2013-01-31,58.23,57.88,57.66,57.88,2793,1314584
2013-02-01,59.24,58.84,58.02,58.49,3472,864431
2013-02-04,58.21,57.66,57.6,58.08,2499,659613
2013-02-05,58.8,58.5,58.05,58.2,2203,536326
2013-02-06,58.87,58.51,57.74,57.88,2779,680115
2013-02-07,58.06,56.9,55.82,58.0,5020,1107856
2013-02-08,57.61,57.6,56.83,57.18,2408,606132
2013-02-11,57.71,57.21,57.15,57.54,2012,454967
2013-02-12,57.21,57.0,56.81,57.17,2472,998160
2013-02-13,57.66,57.33,57.08,57.1,1713,452909
2013-02-14,57.21,57.06,56.56,56.91,2041,506022
2013-02-15,57.65,57.28,57.09,57.21,2212,924456
2013-02-19,58.17,58.15,57.4,57.4,1727,520715
2013-02-20,58.17,56.05,56.0,58.17,2578,641619
2013-02-21,56.0,55.11,54.77,56.0,2415,698205
2013-02-22,56.09,56.08,55.19,55.19,2058,651159
2013-02-25,56.88,54.7,54.64,56.53,5024,1178281
2013-02-26,55.26,54.64,53.72,55.08,4454,1065944
2013-02-27,56.0,55.86,54.0,54.61,3230,737138
2013-02-28,56.2,55.57,55.26,55.72,2665,1350203
2013-03-01,55.43,54.98,54.29,55.1,2018,573940
2013-03-04,55.44,55.43,54.55,54.64,1731,430405
2013-03-05,57.58,56.76,55.68,55.9,2497,862744
2013-03-06,57.55,56.95,56.68,57.2,2161,538347
2013-03-07,58.45,58.23,57.02,57.03,2680,850902
2013-03-08,59.7,59.6,58.52,58.62,3939,1204133
2013-03-11,60.49,60.41,59.3,59.48,2479,864330
2013-03-12,60.32,59.87,59.56,59.98,2986,1247891
2013-03-13,60.22,59.69,59.5,60.09,1940,527178
2013-03-14,60.18,60.18,59.6,60.05,1882,644861
2013-03-15,60.6,60.41,59.76,59.8,1910,1373863
2013-03-18,59.99,59.4,59.0,59.27,2381,688710
2013-03-19,60.04,59.42,58.93,59.74,3768,942653
2013-03-20,60.05,59.6,59.43,59.93,2177,627722
2013-03-21,59.12,58.33,58.26,59.0,2637,710969
2013-03-22,58.89,58.75,58.24,58.58,1609,505216
2013-03-25,59.28,58.64,57.96,59.1,2122,575164
2013-03-26,59.61,59.59,58.6,59.06,1553,448912
2013-03-27,59.2,59.11,58.58,58.98,1445,353290
2013-03-28,59.25,58.99,58.73,59.01,1785,703370
2013-04-01,59.14,58.28,58.02,58.8,1605,459113
2013-04-02,59.51,59.04,58.41,58.74,2190,532764
2013-04-03,59.33,57.98,57.72,59.17,1899,500843
2013-04-04,57.97,56.96,56.51,57.88,3632,1071581
2013-04-05,55.58,55.48,54.81,55.53,3028,958913
2013-04-08,55.82,55.79,54.97,55.36,2217,743079
2013-04-09,56.66,56.44,55.7,55.93,2187,563318
2013-04-10,58.3,57.86,56.59,56.89,2349,608090
2013-04-11,58.16,57.64,57.46,57.88,2314,543633
2013-04-12,57.59,56.9,56.4,57.15,2319,653202
2013-04-15,56.93,55.58,55.57,56.63,4084,1034080
2013-04-16,56.83,56.72,55.88,56.24,3035,749997
2013-04-17,56.49,55.88,55.47,55.94,4094,909044
2013-04-18,56.0,54.91,54.59,56.0,3297,707170
2013-04-19,55.81,55.77,54.92,55.13,2788,934576
2013-04-22,56.16,56.1,55.04,55.82,2159,567333
2013-04-23,58.37,57.94,56.31,56.59,3795,857565
2013-04-24,58.57,58.34,57.9,58.18,2565,584673
2013-04-25,59.85,59.34,58.3,58.58,2985,695505
2013-04-26,59.51,59.25,58.51,59.05,2054,511780
2013-04-29,60.45,60.29,59.19,59.55,2910,736293
2013-04-30,60.51,60.42,59.69,60.17,2317,764567
2013-05-01,60.47,59.28,59.19,60.38,4656,1098487
2013-05-02,64.45,63.41,61.75,62.5,8633,2210217
2013-05-03,65.8,65.2,64.28,64.42,3621,968642
2013-05-06,65.93,65.8,65.05,65.11,3078,743689
2013-05-07,66.86,65.68,65.48,66.41,2910,898069
2013-05-08,66.37,65.97,65.1,65.37,2356,805060
2013-05-09,66.05,65.51,65.16,65.85,1870,453695
2013-05-10,65.64,65.05,64.63,65.55,2225,580199
2013-05-13,65.14,65.1,64.32,64.41,2303,597373
2013-05-14,66.6,66.6,64.92,65.15,1959,588552
2013-05-15,68.06,67.7,66.39,66.65,3594,1123802
2013-05-16,68.44,67.2,66.94,67.53,3539,729721
2013-05-17,68.6,68.38,67.25,67.5,1963,849431
2013-05-20,68.75,68.43,68.05,68.05,1800,408699
2013-05-21,68.86,68.05,67.99,68.46,2000,487542
2013-05-22,69.38,67.45,67.08,68.05,2812,620269
2013-05-23,67.26,66.99,65.81,66.56,2529,590979
2013-05-24,66.5,66.46,65.55,65.78,1529,382792
2013-05-28,68.79,67.87,67.56,67.59,3101,762160
2013-05-29,70.0,69.22,66.82,66.98,3900,869972
2013-05-30,70.76,70.01,69.16,69.3,3069,682088
2013-05-31,70.57,68.97,68.97,69.46,3845,1191472
2013-06-03,69.69,69.57,67.86,69.33,3484,872323
2013-06-04,70.62,69.07,68.5,69.7,4082,811176
2013-06-05,69.14,67.45,67.17,68.63,3167,1024481
2013-06-06,69.06,69.06,67.13,67.52,3496,694661
2013-06-07,71.8,71.72,69.55,69.76,4528,1160506
2013-06-10,73.56,72.36,71.83,71.84,3491,677180
2013-06-11,71.92,70.93,70.55,71.34,2852,625083
2013-06-12,71.93,71.01,70.79,71.8,3393,622478
2013-06-13,71.85,71.7,70.45,70.72,2296,629016
2013-06-14,71.59,70.48,70.13,71.57,1863,428999
2013-06-17,72.5,72.19,71.35,71.41,2335,591006
2013-06-18,73.3,72.97,71.7,72.18,2315,439433
2013-06-19,73.46,72.23,72.06,72.78,2577,485085
2013-06-20,73.05,71.91,70.87,71.34,4620,943553
2013-06-21,73.0,71.55,70.75,72.89,4957,1826398
2013-06-24,70.84,70.26,69.04,70.35,5053,935274
2013-06-25,71.99,71.09,70.29,71.11,3320,738446
2013-06-26,72.04,71.05,70.82,72.0,2944,780033
2013-06-27,72.76,72.41,71.53,71.67,2884,630350
2013-06-28,73.41,73.03,71.72,72.12,3535,1304479
2013-07-01,73.99,73.3,73.1,73.18,3374,679712
2013-07-02,74.19,74.1,73.13,73.2,3275,667475
