Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,113.79,111.8,109.8,113.61,1388,203382
2013-01-03,113.83,113.7,110.95,111.43,1221,161910
2013-01-04,115.98,115.66,113.69,114.04,1419,199604
2013-01-07,117.51,117.04,115.34,115.82,1806,349327
2013-01-08,117.85,117.83,116.63,116.77,865,132609
2013-01-09,119.32,118.46,118.07,118.45,1417,209441
2013-01-10,119.36,117.81,116.85,119.36,1285,207407
2013-01-11,118.17,117.47,116.18,117.98,693,111491
2013-01-14,118.14,117.74,115.922,117.34,1235,178909
2013-01-15,119.62,119.45,116.61,116.66,1204,164585
2013-01-16,119.14,118.36,117.18,118.96,955,141441
2013-01-17,119.92,118.97,115.57,116.0,1488,236996
2013-01-18,118.27,118.02,115.88,117.15,875,144748
2013-01-22,118.86,117.6,117.24,118.0,1210,174722
2013-01-23,117.8,117.57,115.361,116.22,830,157530
2013-01-24,118.89,118.69,116.91,117.86,894,119819
2013-01-25,121.26,120.86,118.46,118.68,1142,163970
2013-01-28,121.2,120.1,119.62,121.0,966,158466
2013-01-29,120.68,119.85,119.11,120.58,736,119060
2013-01-30,119.91,118.28,117.76,119.74,769,116506
2013-01-31,119.36,118.87,117.24,118.03,1038,181844
2013-02-01,119.49,116.26,115.89,118.86,1567,258809
2013-02-04,117.66,116.13,115.0,115.57,989,142745
2013-02-05,117.2,116.41,115.75,116.7,919,140470
2013-02-06,122.68,121.38,117.82,118.0,1933,285861
2013-02-07,122.95,122.82,119.75,121.22,1748,242721
2013-02-08,124.36,122.47,122.33,123.68,866,154244
2013-02-11,122.26,119.5,118.64,122.21,1681,248959
2013-02-12,121.64,120.72,119.23,120.62,1199,185650
2013-02-13,121.72,120.49,119.76,120.86,3179,6948108
2013-02-14,121.0,120.3,119.44,119.98,2493,515808
2013-02-15,121.43,120.1,119.06,120.17,2258,435132
2013-02-19,121.2,121.14,119.83,121.2,1705,415311
2013-02-20,121.99,118.39,118.14,121.68,1502,254430
2013-02-21,118.62,117.8,116.96,118.3,1458,259946
2013-02-22,118.9,118.89,117.79,118.18,879,150178
2013-02-25,120.13,117.36,117.36,120.12,1890,318703
2013-02-26,120.01,119.79,116.94,118.13,1726,264041
2013-02-27,121.61,120.71,119.35,119.9,1544,242251
2013-02-28,122.32,121.85,120.45,120.45,1781,430641
2013-03-01,122.82,122.06,121.13,121.49,1409,225454
2013-03-04,123.91,123.88,121.71,121.76,1411,237248
2013-03-05,125.41,125.07,123.96,124.7,1120,185991
2013-03-06,125.46,122.72,122.52,124.78,1621,253396
2013-03-07,124.37,124.08,122.76,123.09,906,143535
2013-03-08,124.5,123.28,122.46,124.21,1233,207307
2013-03-11,123.24,120.92,120.42,123.21,1223,207479
2013-03-12,118.81,118.01,116.6,117.56,1382,268235
2013-03-13,119.93,119.5,117.68,118.37,1504,244863
2013-03-14,119.68,118.72,118.29,119.32,958,188419
2013-03-15,119.68,117.97,117.89,117.91,1485,752798
2013-03-18,117.56,116.06,115.81,117.48,1404,363596
2013-03-19,116.26,114.26,113.9,116.26,1575,305859
2013-03-20,114.97,112.74,112.27,114.8,2047,327157
2013-03-21,113.13,111.83,111.31,111.32,1272,230906
2013-03-22,113.27,111.86,111.57,112.09,1163,235809
2013-03-25,113.35,113.2,111.91,112.0,1244,232599
2013-03-26,114.07,113.94,112.61,113.37,885,158395
2013-03-27,113.17,112.79,111.66,112.98,1524,254216
2013-03-28,110.67,106.81,106.62,108.2,3393,702340
2013-04-01,107.99,106.2,104.22,106.57,1668,302229
2013-04-02,107.0,105.94,105.48,106.68,1313,239057
2013-04-03,106.15,105.08,104.89,105.85,1680,310003
2013-04-04,105.52,104.82,104.09,105.01,1260,310480
2013-04-05,108.03,107.78,102.74,103.52,1414,254809
2013-04-08,108.28,108.26,106.55,107.34,1069,183701
2013-04-09,108.13,107.78,106.36,108.13,1273,220400
2013-04-10,109.46,109.41,107.1,107.99,1094,210306
2013-04-11,112.75,111.43,109.4,109.62,1557,241135
2013-04-12,110.9,109.73,109.6,110.86,1004,169450
2013-04-15,109.2,104.91,104.82,108.77,1498,275731
2013-04-16,106.55,106.55,104.01,105.61,1518,292839
2013-04-17,106.36,104.75,104.65,106.11,1351,228596
2013-04-18,105.68,103.85,103.31,104.97,1094,165050
2013-04-19,106.13,106.08,104.25,104.45,1032,203739
2013-04-22,106.92,106.43,105.42,106.08,1383,204013
2013-04-23,109.4,109.36,107.44,107.51,1596,268048
2013-04-24,110.42,109.46,108.91,109.36,943,149056
2013-04-25,111.44,111.35,109.68,109.94,1113,171761
2013-04-26,111.79,111.6,110.15,111.21,1094,322983
