Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-08-11,25.5,25.38,25.22,25.3,24,7538
2017-08-14,25.55,25.5,25.4,25.4,13,7340
2017-08-15,25.45,25.45,25.45,25.45,2,185
2017-08-16,25.45,25.35,25.35,25.4,20,2797
2017-08-17,25.44,25.25,25.22,25.23,17,3100
2017-08-18,25.35,25.25,25.25,25.35,5,600
2017-08-21,25.35,25.17,25.17,25.35,6,2215
2017-08-22,25.2,25.1,25.0,25.15,12,4035
2017-08-23,25.15,25.13,25.1,25.1,31,5339
2017-08-24,25.3,25.3,25.2,25.2,11,2215
2017-08-25,25.5,25.49,25.2,25.2,9,2743
2017-08-28,25.5,25.47,25.45,25.5,6,1300
2017-08-29,25.43,25.35,25.35,25.43,6,866
2017-08-30,25.45,25.4,25.39,25.45,8,1100
2017-08-31,25.43,25.43,25.42,25.42,2,200
2017-09-01,25.42,25.42,25.41,25.42,3,300
2017-09-05,25.42,25.42,25.41,25.41,4,900
2017-09-06,25.45,25.43,25.43,25.43,7,800
2017-09-07,25.45,25.41,25.41,25.45,8,2000
2017-09-08,25.43,25.42,25.42,25.43,3,400
2017-09-11,25.45,25.45,25.45,25.45,19,3780
2017-09-12,25.59,25.55,25.451,25.59,9,1420
2017-09-13,25.63,25.54,25.5,25.63,9,1682
2017-09-15,25.74,25.74,25.6,25.6,17,2737
2017-09-18,25.68,25.68,25.67,25.67,2,200
2017-09-19,25.72,25.72,25.72,25.72,2,173
2017-09-21,25.8,25.8,25.8,25.8,2,500
2017-09-22,25.8,25.8,25.7,25.7,6,3268
2017-09-25,25.82,25.8,25.78,25.82,13,8543
2017-09-26,25.82,25.82,25.8,25.81,11,2010
2017-09-27,25.87,25.79,25.63,25.87,16,4375
2017-09-28,25.87,25.87,25.84,25.84,16,3000
2017-09-29,25.92,25.87,25.86,25.92,9,1100
2017-10-02,25.9,25.85,25.85,25.9,3,1020
2017-10-03,25.85,25.85,25.85,25.85,1,100
2017-10-04,25.87,25.76,25.76,25.87,6,1479
2017-10-05,25.9,25.83,25.83,25.9,18,2455
2017-10-06,26.0,26.0,25.9,25.98,15,1339
2017-10-10,25.8,25.72,25.72,25.8,3,300
2017-10-12,25.76,25.74,25.72,25.73,6,744
2017-10-16,25.8,25.79,25.75,25.75,4,400
2017-10-18,25.85,25.75,25.75,25.85,3,500
2017-10-19,25.75,25.75,25.75,25.75,2,295
2017-10-20,25.8,25.8,25.76,25.76,4,900
2017-10-23,25.85,25.82,25.82,25.85,3,464
2017-10-24,25.85,25.85,25.85,25.85,4,669
2017-10-25,25.82,25.82,25.801,25.801,4,500
2017-10-27,25.9,25.8,25.8,25.9,7,1600
2017-10-30,25.99,25.99,25.99,25.99,2,200
2017-10-31,25.65,25.4,25.35,25.65,21,8184
2017-11-01,25.45,25.45,25.45,25.45,1,400
2017-11-02,25.41,25.41,25.38,25.38,9,6600
2017-11-03,25.45,25.35,25.35,25.45,5,2400
2017-11-06,25.33,25.33,25.33,25.33,1,331
2017-11-07,25.34,25.3,25.27,25.34,4,400
2017-11-08,25.19,25.15,25.15,25.17,3,300
2017-11-09,25.33,25.33,25.25,25.25,7,1000
2017-11-10,25.3,25.15,25.06,25.3,17,3540
2017-11-13,25.29,25.25,25.15,25.15,6,1161
2017-11-14,25.23,25.23,25.23,25.23,6,2039
2017-11-15,25.28,25.25,25.25,25.28,3,400
2017-11-16,25.2,25.04,25.04,25.2,20,1800
2017-11-17,25.23,25.05,25.05,25.1,61,8112
2017-11-20,25.17,25.17,25.15,25.16,13,1300
2017-11-21,25.26,25.26,25.2,25.2,2,300
2017-11-22,25.36,25.35,25.35,25.36,7,800
2017-11-24,25.5,25.5,25.45,25.45,3,502
2017-11-27,25.54,25.53,25.36,25.52,13,1581
2017-11-28,25.53,25.53,25.53,25.53,2,196
2017-11-30,25.45,25.45,25.45,25.45,1,100
