Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-02-07,9.65,9.65,9.65,9.65,3,102
2022-02-08,9.88,9.88,9.85,9.85,1,200
2022-02-09,9.91,9.9,9.89,9.9,4,301
2022-02-10,9.88,9.88,9.86,9.86,2,106
2022-02-14,,,,,1,2
2022-02-15,10.38,9.88,9.85,10.38,3,203
2022-02-16,9.9,9.87,9.85,9.85,4,18226
2022-02-22,9.89,9.89,9.89,9.89,,
2022-02-23,9.955,9.92,9.87,9.89,13,1571
2022-02-24,9.87,9.87,9.83,9.83,1,1265
2022-02-25,9.91,9.91,9.91,9.91,1,100
2022-02-28,9.9,9.9,9.9,9.9,6,50043
2022-03-01,9.915,9.915,9.915,9.915,,
2022-03-02,10.41,9.94,9.92,10.41,6,1765
2022-03-03,9.92,9.92,9.92,9.92,1,300
2022-03-07,9.91,9.91,9.91,9.91,,
2022-03-10,9.9244,9.9244,9.9244,9.9244,,
2022-03-15,9.98,9.91,9.91,9.98,1,1
2022-03-17,9.94,9.94,9.91,9.91,7,5300
2022-03-22,9.92,9.92,9.92,9.92,,
2022-03-23,9.92,9.92,9.92,9.92,1,1181
2022-03-24,9.95,9.95,9.94,9.94,2,1300
2022-03-25,9.93,9.93,9.93,9.93,,
2022-03-31,9.97,9.95,9.95,9.97,2,1000
2022-04-01,9.95,9.95,9.95,9.95,1,100
2022-04-04,9.93,9.93,9.93,9.93,2,808
2022-04-05,9.93,9.93,9.93,9.93,,
2022-04-06,9.98,9.98,9.93,9.93,4,288
2022-04-11,9.95,9.95,9.95,9.95,1,70
2022-04-12,10.1,10.0,9.99,10.1,3,136
2022-04-13,10.0,10.0,10.0,10.0,2,651
2022-04-14,9.99,9.99,9.99,9.99,4,566
2022-04-21,9.99,9.97,9.97,9.99,2,300
2022-04-22,10.02,10.02,10.02,,,
2022-04-25,9.98,9.96,9.96,9.98,5,10229
2022-04-26,,,,,1,4
2022-05-05,9.97,9.97,9.97,9.97,,
2022-05-09,9.99,9.97,9.97,9.99,14,46450
2022-05-10,9.97,9.97,9.97,9.97,2,12670
2022-05-12,9.95,9.95,9.95,9.95,3,1100
2022-05-17,9.94,9.94,9.94,9.94,1,200
2022-05-19,9.93,9.93,9.93,9.93,1,3763
2022-05-23,9.95,9.93,9.93,9.95,4,1998
2022-05-24,9.93,9.93,9.93,9.93,1,100
2022-05-26,9.95,9.92,9.92,9.95,10,22604
2022-05-27,9.92,9.915,9.915,9.92,1,12656
2022-05-31,9.95,9.95,9.95,9.95,,
2022-06-01,9.95,9.95,9.93,9.93,1,2
2022-06-03,9.97,9.97,9.97,9.97,1,35
2022-06-07,,,,,1,45
2022-06-09,9.97,9.97,9.96,9.96,2,200
2022-06-13,9.97,9.96,9.96,9.97,3,200
2022-06-14,9.96,9.96,9.96,9.96,1,121
2022-06-15,9.97,9.97,9.96,9.96,2,253
2022-06-16,9.97,9.96,9.96,9.97,1,361
2022-06-17,9.95,9.95,9.94,9.94,4,66724
2022-06-21,9.95,9.95,9.95,9.95,1,5000
2022-06-22,9.97,9.97,9.92,9.92,2,332
2022-06-29,,,,,1,80
2022-06-30,9.98,9.98,9.97,9.97,1,1000
2022-07-05,10.01,10.01,9.99,9.99,1,200
2022-07-06,9.98,9.98,9.97,9.97,1,20
2022-07-07,10.05,9.96,9.96,10.01,5,1325
2022-07-11,10.0,10.0,10.0,10.0,1,100
2022-07-12,9.98,9.98,9.98,9.98,,
2022-07-13,9.98,9.98,9.98,9.98,,
2022-07-14,10.07,9.98,9.98,9.98,17,1642
