Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-14,25.31,25.28,25.23,25.29,817,405847
2020-01-15,25.35,25.25,25.23,25.31,342,249148
2020-01-16,25.31,25.31,25.23,25.25,359,214510
2020-01-17,25.37,25.33,25.3,25.31,401,169042
2020-01-21,25.42,25.39,25.36,25.36,636,431494
2020-01-22,25.48,25.48,25.41,25.43,388,103947
2020-01-23,25.55,25.49,25.43,25.48,559,208425
2020-01-24,25.52,25.45,25.38,25.51,210,101210
2020-01-27,25.4,25.4,25.29,25.32,185,87416
2020-01-28,25.48,25.47,25.4,25.43,446,154986
2020-01-29,25.595,25.59,25.49,25.49,1127,341621
2020-01-30,25.68,25.66,25.48,25.54,1254,497571
2020-01-31,25.69,25.49,25.48,25.69,2075,4332491
2020-02-03,25.52,25.47,25.46,25.51,392,116877
2020-02-04,25.665,25.65,25.52,25.52,280,136251
2020-02-05,25.76,25.75,25.66,25.7,263,101234
2020-02-06,25.77,25.76,25.72,25.75,284,72977
2020-02-07,25.82,25.755,25.75,25.79,238,53756
2020-02-10,25.78,25.7504,25.7,25.77,148,57362
2020-02-11,25.82,25.75,25.74,25.77,197,85527
2020-02-12,25.8,25.74,25.69,25.8,287,80633
2020-02-13,25.79,25.79,25.73,25.74,137,63598
2020-02-14,25.86,25.85,25.8,25.8,250,109707
2020-02-18,25.9,25.85,25.84,25.87,106,39439
2020-02-19,25.88,25.74,25.74,25.86,111,50854
2020-02-20,25.85,25.83,25.8,25.82,94,17084
2020-02-21,25.87,25.8,25.79,25.84,97,23864
2020-02-24,25.74,25.66,25.66,25.7,94,34714
2020-02-25,25.75,25.49,25.41,25.75,346,62661
2020-02-26,25.55,25.38,25.34,25.49,425,85565
2020-02-27,25.33,25.18,25.075,25.32,238,54545
2020-02-28,25.15,24.69,24.65,25.15,444,210153
2020-03-02,25.26,25.26,24.85,24.9,344,92830
2020-03-03,25.7,25.44,25.29,25.29,177,43475
2020-03-04,25.65,25.65,25.44,25.5,319,78102
2020-03-05,25.6,25.37,25.37,25.56,188,60714
2020-03-06,25.34,25.31,25.1,25.2,248,39105
2020-03-09,25.0,24.538,24.36,24.88,296,63199
2020-03-10,25.0,24.69,24.41,25.0,353,92294
2020-03-11,24.67,24.22,24.15,24.65,757,139702
2020-03-12,23.74,21.5,21.36,23.74,632,106616
2020-03-13,23.02,22.75,21.81,22.6,625,158037
2020-03-16,21.88,20.75,20.23,21.88,335,95681
2020-03-17,21.9,21.27,20.92,21.36,308,67645
2020-03-18,20.5,16.0,14.09,20.5,625,141290
2020-03-19,20.4,18.51,16.51,16.9,475,136690
2020-03-20,20.83,20.15,19.01,19.58,312,71275
2020-03-23,20.01,19.1,18.0,20.01,251,50744
2020-03-24,20.7,20.2118,19.62,20.09,656,122730
2020-03-25,22.35,21.44,20.59,20.59,533,88121
2020-03-26,23.25,22.9,22.2,22.26,541,112423
2020-03-27,22.9,22.06,21.8,22.9,500,80602
2020-03-30,22.84,22.65,22.18,22.4,269,56331
2020-03-31,22.83,22.39,22.39,22.75,213,70197
2020-04-01,22.55,22.22,21.92,22.3,356,47247
2020-04-02,22.59,22.19,22.01,22.18,267,49742
2020-04-03,22.18,22.16,21.75,22.03,195,43195
2020-04-06,23.08,22.76,22.37,22.76,175,43988
2020-04-07,23.43,23.36,23.0,23.25,196,36443
2020-04-08,24.18,23.8992,23.55,23.62,273,64190
2020-04-09,24.57,24.3746,24.03,24.5,342,68443
2020-04-13,24.43,24.05,23.79,24.35,267,41233
2020-04-14,24.45,24.16,23.9,24.3,258,45703
2020-04-15,24.37,24.17,23.9,23.99,202,44093
2020-04-16,24.45,24.295,24.06,24.3,273,71024
2020-04-17,24.77,24.5,24.265,24.45,287,89078
2020-04-20,24.63,24.56,24.4,24.49,199,37966
2020-04-21,24.54,24.5,24.23,24.51,197,42286
2020-04-22,24.78,24.39,24.39,24.52,360,78376
2020-04-23,24.67,24.51,24.45,24.5,238,66641
2020-04-24,24.73,24.54,24.5,24.69,232,54010
2020-04-27,24.74,24.58,24.58,24.69,268,75361
2020-04-28,24.48,24.33,24.21,24.43,232,41955
2020-04-29,24.63,24.61,24.35,24.5,248,62286
2020-04-30,24.85,24.67,24.45,24.55,577,301886
2020-05-01,24.66,24.54,24.4,24.65,205,57957
2020-05-04,24.71,24.71,24.5,24.54,156,43316
2020-05-05,24.915,24.64,24.64,24.77,182,51189
2020-05-06,24.84,24.72,24.66,24.75,181,41844
2020-05-07,24.9,24.79,24.7,24.77,214,46236
2020-05-08,24.95,24.73,24.71,24.87,263,63860
2020-05-11,24.88,24.83,24.75,24.79,111,22096
2020-05-12,24.83,24.71,24.66,24.82,187,45875
2020-05-13,24.74,24.63,24.51,24.74,236,39601
2020-05-14,24.62,24.6,24.22,24.53,218,46600
2020-05-15,24.61,24.53,24.51,24.6,255,70351
2020-05-18,24.74,24.6,24.57,24.73,61,20591
2020-05-19,24.75,24.59,24.59,24.69,127,43587
2020-05-20,24.79,24.75,24.64,24.7,128,31965
2020-05-21,24.9,24.8,24.79,24.8,173,34895
2020-05-22,24.99,24.955,24.87,24.87,163,43477
2020-05-26,25.0,24.93,24.93,25.0,107,56474
2020-05-27,25.03,25.03,24.93,24.98,192,77655
2020-05-28,25.15,24.98,24.94,25.03,187,59707
2020-05-29,25.1,24.95,24.95,25.0,249,90666
2020-06-01,25.08,25.06,24.95,25.04,219,43005
2020-06-02,25.09,25.08,24.95,25.08,281,52633
2020-06-03,25.12,25.12,25.04,25.1,234,66337
2020-06-04,25.37,25.28,25.1,25.1,478,106770
2020-06-05,25.5,25.41,25.37,25.41,162,54387
2020-06-08,25.59,25.58,25.31,25.4,220,51785
2020-06-09,25.6,25.5,25.47,25.57,101,17663
2020-06-10,25.59,25.49,25.4,25.5,87,18243
2020-06-11,25.42,25.11,24.92,25.35,256,83386
2020-06-12,25.34,24.8,24.8,25.34,152,37016
2020-06-15,25.17,25.17,24.65,24.7,175,30752
2020-06-16,25.27,25.03,25.02,25.19,226,60022
2020-06-17,25.17,25.07,25.01,25.04,120,26916
2020-06-18,25.21,25.21,25.04,25.1,180,30775
2020-06-19,25.29,25.24,25.2,25.23,207,27134
2020-06-22,25.27,25.14,25.1,25.27,118,25917
2020-06-23,25.25,25.19,25.08,25.22,167,36625
2020-06-24,25.24,25.2,25.1,25.2,197,46852
2020-06-25,25.24,25.22,25.14,25.21,115,25193
2020-06-26,25.24,25.18,25.1,25.24,160,29247
2020-06-29,25.2,25.2,25.11,25.18,140,22373
2020-06-30,25.26,25.1,25.1,25.2,224,220285
2020-07-01,25.36,25.23,25.17,25.17,174,41368
2020-07-02,25.4,25.39,25.25,25.31,113,24537
2020-07-06,25.55,25.54,25.41,25.41,92,26866
2020-07-07,25.64,25.58,25.54,25.58,130,42307
2020-07-08,25.7,25.63,25.59,25.6,71,30894
2020-07-09,25.73,25.71,25.63,25.71,154,38893
2020-07-10,25.83,25.8,25.67,25.71,106,21364
2020-07-13,25.84,25.799,25.71,25.8,84,16629
2020-07-14,25.8,25.72,25.71,25.74,116,22724
2020-07-15,25.84,25.8,25.74,25.74,105,15671
2020-07-16,26.05,25.79,25.76,25.76,192,46252
2020-07-17,25.93,25.87,25.73,25.84,368,68488
2020-07-20,25.94,25.85,25.79,25.87,105,28422
2020-07-21,26.06,26.055,25.88,25.88,84,22305
2020-07-22,26.16,26.15,26.01,26.08,114,24418
2020-07-23,26.22,26.21,26.12,26.12,72,13505
2020-07-24,26.3,26.29,26.19,26.2,117,31070
2020-07-27,26.35,26.18,26.16,26.32,103,34678
2020-07-28,26.09,26.06,25.83,25.9,180,37738
2020-07-29,26.19,26.19,26.0,26.0,285,49614
2020-07-30,26.31,26.3,26.07,26.19,184,43409
2020-07-31,26.34,26.2,26.13,26.26,267,91202
2020-08-03,26.28,26.186,26.14,26.27,105,24345
2020-08-04,26.27,26.26,26.2,26.23,167,21770
2020-08-05,26.3,26.3,26.22,26.26,67,20230
2020-08-06,26.3,26.25,26.1,26.3,105,45614
2020-08-07,26.3,26.3,26.14,26.24,78,23866
2020-08-10,26.33,26.24,26.14,26.3,228,48640
2020-08-11,26.29,26.28,26.2,26.24,160,27888
2020-08-12,26.39,26.39,26.25,26.25,132,25064
2020-08-13,26.47,26.45,26.3,26.3,56,13080
2020-08-14,26.61,26.45,26.45,26.45,146,31442
2020-08-17,26.64,26.64,26.51,26.57,109,18549
2020-08-18,26.75,26.65,26.63,26.69,177,43317
2020-08-19,26.7,26.67,26.65,26.65,109,29698
2020-08-20,26.71,26.7,26.6,26.62,82,27134
2020-08-21,26.77,26.69,26.61,26.71,121,19452
2020-08-24,26.72,26.7,26.64,26.69,115,37651
2020-08-25,26.72,26.72,26.67,26.7,104,19599
2020-08-26,26.85,26.85,26.7,26.72,135,27561
2020-08-27,26.9,26.89,26.84,26.85,141,35168
2020-08-28,26.9,26.76,26.63,26.9,141,31166
