Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-30,15.51,13.25,12.98,15.05,1310,526989
2020-11-02,14.95,14.5,14.0,14.0,624,126361
2020-11-03,16.42,16.25,14.65,14.65,378,61509
2020-11-04,16.75,16.7,16.04,16.04,237,23517
2020-11-05,18.0,17.9,16.78,16.78,275,29056
2020-11-06,21.04,20.0,18.15,18.15,516,56360
2020-11-09,23.93,21.75,21.0,22.58,552,86869
2020-11-10,23.4,20.25,20.09,22.1,412,40373
2020-11-11,21.5,21.0,20.25,20.25,222,15462
2020-11-12,22.325,21.8,21.0,21.0,258,22799
2020-11-13,24.25,24.0,22.05,22.22,373,38462
2020-11-16,30.37,30.33,23.75,24.42,433,35911
2020-11-17,36.06,29.78,28.95,31.0,684,71592
2020-11-18,31.69,29.96,26.59,29.0,357,31787
2020-11-19,31.14,30.53,30.19,30.25,172,15953
2020-11-20,32.13,32.13,31.47,31.47,331,34197
2020-11-23,33.17,27.62,27.16,33.17,265,27753
2020-11-24,30.23,29.31,28.01,28.81,330,22122
2020-11-25,29.94,29.33,28.59,29.66,219,10305
2020-11-27,31.96,31.29,29.32,29.77,181,8858
2020-11-30,32.39,31.0,30.9,32.39,132,20666
2020-12-01,32.305,29.25,28.45,31.45,256,15807
2020-12-02,28.98,26.1,24.71,28.98,310,26201
2020-12-03,28.4,27.54,26.39,26.39,211,16471
2020-12-04,27.9,26.05,26.05,27.89,116,7247
2020-12-07,25.55,24.08,22.13,25.39,287,23595
2020-12-08,24.67,23.55,23.51,23.85,148,8731
2020-12-09,24.58,24.38,22.74,23.38,116,6492
2020-12-10,24.44,23.92,23.41,24.0,59,4595
2020-12-11,24.0,22.31,21.72,24.0,129,9317
2020-12-14,24.86,24.86,22.95,23.0,293,23065
2020-12-15,27.45,26.25,23.8,24.73,285,16436
2020-12-16,26.79,25.64,24.6,26.69,287,46844
2020-12-17,26.22,25.26,24.47,25.92,220,37768
2020-12-18,27.0,24.74,24.1,25.37,228,601284
2020-12-21,26.35,25.76,24.1,24.51,125,21552
2020-12-22,30.27,30.09,25.76,25.76,223,37555
2020-12-23,29.89,27.22,26.14,29.89,200,17684
2020-12-24,28.08,27.5,27.01,27.01,26,2982
2020-12-28,34.74,34.58,27.16,28.02,394,32564
2020-12-29,35.17,30.68,30.58,35.17,214,14944
2020-12-30,30.8,30.04,29.35,30.5,132,6464
2020-12-31,29.6,28.98,28.5,29.6,72,10813
2021-01-04,29.71,28.0,27.54,29.33,81,10597
2021-01-05,28.65,28.65,26.64,27.5,124,9281
2021-01-06,30.99,29.9,28.92,28.92,140,11221
2021-01-07,30.0,29.32,28.99,29.87,105,7814
2021-01-08,29.82,28.0,26.75,29.82,90,7782
2021-01-11,28.29,27.73,27.5,27.95,61,5916
2021-01-12,28.25,28.09,26.59,27.14,58,8392
2021-01-13,29.63,29.13,28.03,28.11,43,5112
2021-01-14,30.0,28.64,28.35,30.0,74,8148
2021-01-15,28.97,28.7,28.0,28.19,40,6309
2021-01-19,29.45,27.24,25.22,28.9,121,14486
2021-01-20,27.21,25.44,24.91,27.21,113,8638
2021-01-21,25.27,24.89,23.69,25.06,69,5328
2021-01-22,26.17,26.17,24.11,24.94,55,5841
2021-01-25,26.0,24.24,24.11,26.0,59,6120
2021-01-26,26.68,25.81,24.59,24.59,79,8000
2021-01-27,26.0,24.52,24.31,26.0,119,11000
2021-01-28,25.37,23.45,23.14,25.37,98,7635
2021-01-29,24.77,24.07,23.8,23.8,118,12451
2021-02-01,24.58,24.55,24.2,24.2,80,9974
2021-02-02,25.45,24.77,24.61,24.79,32,3550
2021-02-03,25.19,25.08,24.37,25.08,176,37995
2021-02-04,25.61,25.26,24.95,24.99,64,6425
2021-02-05,26.32,26.32,25.35,25.35,76,5559
2021-02-08,27.43,27.28,26.32,26.66,107,7802
2021-02-09,29.34,28.97,27.26,27.26,110,10858
2021-02-10,28.29,24.41,24.28,28.23,291,27581
2021-02-11,24.5,22.01,21.14,24.04,337,43217
2021-02-12,19.2,18.56,17.9,18.75,2097,446210
2021-02-16,19.08,18.51,18.0,19.0,1184,201173
2021-02-17,18.91,18.6,17.98,18.5,890,157029
2021-02-18,18.49,18.2,17.38,18.15,624,80045
2021-02-19,18.83,17.71,17.5,18.5,493,76881
2021-02-22,17.89,17.55,17.32,17.86,516,80023
2021-02-23,17.25,16.85,15.92,17.25,360,39178
