Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,67.76,67.72,66.58,66.68,650,106719
2013-01-03,69.42,68.98,67.41,67.7,946,147713
2013-01-04,69.52,69.36,68.99,69.34,270,54366
2013-01-07,69.85,69.62,69.19,69.36,286,60770
2013-01-08,69.49,67.94,67.4,69.41,601,107432
2013-01-09,69.04,68.18,68.06,68.55,381,63095
2013-01-10,69.04,68.41,67.5,68.84,356,91154
2013-01-11,68.41,67.48,67.28,68.4,509,93885
2013-01-14,67.71,67.63,66.37,67.44,434,67984
2013-01-15,69.3,68.81,67.14,67.16,395,57250
2013-01-16,68.31,66.83,65.95,68.31,899,141434
2013-01-17,67.75,67.38,65.75,66.82,979,158983
2013-01-18,70.52,69.93,67.4,67.62,690,115510
2013-01-22,70.94,70.69,69.31,70.02,428,63435
2013-01-23,71.44,71.32,70.65,70.65,298,66631
2013-01-24,72.27,71.91,71.35,71.35,444,68793
2013-01-25,73.39,72.85,71.73,72.18,504,80869
2013-01-28,73.02,71.83,71.59,73.02,401,60054
2013-01-29,72.26,71.59,71.41,71.85,428,67863
2013-01-30,71.5,70.43,70.22,71.45,717,101698
2013-01-31,70.52,70.37,68.69,70.25,1136,194828
2013-02-01,71.38,70.22,69.88,70.82,497,90642
2013-02-04,70.12,68.76,68.75,69.74,569,101460
2013-02-05,69.99,69.79,68.87,69.31,818,146518
2013-02-06,70.72,70.69,69.8,69.84,404,65658
2013-02-07,73.24,72.35,70.99,71.06,872,140347
2013-02-08,72.75,72.4,72.18,72.36,393,60841
2013-02-11,72.7,72.7,71.89,72.4,366,58690
2013-02-12,73.68,73.38,72.79,73.06,684,105226
2013-02-13,73.4,72.98,72.44,73.35,635,112703
2013-02-14,72.93,72.81,72.47,72.61,241,39619
2013-02-15,73.95,73.82,72.9,72.9,426,75721
2013-02-19,74.13,74.05,72.73,73.55,497,85175
2013-02-20,74.53,73.8,73.5,73.78,546,93990
2013-02-21,73.53,73.46,72.74,73.43,726,128737
2013-02-22,73.93,73.47,73.13,73.65,280,43510
2013-02-25,73.88,73.0,72.97,73.82,650,114129
2013-02-26,73.36,73.06,72.84,73.33,466,60323
2013-02-27,74.02,73.76,73.12,73.12,532,99916
2013-02-28,73.91,73.41,73.31,73.91,603,115349
2013-03-01,73.13,72.34,71.92,73.13,1047,207581
2013-03-04,72.17,71.83,71.21,72.14,485,121448
2013-03-05,72.98,72.8,72.14,72.35,428,71005
2013-03-06,73.67,73.06,72.74,73.08,367,58368
2013-03-07,74.11,73.62,73.02,73.15,311,47341
2013-03-08,74.53,74.33,73.99,74.09,235,43819
2013-03-11,74.99,74.77,74.26,74.33,264,40527
2013-03-12,75.63,75.54,74.71,74.71,349,66525
2013-03-13,76.88,76.8,75.4,75.54,316,44384
2013-03-14,77.87,77.87,76.92,76.95,292,46341
2013-03-15,78.68,78.68,77.52,77.73,415,251004
2013-03-18,79.25,78.38,77.55,77.78,704,110873
2013-03-19,79.24,78.76,78.15,78.86,399,58204
2013-03-20,79.71,79.3,78.67,79.04,412,54830
2013-03-21,79.24,78.64,78.47,78.98,306,54668
2013-03-22,79.08,78.04,77.77,78.9,425,70023
2013-03-25,79.18,77.9,77.6,78.71,848,171462
2013-03-26,78.07,77.77,76.7,78.07,669,108700
2013-03-27,78.14,78.13,76.66,77.57,316,42265
2013-03-28,78.61,78.5,77.67,78.25,333,62020
2013-04-01,78.51,78.11,77.72,78.51,434,77209
2013-04-02,78.66,78.13,77.61,78.66,558,107197
2013-04-03,78.94,78.05,77.87,78.29,486,80121
2013-04-04,78.45,78.29,77.92,78.01,407,71254
2013-04-05,78.47,78.41,76.95,77.37,429,76991
2013-04-08,79.82,79.65,78.25,78.48,493,74237
2013-04-09,80.21,79.94,78.99,79.95,393,72829
2013-04-10,81.39,81.28,79.93,79.93,396,67737
2013-04-11,81.78,81.47,81.02,81.35,537,105713
2013-04-12,81.67,81.67,80.96,81.25,306,69617
2013-04-15,81.76,79.06,78.8,81.52,701,151066
2013-04-16,80.68,78.61,77.99,80.03,1152,247573
2013-04-17,78.75,77.46,77.18,78.3,920,174904
2013-04-18,77.95,76.5,75.85,77.69,530,111975
2013-04-19,76.68,75.99,75.64,76.61,874,144170
2013-04-22,78.54,78.4,76.0,76.34,762,142568
2013-04-23,79.02,78.79,77.71,78.65,450,84720
