Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-20,9.93,9.9,9.89,9.9,216,4398546
2021-07-21,9.95,9.91,9.89,9.89,160,121221
2021-07-22,9.93,9.9,9.9,9.9,37,17831
2021-07-23,9.93,9.92,9.89,9.89,42,106413
2021-07-26,9.93,9.91,9.91,9.93,18,9582
2021-07-27,9.93,9.93,9.91,9.91,5,10102
2021-07-28,9.94,9.93,9.93,9.94,3,722
2021-07-29,9.91,9.9,9.9,9.91,6,7407
2021-07-30,9.93,9.92,9.91,9.91,8,2211
2021-08-02,9.93,9.93,9.9,9.91,8,1700
2021-08-03,9.91,9.91,9.9,9.9,2,200
2021-08-04,9.91,9.9,9.9,9.91,13,3400
2021-08-05,9.91,9.91,9.9,9.91,7,4383
2021-08-06,9.93,9.93,9.9,9.9,4,400
2021-08-09,9.93,9.93,9.92,9.92,1,100
2021-08-10,9.93,9.93,9.89,9.9,9,4700
2021-08-11,9.93,9.9,9.89,9.93,14,3222
2021-08-12,9.93,9.88,9.88,9.93,9,29150
2021-08-13,9.88,9.86,9.86,9.88,14,54498
2021-08-16,9.96,9.95,9.93,9.93,19,21895
2021-08-17,9.95,9.9,9.9,9.94,90,32499
2021-08-19,10.44,10.44,9.9,9.9,13,21001
2021-08-20,10.03,9.975,9.77,9.82,33,48711
2021-08-23,9.97,9.97,9.97,9.97,2,5000
2021-08-24,9.97,9.97,9.96,9.96,1,40
2021-08-25,9.99,9.99,9.96,9.97,4,1760
2021-08-26,9.93,9.93,9.88,9.89,3,500
2021-08-27,9.95,9.95,9.95,9.95,,
2021-08-31,9.99,9.95,9.95,9.99,2,101
2021-09-01,9.95,9.925,9.925,9.95,1,5
2021-09-03,9.9,9.9,9.9,9.9,,
2021-09-07,9.915,9.915,9.915,9.915,,
2021-09-08,9.9,9.9,9.9,9.9,1,10
2021-09-09,9.9,9.9,9.9,9.9,1,100
2021-09-10,9.93,9.93,9.9,9.9,15,1801
2021-09-13,9.98,9.98,9.92,9.92,5,611
2021-09-14,9.96,9.96,9.95,9.95,33,13227
2021-09-15,9.94,9.94,9.94,9.94,,
2021-09-16,11.07,11.07,9.98,9.98,19,14550
2021-09-17,10.15,10.05,10.0,10.01,17,8100
2021-09-20,10.04,9.99,9.98,10.04,6,1100
2021-09-21,9.95,9.95,9.95,9.95,2,899
2021-09-22,10.15,10.05,9.95,9.95,65,11554
2021-09-23,10.05,10.0,9.99,10.05,4,5549
2021-09-24,10.05,10.0,10.0,10.05,2,600
2021-09-29,10.0,9.95,9.94,10.0,6,7800
2021-09-30,9.96,9.96,9.92,9.92,6,420
2021-10-06,9.95,9.92,9.92,9.95,2,200
2021-10-07,9.95,9.95,9.9,9.9,4,709
2021-10-08,10.0,10.0,9.97,9.97,3,1500
2021-10-11,10.05,10.05,10.0,10.0,4,1551
2021-10-12,10.05,10.0,9.98,9.98,6,1583
2021-10-15,,,,,1,39
2021-10-19,9.99,9.947,9.947,9.99,2,110
2021-10-20,9.99,9.98,9.98,9.98,3,752
2021-10-25,9.99,9.99,9.92,9.92,1,10
2021-11-01,9.9675,9.9675,9.91,9.91,1,10
2021-11-02,9.95,9.95,9.94,9.94,4,484
2021-11-03,9.95,9.935,9.935,9.94,4,2193
2021-11-04,9.93,9.93,9.93,9.93,6,328
2021-11-05,,,,,1,77
2021-11-10,9.94,9.92,9.92,9.94,2,700
2021-11-12,9.9268,9.9268,9.9268,9.9268,,
2021-11-15,10.0,9.9506,9.9506,10.0,2,54
2021-11-16,10.03,10.0,10.0,10.02,33,46101
2021-11-17,10.04,10.0,10.0,10.04,16,16928
2021-11-19,10.02,10.02,10.02,10.02,,
2021-12-01,9.99,9.99,9.95,9.95,2,200
2021-12-02,9.97,9.97,9.92,9.92,3,300
2021-12-07,9.95,9.95,9.94,9.94,1,100
2021-12-10,9.925,9.925,9.925,9.925,,
2021-12-13,10.0,10.0,10.0,10.0,,
2021-12-14,9.9993,9.9993,9.9993,9.9993,,
2021-12-15,9.91,9.91,9.91,9.91,,
2021-12-21,9.93,9.93,9.9,9.92,3,430
2021-12-27,10.0,9.9999,9.9999,10.0,1,141
2021-12-29,,,,,1,50
2021-12-31,9.94,9.94,9.85,9.87,4,800
2022-01-10,9.927,9.927,9.927,9.927,,
2022-01-11,9.97,9.97,9.92,9.92,2,850
2022-01-20,9.9,9.9,9.85,9.85,2,220
2022-02-09,9.94,9.94,9.8,9.8,11,1400
2022-02-15,,,,,1,26
2022-02-22,9.8,9.8,9.69,9.69,3,492
2022-02-23,9.97,9.9,9.8,9.97,4,662
2022-03-01,,,,,1,43
2022-03-21,10.04,9.73,9.73,10.04,1,1
2022-03-22,9.88,9.88,9.88,9.88,1,100
2022-03-28,10.08,10.08,10.08,10.08,1,840
2022-03-31,9.91,9.85,9.73,9.75,4,1487
2022-04-01,9.87,9.85,9.74,9.74,3,660
2022-04-07,10.01,10.01,10.01,10.01,,
2022-04-08,,,,,1,21
2022-04-12,9.95,9.95,9.95,9.95,1,200
2022-04-13,9.9,9.9,9.84,9.84,5,495
2022-04-14,9.89,9.89,9.89,9.89,3,220
2022-04-18,9.89,9.89,9.89,9.89,2,180
2022-04-21,10.06,10.06,10.06,10.06,,
2022-05-10,9.81,9.8,9.8,9.8,4,409
2022-05-11,9.81,9.81,9.8,9.8,1,100
2022-05-12,9.8,9.8,9.8,9.8,,
2022-05-13,9.8,9.8,9.8,9.8,1,100
2022-05-16,9.82,9.8,9.76,9.82,4,500
2022-05-18,9.8,9.8,9.8,9.8,,
2022-05-19,9.82,9.8,9.75,9.75,3,1200
2022-05-20,9.82,9.82,9.82,9.82,1,100
2022-05-24,9.8347,9.8347,9.8347,9.8347,,
2022-05-25,9.82,9.82,9.77,9.77,1,14
2022-05-27,9.85,9.85,9.76,9.82,10,4500
2022-06-02,9.83,9.83,9.78,9.78,4,500
2022-06-03,9.85,9.85,9.85,9.85,,
2022-06-13,9.83,9.82,9.8,9.83,2,200
