Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-08-19,25.67,25.64,25.46,25.5,371,239151
2020-08-20,25.91,25.9,25.56,25.6,206,82019
2020-08-21,26.13,26.13,25.92,25.94,314,128279
2020-08-24,26.23,26.17,26.09,26.18,283,144952
2020-08-25,26.29,26.29,26.01,26.15,614,193609
2020-08-26,26.38,26.26,26.15,26.29,510,170272
2020-08-27,26.28,26.19,26.07,26.24,283,74889
2020-08-28,26.2,26.11,26.09,26.2,227,70422
2020-08-31,26.24,26.18,25.98,26.11,393,1270271
2020-09-01,26.24,26.22,26.1,26.16,119,41472
2020-09-02,26.41,26.37,26.18,26.22,142,53690
2020-09-03,26.37,26.07,25.98,26.37,121,49999
2020-09-04,26.12,25.94,25.69,26.08,171,39532
2020-09-08,25.89,25.82,25.65,25.77,98,27337
2020-09-09,26.1,26.07,25.89,25.89,105,34201
2020-09-10,26.18,26.08,26.05,26.11,92,41629
2020-09-11,26.12,26.1,26.04,26.04,41,9472
2020-09-14,26.28,26.14,26.11,26.14,64,16548
2020-09-15,26.29,26.15,26.15,26.19,78,16182
2020-09-16,26.23,26.11,26.11,26.12,56,17333
2020-09-17,26.08,25.99,25.95,26.08,97,28485
2020-09-18,26.02,26.02,25.92,26.0,59,15445
2020-09-21,26.0,25.94,25.73,25.8,73,26771
2020-09-22,26.11,26.06,26.03,26.05,42,10170
2020-09-23,26.15,25.94,25.77,26.15,102,24184
2020-09-24,26.06,26.02,25.83,25.89,183,17428
2020-09-25,26.14,26.12,26.05,26.06,87,28740
2020-09-28,26.19,26.16,26.14,26.14,60,15110
2020-09-29,26.21,26.18,26.18,26.21,21,4357
2020-09-30,26.24,26.18,26.1,26.24,46,109249
2020-10-01,26.24,26.16,26.16,26.24,69,20369
2020-10-02,26.2,26.16,25.89,26.1,186,42357
2020-10-05,26.32,26.19,26.11,26.21,122,72263
2020-10-06,26.23,26.2,26.17,26.21,94,120879
