Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,43.65,43.65,43.21,43.25,3516,1063793
2013-01-03,43.86,43.62,43.53,43.65,1425,483408
2013-01-04,43.71,43.55,43.48,43.64,1625,598908
2013-01-07,43.52,43.37,43.17,43.41,1577,460716
2013-01-08,43.4,43.15,43.11,43.27,1580,664253
2013-01-09,43.28,43.16,42.92,43.1,1867,569681
2013-01-10,43.55,43.55,43.12,43.25,2136,680333
2013-01-11,43.59,43.24,43.06,43.47,1908,756300
2013-01-14,43.38,43.24,43.14,43.24,2089,590655
2013-01-15,43.21,43.16,42.98,43.17,1421,503500
2013-01-16,43.28,43.12,43.08,43.16,1132,442660
2013-01-17,43.4,43.2,42.99,42.99,1828,572009
2013-01-18,43.51,43.51,43.02,43.26,1317,961738
2013-01-22,44.02,44.02,43.31,43.31,1488,532307
2013-01-23,44.22,44.1,43.6,43.87,1859,724233
2013-01-24,44.38,44.19,44.05,44.3,1768,531580
2013-01-25,44.47,44.46,44.13,44.28,1071,461116
2013-01-28,44.53,44.49,44.16,44.51,1168,350973
2013-01-29,45.12,45.02,44.5,44.52,1629,691156
2013-01-30,45.26,45.11,44.92,45.0,2130,625842
2013-01-31,45.34,45.29,45.08,45.08,1532,746697
2013-02-01,45.48,45.24,45.21,45.48,1936,666565
2013-02-04,45.29,45.0,44.95,45.19,2123,652260
2013-02-05,45.29,44.85,44.8,45.05,2475,784543
2013-02-06,44.61,44.58,44.23,44.35,2107,727750
2013-02-07,44.84,44.5,44.36,44.69,1636,503388
2013-02-08,44.6,44.57,44.25,44.6,1498,528580
2013-02-11,44.74,44.73,44.48,44.57,1102,326347
2013-02-12,44.94,44.9,44.62,44.73,1239,419895
2013-02-13,45.04,44.93,44.761,44.87,1122,365650
2013-02-14,44.81,44.77,44.41,44.76,1824,764845
2013-02-15,45.19,45.13,44.76,44.84,2430,1401431
2013-02-19,45.68,45.56,45.14,45.25,1474,657541
2013-02-20,45.89,45.57,45.51,45.59,1654,640396
2013-02-21,45.53,45.36,45.23,45.46,1482,510539
2013-02-22,46.18,46.18,45.53,45.56,1421,567792
2013-02-25,46.46,45.68,45.68,46.25,2572,1059930
2013-02-26,46.41,46.33,45.77,46.0,2888,1095863
2013-02-27,46.7,46.66,46.17,46.39,2168,595889
2013-02-28,47.02,46.79,46.46,46.62,1490,693131
2013-03-01,46.79,46.71,46.36,46.5,1820,688910
2013-03-04,47.52,47.46,46.57,46.62,1826,645738
2013-03-05,47.87,47.66,47.44,47.54,1453,515403
2013-03-06,47.81,47.66,47.43,47.68,1479,444284
2013-03-07,47.88,47.39,47.39,47.64,1744,508921
2013-03-08,47.59,47.49,47.14,47.59,1512,583120
2013-03-11,47.57,47.38,47.29,47.38,1495,570245
2013-03-12,47.52,47.29,47.1,47.39,1148,478301
2013-03-13,47.5,47.44,47.21,47.3,861,349852
2013-03-14,47.68,47.68,47.3,47.52,1417,604845
2013-03-15,48.15,47.9,47.38,47.39,1669,1354160
2013-03-18,47.91,47.69,47.63,47.73,1109,403353
2013-03-19,47.98,47.7,47.51,47.77,1509,434225
2013-03-20,48.19,48.06,47.78,47.87,1030,365365
2013-03-21,47.97,47.63,47.6,47.95,1217,456548
2013-03-22,48.08,47.86,47.66,47.69,1085,396164
2013-03-25,48.23,47.66,47.49,48.0,1712,520141
2013-03-26,48.13,48.03,47.75,47.77,856,251104
2013-03-27,48.19,48.15,47.62,47.78,1153,362233
2013-03-28,48.68,48.63,48.1,48.17,1468,812372
2013-04-01,48.59,48.5,48.39,48.55,1062,305031
2013-04-02,48.88,48.34,48.19,48.62,1776,637319
2013-04-03,48.48,48.1,47.94,48.42,1799,568845
2013-04-04,48.71,48.66,48.15,48.15,1518,424329
2013-04-05,48.83,48.71,48.04,48.3,1632,641538
2013-04-08,49.23,49.23,48.56,48.65,1224,409954
2013-04-09,49.33,49.0,48.97,49.33,1296,457217
2013-04-10,49.75,49.64,49.07,49.07,1655,488730
2013-04-11,50.0,49.93,49.47,49.7,1555,433676
2013-04-12,50.04,49.98,49.74,49.84,1340,471000
2013-04-15,49.96,49.07,49.07,49.82,1868,520787
2013-04-16,49.56,49.54,48.9,49.18,1657,556245
2013-04-17,49.59,49.37,48.91,49.42,2036,548365
2013-04-18,49.56,49.48,49.16,49.48,1712,442355
2013-04-19,50.1,49.94,49.51,49.6,1929,1091126
2013-04-22,50.59,50.37,49.81,49.95,1844,501797
2013-04-23,50.64,50.64,50.13,50.3,1553,534174
2013-04-24,51.14,50.9,50.43,50.76,1631,481034
2013-04-25,51.14,50.76,50.65,51.0,1629,459343
2013-04-26,50.87,50.54,50.18,50.2,1877,671911
2013-04-29,51.37,51.31,50.58,50.73,1488,581357
2013-04-30,51.5,51.43,51.12,51.27,1437,609912
2013-05-01,51.59,51.23,51.12,51.48,2014,420313
2013-05-02,51.34,51.17,50.95,51.23,1335,475620
2013-05-03,51.5,51.08,51.03,51.39,1573,500777
