Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-09-15,22.99,22.16,22.16,22.99,378,91533
2022-09-16,22.32,21.88,21.75,22.2,211,28045
2022-09-19,22.0,21.6,21.45,22.0,201,23369
2022-09-20,21.51,21.26,21.15,21.43,154,24511
2022-09-21,21.54,21.3,21.225,21.4,343,54603
2022-09-22,21.4,21.4,21.13,21.39,260,44212
2022-09-23,21.35,20.75,20.7,21.35,309,47490
2022-09-26,21.0,20.35,20.31,20.76,172,22849
2022-09-27,20.7,19.75,19.29,20.7,671,82920
2022-09-28,20.47,20.46,19.91,19.91,236,25169
2022-09-29,20.3,20.07,19.85,20.3,525,70018
2022-09-30,20.24,19.7,19.63,20.17,286,357487
2022-10-03,20.25,20.0,19.82,19.9,359,33301
2022-10-04,21.59,20.87,20.06,20.06,1276,86901
2022-10-05,21.42,21.07,20.72,21.24,1275,73472
2022-10-06,21.09,20.88,20.83,20.83,206,11948
2022-10-07,21.0,20.84,20.74,20.75,161,14146
2022-10-10,21.1,20.51,20.26,21.1,903,41750
2022-10-11,21.0,20.75,20.31,20.31,506,37567
2022-10-12,20.66,20.4,20.28,20.64,412,22886
2022-10-13,20.4,20.02,20.0,20.08,229,11843
2022-10-14,20.25,19.65,19.65,20.25,110,7809
2022-10-17,19.93,19.86,19.65,19.8,106,11300
2022-10-18,20.175,19.86,19.82,20.01,109,8250
2022-10-19,20.03,19.44,19.27,20.03,97,9185
2022-10-20,19.47,19.21,19.19,19.47,91,11746
2022-10-21,19.45,19.43,19.1,19.1,97,11376
2022-10-24,19.6,19.45,19.375,19.48,64,7414
2022-10-25,19.93,19.9,19.4,19.45,74,16194
2022-10-26,20.75,20.58,20.0,20.0,94,13912
2022-10-27,20.96,20.8,20.5,20.5,150,14948
2022-10-28,21.17,21.15,20.9,20.95,29,4309
2022-10-31,21.48,20.78,20.78,21.15,85,21357
2022-11-01,21.25,20.92,20.64,21.09,110,11567
2022-11-02,20.84,20.55,20.295,20.84,118,10637
2022-11-03,20.4,20.15,20.0,20.4,81,6239
2022-11-04,20.28,20.23,20.11,20.28,111,5933
2022-11-07,20.7,20.48,19.85,20.28,208,20177
2022-11-08,21.33,21.05,20.5,20.65,626,27953
2022-11-09,21.02,20.9,20.66,21.02,239,7221
2022-11-10,21.56,21.56,21.06,21.33,285,17829
2022-11-11,21.75,21.7,21.51,21.56,104,10238
2022-11-14,21.73,21.7,21.5,21.71,374,11252
2022-11-15,22.05,21.6,21.6,21.86,72,5058
2022-11-16,21.905,21.72,21.68,21.78,50,5595
2022-11-17,21.56,21.1,21.1,21.56,65,2240
2022-11-18,21.28,21.12,21.11,21.11,8,1099
2022-11-21,21.28,21.27,21.21,21.26,13,447
2022-11-22,21.75,21.6,21.3,21.3,67,7660
2022-11-23,21.8,21.75,21.46,21.46,87,6863
2022-11-25,21.87,21.83,21.79,21.8,76,6195
2022-11-28,21.76,21.69,21.6,21.71,37,6196
2022-11-29,21.7,21.65,21.45,21.59,101,7990
2022-11-30,21.85,21.75,21.5,21.61,83,25651
2022-12-01,21.87,21.61,21.61,21.87,8,299
2022-12-02,21.7,21.7,21.61,21.62,11,1186
2022-12-05,21.72,21.55,21.5,21.57,67,2718
2022-12-06,21.44,21.3,20.935,21.44,57,4796
2022-12-07,21.88,21.69,21.2,21.21,34,4136
2022-12-08,21.95,21.83,21.7,21.79,117,8449
2022-12-09,21.8,21.58,21.5,21.8,48,2431
2022-12-12,21.75,21.75,21.52,21.69,42,862
2022-12-13,22.5,22.08,21.95,22.5,89,17459
2022-12-14,22.15,22.13,21.9,21.96,59,3728
2022-12-15,22.25,21.91,21.9,21.9,113,12081
2022-12-16,22.05,22.0,21.79,21.88,43,7240
2022-12-19,22.11,21.79,21.75,22.11,109,8336
2022-12-20,21.91,21.85,21.65,21.78,77,10046
2022-12-21,22.27,22.27,21.85,22.12,131,22476
2022-12-22,22.22,22.12,22.02,22.18,83,5564
2022-12-23,22.71,22.5,22.0,22.01,109,15572
2022-12-27,22.59,22.22,22.1,22.57,251,20729
2022-12-28,22.32,21.94,21.75,22.25,194,14490
2022-12-29,21.66,21.44,21.35,21.47,101,7958
2022-12-30,21.9,21.9,21.4,21.42,262,56637
2023-01-03,21.91,21.77,21.75,21.91,107,6184
2023-01-04,22.27,22.23,21.96,22.02,241,13671
2023-01-05,22.25,22.24,22.0,22.18,105,3572
2023-01-06,22.39,22.19,22.05,22.39,167,8079
2023-01-09,22.33,21.95,21.82,22.33,117,6536
2023-01-10,22.07,21.97,21.82,21.99,92,5193
