Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-04,10.0,10.0,10.0,10.0,1,10
2021-05-05,10.07,9.86,9.85,10.07,12,4300
2021-05-06,9.87,9.86,9.86,9.86,30,8444
2021-05-07,9.86,9.84,9.84,9.86,5,1597
2021-05-10,9.86,9.84,9.84,9.84,39,9420
2021-05-11,10.0,10.0,9.84,9.84,9,1601
2021-05-12,9.95,9.84,9.84,9.95,4,1100
2021-05-13,9.84,9.84,9.84,9.84,4,3894
2021-05-17,9.84,9.84,9.84,9.84,3,201
2021-05-18,9.86,9.85,9.84,9.86,12,5954
2021-05-19,9.91,9.85,9.85,9.91,2,117
2021-05-24,9.91,9.91,9.85,9.85,2,4
2021-05-25,9.86,9.86,9.86,9.86,22,5922
2021-05-26,9.91,9.86,9.86,9.91,8,3600
2021-05-27,9.87,9.87,9.86,9.86,6,5810
2021-05-28,9.88,9.88,9.87,9.87,5,2671
2021-06-01,9.89,9.89,9.88,9.88,2,900
2021-06-02,9.89,9.88,9.88,9.89,4,2800
2021-06-03,9.9,9.9,9.9,9.9,3,7400
2021-06-04,9.91,9.91,9.9,9.9,2,40
2021-06-08,9.9,9.9,9.9,9.9,1,38
2021-06-09,9.93,9.93,9.93,9.93,2,510
2021-06-10,9.97,9.96,9.94,9.96,21,4004
2021-06-11,9.98,9.97,9.96,9.96,12,1104
2021-06-16,9.945,9.94,9.94,9.945,2,200
2021-06-18,9.92,9.92,9.9,9.9,7,36310
2021-06-21,9.93,9.93,9.93,9.93,1,5
2021-06-22,9.93,9.91,9.91,9.93,2,5
2021-06-23,9.93,9.93,9.93,9.93,1,50
2021-06-25,9.9,9.9,9.9,9.9,1,2500
2021-06-28,9.93,9.93,9.93,9.93,1,4
2021-06-30,9.93,9.93,9.93,9.93,1,2
2021-07-01,10.0,9.9,9.9,10.0,6,429
2021-07-02,,,,,1,100
2021-07-06,9.89,9.88,9.87,9.87,21,2520
2021-07-07,9.9,9.9,9.9,9.9,3,107
2021-07-09,10.0,10.0,10.0,10.0,1,3
2021-07-12,9.87,9.87,9.87,9.87,1,2
2021-07-13,9.93,9.93,9.93,9.93,4,15
2021-07-14,9.86,9.85,9.85,9.86,48,11684
2021-07-15,9.86,9.85,9.85,9.85,5,1850
2021-07-16,9.87,9.87,9.85,9.85,6,1786
2021-07-19,9.89,9.89,9.88,9.88,17,331
2021-07-20,9.89,9.88,9.87,9.89,16,6541
2021-07-21,9.88,9.88,9.88,9.88,1,40
2021-07-22,9.88,9.88,9.88,9.88,1,50
2021-07-23,9.92,9.92,9.92,9.92,1,538
2021-07-26,9.92,9.92,9.92,9.92,8,1497
2021-07-27,9.91,9.91,9.91,9.91,1,67
2021-07-29,9.93,9.93,9.92,9.92,2,2
2021-07-30,9.92,9.86,9.86,9.92,8,5300
2021-08-02,9.9,9.9,9.86,9.86,3,7
2021-08-03,9.89,9.89,9.86,9.86,2,6
2021-08-04,9.86,9.86,9.86,9.86,3,9
2021-08-05,9.9,9.9,9.9,9.9,2,597
2021-08-12,9.87,9.87,9.87,9.87,1,50
2021-08-16,9.92,9.92,9.85,9.87,37,8631
2021-08-19,9.88,9.88,9.88,9.88,27,205
2021-08-24,9.86,9.86,9.86,9.86,5,20
2021-08-25,9.88,9.88,9.88,9.88,12,39
2021-08-31,9.88,9.88,9.88,9.88,2,9
2021-09-01,10.0,9.99,9.92,9.92,12,2904
2021-09-02,9.89,9.89,9.88,9.88,10,36
2021-09-03,9.89,9.89,9.89,9.89,1,8
2021-09-07,9.92,9.92,9.92,9.92,1,4
2021-09-08,10.02,9.96,9.96,10.02,4,13
2021-09-09,9.99,9.99,9.95,9.95,2,101
2021-09-13,9.97,9.97,9.97,9.97,1,465
2021-09-14,9.94,9.94,9.94,9.94,1,12
2021-09-17,10.0,10.0,10.0,10.0,1,42
2021-09-22,9.95,9.95,9.95,9.95,1,64
2021-09-24,9.95,9.95,9.95,9.95,1,50
2021-09-27,10.03,9.95,9.95,10.03,2,7
2021-09-30,10.05,9.88,9.88,10.05,2,350
2021-10-04,10.25,10.25,9.88,9.94,8,752
2021-10-05,9.97,9.97,9.97,9.97,7,170
2021-10-07,10.04,10.04,10.04,10.04,1,38
2021-10-08,9.96,9.96,9.96,9.96,1,300
2021-10-11,10.01,10.01,10.01,10.01,1,5
2021-10-13,10.02,10.02,10.02,10.02,1,150
2021-10-14,10.0,10.0,9.97,9.97,25,337
