Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,12.3,11.99,11.71,12.29,1178,216703
2013-01-03,11.98,11.55,11.5,11.98,358,57424
2013-01-04,11.63,11.5,11.35,11.63,372,56205
2013-01-07,11.53,11.45,11.16,11.41,463,79544
2013-01-08,11.74,11.27,11.14,11.47,484,78645
2013-01-09,11.69,11.39,11.33,11.33,422,61299
2013-01-10,11.92,11.79,11.41,11.53,675,93933
2013-01-11,12.03,11.98,11.73,11.84,656,119843
2013-01-14,12.12,12.11,11.99,12.07,792,160374
2013-01-15,12.85,12.49,12.33,12.57,1326,247902
2013-01-16,12.66,12.25,12.14,12.54,652,90346
2013-01-17,12.32,11.85,11.72,12.32,604,92819
2013-01-18,11.83,11.62,11.56,11.83,515,93882
2013-01-22,11.81,11.61,11.43,11.7,886,154896
2013-01-23,11.66,11.56,11.45,11.66,664,119736
2013-01-24,11.83,11.63,11.45,11.57,580,89850
2013-01-25,11.75,11.68,11.55,11.64,599,97290
2013-01-28,11.76,11.67,11.62,11.71,828,170615
2013-01-29,12.1,11.93,11.65,11.72,752,144825
2013-01-30,12.72,12.72,11.72,11.88,1262,225184
2013-01-31,12.73,12.55,12.53,12.69,737,136486
2013-02-01,12.79,12.76,12.55,12.67,639,127703
2013-02-04,12.6,12.54,12.49,12.58,444,75248
2013-02-05,12.76,12.6,12.43,12.69,679,84548
2013-02-06,12.85,12.84,12.51,12.51,606,92797
2013-02-07,12.87,12.74,12.6,12.84,806,110900
2013-02-08,13.29,13.09,12.8,12.8,1028,300088
2013-02-11,13.98,13.93,13.12,13.24,1469,280345
2013-02-12,14.08,14.0,13.58,13.9,1317,283327
2013-02-13,13.94,13.62,13.48,13.94,1805,313550
2013-02-14,18.12,16.86,16.67,17.39,7301,1305729
2013-02-15,17.22,16.67,16.62,16.8,2090,371040
2013-02-19,17.52,17.21,16.28,16.49,1627,270187
2013-02-20,17.44,17.09,17.02,17.1,1663,261073
2013-02-21,16.99,16.875,16.68,16.68,653,95373
2013-02-22,17.22,16.63,16.46,17.03,1397,199394
2013-02-25,16.7,16.0,15.97,16.68,1275,189626
2013-02-26,16.35,16.22,15.79,16.08,1287,634463
2013-02-27,17.27,17.25,16.0,16.0,1336,226946
2013-02-28,17.31,17.06,16.82,17.16,1351,187801
2013-03-01,17.66,17.43,16.86,16.88,2010,297222
2013-03-04,18.34,17.99,17.24,17.24,1442,186361
2013-03-05,18.11,17.93,17.85,18.07,1624,296192
2013-03-06,18.25,18.25,17.77,17.85,912,140209
2013-03-07,20.11,19.13,18.87,19.0,3329,628231
2013-03-08,19.5,19.45,18.96,19.26,1600,221790
2013-03-11,19.465,19.3,19.23,19.32,1160,172904
2013-03-12,19.61,19.15,19.01,19.27,798,95407
2013-03-13,19.75,19.66,18.77,19.11,1058,149683
2013-03-14,20.13,19.85,19.65,19.67,1405,183468
2013-03-15,19.93,19.78,18.83,19.35,2253,436153
2013-03-18,19.82,19.55,19.25,19.4,842,117413
2013-03-19,19.7,19.1,18.84,19.57,1124,150398
2013-03-20,19.51,18.99,18.87,18.93,731,99458
2013-03-21,18.95,18.64,18.62,18.92,703,94723
2013-03-22,19.16,18.87,18.68,18.77,854,112365
2013-03-25,19.33,19.32,18.83,18.84,1290,164304
2013-03-26,20.14,19.99,19.31,19.39,1269,168573
2013-03-27,19.98,19.88,19.58,19.72,793,114629
2013-03-28,19.92,19.76,19.58,19.92,684,97886
2013-04-01,20.57,19.86,19.4,19.71,1939,247873
2013-04-02,19.94,19.65,19.5,19.8,949,122165
2013-04-03,19.65,18.62,18.15,19.59,2023,300688
2013-04-04,19.04,18.83,18.21,18.6,848,116313
2013-04-05,18.87,18.69,18.25,18.5,901,121035
2013-04-08,19.59,19.4,18.7,18.7,951,136343
2013-04-09,19.52,19.34,19.0,19.4,545,68180
2013-04-10,19.75,19.55,19.21,19.23,961,162039
2013-04-11,20.43,19.79,19.59,19.59,992,154110
2013-04-12,20.02,20.0,19.655,19.78,499,73932
2013-04-15,20.3,19.76,19.49,19.9,2312,321478
2013-04-16,21.08,20.86,19.82,19.85,1765,269738
2013-04-17,20.7,20.25,19.89,20.56,1144,153755
2013-04-18,20.56,20.35,20.23,20.36,1846,247212
2013-04-19,21.12,20.74,20.31,20.38,1325,175505
2013-04-22,21.04,20.02,19.67,20.86,1186,178605
2013-04-23,20.54,20.43,20.18,20.43,1331,212520
2013-04-24,20.47,20.11,19.37,20.39,2565,474662
2013-04-25,26.72,25.92,23.0,23.0,7663,1457227
2013-04-26,25.85,25.19,24.93,25.7,3481,606411
2013-04-29,25.41,23.92,23.85,25.34,2880,464733
2013-04-30,24.36,24.24,23.86,24.02,2062,293585
2013-05-01,24.7,22.77,22.51,24.19,5894,1141950
2013-05-02,24.08,23.41,22.32,22.71,2533,397834
2013-05-03,23.94,23.47,22.97,23.94,1563,220915
2013-05-06,24.76,23.97,23.45,23.45,1211,182947
2013-05-07,24.11,23.21,23.17,23.94,814,133414
2013-05-08,23.12,22.48,22.2,23.01,1849,322424
2013-05-09,23.38,23.24,22.54,22.56,1066,170274
2013-05-10,23.56,23.55,22.87,23.24,1033,136284
2013-05-13,24.45,24.07,23.45,23.45,1054,170821
2013-05-14,25.41,25.38,23.97,23.97,1477,196092
2013-05-15,26.3,25.0,24.89,25.21,1336,191926
2013-05-16,25.02,24.53,24.46,25.0,761,125819
2013-05-17,24.97,24.56,24.46,24.74,515,85476
2013-05-20,25.32,24.49,24.44,24.55,738,93591
2013-05-21,25.2,24.03,24.0,24.46,973,135284
2013-05-22,23.99,22.99,22.78,23.99,949,129972
2013-05-23,24.16,23.7,22.07,22.64,1379,265697
2013-05-24,23.6,23.46,23.09,23.46,753,90987
2013-05-28,24.1,23.54,23.25,23.68,789,100902
2013-05-29,23.67,23.33,22.8,23.2,860,115869
2013-05-30,23.86,23.58,23.37,23.37,747,94632
2013-05-31,23.835,23.46,23.31,23.4,511,86436
2013-06-03,23.66,23.27,22.83,23.5,1335,224162
2013-06-04,23.61,23.26,23.0,23.23,796,124322
2013-06-05,23.38,23.09,22.91,23.16,679,92184
2013-06-06,23.6,23.37,22.91,23.03,655,103025
2013-06-07,25.25,25.12,23.25,23.63,1373,185321
2013-06-10,25.91,25.82,24.97,25.31,1514,206873
2013-06-11,26.34,25.91,25.24,25.35,1171,144279
2013-06-12,26.55,25.7,25.39,25.9,1721,271089
2013-06-13,26.1,26.01,25.28,25.51,1119,150222
2013-06-14,26.35,25.85,25.58,26.0,913,124785
2013-06-17,27.06,26.54,25.95,26.0,1136,182397
2013-06-18,26.95,26.5,26.25,26.52,694,106719
2013-06-19,26.95,26.54,26.37,26.6,1002,153959
2013-06-20,26.75,26.54,26.3,26.33,1632,271015
2013-06-21,27.22,27.05,26.3,26.75,1434,364052
2013-06-24,27.14,26.53,26.49,26.93,1339,196805
2013-06-25,26.93,26.3,25.94,26.62,908,181135
2013-06-26,27.0,26.86,26.26,26.5,892,140842
2013-06-27,27.64,26.68,26.08,27.0,1531,219804
2013-06-28,26.78,26.55,25.88,26.52,1527,503493
2013-07-01,26.79,26.36,26.17,26.17,1168,167468
2013-07-02,26.67,26.66,26.0,26.15,1365,176802
2013-07-03,27.07,26.94,26.45,26.45,653,86175
2013-07-05,28.22,28.0,27.33,28.0,1115,153895
2013-07-08,28.24,27.15,27.08,28.11,1200,163111
2013-07-09,26.72,26.33,25.9,26.5,3110,422415
2013-07-10,26.49,25.05,25.01,26.33,2326,338412
2013-07-11,25.49,24.19,24.01,25.18,2317,393969
2013-07-12,25.47,24.88,24.06,24.16,1674,227129
2013-07-15,25.44,25.19,24.37,24.75,1021,153012
2013-07-16,25.92,25.91,24.48,25.18,1522,227470
2013-07-17,27.89,27.78,25.65,25.89,2860,408319
2013-07-18,28.3,26.64,26.52,27.78,3483,500378
2013-07-19,27.21,27.06,26.0,26.54,2050,309151
2013-07-22,27.42,26.71,26.7,27.01,2126,266732
2013-07-23,27.47,26.85,26.51,26.72,1687,237146
