Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-10-02,13.01,12.99,12.06,12.1,8498,4215581
2020-10-05,13.88,13.15,13.05,13.33,3438,476056
2020-10-06,13.36,13.04,12.76,13.15,1439,264569
2020-10-07,13.3,13.18,12.89,13.02,2002,265273
2020-10-08,13.48,13.28,13.11,13.25,1851,236687
2020-10-09,13.66,13.3,13.15,13.41,745,103440
2020-10-12,13.68,13.45,13.32,13.4,610,76582
2020-10-13,13.57,13.46,13.32,13.57,433,80292
2020-10-14,13.63,13.31,13.03,13.46,814,94404
2020-10-15,14.0,13.7,12.8,12.98,841,114377
2020-10-16,13.94,13.92,13.61,13.7,555,64052
2020-10-19,14.2,13.82,13.77,14.0,1299,151925
2020-10-20,14.65,14.49,13.85,13.95,838,88177
2020-10-21,15.66,14.9,14.6,14.6,1673,208936
2020-10-22,15.2,14.76,14.27,14.93,1623,205207
2020-10-23,15.02,14.58,14.41,14.72,757,123989
2020-10-26,14.85,14.8,14.32,14.42,776,86420
2020-10-27,15.64,14.88,14.88,15.24,1817,305416
2020-10-28,15.1,14.44,14.15,14.97,1149,194578
2020-10-29,14.84,14.66,14.46,14.82,1233,175345
2020-10-30,15.0,14.7,14.53,14.53,1459,209272
2020-11-02,15.2,15.13,14.83,14.99,1013,132289
2020-11-03,15.5,15.39,15.05,15.29,1355,128451
2020-11-04,15.88,15.72,15.17,15.38,953,119432
2020-11-05,16.6,16.51,15.89,16.0,1593,172473
2020-11-06,17.75,17.5,16.63,16.79,2782,304434
2020-11-09,18.06,16.19,15.8,18.0,2540,307167
2020-11-10,17.36,16.71,16.34,16.34,1275,154160
2020-11-11,17.47,16.48,16.24,17.47,1161,173888
2020-11-12,16.89,16.25,16.09,16.42,762,70581
2020-11-13,16.86,16.67,16.06,16.25,984,114851
2020-11-16,16.99,16.43,16.07,16.92,1516,147906
2020-11-17,16.45,16.1,15.9,16.43,1181,161277
2020-11-18,16.3,15.22,15.13,16.22,1827,207183
2020-11-19,15.45,15.24,14.96,15.38,1587,184067
2020-11-20,16.0,15.82,15.46,15.46,2099,210300
2020-11-23,16.31,16.0,15.62,16.2,1622,160788
2020-11-24,17.05,17.0,15.95,16.0,2563,237945
2020-11-25,16.85,16.7,16.33,16.74,1780,176444
2020-11-27,17.37,16.58,16.38,17.0,1232,130009
2020-11-30,17.43,16.45,16.24,17.18,2059,239963
2020-12-01,17.0,16.88,16.5,16.8,1872,190723
2020-12-02,17.29,16.41,16.3,16.66,2038,246784
2020-12-03,16.69,16.2,15.61,16.41,2719,256179
2020-12-04,16.49,15.88,15.58,16.47,1816,169240
2020-12-07,16.39,16.19,15.69,16.2,3063,304217
2020-12-08,16.2,15.96,15.72,16.04,2657,253164
2020-12-09,17.0,16.85,15.73,16.17,3103,349515
2020-12-10,18.49,17.49,16.52,18.49,5922,716785
2020-12-11,18.35,17.58,17.21,17.49,2443,333379
2020-12-14,18.31,18.0,17.31,17.99,2329,242459
2020-12-15,19.08,18.5,17.95,18.02,4724,540686
2020-12-16,19.3,18.85,18.76,18.93,4349,665855
2020-12-17,19.44,18.81,18.52,18.93,2556,628623
2020-12-18,19.225,18.41,18.41,18.72,2747,3037589
2020-12-21,19.01,18.6,18.07,18.2,1759,463190
2020-12-22,20.24,19.98,18.74,18.74,2437,483407
2020-12-23,21.17,19.53,19.22,19.94,1850,271634
2020-12-24,20.23,20.14,19.28,19.61,777,89749
2020-12-28,21.07,20.88,19.6,20.04,1586,220761
2020-12-29,21.23,20.98,20.35,21.0,1510,159209
2020-12-30,20.98,20.8,20.5,20.8,1173,123651
2020-12-31,20.93,20.73,20.36,20.67,1057,146270
2021-01-04,21.695,21.19,20.61,20.61,2184,227902
2021-01-05,21.31,20.67,19.88,21.16,1905,210871
2021-01-06,21.35,21.17,20.42,20.8,1467,199325
2021-01-07,21.33,20.51,20.45,21.25,1023,98002
2021-01-08,21.08,20.78,20.01,20.63,1243,121460
2021-01-11,22.47,21.89,20.5,20.5,1837,204157
2021-01-12,23.14,22.53,21.89,21.91,1759,162637
2021-01-13,23.04,22.03,21.65,22.61,1241,140292
2021-01-14,22.77,22.57,21.76,22.16,1574,168858
2021-01-15,22.7,22.18,21.7,22.58,1315,173556
2021-01-19,22.45,21.58,21.48,22.2,1785,177774
2021-01-20,22.93,22.52,21.57,21.58,1962,184915
2021-01-21,22.66,21.8,21.66,22.63,1251,133851
2021-01-22,22.49,22.46,20.83,21.71,1641,159047
2021-01-25,24.95,23.69,22.91,22.91,4205,532941
2021-01-26,24.99,24.29,22.66,23.61,3157,344760
2021-01-27,26.7,22.08,21.58,24.4,6351,774750
2021-01-28,22.12,21.07,20.31,21.56,11540,2267605
2021-01-29,22.98,21.5,20.78,20.78,8124,1355502
2021-02-01,22.85,22.1,21.26,22.21,4455,1556935
2021-02-02,22.99,22.75,21.5,22.02,3628,380205
2021-02-03,24.38,23.62,22.2,23.0,3873,353864
2021-02-04,24.38,23.93,23.27,23.56,2707,294174
2021-02-05,24.63,23.92,23.73,23.91,2501,333202
2021-02-08,24.55,24.0,23.94,24.15,2179,258772
2021-02-09,24.27,23.61,23.06,24.19,1677,185571
2021-02-10,25.69,25.56,23.62,23.81,2905,342594
2021-02-11,26.58,25.36,24.71,26.0,2650,284726
2021-02-12,25.6,25.47,24.87,25.17,1366,125811
2021-02-16,26.69,26.08,25.31,26.22,2414,249223
2021-02-17,26.08,25.17,24.79,25.78,1962,180327
2021-02-18,25.35,25.15,24.46,25.35,1637,166714
2021-02-19,25.89,25.15,24.84,25.31,1952,217799
2021-02-22,25.21,24.51,24.22,25.15,2042,202417
2021-02-23,25.64,24.53,23.2,24.13,2746,282075
2021-02-24,25.09,24.89,24.16,24.69,1788,167660
2021-02-25,25.38,24.735,24.23,24.93,2745,257099
2021-02-26,24.92,23.96,23.39,24.58,2099,227500
2021-03-01,24.9,24.15,24.04,24.12,2067,206564
2021-03-02,25.33,24.56,24.45,24.58,2261,191315
2021-03-03,26.145,25.21,24.05,25.11,3832,376062
2021-03-04,26.46,25.66,24.16,25.71,4705,457022
2021-03-05,26.35,24.54,23.68,25.82,3973,419818
2021-03-08,28.0,26.96,24.5,24.99,6011,620491
2021-03-09,27.47,25.09,25.01,27.21,5288,509680
2021-03-10,25.52,24.58,23.97,25.52,3557,365595
2021-03-11,25.12,25.0,24.28,24.81,1654,160400
2021-03-12,25.72,25.7,24.75,25.06,1861,191630
2021-03-15,26.04,25.53,25.08,25.73,2342,231968
2021-03-16,25.65,24.25,24.07,25.65,2590,219539
2021-03-17,25.47,25.16,24.14,24.15,2263,209294
2021-03-18,26.0,25.09,24.95,25.11,2287,226349
2021-03-19,26.01,25.66,24.8,24.92,2421,1020270
2021-03-22,26.69,25.71,25.2,25.7,2311,175142
2021-03-23,25.91,24.46,24.46,25.91,2428,244258
2021-03-24,24.8,23.59,23.25,24.57,4618,409673
2021-03-25,24.14,23.93,22.8,23.28,4213,654266
2021-03-26,24.83,24.65,23.78,23.92,2262,193426
2021-03-29,25.33,24.27,24.05,24.98,5558,588917
2021-03-30,27.39,26.88,24.25,24.59,9140,1055280
2021-03-31,27.64,26.99,24.5,25.77,9201,1326099
2021-04-01,29.37,29.04,26.7,27.08,7346,808878
2021-04-05,33.25,31.7,29.75,31.33,13569,1346761
2021-04-06,33.73,31.14,30.13,33.09,10495,1129679
2021-04-07,32.0,30.78,30.44,31.61,4882,497514
2021-04-08,29.69,29.05,28.45,29.47,12204,1512296
2021-04-09,32.0,30.84,29.34,31.0,10206,1153687
2021-04-12,32.56,32.29,30.04,30.08,8401,818082
2021-04-13,32.47,31.68,30.62,32.32,7227,639984
2021-04-14,32.0,30.82,30.38,31.7,4488,389919
2021-04-15,31.38,30.54,29.78,30.72,5242,412630
2021-04-16,31.05,30.77,29.92,30.7,5017,503026
2021-04-19,31.99,31.92,30.27,31.06,4047,416156
2021-04-20,32.12,31.4,30.28,32.0,4041,370389
2021-04-21,31.77,31.14,30.92,31.49,4712,456792
2021-04-22,31.54,30.52,30.2,31.4,3933,352720
2021-04-23,32.48,32.11,30.31,30.49,4556,435623
2021-04-26,32.4,31.42,30.93,32.0,3791,303880
2021-04-27,32.38,31.43,30.8,31.33,5338,467566
2021-04-28,31.61,30.98,30.83,31.55,3069,291449
2021-04-29,31.49,30.8,30.35,31.32,3017,249874
2021-04-30,31.08,30.81,29.86,30.69,4439,372029
2021-05-03,31.695,31.18,30.5,30.91,4253,310684
2021-05-04,31.22,30.8,29.17,30.05,8770,864783
2021-05-05,33.73,33.29,31.0,31.23,12426,1324522
2021-05-06,36.6,34.01,33.61,34.73,27589,4507839
2021-05-07,35.0,33.81,33.61,34.18,9059,1282438
2021-05-10,35.48,33.3,33.19,34.78,9580,1431953
2021-05-11,35.75,35.07,32.19,33.0,8395,772674
2021-05-12,36.07,33.95,33.75,35.3,10379,1114588
2021-05-13,35.15,34.81,33.91,34.2,6849,636994
2021-05-14,35.69,35.62,34.48,35.03,5864,513309
2021-05-17,36.4,35.36,34.86,35.49,4709,1496411
2021-05-18,35.91,35.1,34.78,35.62,4489,332007
2021-05-19,34.84,34.23,33.54,34.61,4962,437639
2021-05-20,34.34,34.1,33.61,34.27,4224,317521
2021-05-21,34.47,33.78,33.7,34.42,3459,282700
2021-05-24,34.11,33.66,33.14,33.88,5284,475118
2021-05-25,34.43,33.38,33.24,34.13,4990,482044
2021-05-26,36.4,35.28,34.1,34.17,11037,1197507
2021-05-27,36.45,36.0,35.47,35.51,7540,933932
2021-05-28,37.06,36.53,35.77,36.25,5939,575557
2021-06-01,37.74,37.25,36.61,37.0,5562,497366
2021-06-02,37.9,37.06,36.56,37.76,5285,487258
2021-06-03,37.53,36.76,36.1,36.75,5057,422296
2021-06-04,37.3,37.12,36.08,37.25,5065,454093
2021-06-07,38.34,37.78,37.01,38.05,9015,924607
2021-06-08,40.43,39.65,37.37,40.25,12172,1208692
2021-06-09,40.93,39.9,39.36,40.16,9001,738035
2021-06-10,41.03,40.03,39.43,39.87,11047,766456
2021-06-11,41.74,41.71,40.2,40.2,9040,790912
2021-06-14,41.96,41.69,40.63,41.84,7355,497409
2021-06-15,41.44,39.37,38.57,41.37,7607,689387
2021-06-16,39.65,38.96,37.64,39.15,8240,764501
2021-06-17,39.4,37.77,37.28,38.65,6618,893634
2021-06-18,38.94,38.43,37.395,37.46,8367,1037798
2021-06-21,40.04,39.93,38.54,38.54,8709,758817
2021-06-22,40.84,40.61,40.03,40.15,6838,634314
2021-06-23,41.84,41.7,40.02,40.7,6949,764704
2021-06-24,42.69,42.33,41.45,41.73,6476,457400
2021-06-25,42.73,42.41,42.145,42.5,5733,2353040
2021-06-28,42.57,40.43,40.41,42.41,6321,630341
2021-06-29,41.27,40.41,40.36,40.6,6851,538756
2021-06-30,42.36,41.24,40.17,40.21,6427,610106
2021-07-01,42.25,41.53,41.33,41.91,5511,426431
2021-07-02,41.79,41.74,40.97,41.5,3440,268591
2021-07-06,42.0,40.47,39.2,41.99,6427,421708
2021-07-07,40.71,40.34,39.1,40.09,5650,410915
2021-07-08,39.83,39.38,37.9,39.1,7941,464228
2021-07-09,40.24,40.02,38.8,39.19,6323,489597
2021-07-12,40.65,40.43,39.45,40.05,4880,380273
2021-07-13,39.49,38.57,38.27,39.0,11240,1162516
2021-07-14,39.39,38.44,38.13,38.6,6583,505838
2021-07-15,38.3,36.8,35.57,38.25,11351,1060927
