Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,5.005,4.98,4.98,5.0,26,6885
2013-01-03,5.0,4.85,4.85,5.0,1,991
2013-01-04,5.0,5.0,4.93,4.93,3,1154
2013-01-07,4.96,4.76,4.76,4.96,11,1725
2013-01-08,4.94,4.85,4.78,4.79,20,2785
2013-01-09,5.07,4.99,4.88,4.88,15,2697
2013-01-10,5.015,5.0,5.0,5.0,5,1508
2013-01-11,4.98,4.93,4.93,4.98,2,789
2013-01-14,5.0,4.85,4.85,5.0,2,2230
2013-01-15,4.86,4.86,4.83,4.83,2,1122
2013-01-16,4.86,4.74,4.66,4.86,24,2557
2013-01-17,4.88,4.87,4.76,4.78,7,1712
2013-01-18,4.95,4.95,4.74,4.82,29,6518
2013-01-22,4.95,4.95,4.78,4.78,1,717
2013-01-23,4.96,4.93,4.9,4.96,12,3795
2013-01-24,5.19,5.19,4.93,4.93,2,263
2013-01-25,5.0,4.96,4.9,5.0,12,5372
2013-01-28,5.0,5.0,4.98,4.99,3,1189
2013-01-29,5.04,5.0,4.98,4.99,5,1029
2013-01-30,4.98,4.9,4.9,4.98,3,663
2013-01-31,5.04,5.04,4.9,4.91,15,2236
2013-02-01,5.0,4.87,4.64,5.0,14,7887
2013-02-04,5.03,4.9,4.9,4.91,6,2324
2013-02-05,4.9,4.84,3.6,4.9,17,4981
2013-02-06,4.82,4.82,4.8,4.8,2,286
2013-02-07,4.88,4.87,4.78,4.78,5,3741
2013-02-08,5.06,5.01,4.88,4.88,14,2087
2013-02-11,5.06,5.0,5.0,5.03,13,2103
2013-02-12,5.14,5.14,5.0,5.0,5,944
2013-02-13,5.15,5.15,5.0,5.0,9,2705
2013-02-14,5.1,5.07,5.0,5.1,6,1410
2013-02-15,5.1,5.05,5.05,5.1,3,3776
2013-02-19,5.11,5.11,5.08,5.08,1,711
2013-02-20,5.12,5.1,5.1,5.1,10,5946
2013-02-21,5.12,5.08,5.08,5.12,1,260
2013-02-22,5.17,5.17,5.12,5.12,2,1017
2013-02-25,5.2,5.0,5.0,5.2,4,1554
2013-02-26,5.08,5.08,5.0,5.06,5,1166
2013-02-27,5.32,5.32,5.02,5.02,29,5280
2013-02-28,5.58,5.22,5.1,5.29,33,9025
2013-03-01,5.16,5.05,5.04,5.16,18,2673
2013-03-04,5.34,5.3,5.1,5.1,14,7904
2013-03-05,5.81,5.8,5.17,5.45,16,3278
2013-03-06,5.91,5.91,5.81,5.81,3,305
2013-03-07,6.11,6.1,5.92,5.92,5,1177
2013-03-08,6.1,5.95,5.94,6.1,5,2779
2013-03-11,6.45,6.45,5.94,5.94,37,8994
2013-03-12,6.41,6.11,6.05,6.41,5,977
2013-03-13,6.5,6.45,6.09,6.11,12,2527
2013-03-14,6.49,6.47,6.42,6.49,7,1794
2013-03-15,6.44,6.19,6.08,6.44,7,8582
2013-03-18,6.35,6.35,6.06,6.06,1,223
2013-03-19,6.4,6.4,6.35,6.36,5,966
2013-03-20,6.9,6.9,6.48,6.48,22,2865
2013-03-21,6.8,6.66,6.62,6.8,2,259
2013-03-22,6.74,6.74,6.64,6.68,7,742
2013-03-25,6.87,6.87,6.8,6.8,2,943
2013-03-26,6.9,6.8,6.77,6.9,5,1099
2013-03-27,6.7,6.64,6.63,6.7,6,752
2013-03-28,6.64,5.9,5.55,6.64,32,6929
2013-04-01,5.96,5.66,5.56,5.9,14,2829
2013-04-02,5.65,5.6,5.6,5.65,9,2431
2013-04-03,5.59,5.29,5.29,5.59,22,3149
2013-04-04,5.62,5.62,5.32,5.32,9,2153
2013-04-05,5.45,5.4,5.39,5.39,4,717
2013-04-08,5.46,5.46,5.45,5.45,1,313
2013-04-09,5.9,5.55,5.36,5.9,3,573
2013-04-10,5.78,5.76,5.58,5.58,7,1851
2013-04-11,5.74,5.73,5.73,5.74,3,464
2013-04-12,6.03,5.99,5.68,5.68,8,1718
2013-04-15,6.04,6.04,5.99,5.99,5,2018
2013-04-16,6.57,6.51,6.14,6.14,10,1419
2013-04-17,6.62,6.0,6.0,6.62,22,4411
2013-04-18,6.19,6.03,6.03,6.04,3,1564
2013-04-19,6.27,6.25,6.06,6.06,4,2227
2013-04-22,6.26,6.2,6.17,6.25,5,565
2013-04-23,6.29,6.12,6.01,6.29,18,3961
2013-04-24,6.4,6.4,6.09,6.09,5,1110
2013-04-25,6.47,6.47,6.35,6.35,4,823
2013-04-26,6.62,6.6,6.55,6.55,4,2218
2013-04-29,6.63,6.62,6.62,6.63,2,365
2013-04-30,6.6,6.53,6.22,6.6,13,2203
2013-05-01,6.47,6.02,6.02,6.47,31,7302
2013-05-02,6.09,6.03,5.96,6.09,5,1693
2013-05-03,6.15,6.1,6.0,6.05,14,2299
2013-05-06,6.15,6.12,6.03,6.15,3,352
2013-05-07,6.11,6.11,6.0,6.03,6,1153
2013-05-08,6.17,6.03,6.0,6.17,6,618
2013-05-09,6.03,6.01,6.01,6.03,1,199
2013-05-10,6.75,6.75,6.11,6.11,12,9286
2013-05-13,7.17,7.05,6.75,6.75,14,3488
2013-05-14,7.59,7.59,7.07,7.07,3,1173
2013-05-15,8.08,7.06,7.06,7.53,11,1791
2013-05-16,7.69,7.09,7.09,7.69,1,143
2013-05-17,7.45,7.44,7.17,7.17,4,2665
2013-05-20,7.75,7.75,7.18,7.42,13,1657
2013-05-21,7.75,7.67,7.47,7.47,6,1358
2013-05-22,7.67,7.51,7.5,7.67,2,922
2013-05-23,7.38,7.21,7.2,7.38,11,1696
2013-05-24,7.56,7.38,7.21,7.21,21,3221
2013-05-28,7.59,7.59,7.52,7.53,15,3470
2013-05-29,7.45,7.27,7.27,7.45,2,1029
2013-05-30,7.39,7.39,7.25,7.32,2,282
2013-05-31,7.32,7.32,7.02,7.29,3,1130
2013-06-03,7.44,7.34,7.15,7.34,19,6774
2013-06-04,7.34,7.11,7.0,7.34,18,3719
2013-06-05,7.17,7.04,7.04,7.12,4,1169
