Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-09-01,15.55,8.3,7.52,8.4,28725,4006378
2022-09-02,12.81,7.05,6.96,10.07,29463,3077502
2022-09-06,6.57,5.39,5.11,6.39,4181,432808
2022-09-07,7.78,5.75,5.61,7.0,13391,1807084
2022-09-08,6.39,5.63,5.4,5.51,2939,426367
2022-09-09,5.5,4.78,4.66,5.5,1483,221182
2022-09-12,4.67,4.59,4.37,4.42,1376,173243
2022-09-13,4.55,4.14,4.08,4.46,848,221061
2022-09-14,6.8,4.86,4.71,5.66,30733,5089643
2022-09-15,5.37,4.74,4.38,4.63,5229,1394406
2022-09-16,4.575,4.3,4.05,4.45,580,89989
2022-09-19,4.27,3.81,3.8,4.18,375,52076
2022-09-20,3.81,3.67,3.55,3.64,415,70333
2022-09-21,3.67,3.32,3.3,3.67,913,120948
2022-09-22,3.26,2.72,2.69,3.24,452,67034
2022-09-23,2.55,2.11,2.1,2.55,714,99175
2022-09-26,2.47,2.12,2.04,2.15,1034,171493
2022-09-27,2.39,2.12,2.1,2.12,462,72552
2022-09-28,4.23,2.92,2.79,3.62,26127,4848731
2022-09-29,3.1,3.0,2.77,2.88,1781,223314
2022-09-30,3.07,2.91,2.8,2.8,786,76062
2022-10-03,2.93,2.51,2.51,2.9,397,70178
2022-10-04,2.97,2.94,2.52,2.52,341,55731
2022-10-05,2.93,2.76,2.63,2.93,263,31960
2022-10-06,3.05,2.9,2.69,2.73,228,20370
2022-10-07,3.1,2.95,2.81,2.87,233,36931
2022-10-10,2.95,2.78,2.7,2.84,428,67623
2022-10-11,2.8,2.8,2.67,2.77,151,14493
2022-10-12,2.84,2.79,2.61,2.8,308,19697
2022-10-13,2.78,2.66,2.54,2.62,117,16795
2022-10-14,2.64,2.62,2.56,2.63,70,9469
2022-10-17,3.0,2.89,2.58,2.62,179,31994
2022-10-18,3.25,3.14,3.0,3.2,557,70669
2022-10-19,3.17,2.9,2.74,3.13,235,32440
2022-10-20,2.94,2.8,2.7,2.74,341,52130
2022-10-21,2.87,2.67,2.58,2.75,673,76875
2022-10-24,2.73,2.65,2.6,2.66,327,34715
2022-10-25,2.98,2.71,2.57,2.73,409,70996
2022-10-26,2.87,2.86,2.62,2.68,466,55002
2022-10-27,2.84,2.75,2.66,2.76,584,61953
2022-10-28,2.9,2.8,2.68,2.68,483,23690
2022-10-31,2.88,2.85,2.78,2.84,122,11644
2022-11-01,2.86,2.8,2.78,2.79,98,12721
2022-11-02,2.89,2.89,2.78,2.78,174,11115
2022-11-03,2.9,2.89,2.68,2.82,554,47004
2022-11-04,2.92,2.63,2.63,2.87,221,10151
2022-11-07,2.69,2.64,2.56,2.63,129,9519
2022-11-08,2.73,2.62,2.58,2.64,50,3661
2022-11-09,2.82,2.39,2.37,2.6,871,67352
2022-11-10,2.67,2.51,2.41,2.41,335,25674
2022-11-11,2.98,2.83,2.55,2.56,190,21911
2022-11-14,2.75,2.75,2.7,2.75,58,3110
2022-11-15,2.81,2.71,2.61,2.67,263,13500
2022-11-16,2.73,2.62,2.56,2.73,61,6198
2022-11-17,2.7,2.58,2.54,2.54,34,3305
2022-11-18,2.69,2.56,2.55,2.68,35,4914
2022-11-21,2.61,2.6,2.49,2.58,64,9210
2022-11-22,2.65,2.65,2.55,2.58,52,5509
2022-11-23,2.62,2.62,2.52,2.58,30,2664
2022-11-25,2.62,2.6,2.57,2.57,106,3804
2022-11-28,2.67,2.64,2.54,2.54,45,11993
2022-11-29,2.61,2.61,2.58,2.59,28,3083
2022-11-30,2.82,2.7,2.67,2.8,92,19888
2022-12-01,2.78,2.77,2.67,2.67,56,4966
2022-12-02,2.94,2.94,2.67,2.7,85,3689
2022-12-05,3.05,3.05,2.91,2.96,62,2252
2022-12-06,3.125,2.86,2.86,2.98,78,4048
2022-12-07,2.9,2.64,2.52,2.8,91,4872
2022-12-08,2.76,2.59,2.55,2.76,159,8901
2022-12-09,2.55,2.02,1.93,2.5,290,33667
2022-12-12,2.03,2.025,1.98,2.02,83,4819
2022-12-13,2.1,2.0,1.96,2.1,117,7699
2022-12-14,2.01,2.01,1.96,1.96,165,8691
2022-12-15,2.06,2.01,1.97,1.97,64,4984
2022-12-16,2.02,1.97,1.96,1.96,268,64577
2022-12-19,2.03,1.8,1.74,1.99,142,15866
2022-12-20,1.85,1.73,1.71,1.85,98,5033
2022-12-21,1.78,1.69,1.69,1.78,29,1686
2022-12-22,1.83,1.81,1.6,1.6,52,2031
2022-12-23,2.16,1.85,1.8,1.83,127,9370
2022-12-27,2.04,1.78,1.71,1.89,98,9520
2022-12-28,1.74,1.72,1.67,1.74,17,1975
2022-12-29,1.68,1.68,1.62,1.66,57,14076
2022-12-30,1.73,1.6,1.34,1.63,161,16673
2023-01-03,1.8,1.56,1.46,1.56,41,4797
2023-01-04,1.78,1.65,1.56,1.78,99,13641
2023-01-05,1.7,1.63,1.54,1.7,182,22303
2023-01-06,1.94,1.6,1.6,1.94,47,5072
2023-01-09,1.77,1.64,1.64,1.7,53,11172
2023-01-10,1.83,1.78,1.66,1.7,80,11902
