Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-01-11,10.03,10.0,10.0,10.02,88,952316
2022-01-12,10.02,10.01,10.01,10.02,17,36282
2022-01-13,10.02,10.02,10.01,10.01,26,49911
2022-01-14,10.03,10.02,10.02,10.02,16,7590
2022-01-18,10.01,10.01,10.0,10.0,7,2309
2022-01-19,10.0,10.0,10.0,10.0,1,2264
2022-01-20,10.0,10.0,10.0,10.0,68,2163
2022-01-21,10.0,10.0,10.0,10.0,15,86444
2022-01-24,10.03,10.03,10.02,10.02,5,386
2022-01-25,10.01,10.01,10.0,10.0,7,19940
2022-01-27,10.01,10.0,10.0,10.0,29,823
2022-02-01,10.05,10.05,10.0,10.0,5,3964
2022-02-02,10.0,10.0,10.0,10.0,1,100
2022-02-03,10.0,10.0,10.0,10.0,1,200
2022-02-07,10.05,10.05,10.05,10.05,1,365
2022-02-09,10.04,9.96,9.96,10.02,4,257
2022-02-10,9.95,9.95,9.95,9.95,1,250
2022-02-11,10.05,10.05,10.05,10.05,1,20
2022-02-14,10.01,10.0,10.0,10.01,5,15055
2022-02-18,10.05,10.05,10.05,10.05,8,634
2022-02-22,10.05,10.05,10.05,10.05,1,45
2022-02-23,10.05,10.05,10.05,10.05,1,250
2022-02-24,10.05,10.05,10.0,10.0,9,11718
2022-02-25,10.1,10.1,10.05,10.05,6,33006
2022-02-28,10.1,10.1,10.05,10.05,5,25740
2022-03-03,10.3,10.3,10.3,10.3,1,5
2022-03-11,10.08,10.08,10.08,10.08,1,100
2022-03-16,10.0,10.0,10.0,10.0,1,75
2022-03-22,10.08,10.08,9.99,9.99,5,287
2022-03-23,10.28,10.28,10.04,10.04,6,3140
2022-03-25,9.97,9.97,9.97,9.97,1,200
2022-03-28,,,,,3,3500
2022-03-29,10.15,10.15,10.14,10.14,5,764
2022-03-31,10.03,10.03,10.03,10.03,1,100
2022-04-04,10.04,10.04,10.0,10.0,2,700
2022-04-08,10.04,10.04,10.0,10.0,7,976
2022-04-13,10.06,10.06,10.06,10.06,1,100
2022-04-14,10.06,10.06,10.035,10.035,2,151
2022-04-18,10.0,10.0,10.0,10.0,1,250
2022-04-19,10.08,10.08,10.08,10.08,7,904
2022-04-20,10.06,10.06,10.06,10.06,1,100
2022-04-21,10.06,10.06,10.06,10.06,1,12
2022-04-22,10.06,10.06,10.06,10.06,1,100
2022-04-25,10.01,10.01,10.01,10.01,2,100
2022-05-02,10.05,10.05,10.05,10.05,1,150
2022-05-04,10.0,10.0,10.0,10.0,2,4000
2022-05-10,10.0,10.0,10.0,10.0,1,25
2022-05-12,10.02,10.02,10.02,10.02,1,100
2022-05-13,10.03,10.03,10.03,10.03,1,1000
2022-05-18,9.96,9.96,9.96,9.96,1,125
2022-05-31,9.97,9.97,9.97,9.97,1,1
2022-06-03,9.98,9.98,9.97,9.97,8,9
2022-06-06,9.96,9.96,9.96,9.96,6,6
2022-06-08,9.97,9.97,9.97,9.97,1,250
2022-06-10,10.0,10.0,10.0,10.0,9,9
2022-06-13,10.0,10.0,10.0,10.0,1,500
2022-06-16,10.03,9.99,9.99,10.03,2,2
2022-06-29,10.03,10.03,9.91,9.96,22,12437
2022-06-30,10.01,10.01,10.01,10.01,2,5400
2022-07-06,10.15,10.15,10.02,10.03,20,4182
2022-07-08,10.19,10.19,10.19,10.19,1,100
2022-07-11,10.11,10.11,10.11,10.11,1,100
2022-07-19,10.23,10.23,10.23,10.23,1,100
2022-07-22,10.08,10.05,10.05,10.08,2,2033
2022-08-01,10.14,10.14,10.14,10.14,1,100
2022-08-03,10.1,10.05,10.05,10.1,3,202
2022-08-05,10.06,10.06,10.06,10.06,1,16
2022-08-09,10.05,10.02,10.02,10.05,9,4209
2022-08-22,10.04,10.04,10.04,10.04,1,100
2022-09-08,10.06,10.06,10.06,10.06,2,80
2022-09-13,10.07,10.06,10.06,10.07,2,200
2022-09-14,10.06,10.06,10.06,10.06,1,1086
2022-09-19,10.06,10.06,10.05,10.06,26,2600
2022-09-21,10.05,10.05,10.05,10.05,1,100
2022-09-23,10.06,10.06,10.06,10.06,1,100
2022-09-26,10.06,10.06,10.06,10.06,3,300
2022-09-27,10.07,10.06,10.06,10.07,2,200
2022-09-28,10.07,10.07,10.07,10.07,5,500
2022-10-10,10.1,10.1,10.1,10.1,1,49
2022-10-11,10.08,10.08,10.05,10.05,114,19782
2022-10-14,10.08,10.08,10.08,10.08,8,8
2022-10-17,10.1,10.1,10.09,10.09,2,149
2022-10-18,10.09,10.09,10.09,10.09,1,1
2022-10-19,10.09,10.09,10.09,10.09,1,2
2022-10-25,10.1,10.1,10.1,10.1,5,500
2022-10-26,10.16,10.16,10.12,10.12,6,642
2022-11-22,10.18,10.18,10.18,10.18,2,200
2022-12-13,10.12,10.12,10.12,10.12,1,250
2022-12-29,10.1,10.1,10.1,10.1,1,100
2022-12-30,10.35,10.22,10.22,10.25,17,46989
2023-01-03,12.36,10.47,10.35,11.24,295,16128
2023-01-04,10.535,10.535,10.46,10.46,13,2601
2023-01-05,10.5,10.37,10.19,10.37,52,16903
2023-01-06,10.39,10.39,10.31,10.37,7,500
2023-01-09,10.52,10.33,10.33,10.37,10,516
2023-01-10,10.48,10.48,10.48,10.48,1,20
