Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-07-13,9.6,9.53,9.52,9.6,56,179499
2018-07-16,9.56,9.55,9.55,9.56,3,86900
2018-07-17,9.56,9.54,9.54,9.56,6,35150
2018-07-18,9.94,9.55,9.52,9.54,15,21566
2018-07-19,9.55,9.55,9.54,9.54,4,2400
2018-07-20,9.55,9.54,9.53,9.54,51,96800
2018-07-23,9.65,9.54,9.54,9.55,10,24400
2018-07-24,9.57,9.57,9.56,9.56,4,900
2018-07-25,9.58,9.52,9.52,9.58,3,1100
2018-07-26,9.575,9.575,9.55,9.55,2,600
2018-07-30,9.56,9.56,9.56,9.56,1,400
2018-07-31,9.58,9.58,9.58,9.58,1,6275
2018-08-02,9.655,9.655,9.655,9.655,1,200
2018-08-06,9.74,9.74,9.73,9.73,3,500
2018-08-08,9.615,9.6,9.6,9.615,2,5100
2018-08-09,9.68,9.61,9.55,9.55,7,4800
2018-08-13,9.635,9.635,9.52,9.54,8,1000
2018-08-14,9.59,9.59,9.58,9.58,4,500
2018-08-15,9.56,9.56,9.56,9.56,1,100
2018-08-16,9.52,9.5,9.5,9.52,3,2600
2018-08-20,9.55,9.52,9.52,9.55,2,1100
2018-08-21,9.75,9.52,9.52,9.73,12,13896
2018-08-22,9.53,9.53,9.53,9.53,2,300
2018-08-28,9.6,9.6,9.5,9.53,9,5242
2018-08-29,9.57,9.57,9.57,9.57,3,4840
2018-08-30,9.57,9.57,9.57,9.57,13,2200
2018-09-06,9.57,9.57,9.57,9.57,3,1400
2018-09-07,9.6,9.59,9.57,9.57,22,66912
2018-09-10,9.6,9.6,9.6,9.6,1,100
2018-09-11,9.58,9.58,9.58,9.58,9,79248
2018-09-13,9.6,9.6,9.6,9.6,2,442
2018-09-27,9.67,9.67,9.67,9.67,1,100
2018-10-04,9.6,9.6,9.6,9.6,23,30600
2018-10-31,9.67,9.67,9.67,9.67,1,91
2018-11-08,9.75,9.75,9.74,9.74,3,1000
2018-11-15,9.78,9.78,9.7,9.7,8,2600
2018-11-26,9.8,9.8,9.8,9.8,1,1000
2018-11-29,9.85,9.77,9.77,9.8,3,156000
2018-11-30,9.78,9.78,9.78,9.78,6,2900
2018-12-03,9.78,9.78,9.78,9.78,3,11471
2018-12-18,9.9,9.9,9.72,9.72,14,3850
2018-12-20,9.88,9.88,9.88,9.88,1,100
2018-12-26,9.9,9.9,9.88,9.88,4,1300
2018-12-28,9.8,9.8,9.8,9.8,3,1250
2018-12-31,9.82,9.82,9.82,9.82,7,1200
2019-01-09,9.9,9.9,9.9,9.9,1,10000
2019-01-10,9.86,9.86,9.85,9.85,5,25100
2019-01-11,9.86,9.86,9.86,9.86,12,50000
2019-01-14,9.92,9.86,9.86,9.86,4,11000
2019-01-15,9.86,9.86,9.86,9.86,4,24000
2019-01-18,9.89,9.89,9.89,9.89,3,508
2019-01-28,9.95,9.94,9.9,9.9,8,12724
2019-01-30,9.98,9.98,9.95,9.95,3,12100
2019-01-31,9.97,9.97,9.91,9.91,3,300
2019-02-01,9.92,9.92,9.92,9.92,2,100
2019-02-04,9.97,9.97,9.97,9.97,1,100
2019-02-08,9.9,9.9,9.9,9.9,9,900
2019-02-11,9.94,9.94,9.93,9.93,7,700
2019-02-12,9.93,9.93,9.93,9.93,15,17000
2019-02-14,9.95,9.95,9.95,9.95,1,100
2019-02-15,9.94,9.94,9.94,9.94,1,1000
2019-02-20,9.94,9.94,9.94,9.94,3,7815
2019-02-21,9.95,9.95,9.95,9.95,1,200
2019-02-22,9.94,9.94,9.94,9.94,2,25000
2019-02-25,9.96,9.96,9.94,9.94,3,2100
2019-02-26,9.95,9.95,9.94,9.95,4,18500
2019-02-27,9.97,9.96,9.96,9.96,4,6900
2019-02-28,9.96,9.96,9.96,9.96,3,1200
2019-03-01,9.98,9.98,9.98,9.98,1,10000
2019-03-04,9.99,9.99,9.98,9.99,5,8800
2019-03-05,9.98,9.98,9.98,9.98,1,50
2019-03-06,10.01,10.01,9.97,9.97,11,6800
2019-03-07,10.01,9.99,9.99,10.01,3,401
2019-03-08,10.02,9.99,9.99,10.01,6,1200
2019-03-11,10.0,10.0,9.97,9.97,18,8600
2019-03-12,10.0,9.97,9.97,10.0,3,4500
2019-03-13,9.97,9.97,9.97,9.97,3,1600
2019-03-14,9.98,9.98,9.96,9.96,3,400
2019-03-15,9.99,9.97,9.96,9.97,13,35501
2019-03-18,10.0,10.0,9.97,9.98,8,3200
2019-03-19,10.01,10.01,10.01,10.01,2,1000
2019-03-20,10.01,9.99,9.99,10.01,2,15000
2019-03-21,10.01,10.01,9.97,9.97,5,16466
2019-03-22,10.02,10.02,10.0,10.01,54,7237
2019-03-26,10.02,10.02,10.02,10.02,1,10000
2019-04-08,9.99,9.99,9.99,9.99,2,300
2019-04-09,9.97,9.97,9.97,9.97,1,2
2019-04-12,10.07,10.07,10.04,10.04,5,25000
2019-04-15,10.12,10.06,10.06,10.09,177,127000
2019-04-16,10.1,10.1,10.09,10.09,5,25000
2019-04-17,10.1,10.1,10.1,10.1,1,500
2019-04-22,10.08,10.08,10.08,10.08,4,50100
2019-04-23,10.09,10.09,10.09,10.09,134,42300
2019-04-29,10.08,10.08,10.08,10.08,1,100
2019-05-02,10.08,10.08,10.08,10.08,9,48900
2019-05-06,10.09,10.09,10.08,10.08,3,5200
2019-05-10,10.04,10.04,10.04,10.04,1,100
2019-05-14,10.1,10.1,10.07,10.07,2,115
2019-05-16,10.1,10.1,10.1,10.1,1,1000
2019-05-17,10.11,10.11,10.1,10.1,8,10793
2019-05-28,10.12,10.12,10.12,10.12,3,1145
2019-05-30,10.12,10.12,10.1,10.11,62,34368
2019-05-31,10.12,10.12,10.12,10.12,5,1200
2019-06-04,10.13,10.13,10.13,10.13,8,6539
2019-06-06,10.13,10.13,10.13,10.13,1,100
2019-06-07,10.13,10.13,10.13,10.13,2,1000
2019-06-10,10.15,10.15,10.15,10.15,2,300
2019-06-14,10.15,10.13,10.13,10.15,5,3343
2019-06-18,10.14,10.14,10.14,10.14,6,25158
2019-06-19,10.15,10.15,10.13,10.13,7,75800
2019-06-20,10.17,10.14,10.14,10.17,3,30202
2019-06-21,10.16,10.16,10.15,10.15,22,6061
2019-06-24,10.15,10.15,10.15,10.15,2,200
2019-06-25,10.15,10.15,10.15,10.15,14,1400
2019-06-26,10.16,10.16,10.16,10.16,2,2526
2019-06-27,10.15,10.15,10.15,10.15,1,5000
2019-07-02,10.15,10.15,10.15,10.15,5,11100
2019-07-05,10.16,10.16,10.16,10.16,4,599
