Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-01-28,30.0,30.0,30.0,30.0,1,100
2021-02-01,59.68,38.0,36.0,59.68,31,8955
2021-02-02,33.45,28.01,23.75,33.45,9888,4238490
2021-02-03,32.74,31.0,26.21,26.45,8350,1268761
2021-02-04,32.915,31.54,29.6,29.65,6105,1056903
2021-02-05,31.38,28.82,28.06,30.75,4685,627144
2021-02-08,29.63,28.81,26.78,27.99,3739,608900
2021-02-09,31.48,31.0,28.26,28.37,2702,556679
2021-02-10,31.5,30.27,28.53,31.5,2658,494250
2021-02-11,31.47,29.75,28.5,30.29,2325,482582
2021-02-12,31.2,30.3,29.2,29.87,1356,299778
2021-02-16,31.3,30.2,29.01,30.29,1678,389492
2021-02-17,30.7,29.75,29.07,30.5,1349,204840
2021-02-18,32.45,31.16,30.65,31.26,2165,712296
2021-02-19,31.63,30.9,30.13,31.23,1729,339635
2021-02-22,31.52,31.34,30.3,30.69,1255,199837
2021-02-23,31.3,29.45,28.15,30.94,2976,314976
2021-02-24,30.15,29.08,28.86,29.14,615,85677
2021-02-25,29.59,28.49,28.3,29.0,1072,132933
2021-02-26,29.14,28.87,28.0,28.16,1187,330461
2021-03-01,31.67,30.8,29.02,29.16,1886,249631
2021-03-02,31.24,30.1,29.745,30.81,869,118095
2021-03-03,30.96,29.85,29.22,30.34,1444,157960
2021-03-04,29.7,27.32,26.82,29.4,2088,201665
2021-03-05,28.31,27.41,25.7,28.31,3126,308273
2021-03-08,29.5,28.96,27.0,27.0,1413,147668
2021-03-09,30.75,30.36,29.15,29.46,1188,125736
2021-03-10,31.99,31.22,30.68,30.68,2204,227449
2021-03-11,33.34,32.02,31.42,31.62,1512,178805
2021-03-12,32.72,30.45,30.22,31.84,1130,117653
2021-03-15,31.05,30.72,29.96,30.28,975,126837
2021-03-16,31.23,29.99,29.49,31.23,695,82573
2021-03-17,30.56,30.34,28.71,30.28,794,82932
2021-03-18,31.09,28.66,28.37,30.34,2199,185891
2021-03-19,30.0,29.33,27.86,29.12,3104,1548715
2021-03-22,29.51,29.32,28.68,29.09,989,128839
2021-03-23,29.59,28.38,28.24,29.14,1219,138747
2021-03-24,28.73,27.88,26.8,28.73,1672,201566
2021-03-25,28.02,27.31,26.54,27.77,1271,128450
