Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-09-10,0.44,0.43,0.4,0.44,64,110001
2021-09-13,0.5,0.45,0.4,0.4,23,205100
2021-09-14,0.45,0.4,0.3995,0.45,53,178902
2021-09-15,0.4,0.4,0.4,0.4,15,57452
2021-09-16,0.42,0.412,0.4,0.402,30,100087
2021-09-17,0.43,0.43,0.43,0.43,1,150
2021-09-20,0.4101,0.4101,0.4101,0.4101,4,6900
2021-09-21,0.415,0.4101,0.4101,0.415,55,54100
2021-09-24,0.4,0.3901,0.3901,0.4,14,40550
2021-09-27,0.402,0.402,0.395,0.3951,9,4200
2021-09-28,0.4,0.4,0.4,0.4,3,3000
2021-09-29,0.44,0.44,0.44,0.44,2,2300
2021-09-30,0.42,0.42,0.42,0.42,9,25600
2021-10-01,0.45,0.42,0.42,0.42,11,33550
2021-10-04,0.42,0.405,0.405,0.42,9,51500
2021-10-05,0.4151,0.4001,0.4,0.4,14,126500
2021-10-06,0.4,0.38,0.37,0.4,37,206098
2021-10-07,0.39,0.375,0.375,0.39,5,25040
2021-10-11,0.4,0.382,0.375,0.4,16,17300
2021-10-12,0.38,0.38,0.38,0.38,6,25800
2021-10-13,0.382,0.382,0.382,0.382,3,2460
2021-10-14,0.39,0.38,0.38,0.38,13,28700
2021-10-15,0.382,0.3701,0.37,0.382,9,25500
2021-10-18,0.4,0.4,0.372,0.3726,9,28000
2021-10-19,0.44,0.43,0.43,0.4301,17,1626
2021-10-22,0.46,0.46,0.46,0.46,1,25
2021-10-25,0.4201,0.42,0.42,0.4201,5,618
2021-10-27,0.44,0.44,0.44,0.44,4,987
2021-11-01,0.44,0.44,0.44,0.44,1,2
2021-11-02,0.5,0.5,0.5,0.5,3,15800
2021-11-03,0.6,0.4326,0.4326,0.6,141,46810
2021-11-04,0.445,0.445,0.435,0.4411,17,41703
2021-11-05,0.445,0.435,0.435,0.445,6,1601
2021-11-08,0.489,0.489,0.45,0.45,4,17
2021-11-10,0.44,0.44,0.44,0.44,15,22199
2021-11-11,0.45,0.44,0.435,0.435,14,25108
2021-11-12,0.55,0.442,0.442,0.55,20,2107
2021-11-15,0.441,0.441,0.441,0.441,1,1
2021-11-16,0.48,0.44,0.44,0.44,7,903
2021-11-17,0.44,0.44,0.44,0.44,3,212
2021-11-18,0.55,0.455,0.4401,0.55,489,133556
2021-11-19,0.44,0.44,0.44,0.44,1,112
2021-11-23,0.4511,0.44,0.44,0.4511,3,500
2021-11-24,0.5,0.5,0.5,0.5,1,2200
2021-11-29,0.46,0.46,0.46,0.46,1,281
2021-11-30,0.44,0.44,0.44,0.44,8,12625
2021-12-01,0.4405,0.44,0.44,0.4405,4,68001
2021-12-08,0.49,0.48,0.48,0.49,2,155
2021-12-09,0.48,0.48,0.48,0.48,2,200
2021-12-13,0.45,0.45,0.45,0.45,1,150
2021-12-14,0.45,0.45,0.45,0.45,2,4010
2021-12-15,0.45,0.45,0.45,0.45,4,45915
2021-12-17,0.48,0.44,0.44,0.48,6,13493
2021-12-21,0.44,0.44,0.44,0.44,1,188
2021-12-22,0.58,0.52,0.4894,0.4894,45,6325
2021-12-23,0.4411,0.4406,0.4406,0.4411,3,240
2021-12-29,0.4406,0.43,0.43,0.4406,8,25810
2021-12-30,0.44,0.44,0.44,0.44,6,600
2022-01-03,0.43,0.43,0.43,0.43,1,1000
2022-01-04,0.43,0.43,0.43,0.43,8,2845
2022-01-07,0.4494,0.4494,0.4494,0.4494,3,602
2022-01-10,0.3705,0.3705,0.3705,0.3705,1,50
2022-01-11,0.37,0.37,0.37,0.37,1,5
2022-01-25,0.378,0.378,0.378,0.378,3,2050
2022-02-07,0.36,0.36,0.36,0.36,1,2
2022-02-17,0.3406,0.3406,0.3406,0.3406,1,1
2022-02-18,0.36,0.36,0.36,0.36,1,51
2022-02-22,0.35,0.3406,0.3406,0.35,2,201
2022-02-28,0.39,0.3398,0.3398,0.39,2,53
2022-03-01,0.328,0.32,0.32,0.328,9,5464
2022-03-08,0.318,0.318,0.318,0.318,1,10
2022-03-09,0.32,0.32,0.32,0.32,1,75
2022-03-15,0.308,0.308,0.308,0.308,8,800
2022-03-18,0.308,0.308,0.308,0.308,1,4
2022-03-29,0.2749,0.263,0.263,0.263,14,13900
2022-03-31,0.2511,0.2511,0.2511,0.2511,1,31
2022-04-04,0.255,0.255,0.255,0.255,3,3000
2022-04-08,0.2506,0.25,0.25,0.2506,2,101
2022-04-13,0.2,0.2,0.1015,0.1015,6,566
2022-04-14,0.24,0.24,0.24,0.24,3,803
2022-04-18,0.28,0.28,0.28,0.28,1,1
2022-04-20,0.1506,0.1506,0.1401,0.1401,3,300
2022-04-21,0.1506,0.1506,0.1506,0.1506,1,100
2022-04-25,0.158,0.158,0.158,0.158,4,23
2022-04-28,0.1954,0.1401,0.1401,0.1954,4,5657
2022-04-29,0.145,0.143,0.143,0.145,4,24899
2022-05-16,0.1988,0.162,0.13,0.13,4,1354
2022-05-17,0.17,0.17,0.17,0.17,3,1450
2022-05-18,0.185,0.14,0.1317,0.185,8,800
2022-05-20,0.185,0.185,0.185,0.185,1,300
2022-05-24,0.175,0.175,0.175,0.175,1,79
2022-05-26,0.1389,0.1389,0.1051,0.1051,15,2250
2022-05-27,0.153,0.12,0.1008,0.153,11,1100
2022-05-31,0.1108,0.1108,0.1108,0.1108,1,8
2022-06-01,0.155,0.145,0.145,0.155,2,209
2022-06-03,0.1429,0.1247,0.1247,0.1429,14,591
2022-06-07,0.133,0.1116,0.1116,0.133,8,358
2022-06-08,0.1164,0.1164,0.113,0.113,4,361
2022-06-17,0.0951,0.0951,0.095,0.095,2,200
2022-06-21,0.105,0.1043,0.0815,0.1027,27,8122
2022-06-27,0.104,0.104,0.104,0.104,1,100
2022-06-29,0.1106,0.1086,0.1023,0.1049,14,1900
2022-07-06,0.11,0.0808,0.0808,0.11,6,18929
2022-07-07,0.0998,0.0998,0.0998,0.0998,1,96
2022-07-11,0.0809,0.0809,0.0809,0.0809,1,11
2022-07-12,0.0864,0.0864,0.0809,0.0809,2,201
2022-07-15,0.09,0.09,0.08,0.08,6,18730
2022-07-29,0.0851,0.0803,0.0799,0.0851,13,11663
2022-08-03,0.071,0.0704,0.0501,0.071,15,27400
2022-08-08,0.089,0.0682,0.0676,0.0687,139,76500
2022-08-16,0.07,0.07,0.07,0.07,1,83
2022-08-18,0.0872,0.0753,0.0753,0.0872,2,68
2022-08-19,0.0679,0.0655,0.0655,0.0679,9,34900
2022-08-23,0.07,0.07,0.07,0.07,1,1000
2022-08-24,0.0616,0.0575,0.0575,0.0616,7,870
2022-09-27,0.056,0.0516,0.0516,0.056,8,3308
2022-09-28,0.05,0.05,0.05,0.05,1,26000
2022-10-03,0.06,0.06,0.06,0.06,3,3225
2022-10-04,0.0649,0.0649,0.0649,0.0649,2,1500
2022-10-05,0.0749,0.0749,0.0603,0.0603,21,19063
2022-10-06,0.0675,0.0675,0.0675,0.0675,4,1300
2022-10-07,0.075,0.075,0.075,0.075,1,1
2022-10-11,0.065,0.065,0.065,0.065,4,20000
2022-10-12,0.065,0.065,0.065,0.065,2,25000
2022-10-13,0.074,0.074,0.074,0.074,6,2020
2022-10-14,0.0749,0.0749,0.0749,0.0749,2,1400
2022-10-17,0.065,0.065,0.065,0.065,2,1300
2022-10-18,0.069,0.069,0.069,0.069,1,300
2022-10-19,0.0745,0.0745,0.069,0.069,9,47000
2022-10-20,0.0794,0.0794,0.0749,0.0749,6,3500
2022-10-24,0.0848,0.0797,0.0797,0.0848,6,1400
2022-10-25,,,,,9,5388
2022-10-26,0.0746,0.0746,0.0651,0.0651,6,3083
2022-10-28,0.08,0.08,0.08,0.08,1,1
2022-10-31,0.08,0.07,0.07,0.08,25,117443
2022-11-01,0.0701,0.07,0.07,0.0701,2,11000
2022-11-02,0.0844,0.0844,0.0844,0.0844,5,4100
2022-11-03,0.0874,0.0874,0.0837,0.084,10,21656
2022-11-04,0.0875,0.0875,0.08,0.08,9,23500
2022-11-08,0.09,0.09,0.0894,0.0894,9,30100
2022-11-10,0.0949,0.0949,0.0949,0.0949,1,200
2022-11-11,0.0913,0.09,0.09,0.09,7,17752
2022-11-18,0.085,0.082,0.08,0.085,8,13559
2022-11-22,0.08,0.08,0.08,0.08,12,14606
2022-11-29,0.09,0.09,0.09,0.09,1,100
2022-11-30,0.075,0.071,0.071,0.075,12,45365
2022-12-01,0.0723,0.0723,0.0675,0.0675,3,142
2022-12-02,0.075,0.0676,0.0676,0.075,2,213
2022-12-05,0.0675,0.0675,0.0675,0.0675,1,1
2022-12-09,0.0824,0.0824,0.0794,0.0794,6,47799
2022-12-14,0.0949,0.08,0.08,0.085,21,42606
2022-12-21,0.095,0.095,0.095,0.095,1,42
2022-12-22,0.085,0.08,0.08,0.085,8,219658
2022-12-23,0.0661,0.0661,0.0661,0.0661,6,16500
2022-12-27,0.0702,0.07,0.0551,0.0671,84,385403
2022-12-28,0.0701,0.068,0.065,0.0701,3,450
2022-12-30,0.08,0.08,0.08,0.08,1,317
2023-01-03,0.08,0.08,0.08,0.08,2,24650
2023-01-06,0.0975,0.081,0.081,0.0975,2,4701
2023-01-09,0.0975,0.0975,0.0975,0.0975,3,9932
2023-01-10,0.0875,0.0875,0.0875,0.0875,1,100
