Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-07-12,6.24,5.81,5.67,6.0,182,87538
2017-07-13,6.05,5.6,5.33,6.05,151,53915
2017-07-14,5.63,5.605,5.49,5.49,30,3595
2017-07-17,5.75,5.47,5.35,5.75,51,14636
2017-07-18,5.46,4.94,4.84,5.46,55,12908
2017-07-19,5.15,4.94,4.85,5.0,57,13312
2017-07-20,4.94,4.87,4.7,4.94,35,8111
2017-07-21,4.84,4.58,4.56,4.84,39,9927
2017-07-24,4.51,4.49,4.1,4.51,69,30163
2017-07-25,4.81,4.7,4.4,4.81,79,29457
2017-07-26,4.75,4.6,4.52,4.75,19,15416
2017-07-27,4.79,4.4,4.15,4.79,77,36258
2017-07-28,4.42,4.42,4.2,4.35,33,15228
2017-07-31,4.32,4.23,4.2,4.32,23,15904
2017-08-01,4.3,3.98,3.68,4.21,63,21024
2017-08-02,4.05,3.85,3.7,4.02,33,8716
2017-08-03,4.36,4.36,3.73,3.8,57,11174
2017-08-04,4.36,4.29,4.2,4.3,31,7005
2017-08-07,4.24,3.97,3.8,4.24,61,16741
2017-08-08,3.95,3.85,3.77,3.8,49,10436
2017-08-09,3.93,3.93,3.79,3.82,48,16577
2017-08-10,3.91,3.74,3.73,3.85,104,51499
2017-08-11,3.88,3.85,3.63,3.77,96,43635
2017-08-14,4.2,4.2,3.72,3.83,40,9095
2017-08-15,5.12,4.9,4.0,4.18,212,65796
2017-08-16,5.15,5.0,4.6,4.95,97,37748
2017-08-17,5.08,4.86,4.85,5.0,34,17473
2017-08-18,4.89,4.89,4.82,4.82,13,1364
2017-08-21,4.85,4.69,4.69,4.85,25,1964
2017-08-22,4.98,4.98,4.74,4.74,28,5203
2017-08-23,4.98,4.7,4.64,4.98,35,16100
2017-08-24,4.97,4.66,4.6,4.97,96,17057
2017-08-25,4.7,4.51,4.51,4.7,31,5018
2017-08-28,4.84,4.81,4.55,4.55,29,4557
2017-08-29,5.08,5.07,4.8,4.83,41,10720
2017-08-30,5.18,5.1,4.86,5.18,52,11252
2017-08-31,5.59,5.58,5.1,5.1,50,9231
2017-09-01,5.72,5.68,5.57,5.72,161,19384
2017-09-05,5.99,5.96,5.69,5.73,128,32323
2017-09-06,6.0,5.94,5.82,6.0,54,14251
2017-09-07,5.96,5.6,5.6,5.96,78,11787
2017-09-08,5.84,5.75,5.6,5.66,39,11907
2017-09-11,6.25,5.9,5.6,5.93,150,33372
2017-09-12,6.0,5.84,5.79,6.0,54,12654
2017-09-13,5.88,5.67,5.65,5.88,57,8735
2017-09-14,5.71,5.61,5.5,5.71,71,18693
2017-09-15,5.65,5.25,5.25,5.65,96,45158
2017-09-18,5.57,5.45,5.26,5.4,75,20392
2017-09-19,6.22,6.12,5.45,5.48,140,36259
2017-09-20,6.24,6.09,5.8,6.24,100,26717
2017-09-21,6.55,6.3,6.05,6.15,200,45299
2017-09-22,6.46,6.01,5.92,6.46,113,40481
2017-09-25,6.29,6.02,5.9,6.14,113,14421
2017-09-26,6.14,5.87,5.7,6.07,57,11042
2017-09-27,6.08,6.02,5.77,5.85,100,16924
2017-09-28,6.19,6.12,5.89,6.02,93,21234
2017-09-29,6.35,6.25,6.1,6.17,128,39129
2017-10-02,6.27,6.07,6.01,6.27,49,7132
2017-10-03,6.05,5.62,5.62,6.04,84,17790
