Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-08-10,10.03,10.0,10.0,10.0,251,2539615
2021-08-11,10.05,10.02,10.01,10.02,62,28570
2021-08-12,10.02,10.0,10.0,10.02,26,5838
2021-08-13,10.11,10.0,10.0,10.11,35,1755
2021-08-16,10.0,10.0,9.9,9.99,7,7278
2021-08-17,10.0,10.0,10.0,10.0,59,6300
2021-08-18,10.0,9.91,9.91,10.0,7,4300
2021-08-19,10.03,10.03,9.9,9.9,7,903
2021-08-24,10.01,9.96,9.91,9.91,14,1337
2021-08-25,10.03,10.03,9.99,9.99,18,9440
2021-09-03,10.58,10.58,10.14,10.14,2,100
2021-09-07,10.09,10.09,10.09,10.09,2,218
2021-09-08,10.1,10.05,10.05,10.1,2,600
2021-09-13,10.05,10.05,10.05,10.05,1,1
2021-09-14,10.05,10.05,10.05,10.05,2,400
2021-09-15,10.0,10.0,10.0,10.0,9,1149
2021-09-21,10.02,10.02,10.02,10.02,1,200
2021-09-23,10.0,9.98,9.98,10.0,37,54151
2021-09-27,10.12,10.12,9.98,9.98,13,132
2021-09-28,10.1,10.04,10.04,10.1,13,220
2021-09-29,10.09,10.09,9.97,9.98,12,9555
2021-10-04,11.0,11.0,10.1,10.1,29,8980
2021-10-06,10.0,9.97,9.97,10.0,3,400
2021-10-07,10.25,10.25,10.0,10.0,2,152
2021-10-08,10.22,9.97,9.97,10.22,50,7205
2021-10-11,10.11,10.11,10.11,10.11,1,29
2021-10-14,10.1,10.0,10.0,10.1,2,114
2021-10-15,10.43,10.0,10.0,10.0,4,228
2021-10-18,10.08,10.08,10.08,10.08,1,16
2021-10-19,10.18,10.15,10.02,10.02,6,10600
2021-10-20,10.15,10.02,10.02,10.06,5,15520
2021-10-21,10.03,10.03,10.03,10.03,1,6
2021-10-22,10.18,10.02,10.02,10.18,2,301
2021-10-25,10.09,10.09,10.0,10.02,203,227923
2021-10-26,10.1,10.1,10.0,10.0,2,402
2021-10-28,10.06,10.06,10.06,10.06,1,4
2021-11-02,10.06,10.05,9.97,10.02,5,51800
2021-11-03,10.11,10.1,10.1,10.11,3,1000
2021-11-16,10.44,10.44,10.43,10.43,2,200
2021-11-19,10.42,10.42,10.42,10.42,1,100
2021-11-24,10.46,10.46,10.43,10.43,4,800
2021-12-02,9.87,9.87,9.87,9.87,1,891
2021-12-03,10.1,10.01,9.85,10.1,406,75691
2021-12-13,10.03,10.03,10.03,10.03,2,230
2021-12-23,10.01,10.0,10.0,10.01,2,200
2021-12-28,10.0,10.0,10.0,10.0,1,1
2021-12-31,10.1,10.09,10.09,10.1,2,200
2022-01-19,10.0,10.0,10.0,10.0,2,67
2022-01-24,9.94,9.94,9.93,9.93,2,2
2022-01-28,10.45,10.45,9.8,9.8,2,550
2022-02-04,10.35,10.35,10.35,10.35,1,2
2022-02-16,10.34,10.34,10.34,10.34,1,1
2022-03-02,9.85,9.85,9.85,9.85,1,5
2022-03-16,9.9,9.9,9.9,9.9,4,568
2022-03-22,9.9,9.9,9.9,9.9,1,5
2022-03-24,9.9,9.9,9.9,9.9,2,7
2022-04-01,10.0,10.0,9.99,9.99,7,622
2022-04-12,10.0,10.0,10.0,10.0,2,2170
2022-04-18,10.14,10.14,10.14,10.14,6,705
2022-04-19,10.04,10.04,10.04,10.04,1,300
2022-05-10,10.05,10.05,10.04,10.04,2,400
2022-05-12,9.87,9.87,9.87,9.87,1,4
2022-05-23,9.81,9.81,9.81,9.81,1,2
2022-06-08,9.82,9.82,9.82,9.82,2,200
2022-06-09,9.84,9.84,9.84,9.84,1,100
2022-06-10,9.83,9.77,9.77,9.83,2,2
2022-06-13,9.84,9.76,9.76,9.84,12,2201
2022-06-14,9.82,9.82,9.77,9.77,3,102
2022-06-16,9.79,9.79,9.77,9.79,5,1100
2022-06-21,9.83,9.83,9.83,9.83,1,100
2022-06-23,9.77,9.77,9.77,9.77,5,1200
2022-07-07,9.77,9.77,9.77,9.77,3,800
2022-07-08,9.99,9.99,9.78,9.83,3,301
2022-07-11,9.79,9.79,9.79,9.79,1,191
2022-07-27,9.85,9.85,9.85,9.85,1,500
2022-07-28,10.0,9.96,9.81,9.99,4,901
2022-08-01,9.84,9.84,9.84,9.84,1,100
2022-08-18,9.96,9.91,9.9,9.9,11,87601
2022-08-23,9.885,9.85,9.85,9.885,2,115
2022-08-24,10.19,9.92,9.86,9.86,27,5839
2022-08-25,9.96,9.85,9.85,9.96,3,300
2022-08-29,9.9,9.87,9.87,9.9,2,200
2022-09-08,9.89,9.89,9.89,9.89,3,300
2022-09-14,9.85,9.77,9.77,9.85,3,799
2022-09-16,9.85,9.77,9.77,9.85,3,300
2022-09-21,10.25,10.25,10.25,10.25,1,100
2022-09-26,9.93,9.85,9.85,9.93,2,280
2022-09-27,9.77,9.77,9.77,9.77,1,200
2022-09-30,9.77,9.77,9.77,9.77,1,1
2022-10-03,9.77,9.77,9.77,9.77,149,416
2022-10-17,9.84,9.84,9.84,9.84,4,400
2022-10-20,10.81,10.81,10.81,10.81,1,1
2022-10-21,9.83,9.83,9.82,9.82,3,126
2022-10-26,9.84,9.84,9.81,9.83,6,807
2022-10-28,9.86,9.86,9.86,9.86,6,401
2022-12-12,9.9,9.9,9.9,9.9,4,1150
2022-12-16,10.02,10.02,10.0,10.0,4,2000
2022-12-22,9.88,9.88,9.85,9.85,4,900
2022-12-28,9.89,9.89,9.89,9.89,1,200
2023-01-04,10.0,10.0,10.0,10.0,22,10373
2023-01-05,10.0,10.0,10.0,10.0,5,900
2023-01-09,9.97,9.97,9.97,9.97,1,100
