Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-07-08,34.78,34.78,34.78,34.78,1,500
2015-07-09,35.53,35.53,34.79,34.79,4,172
2015-07-10,35.15,35.15,35.05,35.05,8,2372
2015-07-14,35.64,35.64,35.64,35.64,1,125
2015-07-27,34.37,34.01,34.01,34.37,2,300
2015-08-04,34.57,34.5,34.5,34.54,8,800
2015-08-07,34.21,34.21,34.21,34.21,1,200
2015-08-18,34.56,34.56,34.56,34.56,2,925
2015-08-21,33.32,33.32,33.32,33.32,1,1280
2015-08-24,32.53,31.94,31.94,32.53,5,1350
2015-08-25,32.64,32.64,32.64,32.64,1,400
2015-08-31,33.04,33.04,33.04,33.04,1,250
2015-09-02,32.46,32.46,32.46,32.46,1,105
2015-09-10,32.87,32.85,32.85,32.87,3,3105
2015-09-23,32.45,32.45,32.45,32.45,1,200
2015-09-25,32.43,32.43,32.39,32.39,3,3400
2015-09-29,31.71,31.71,31.71,31.71,1,3000
2015-10-01,31.85,31.85,31.65,31.73,6,1200
2015-10-06,33.43,33.43,33.43,33.43,1,3
2015-10-16,33.59,33.59,33.59,33.59,1,65
2015-10-26,33.83,33.83,33.83,33.83,2,350
2015-10-27,33.65,33.65,33.65,33.65,1,100
2015-10-28,33.57,33.57,33.57,33.57,7,500
2015-11-03,34.86,34.4,34.4,34.86,7,1872
2015-11-06,34.84,34.84,34.75,34.75,10,8546
2015-11-09,34.46,34.43,34.43,34.46,3,1012
2015-11-10,34.83,34.5,34.5,34.83,2,18
2015-11-11,34.46,34.4,34.4,34.46,2,70
2015-11-12,34.12,33.75,33.75,34.12,5,426
2015-11-13,33.4,33.4,33.4,33.4,2,530
2015-11-16,33.41,33.29,33.28,33.31,220,50357
2015-11-17,33.63,33.63,33.63,33.63,2,233
2015-11-18,34.12,34.12,33.81,33.81,18,10082
2015-11-20,34.31,34.31,34.31,34.31,1,570
2015-11-23,34.55,34.47,34.3,34.32,27,4800
2015-11-24,34.71,34.71,34.4,34.4,14,3804
2015-11-30,35.28,34.93,34.93,35.28,2,201
2015-12-02,35.2,34.84,34.84,35.2,5,2420
2015-12-03,34.61,34.2,34.19,34.61,5,801
2015-12-07,34.07,34.07,34.04,34.04,3,600
2015-12-08,34.06,34.06,34.06,34.06,3,444
2015-12-10,33.63,33.63,33.63,33.63,3,300
2015-12-16,33.52,33.52,33.52,33.52,1,7
2015-12-17,33.83,33.83,33.83,33.83,2,1595
2015-12-18,32.89,32.63,32.62,32.89,3,378
2015-12-21,32.87,32.75,32.75,32.87,2,60
2015-12-24,33.53,33.53,33.53,33.53,1,200
2015-12-31,33.0,32.94,32.94,33.0,4,800
2016-01-04,32.59,31.96,31.96,32.59,4,6189
2016-01-05,32.09,32.09,32.09,32.09,1,100
2016-01-06,31.84,31.84,31.82,31.82,6,896
2016-01-07,30.96,30.91,30.91,30.96,3,621
2016-01-08,31.21,31.21,31.21,31.21,3,84
2016-01-13,30.83,30.07,30.07,30.83,10,5621
2016-01-14,30.13,30.13,29.74,29.74,2,108
2016-01-15,29.47,29.14,29.14,29.47,2,62
2016-01-19,29.57,29.3,29.3,29.57,5,1021
2016-01-20,29.51,29.51,28.69,28.69,3,215
2016-01-21,29.5,29.5,29.49,29.5,4,700
2016-01-22,29.52,29.52,29.52,29.52,1,176
2016-01-26,29.54,29.54,29.54,29.54,1,124
2016-01-29,30.27,30.27,30.27,30.27,2,2800
2016-02-01,30.54,30.54,30.52,30.54,51,15761
2016-02-02,29.96,29.96,29.96,29.96,1,45
2016-02-04,30.07,30.07,30.07,30.07,1,100
2016-02-08,29.41,29.41,29.41,29.41,1,100
2016-02-09,29.23,29.23,29.23,29.23,5,871
2016-02-11,28.98,28.98,28.8,28.95,7,184
2016-02-29,31.26,31.2,31.2,31.26,4,3300
2016-03-07,32.76,32.76,32.73,32.73,2,101
2016-03-08,32.29,32.29,32.29,32.29,2,921
2016-03-15,32.31,32.31,32.31,32.31,12,11762
2016-03-18,33.27,33.27,33.27,33.27,1,100
2016-03-22,33.11,33.1,32.96,33.0,18,13524
2016-03-29,32.99,32.99,32.78,32.78,2,169
2016-04-01,33.5,33.5,33.49,33.49,4,4300
2016-04-07,32.86,32.64,32.62,32.86,18,5257
2016-04-11,33.18,33.18,33.18,33.18,1,28
2016-04-12,32.95,32.95,32.95,32.95,3,212
2016-04-14,33.91,33.91,33.91,33.91,1,21
2016-04-15,33.73,33.73,33.73,33.73,2,14
2016-04-18,34.04,34.04,34.04,34.04,1,3
2016-04-20,34.26,34.16,34.16,34.26,2,88
2016-04-21,34.09,34.09,34.09,34.09,1,10
2016-04-29,33.99,33.99,33.99,33.99,1,3
2016-05-05,33.67,33.67,33.67,33.67,1,33
2016-05-10,33.78,33.78,33.78,33.78,3,382
2016-05-13,33.21,33.21,33.21,33.21,1,100
2016-05-16,33.5,33.5,33.5,33.5,1,24
2016-05-20,33.47,33.47,33.34,33.34,2,75
2016-05-23,33.56,33.56,33.56,33.56,1,51
2016-05-25,34.36,34.36,34.36,34.36,1,1
2016-05-26,34.6,34.29,34.29,34.6,3,541
2016-06-02,34.76,34.76,34.76,34.76,2,176
2016-06-03,34.69,34.69,34.69,34.69,1,91
2016-06-09,35.58,35.58,35.58,35.58,1,225
2016-06-15,34.41,34.18,34.18,34.41,2,325
2016-06-16,33.87,33.87,33.87,33.87,1,143
2016-06-20,34.24,34.24,34.24,34.24,1,64
2016-06-22,34.64,34.33,34.33,34.64,4,746
2016-07-18,35.85,35.85,35.85,35.85,2,260
2016-07-21,35.97,35.97,35.97,35.97,1,46
2016-07-22,35.76,35.76,35.76,35.76,1,100
2016-07-25,35.88,35.87,35.87,35.88,2,259
2016-07-26,35.92,35.91,35.91,35.92,5,1000
2016-07-28,36.2,36.2,36.2,36.2,1,370
2016-07-29,35.83,35.82,35.8,35.8,25,7700
2016-08-01,35.85,35.83,35.83,35.85,3,176
2016-08-03,35.63,35.63,35.63,35.63,3,800
2016-08-08,36.23,36.23,36.23,36.23,1,75
2016-08-09,36.14,36.13,36.13,36.14,2,700
2016-08-11,36.11,36.11,36.11,36.11,2,100
2016-08-12,35.94,35.94,35.94,35.94,1,60
2016-08-15,36.39,36.38,36.38,36.39,4,400
2016-08-16,36.25,36.2,36.2,36.25,2,324
2016-08-17,36.08,36.03,36.03,36.08,13,1300
2016-08-18,36.32,36.32,36.32,36.32,1,109
2016-08-19,36.37,36.34,36.34,36.37,6,1300
2016-08-24,36.59,36.59,36.59,36.59,1,24
2016-08-25,36.72,36.72,36.72,36.72,1,55
2016-08-26,36.5,36.5,36.5,36.5,2,500
2016-08-30,36.84,36.84,36.83,36.83,2,200
2016-08-31,36.72,36.72,36.72,36.72,3,1000
2016-09-02,36.93,36.93,36.84,36.84,3,300
2016-09-07,36.88,36.87,36.87,36.88,6,2550
2016-09-08,37.04,37.04,36.99,37.03,18,2874
2016-09-09,36.98,36.18,36.18,36.98,3,278
2016-09-14,35.77,35.74,35.74,35.77,2,186
2016-09-15,36.06,36.06,35.98,35.98,6,3501
2016-09-19,36.42,36.42,36.41,36.41,3,378
