Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2018-06-27,24.9,24.9,24.9,24.9,1,1000
2018-06-28,25.25,25.25,25.25,25.25,1,102
2018-06-29,24.89,24.89,24.89,24.89,3,500
2018-07-02,24.52,24.52,24.52,24.52,1,800
2018-07-03,25.0,25.0,24.1,24.1,2,300
2018-07-05,24.89,24.85,24.75,24.89,13,3493
2018-07-06,24.83,24.83,24.83,24.83,1,600
2018-07-09,24.95,24.95,24.76,24.76,10,3415
2018-07-11,25.0,25.0,24.95,24.95,15,3515
2018-07-12,25.0,25.0,24.55,24.55,16,3096
2018-07-13,25.05,25.05,24.6,25.0,12,2240
2018-07-16,25.0,24.89,24.89,25.0,9,452
2018-07-18,25.05,25.04,25.04,25.04,5,1100
2018-07-19,25.05,25.05,25.05,25.05,1,160
2018-07-20,25.2,24.96,24.96,24.96,5,445
2018-07-24,24.96,24.91,24.91,24.96,4,1005
2018-07-25,25.0,24.92,24.86,24.89,16,4636
2018-07-26,25.0,25.0,25.0,25.0,3,1630
2018-07-27,25.0,25.0,24.86,24.86,2,380
2018-07-30,25.25,25.25,25.07,25.07,2,355
2018-07-31,25.45,25.45,25.0,25.25,9,1320
2018-08-01,25.5,25.36,25.36,25.5,6,1300
2018-08-02,25.43,25.27,25.27,25.43,8,800
2018-08-03,25.22,25.2,25.1,25.1,6,1220
2018-08-06,25.35,25.0,25.0,25.35,6,835
2018-08-07,26.48,25.45,25.25,25.25,7,786
2018-08-09,26.56,25.22,24.63,26.56,43,6183
2018-08-10,25.01,24.95,24.95,25.01,2,499
2018-08-13,24.9,24.9,24.9,24.9,2,80
2018-08-14,24.9,24.85,24.85,24.9,2,380
2018-08-15,24.9,24.9,24.83,24.84,8,1973
2018-08-16,25.03,25.03,25.03,25.03,1,99
2018-08-17,25.06,25.06,25.06,25.06,1,99
2018-08-20,25.0,25.0,25.0,25.0,2,620
2018-08-21,25.13,25.13,25.13,25.13,1,40
2018-08-24,25.6,25.6,25.17,25.17,5,345
2018-08-27,25.16,25.15,25.15,25.16,13,6026
