Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-09,4.2,4.2,3.55,4.19,340,179346
2020-12-10,4.35,4.2,3.95,4.35,178,37122
2020-12-11,4.2,4.16,4.07,4.09,83,28184
2020-12-14,4.35,4.09,4.07,4.35,380,44541
2020-12-15,4.26,3.98,3.95,4.2,151,25722
2020-12-16,4.12,3.85,3.61,4.12,107,18790
2020-12-17,4.9,4.74,3.85,4.07,2583,544468
2020-12-18,8.72,5.59,5.37,8.32,36405,5861588
2020-12-21,6.5,6.39,5.3,5.32,1730,293769
2020-12-22,6.18,5.78,5.41,6.05,856,143466
2020-12-23,5.56,5.18,5.0,5.52,797,134785
2020-12-24,5.2,5.13,5.05,5.2,183,25638
2020-12-28,5.0,4.67,4.64,5.0,412,84062
2020-12-29,4.78,4.34,4.28,4.63,388,73949
2020-12-30,4.48,4.44,4.15,4.38,401,61200
2020-12-31,4.71,4.35,4.28,4.48,188,37658
2021-01-04,4.6,4.25,4.17,4.4,205,33350
2021-01-05,6.74,5.21,4.93,5.45,15188,3165237
2021-01-06,5.37,5.1,4.945,5.24,1047,125124
2021-01-07,5.05,4.65,4.61,5.02,403,70715
2021-01-08,5.185,5.05,4.82,4.82,167,26290
2021-01-11,4.99,4.8,4.68,4.9,223,39068
2021-01-12,4.9,4.85,4.69,4.75,202,22591
2021-01-13,5.25,5.03,4.81,4.85,226,45992
2021-01-14,5.7,5.54,5.09,5.09,338,67132
2021-01-15,5.75,5.7,5.21,5.6,288,45121
2021-01-19,5.99,5.94,5.5,5.78,267,75096
2021-01-20,6.16,5.74,5.61,5.98,209,41599
2021-01-21,6.29,6.14,5.75,5.86,281,59695
2021-01-22,6.29,6.15,6.02,6.05,210,46450
2021-01-25,6.6,6.27,6.2,6.2,207,54894
2021-01-26,6.6,6.24,6.075,6.6,165,29727
2021-01-27,6.8,6.6,6.25,6.4,550,97310
2021-01-28,6.78,6.0,6.0,6.47,405,75501
2021-01-29,6.24,5.92,5.92,6.1,290,59890
2021-02-01,6.89,6.75,6.05,6.07,676,121188
2021-02-02,7.56,7.43,6.45,6.81,914,183338
2021-02-03,8.45,8.25,7.3,7.55,1269,248679
2021-02-04,15.31,13.15,10.0,10.0,11818,1965729
2021-02-05,11.73,10.39,9.6,11.59,2761,393802
2021-02-08,11.89,11.22,10.81,11.8,1203,149458
2021-02-09,17.59,13.33,12.12,12.54,7735,1033457
2021-02-10,12.75,11.25,11.06,12.65,1407,236163
2021-02-11,11.5,10.6,10.55,11.22,694,78958
2021-02-12,10.85,10.59,9.8,10.35,456,56104
2021-02-16,11.24,10.7,10.47,10.99,399,48535
2021-02-17,10.82,9.9,9.72,10.82,709,121815
2021-02-18,9.81,8.8,8.72,9.81,952,148971
2021-02-19,9.5,9.3,9.08,9.1,312,47529
2021-02-22,9.75,8.7,8.61,9.52,460,57597
2021-02-23,8.32,7.8,7.51,8.3,587,80455
2021-02-24,9.23,9.05,7.84,7.88,544,104106
