Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2022-04-27,5.05,4.85,4.18,5.03,353,51953
2022-04-28,4.85,4.46,4.245,4.85,228,32578
2022-04-29,5.48,4.38,4.22,4.46,1223,213311
2022-05-02,4.4,4.19,4.08,4.4,159,21500
2022-05-03,4.2,4.14,4.11,4.13,90,11397
2022-05-04,4.22,4.19,4.1,4.19,52,5536
2022-05-05,4.27,4.02,4.02,4.27,61,7954
2022-05-06,4.05,3.975,3.91,4.02,113,19009
2022-05-09,4.07,3.6,3.49,4.07,152,24738
2022-05-10,3.75,3.72,3.54,3.54,52,9490
2022-05-11,4.55,3.93,3.76,4.49,2545,289037
2022-05-12,3.96,3.48,3.34,3.96,295,39946
2022-05-13,3.73,3.69,3.5,3.5,66,9568
2022-05-16,3.79,3.79,3.57,3.69,41,5757
2022-05-17,3.88,3.88,3.61,3.61,61,10206
2022-05-18,3.88,3.75,3.63,3.88,121,16009
2022-05-19,3.9,3.85,3.71,3.83,97,11532
2022-05-20,3.82,3.82,3.72,3.75,34,9871
2022-05-23,3.82,3.76,3.59,3.82,292,30670
2022-05-24,3.82,3.65,3.61,3.82,81,9747
2022-05-25,3.73,3.73,3.57,3.57,20,3626
2022-05-26,3.84,3.84,3.65,3.65,40,5750
2022-05-27,4.09,4.0,3.875,4.09,30,3130
2022-05-31,4.0,3.97,3.9,4.0,24,3667
2022-06-01,3.93,3.88,3.83,3.9,75,10575
2022-06-02,3.95,3.82,3.82,3.95,29,3112
2022-06-03,3.85,3.85,3.78,3.8,32,6447
2022-06-06,4.0,3.92,3.85,3.85,35,4409
2022-06-07,3.93,3.93,3.87,3.92,32,2632
2022-06-08,3.95,3.84,3.82,3.95,73,10950
2022-06-09,3.79,3.72,3.71,3.79,86,25015
2022-06-10,3.76,3.76,3.6,3.7,41,5681
2022-06-13,3.8,3.61,3.6,3.8,50,11134
2022-06-14,3.63,3.4,3.4,3.63,474,45048
2022-06-15,3.48,3.47,3.43,3.48,27,2636
2022-06-16,3.54,3.27,3.25,3.54,72,11684
2022-06-17,3.31,3.28,3.1,3.25,53,4825
2022-06-21,3.48,3.43,3.29,3.29,31,5255
2022-06-22,3.67,3.3,3.22,3.67,52,8799
2022-06-23,3.38,3.28,3.2,3.38,26,2130
2022-06-24,3.41,3.39,3.26,3.26,11,1517
2022-06-27,3.47,3.36,3.3,3.47,27,6673
2022-06-28,3.34,3.25,3.19,3.34,55,9431
2022-06-29,3.22,2.92,2.86,3.2,96,15998
2022-06-30,2.91,2.8,2.78,2.91,45,7070
2022-07-01,2.925,2.87,2.73,2.73,27,3909
2022-07-05,3.05,2.97,2.85,2.91,40,3577
2022-07-06,3.15,2.915,2.89,3.15,36,4815
2022-07-07,2.96,2.95,2.89,2.89,27,2555
2022-07-08,2.99,2.92,2.905,2.99,30,2259
2022-07-11,2.93,2.87,2.825,2.85,35,4489
2022-07-12,2.99,2.64,2.55,2.99,86,12988
2022-07-13,2.8,2.79,2.6,2.66,140,27999
2022-07-14,2.755,2.65,2.65,2.72,81,9502
2022-07-15,2.665,2.66,2.64,2.66,26,4296
2022-07-18,2.83,2.75,2.64,2.64,44,14259
2022-07-19,2.89,2.78,2.77,2.79,45,11327
2022-07-20,2.81,2.81,2.78,2.81,25,2629
