Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-20,10.24,10.05,10.05,10.05,736,3622254
2021-10-21,10.1,10.08,10.04,10.05,21,6258
2021-10-22,10.1,10.09,10.08,10.1,11,4740
2021-10-25,10.15,10.15,10.11,10.15,20,5547
2021-10-26,10.15,10.13,10.13,10.15,2,108
2021-10-27,10.07,10.07,10.05,10.05,3,1400
2021-10-28,10.1,10.1,10.09,10.1,49,146732
2021-10-29,10.105,10.1,10.1,10.1,7,1876
2021-11-01,10.12,10.1,10.09,10.09,30,9540
2021-11-02,10.1,10.1,10.1,10.1,18,35114
2021-11-03,10.1,10.09,10.08,10.1,26,42095
2021-11-04,10.15,10.15,10.1,10.1,7,126
2021-11-05,10.15,10.15,10.09,10.09,4,1501
2021-11-08,10.08,10.08,10.08,10.08,1,1
2021-11-09,10.1,10.09,10.09,10.09,6,1450
2021-11-10,10.14,10.09,10.09,10.14,4,13
2021-11-11,10.21,10.17,10.17,10.21,5,141
2021-11-12,11.18,10.1,10.1,11.18,3,113
2021-11-15,10.11,10.11,10.1,10.1,2,2
2021-11-16,10.2,10.19,10.19,10.2,2,16
2021-11-17,10.2,10.2,10.07,10.07,7,58
2021-11-18,10.21,10.1,10.1,10.21,2,416
2021-11-19,10.11,10.11,10.09,10.09,32,7804
2021-11-22,10.17,10.14,10.11,10.11,20,1818
2021-11-23,10.2,10.2,10.19,10.19,4,24
2021-11-26,10.19,10.14,10.14,10.19,25,160
2021-11-30,10.11,10.11,10.11,10.11,1,100
2021-12-01,10.15,10.15,10.15,10.15,1,10
2021-12-07,10.09,10.09,10.09,10.09,1,7
2021-12-08,10.1,10.1,10.1,10.1,1,3
2021-12-14,10.1,10.1,10.1,10.1,1,300
2021-12-16,10.15,10.15,10.07,10.07,3,1004
2021-12-17,10.15,10.15,10.07,10.07,4,2053
2021-12-20,10.15,10.15,10.1,10.1,2,1088
2021-12-21,10.2,10.2,10.19,10.19,3,445
2021-12-22,10.09,10.09,10.09,10.09,1,1744
2021-12-23,10.1,10.1,10.09,10.09,3,16
2021-12-27,10.15,10.15,10.05,10.05,2,7
2021-12-29,10.14,9.67,9.67,10.14,2,184
2021-12-30,10.14,10.14,10.14,10.14,3,76
2021-12-31,10.14,10.14,10.14,10.14,1,15
2022-01-03,10.15,10.15,10.14,10.14,15,23158
2022-01-05,10.15,10.15,10.15,10.15,6,280
2022-01-06,10.15,10.15,10.13,10.13,23,4640
2022-01-07,10.15,10.15,10.12,10.12,5,683
2022-01-10,10.16,10.16,10.16,10.16,2,800
2022-01-12,10.15,10.15,10.15,10.15,2,200
