Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2019-11-18,25.34,25.26,25.2,25.22,647,237852
2019-11-19,25.83,25.79,25.32,25.32,2164,280372
2019-11-20,25.97,25.88,25.82,25.83,560,74912
2019-11-21,25.87,25.73,25.67,25.87,95,95424
2019-11-22,25.8,25.69,25.61,25.8,29,4037
2019-11-25,25.84,25.84,25.75,25.8,78,14272
2019-11-26,25.95,25.92,25.82,25.9,129,26292
2019-11-27,26.04,25.98,25.75,25.9,320,90081
2019-11-29,26.17,25.69,25.69,26.03,519,607446
2019-12-02,25.68,25.32,25.28,25.68,184,45052
2019-12-03,25.39,25.35,25.21,25.26,183,37468
2019-12-04,25.48,25.44,25.36,25.4,88,19335
2019-12-05,25.47,25.35,25.335,25.46,42,14424
2019-12-06,25.43,25.388,25.34,25.35,48,10657
2019-12-09,25.45,25.38,25.37,25.45,22,3256
2019-12-10,25.48,25.3996,25.34,25.43,65,18351
2019-12-11,25.51,25.51,25.4,25.4,49,14756
2019-12-12,25.56,25.45,25.4,25.56,45,6644
2019-12-13,25.6,25.6,25.49,25.49,39,9777
2019-12-16,25.65,25.55,25.55,25.6,48,10285
2019-12-17,25.62,25.62,25.52,25.6,49,9809
2019-12-18,25.62,25.55,25.55,25.59,11,1840
2019-12-19,25.65,25.58,25.48,25.48,27,11066
2019-12-20,25.67,25.61,25.59,25.65,27,6923
2019-12-23,25.76,25.76,25.66,25.67,50,9041
2019-12-24,25.76,25.75,25.62,25.76,41,5534
2019-12-26,25.78,25.75,25.61,25.78,34,4211
2019-12-27,25.74,25.74,25.72,25.74,14,3408
2019-12-30,25.74,25.6,25.53,25.74,47,7605
2019-12-31,25.68,25.5,25.5,25.68,38,15998
2020-01-02,25.73,25.73,25.55,25.55,97,6650
2020-01-03,25.88,25.88,25.77,25.77,66,7403
2020-01-06,26.06,25.97,25.88,25.88,66,6303
2020-01-07,25.99,25.96,25.93,25.97,38,4405
2020-01-08,26.09,26.07,26.0,26.0,65,5245
2020-01-09,26.22,26.15,26.05,26.18,45,7823
2020-01-10,26.16,26.05,26.05,26.16,28,2664
2020-01-13,26.15,26.12,26.02,26.15,26,2583
2020-01-14,26.11,26.065,26.02,26.11,49,8011
2020-01-15,26.17,26.05,25.89,26.17,41,3827
2020-01-16,26.15,26.065,25.88,26.12,78,7745
2020-01-17,26.15,26.15,25.92,26.15,84,13353
2020-01-21,26.18,26.1,26.02,26.04,46,7892
2020-01-22,26.28,26.25,26.15,26.15,53,12528
