Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2013-01-02,34.22,33.81,32.67,32.9,421,59971
2013-01-03,33.82,33.18,32.91,33.61,271,36491
2013-01-04,33.37,33.09,32.87,33.37,161,22457
2013-01-07,33.06,32.77,32.37,33.0,212,36736
2013-01-08,33.085,32.85,31.53,32.79,492,61000
2013-01-09,33.915,33.11,32.79,32.8,295,36762
2013-01-10,33.26,32.52,31.85,33.25,307,41211
2013-01-11,32.75,32.0,31.73,32.38,280,56360
2013-01-14,31.91,31.14,31.04,31.91,522,71655
2013-01-15,31.84,31.83,30.91,31.14,940,127963
2013-01-16,35.45,34.4,31.4,31.4,857,130252
2013-01-17,36.13,35.92,34.45,35.18,722,111754
2013-01-18,36.35,34.99,34.65,36.2,387,66224
2013-01-22,34.97,34.38,33.76,34.97,452,75811
2013-01-23,35.03,34.93,34.15,34.45,303,90291
2013-01-24,35.57,34.87,34.84,34.93,182,23380
2013-01-25,34.98,34.5,33.86,34.98,422,60756
2013-01-28,35.21,35.14,33.91,33.91,795,151829
2013-01-29,36.17,35.9,34.69,35.15,1084,172412
2013-01-30,37.37,37.25,36.0,36.18,6443,1977963
2013-01-31,37.1,37.0,36.79,36.91,711,141776
2013-02-01,37.37,37.1,36.89,37.27,893,145429
2013-02-04,36.9,36.51,36.26,36.71,359,63533
2013-02-05,38.78,37.83,36.4,36.86,1098,190493
2013-02-06,38.39,38.3,37.565,37.67,353,49752
2013-02-07,38.41,38.13,37.61,38.16,503,68772
2013-02-08,38.45,38.35,37.97,38.13,207,31874
2013-02-11,38.39,37.93,37.84,38.25,298,40217
2013-02-12,38.005,37.86,37.79,37.86,185,27463
2013-02-13,37.83,37.42,36.88,37.83,579,75375
2013-02-14,37.87,37.75,37.3,37.45,363,70409
2013-02-15,37.86,37.16,37.11,37.86,473,74145
2013-02-19,37.57,37.38,37.03,37.49,522,69664
2013-02-20,38.65,37.28,37.2,37.48,881,126431
2013-02-21,37.59,37.22,36.865,36.96,615,82052
2013-02-22,38.5,38.06,37.25,37.45,503,71148
2013-02-25,39.46,38.88,37.81,38.11,981,129733
2013-02-26,39.62,39.54,38.64,38.94,865,110503
2013-02-27,40.67,40.21,39.0,39.62,597,88018
2013-02-28,40.27,39.8,39.72,40.21,310,48554
2013-03-01,41.15,41.0,39.15,39.41,568,103257
2013-03-04,41.36,41.03,40.43,41.08,647,85555
2013-03-05,41.64,41.36,41.05,41.31,951,126764
2013-03-06,42.58,42.5,41.29,41.49,888,111334
2013-03-07,42.78,42.03,41.57,41.58,645,95824
2013-03-08,42.22,42.04,41.73,42.07,486,67703
2013-03-11,42.17,41.88,41.68,42.0,366,43633
2013-03-12,42.07,41.47,41.09,42.07,342,44227
2013-03-13,41.67,41.22,41.13,41.57,556,73662
2013-03-14,42.03,41.93,40.84,41.36,534,68699
2013-03-15,42.05,41.07,40.63,41.66,465,141046
2013-03-18,42.14,41.82,40.49,40.69,591,68392
2013-03-19,41.98,41.02,40.64,41.92,404,48718
2013-03-20,42.16,41.78,41.25,41.35,300,38490
2013-03-21,41.8,41.36,41.22,41.56,176,21270
2013-03-22,42.6,41.57,41.4,41.42,210,29649
2013-03-25,43.02,41.55,40.72,42.21,588,92285
2013-03-26,41.93,39.87,38.99,41.93,792,110482
2013-03-27,39.86,39.16,38.75,39.72,1087,158803
2013-03-28,38.05,37.89,35.85,36.15,2570,428577
2013-04-01,38.86,37.98,37.55,38.4,1437,196218
2013-04-02,38.35,37.24,37.03,37.79,1201,164422
2013-04-03,37.2,35.74,35.68,37.01,806,108300
2013-04-04,37.03,36.97,35.68,35.71,431,55629
2013-04-05,36.42,35.44,35.15,36.41,808,131627
2013-04-08,35.73,35.69,34.67,35.54,621,87294
2013-04-09,36.48,35.57,35.54,35.87,505,70344
2013-04-10,36.22,36.14,35.21,35.79,676,94379
2013-04-11,37.38,37.0,35.83,35.89,767,101506
2013-04-12,37.16,36.94,36.8,36.8,565,82808
2013-04-15,37.17,35.25,35.14,36.78,744,92592
2013-04-16,36.5,36.35,35.44,35.64,625,78277
2013-04-17,36.8,35.64,35.14,36.77,544,85679
2013-04-18,37.16,36.3,35.4,35.61,864,123409
2013-04-19,36.74,36.51,36.0,36.3,348,50150
2013-04-22,36.65,36.59,35.88,36.41,302,42318
2013-04-23,37.41,37.4,36.74,36.74,456,67096
2013-04-24,37.5,36.9,36.45,37.3,324,41001
2013-04-25,37.74,36.99,36.84,37.0,282,39277
2013-04-26,37.55,37.21,36.91,36.99,550,80165
